Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.853,11.007,10.853,10.959,81596,0
2005-02-28,10.94,10.997,10.892,10.912,48854,0
2005-03-01,10.922,11.007,10.922,11.007,35442,0
2005-03-02,10.978,11.094,10.968,11.055,59038,0
2005-03-03,11.055,11.094,11.027,11.055,46357,0
2005-03-04,11.074,11.208,11.074,11.17,63509,0
2005-03-07,11.17,11.295,11.141,11.245,48539,0
2005-03-08,11.208,11.245,11.141,11.208,43861,0
2005-03-09,11.17,11.189,11.055,11.055,50518,0
2005-03-10,11.027,11.065,10.863,10.912,58105,0
2005-03-11,10.853,10.94,10.775,10.795,72445,0
2005-03-14,10.853,10.968,10.853,10.892,73592,0
2005-03-15,10.863,10.902,10.795,10.795,53219,0
2005-03-16,10.795,10.795,10.658,10.717,60494,0
2005-03-17,10.717,10.824,10.678,10.814,51141,0
2005-03-18,10.834,10.834,10.678,10.745,25674,0
2005-03-21,10.707,10.707,10.581,10.648,28897,0
2005-03-22,10.648,10.727,10.581,10.61,72032,0
2005-03-23,10.658,10.658,10.458,10.638,69433,0
2005-03-24,10.6,10.678,10.581,10.61,34508,0
2005-03-28,10.61,10.668,10.6,10.6,45212,0
2005-03-29,10.629,10.629,10.525,10.544,47501,0
2005-03-30,10.516,10.62,10.516,10.61,26088,0
2005-03-31,10.554,10.697,10.554,10.678,27544,0
2005-04-01,10.648,10.707,10.516,10.572,20995,0
2005-04-04,10.544,10.581,10.506,10.581,24633,0
2005-04-05,10.563,10.678,10.563,10.629,48023,0
2005-04-06,10.62,10.678,10.59,10.629,30453,0
2005-04-07,10.62,10.717,10.62,10.697,27022,0
2005-04-08,10.648,10.814,10.648,10.648,36172,0
2005-04-11,10.61,10.678,10.61,10.629,36381,0
2005-04-12,10.59,10.629,10.563,10.629,59143,0
2005-04-13,10.62,10.668,10.581,10.61,22037,0
2005-04-14,10.581,10.629,10.429,10.544,32220,0
2005-04-15,10.535,10.535,10.188,10.247,62366,0
2005-04-18,10.112,10.112,9.83,9.988,82219,0
2005-04-19,10.035,10.072,10.015,10.072,30248,0
2005-04-20,10.092,10.149,9.919,9.919,73384,0
2005-04-21,9.978,10.169,9.978,10.129,76190,0
2005-04-22,10.159,10.179,10.025,10.025,33988,0
2005-04-25,10.035,10.179,10.015,10.149,50202,0
2005-04-26,10.092,10.179,10.082,10.139,59350,0
2005-04-27,10.035,10.112,10.008,10.112,45525,0
2005-04-28,10.035,10.054,9.919,9.998,58728,0
2005-04-29,9.998,10.063,9.899,10.063,69224,0
2005-05-02,10.035,10.082,9.998,10.072,33571,0
2005-05-03,10.035,10.092,10.015,10.054,43555,0
2005-05-04,10.035,10.139,10.035,10.122,38666,0
2005-05-05,10.139,10.169,10.008,10.015,53843,0
2005-05-06,10.072,10.169,10.035,10.044,71200,0
2005-05-09,10.072,10.217,10.063,10.188,58105,0
2005-05-10,10.169,10.198,10.072,10.072,38356,0
2005-05-11,10.072,10.129,10.035,10.129,40639,0
2005-05-12,10.112,10.169,9.998,10.015,40746,0
2005-05-13,9.998,10.035,9.929,10.025,48023,0
2005-05-16,9.988,10.015,9.948,9.998,31910,0
2005-05-17,9.968,10.092,9.919,10.082,57583,0
2005-05-18,10.112,10.217,10.112,10.198,46772,0
2005-05-19,10.217,10.275,10.188,10.207,23806,0
2005-05-20,10.179,10.217,10.139,10.217,24425,0
2005-05-23,10.237,10.332,10.227,10.332,67350,0
2005-05-24,10.362,10.497,10.352,10.409,77749,0
2005-05-25,10.389,10.448,10.266,10.362,55922,0
2005-05-26,10.352,10.497,10.352,10.409,30248,0
2005-05-27,10.448,10.497,10.409,10.477,32948,0
2005-05-31,10.497,10.497,10.448,10.448,60079,0
2005-06-01,10.525,10.563,10.516,10.544,49372,0
2005-06-02,10.506,10.544,10.458,10.497,84818,0
2005-06-03,10.544,10.563,10.477,10.487,46357,0
2005-06-06,10.467,10.506,10.419,10.497,111429,0
2005-06-07,10.506,10.629,10.506,10.535,153626,0
2005-06-08,10.535,10.581,10.497,10.544,35548,0
2005-06-09,10.487,10.572,10.448,10.563,29624,0
2005-06-10,10.572,10.629,10.544,10.61,52909,0
2005-06-13,10.535,10.638,10.535,10.572,28897,0
2005-06-14,10.581,10.648,10.581,10.629,39500,0
2005-06-15,10.687,10.697,10.61,10.668,50619,0
2005-06-16,10.697,10.922,10.697,10.795,168695,0
2005-06-17,10.804,10.902,10.785,10.814,72551,0
2005-06-20,10.795,10.834,10.745,10.795,186264,0
2005-06-21,10.804,10.834,10.765,10.804,38768,0
2005-06-22,10.834,10.853,10.775,10.814,37107,0
2005-06-23,10.834,10.834,10.727,10.755,67667,0
2005-06-24,10.755,10.775,10.62,10.62,37940,0
2005-06-27,10.581,10.629,10.544,10.581,33264,0
2005-06-28,10.6,10.678,10.6,10.648,36067,0
2005-06-29,10.687,10.727,10.648,10.727,37523,0
2005-06-30,10.795,10.824,10.727,10.755,76605,0
2005-07-01,10.755,10.795,10.745,10.765,16214,0
2005-07-05,10.755,10.853,10.755,10.853,51347,0
2005-07-06,10.882,10.912,10.824,10.834,67042,0
2005-07-07,10.804,10.959,10.785,10.959,60182,0
2005-07-08,10.959,11.084,10.959,11.084,60182,0
2005-07-11,11.112,11.141,11.055,11.112,51242,0
2005-07-12,11.122,11.227,11.112,11.217,89182,0
2005-07-13,11.217,11.255,11.189,11.255,61323,0
2005-07-14,11.208,11.285,11.208,11.208,89287,0
2005-07-15,11.189,11.189,11.122,11.17,19125,0
2005-07-18,11.084,11.141,11.055,11.112,197075,0
