Date,Open,High,Low,Close,Volume,OpenInt
2011-06-23,20.425,20.425,20.425,20.425,247,0
2011-06-24,20.478,20.478,20.469,20.469,6820,0
2011-06-28,20.407,20.407,20.407,20.407,131,0
2011-07-01,20.478,20.515,20.478,20.506,774013,0
2011-07-05,20.492,20.5,20.492,20.5,3205,0
2011-07-06,20.472,20.472,20.427,20.427,27393,0
2011-07-07,20.399,20.399,20.399,20.399,1302,0
2011-07-11,20.487,20.487,20.444,20.469,4022,0
2011-07-12,20.415,20.415,20.415,20.415,3030,0
2011-07-15,20.478,20.478,20.45,20.478,1449,0
2011-07-19,20.472,20.489,20.463,20.489,6077,0
2011-07-20,20.564,20.572,20.5,20.572,12328,0
2011-07-21,20.598,20.598,20.555,20.598,4612,0
2011-07-25,20.547,20.555,20.506,20.555,582,0
2011-07-27,20.5,20.5,20.5,20.5,1254,0
2011-08-01,20.696,20.696,20.696,20.696,857,0
2011-08-04,20.65,20.65,20.65,20.65,247,0
2011-08-05,20.515,20.598,20.515,20.598,2195,0
2011-08-08,20.305,20.345,20.19,20.19,2677,0
2011-08-09,20.32,20.32,20.32,20.32,3535,0
2011-08-11,20.5,20.5,20.5,20.5,486,0
2011-08-12,20.592,20.592,20.592,20.592,1465,0
2011-08-15,20.605,20.605,20.605,20.605,486,0
2011-08-16,20.696,20.696,20.696,20.696,857,0
2011-08-17,20.696,20.696,20.696,20.696,15496,0
2011-08-19,20.658,20.741,20.658,20.741,7080,0
2011-08-23,20.638,20.638,20.523,20.523,3947,0
2011-08-25,20.502,20.502,20.502,20.502,168,0
2011-08-26,20.618,20.618,20.618,20.618,105,0
2011-08-29,20.635,20.635,20.575,20.575,1310,0
2011-08-30,20.705,20.705,20.705,20.705,1835,0
2011-08-31,20.766,20.766,20.665,20.665,3076,0
2011-09-01,20.665,20.665,20.665,20.665,806,0
2011-09-06,20.645,20.645,20.645,20.645,2223,0
2011-09-08,20.759,20.759,20.759,20.759,120,0
2011-09-09,20.621,20.621,20.612,20.612,2246,0
2011-09-13,20.502,20.502,20.502,20.502,3137,0
