Date,Open,High,Low,Close,Volume,OpenInt
2013-12-06,21.605,21.605,21.529,21.561,41322,0
2013-12-09,21.753,21.753,21.57,21.57,49589,0
2013-12-10,21.657,21.657,21.605,21.64,38000,0
2013-12-11,21.665,21.665,21.538,21.552,31486,0
2013-12-12,21.484,21.511,21.355,21.405,22312,0
2013-12-13,21.31,21.405,21.31,21.389,10861,0
2013-12-16,21.552,22.41,21.529,22.41,14716,0
2013-12-17,21.648,21.648,21.484,21.545,10747,0
2013-12-18,21.57,21.579,21.397,21.552,25376,0
2013-12-19,21.579,21.657,21.545,21.552,431339,0
2013-12-20,21.657,21.865,21.657,21.865,17141,0
2013-12-23,21.96,22.523,21.96,22.012,347504,0
2013-12-24,22.081,22.159,22.073,22.117,80141,0
2013-12-26,22.316,22.316,22.091,22.229,154508,0
2013-12-27,22.279,22.332,22.191,22.27,101413,0
2013-12-30,22.435,22.435,22.199,22.252,159403,0
2013-12-31,22.478,22.653,22.349,22.591,57269,0
2014-01-02,22.549,22.591,22.279,22.322,69036,0
2014-01-03,22.407,22.435,22.332,22.332,60765,0
2014-01-06,22.487,22.487,22.218,22.279,81686,0
2014-01-07,22.313,22.313,22.235,22.261,97046,0
2014-01-08,22.322,22.322,22.226,22.252,74580,0
2014-01-09,22.401,22.401,22.199,22.27,64492,0
2014-01-10,22.356,22.495,22.322,22.478,98352,0
2014-01-13,22.564,22.564,22.332,22.381,123048,0
2014-01-14,22.416,22.564,22.373,22.539,72231,0
2014-01-15,22.574,22.616,22.52,22.616,83156,0
2014-01-16,22.608,22.608,22.478,22.564,94662,0
2014-01-17,22.667,22.667,22.539,22.564,95488,0
2014-01-21,22.549,22.616,22.549,22.608,84122,0
2014-01-22,22.591,22.591,22.459,22.487,97794,0
2014-01-23,22.459,22.459,22.191,22.279,113460,0
2014-01-24,22.191,22.199,21.801,21.845,157308,0
2014-01-27,21.792,21.828,21.481,21.567,69556,0
2014-01-28,21.481,21.785,21.481,21.785,30641,0
2014-01-29,21.811,21.845,21.542,21.576,28865,0
2014-01-30,21.542,21.724,21.542,21.705,16072,0
2014-01-31,21.567,21.567,21.402,21.412,32117,0
2014-02-03,21.297,21.526,20.911,20.953,58907,0
2014-02-04,20.875,21.021,20.875,20.943,43030,0
2014-02-05,20.962,20.968,20.848,20.968,22311,0
2014-02-06,21.238,21.499,21.194,21.402,11948,0
2014-02-07,21.343,21.801,21.265,21.792,39787,0
2014-02-10,21.853,21.853,21.592,21.611,19703,0
2014-02-11,21.697,22.08,21.584,22.053,21841,0
2014-02-12,22,22.097,22,22.08,12883,0
2014-02-13,21.775,22.061,21.733,22.045,34075,0
2014-02-14,21.845,22.191,21.845,22.123,61600,0
2014-02-18,22.495,22.495,22.313,22.356,95598,0
2014-02-19,22.487,22.487,22.142,22.149,30825,0
2014-02-20,22.018,22.279,22.018,22.279,21459,0
