Date,Open,High,Low,Close,Volume,OpenInt
2013-04-01,29.017,29.017,28.825,28.825,3325,0
2013-04-02,28.974,28.974,28.974,28.974,2831,0
2013-04-03,28.797,28.797,28.627,28.627,4385,0
2013-04-04,28.472,28.557,28.472,28.557,5235,0
2013-04-05,28.218,28.218,28.218,28.218,439,0
2013-04-09,28.579,28.579,28.579,28.579,422,0
2013-04-10,28.855,29.045,28.855,29.045,799,0
2013-04-12,28.989,28.989,28.989,28.989,283,0
2013-04-15,28.592,28.592,28.289,28.309,6226,0
2013-04-16,28.572,28.656,28.572,28.656,11883,0
2013-04-17,28.649,28.649,28.218,28.218,68954,0
2013-04-18,27.744,27.907,27.687,27.695,9900,0
2013-04-19,27.864,27.872,27.864,27.864,566,0
2013-04-22,28.246,28.373,28.246,28.373,14272,0
2013-04-23,28.861,28.861,28.522,28.522,283,0
2013-04-24,29.001,29.052,28.656,28.656,422,0
2013-04-25,29.186,29.186,29.108,29.108,422,0
2013-04-26,29.2,29.2,29.2,29.2,283,0
2013-04-30,29.766,29.766,29.341,29.341,422,0
2013-05-01,29.384,29.384,29.384,29.384,7214,0
2013-05-02,29.9,29.9,29.129,29.129,283,0
2013-05-03,29.829,29.829,29.829,29.829,140,0
2013-05-06,29.214,29.214,29.214,29.214,140,0
2013-05-10,29.589,29.589,29.589,29.589,315,0
2013-05-13,29.426,29.51,29.426,29.51,317,0
2013-05-14,29.737,29.737,29.645,29.645,3508,0
2013-05-20,29.935,29.95,29.935,29.95,518,0
2013-05-21,30.027,30.027,30.027,30.027,140,0
2013-05-22,29.892,29.892,29.788,29.788,2121,0
2013-05-23,29.638,29.844,29.214,29.743,2264,0
2013-05-28,29.788,29.788,29.681,29.688,497,0
2013-05-29,29.483,29.483,29.483,29.483,1202,0
2013-05-30,29.102,29.102,29.102,29.102,4243,0
2013-05-31,28.761,28.811,28.761,28.811,3135,0
2013-06-03,29.25,29.25,27.984,28.811,2759,0
2013-06-04,28.748,28.748,28.748,28.748,988,0
2013-06-05,28.358,28.358,28.351,28.351,5659,0
2013-06-06,28.415,28.415,28.415,28.415,140,0
2013-06-07,28.825,28.825,28.825,28.825,1415,0
2013-06-10,28.874,28.874,28.874,28.874,140,0
2013-06-14,28.529,29.073,28.529,28.966,1556,0
2013-06-17,29.546,29.546,28.775,28.775,283,0
2013-06-19,29.708,29.716,28.805,28.959,18672,0
2013-06-20,28.386,28.649,27.934,28.649,422,0
2013-06-21,28.062,28.062,28.048,28.048,1837,0
2013-06-24,27.321,27.321,27.321,27.321,140,0
2013-06-26,28.118,28.226,27.97,28.196,29285,0
2013-06-27,27.503,28.091,27.503,27.595,422,0
2013-07-01,28.309,28.572,28.274,28.351,3290,0
2013-07-02,28.133,28.705,28.133,28.366,4243,0
2013-07-03,28.825,28.825,28.825,28.825,1556,0
2013-07-19,31.152,31.152,31.152,31.152,705,0
2013-07-24,30.346,30.346,30.346,30.346,140,0
2013-07-29,29.992,29.992,29.992,29.992,848,0
2013-07-30,30.027,30.027,30.027,30.027,848,0
2013-07-31,30.748,30.748,30.063,30.063,317,0
2013-08-02,30.189,30.189,30.189,30.189,266,0
2013-08-06,30.189,30.268,30.189,30.205,482,0
2013-08-15,30.105,30.105,30.105,30.105,283,0
2013-08-16,30.205,30.205,30.205,30.205,283,0
2013-08-19,30.063,30.063,30.063,30.063,283,0
2013-08-20,29.844,29.844,29.844,29.844,140,0
2013-08-21,29.434,29.885,28.698,29.885,1699,0
2013-09-03,29.222,29.533,29.222,29.533,1699,0
2013-09-09,30.493,30.493,29.688,29.688,4436,0
2013-09-20,30.997,30.997,30.997,30.997,705,0
2013-09-23,30.833,30.833,30.833,30.833,2121,0
2013-10-08,30.833,30.833,30.572,30.572,1850,0
2013-10-09,30.225,30.225,30.225,30.225,705,0
2013-10-11,30.684,30.684,30.684,30.684,140,0
2013-10-17,31.186,31.186,31.186,31.186,140,0
2013-10-24,32.162,32.162,32.162,32.162,140,0
2013-10-28,31.92,31.92,31.92,31.92,140,0
2013-10-29,31.814,31.814,31.814,31.814,140,0
2013-11-06,32.056,32.056,31.795,31.795,422,0
2013-11-07,31.85,31.85,31.85,31.85,705,0
2013-11-26,32.097,32.097,32.097,32.097,283,0
2013-11-27,32.473,35.591,32.473,32.473,297,0
2013-12-04,32.232,32.232,31.788,31.788,438,0
2013-12-09,32.607,32.607,32.557,32.557,660,0
2013-12-10,32.494,32.494,32.41,32.41,696,0
2013-12-11,32.368,32.381,32.368,32.381,1195,0
2013-12-12,32.149,32.149,32.149,32.149,387,0
2013-12-16,32.064,32.064,32.02,32.02,846,0
2013-12-17,32.013,32.013,32.013,32.013,695,0
2013-12-18,32.07,32.289,32.07,32.289,714,0
2013-12-20,32.183,32.261,32.183,32.261,778,0
2013-12-23,32.48,32.515,32.473,32.508,2468,0
2013-12-24,34.338,34.346,30.027,30.127,5288,0
2013-12-26,30.394,30.394,30.119,30.133,1889,0
2013-12-30,31.101,35.378,31.101,32.741,4167,0
2013-12-31,33.336,36.757,31.808,31.808,2986,0
2014-01-02,30.197,30.487,30.182,30.389,5398,0
2014-01-03,30.281,32.515,30.281,32.515,5366,0
2014-01-06,37.908,37.908,30.48,30.875,5523,0
2014-01-07,31.455,33.293,30.508,31.101,6874,0
2014-01-08,30.762,32.156,30.43,30.43,8676,0
2014-01-09,30.925,30.925,30.854,30.91,2069,0
2014-01-10,33.427,33.427,30.889,30.917,1144,0
2014-01-13,30.925,33.809,30.925,31.032,1044,0
2014-01-14,31.242,31.802,31.242,31.802,3334,0
2014-01-15,38.941,38.941,31.024,31.739,5445,0
2014-01-16,32.896,32.896,31.447,31.661,6270,0
2014-01-17,31.808,32.156,31.215,31.215,2212,0
2014-01-21,30.684,31.278,30.684,31.278,3334,0
2014-01-22,31.378,32.515,31.336,31.562,4252,0
2014-01-23,31.519,31.519,31.172,31.328,1988,0
2014-01-24,31.455,31.455,31.455,31.455,562,0
2014-01-27,31.101,31.604,31.101,31.271,4100,0
2014-01-28,30.997,30.997,30.997,30.997,298,0
2014-01-29,30.925,31.101,30.925,31.101,890,0
2014-01-30,31.101,31.172,31.101,31.172,824,0
2014-01-31,30.925,30.925,30.925,30.925,397,0
2014-02-03,29.058,30.606,29.058,30.585,1552,0
2014-02-04,30.585,30.889,30.394,30.394,975,0
2014-02-05,30.394,30.438,30.394,30.43,3130,0
2014-02-06,30.43,30.43,30.43,30.43,300,0
2014-02-07,30.748,30.748,30.643,30.732,451,0
2014-02-10,30.732,30.854,30.408,30.854,1144,0
2014-02-11,37.542,37.542,30.79,30.854,4458,0
2014-02-12,30.854,30.854,30.394,30.394,1329,0
2014-02-13,30.417,30.417,30.401,30.401,931,0
2014-02-14,30.572,31.101,30.572,31.101,6099,0
2014-02-18,25.135,30.572,25.135,30.572,4656,0
2014-02-19,30.572,31.066,30.572,31.066,4536,0
2014-02-20,31.788,31.788,31.172,31.37,1067,0
2014-02-21,31.703,31.703,31.661,31.661,836,0
2014-02-24,31.631,31.631,31.109,31.109,1226,0
2014-02-25,30.748,30.784,30.748,30.748,2096,0
2014-02-26,30.748,30.748,30.748,30.748,1092,0
2014-02-27,31.109,31.109,31.109,31.109,283,0
2014-02-28,30.826,31.385,30.826,31.194,4025,0
2014-03-03,31.129,31.129,30.867,30.889,1970,0
2014-03-04,31.278,31.378,30.889,30.889,4093,0
2014-03-05,31.447,31.447,30.713,30.713,1695,0
2014-03-06,31.314,31.519,31.109,31.519,3071,0
2014-03-07,31.447,31.455,31.385,31.385,3237,0
2014-03-10,31.385,31.385,31.385,31.385,397,0
2014-03-11,31.455,31.455,31.385,31.385,3755,0
2014-03-12,31.447,31.624,31.242,31.249,2631,0
2014-03-13,34.777,34.777,30.606,31.222,2932,0
2014-03-14,31.378,31.378,30.889,30.889,476,0
2014-03-17,30.997,30.997,30.997,30.997,241,0
2014-03-18,31.145,31.145,30.925,31.094,2859,0
2014-03-19,31.249,31.314,31.101,31.101,2930,0
2014-03-21,30.82,31.101,30.82,31.032,923,0
2014-03-24,31.137,31.137,30.961,30.961,755,0
2014-03-25,31.242,31.242,31.242,31.242,290,0
2014-03-26,30.968,31.017,30.968,31.009,3110,0
2014-03-27,30.572,30.572,30.394,30.394,2154,0
2014-03-28,29.743,30.903,29.25,30.903,1880,0
2014-03-31,29.837,31.235,29.821,30.889,5030,0
2014-04-01,30.889,30.889,30.889,30.889,220,0
2014-04-03,30.826,31.101,30.826,31.017,782,0
2014-04-04,31.094,31.094,30.889,30.889,1709,0
2014-04-07,31.024,31.024,31.024,31.024,455,0
2014-04-08,30.677,30.691,30.677,30.677,631,0
2014-04-09,30.917,31.094,30.917,31.094,894,0
2014-04-10,31.087,31.087,31.009,31.009,574,0
2014-04-11,31.009,31.009,30.677,30.677,289,0
2014-04-14,30.748,30.854,30.677,30.677,813,0
2014-04-16,30.585,30.917,30.585,30.917,1792,0
2014-04-17,30.5,30.5,30.5,30.5,140,0
2014-04-21,31.017,31.101,30.713,30.848,2438,0
2014-04-23,31.101,31.101,31.024,31.066,2824,0
2014-04-24,31.094,31.094,30.748,31.052,1216,0
2014-04-25,30.677,30.677,30.677,30.677,144,0
2014-04-28,30.903,31.101,30.903,30.925,666,0
