Date,Open,High,Low,Close,Volume,OpenInt
2011-06-17,14.285,14.548,14.215,14.215,3095,0
2011-06-20,14.154,14.302,14.154,14.293,2111,0
2011-06-21,14.506,14.53,14.488,14.514,3249,0
2011-06-22,14.415,14.586,14.415,14.521,53553,0
2011-06-23,14.26,14.302,14.223,14.277,28427,0
2011-06-24,14.312,14.312,14.302,14.302,4609,0
2011-06-27,14.285,14.407,14.26,14.407,3869,0
2011-06-28,14.548,14.548,14.521,14.548,2287,0
2011-06-29,14.567,14.684,14.567,14.684,570,0
2011-06-30,14.808,14.817,14.791,14.791,1495,0
2011-07-01,14.803,15.047,14.803,15.037,2298,0
2011-07-05,14.932,14.976,14.923,14.976,5389,0
2011-07-06,14.916,14.995,14.916,14.985,5603,0
2011-07-07,15.116,15.193,15.116,15.16,5783,0
2011-07-08,14.932,15.002,14.923,15.002,3516,0
2011-07-11,14.739,14.749,14.703,14.712,771,0
2011-07-12,14.67,14.739,14.67,14.694,4659,0
2011-07-13,14.845,14.853,14.703,14.703,10825,0
2011-07-14,14.721,14.721,14.53,14.53,1828,0
2011-07-15,14.557,14.576,14.521,14.557,3458,0
2011-07-18,14.349,14.479,14.269,14.277,2521,0
2011-07-19,14.302,14.593,14.302,14.586,12920,0
2011-07-20,14.61,14.647,14.586,14.647,1809,0
2011-07-21,14.739,14.828,14.739,14.81,9842,0
2011-07-22,14.793,14.818,14.749,14.818,1745,0
2011-07-25,14.647,14.774,14.647,14.739,16685,0
2011-07-26,14.643,14.7,14.616,14.681,6959,0
2011-07-27,14.47,14.514,14.34,14.34,2643,0
2011-07-28,14.336,14.368,14.247,14.247,2411,0
2011-07-29,14.063,14.21,14.021,14.194,5288,0
2011-08-01,14.074,14.074,13.954,14.044,3893,0
2011-08-02,13.931,13.931,13.757,13.757,5448,0
2011-08-03,13.587,13.666,13.359,13.666,17521,0
2011-08-04,13.44,13.44,12.889,12.923,4433,0
2011-08-05,13.065,13.065,12.39,12.792,236199,0
2011-08-08,12.227,12.269,11.595,11.605,38874,0
2011-08-09,11.841,12.243,11.605,12.243,12515,0
2011-08-10,11.93,12.061,11.772,11.772,7203,0
2011-08-11,12.079,12.486,12.07,12.486,4332,0
2011-08-12,12.374,12.512,12.374,12.408,3031,0
2011-08-15,12.593,12.783,12.593,12.767,4257,0
2011-08-16,12.61,12.722,12.565,12.626,17066,0
2011-08-17,12.574,12.618,12.565,12.61,3248,0
2011-08-18,12.042,12.162,11.947,12.008,6705,0
2011-08-19,11.911,12.023,11.781,11.832,8341,0
2011-08-22,11.71,11.851,11.693,11.79,4955,0
2011-08-23,11.971,12.096,11.71,12.07,38474,0
2011-08-24,12.104,12.39,12.104,12.39,2625,0
2011-08-26,12.219,12.365,12.2,12.346,9132,0
2011-08-29,12.74,12.872,12.74,12.872,1777,0
2011-08-30,12.862,12.977,12.82,12.977,4652,0
2011-08-31,13.097,13.097,12.914,12.95,2084,0
2011-09-01,12.977,13.003,12.792,12.792,4824,0
2011-09-02,12.455,12.455,12.377,12.377,609,0
2011-09-06,12.061,12.155,12.061,12.155,1081,0
2011-09-07,12.513,12.75,12.453,12.705,2102,0
2011-09-08,12.733,12.733,12.575,12.575,906,0
2011-09-09,12.339,12.339,12.244,12.244,882,0
2011-09-12,12.172,12.172,11.98,12.042,3996,0
2011-09-13,12.329,12.566,12.219,12.469,40935,0
2011-09-14,12.478,12.594,12.444,12.585,5110,0
2011-09-15,12.713,12.856,12.713,12.837,3280,0
2011-09-16,12.971,12.978,12.839,12.9,157035,0
2011-09-19,12.611,12.724,12.556,12.724,13747,0
2011-09-20,12.698,12.821,12.594,12.594,5609,0
2011-09-21,12.575,12.594,12.366,12.366,35109,0
2011-09-22,11.781,11.84,11.553,11.718,16998,0
2011-09-23,11.789,11.814,11.762,11.797,1822,0
2011-09-26,11.771,12.087,11.771,12.087,2574,0
2011-09-27,12.339,12.496,12.278,12.278,9027,0
2011-09-28,12.311,12.311,11.998,11.998,13528,0
2011-09-29,12.163,12.219,12.008,12.096,4526,0
2011-09-30,11.928,12.006,11.793,11.793,9755,0
2011-10-03,11.437,11.437,11.235,11.235,2297,0
2011-10-04,11.037,11.63,10.965,11.63,31770,0
2011-10-05,11.553,11.771,11.553,11.771,1973,0
2011-10-06,12.016,12.096,12.016,12.079,1963,0
2011-10-07,12.252,12.26,12.104,12.104,4448,0
2011-10-10,12.366,12.366,12.366,12.366,229,0
2011-10-11,12.436,12.444,12.391,12.436,1923,0
2011-10-12,12.585,12.724,12.585,12.637,3255,0
2011-10-13,12.478,12.566,12.461,12.549,8045,0
2011-10-14,12.672,12.742,12.672,12.742,1771,0
2011-10-17,12.585,12.585,12.487,12.487,2012,0
2011-10-18,12.575,12.839,12.575,12.839,2447,0
2011-10-19,12.874,12.874,12.689,12.689,1526,0
2011-10-20,12.628,12.768,12.611,12.768,6109,0
2011-10-21,13.067,13.083,13.021,13.083,1677,0
2011-10-24,13.135,13.434,13.135,13.4,3546,0
2011-10-25,13.25,13.25,13.135,13.135,1299,0
2011-10-26,13.304,13.304,13.266,13.285,3979,0
2011-10-27,13.678,13.939,13.678,13.802,2959,0
2011-10-28,13.757,13.81,13.704,13.793,57224,0
2011-10-31,13.578,13.631,13.543,13.553,5059,0
2011-11-01,13.083,13.196,13.04,13.117,18392,0
2011-11-02,13.205,13.304,13.205,13.304,343,0
2011-11-03,13.408,13.573,13.408,13.573,4460,0
2011-11-04,13.425,13.584,13.425,13.53,3370,0
2011-11-07,13.408,13.495,13.408,13.495,5177,0
2011-11-08,13.617,13.704,13.522,13.704,16569,0
2011-11-09,13.4,13.408,13.135,13.171,3216,0
2011-11-10,13.362,13.362,13.205,13.266,6648,0
2011-11-11,13.548,13.548,13.548,13.548,771,0
2011-11-14,13.424,13.424,13.391,13.424,4836,0
2011-11-15,13.4,13.522,13.335,13.486,3764,0
2011-11-16,13.434,13.486,13.311,13.344,3273,0
2011-11-17,13.232,13.241,13.005,13.057,3785,0
2011-11-18,13.109,13.145,13.075,13.075,933,0
2011-11-21,12.839,12.874,12.714,12.874,4298,0
2011-11-22,12.839,12.839,12.714,12.714,2269,0
2011-11-23,12.523,12.594,12.366,12.366,12101,0
2011-11-25,12.453,12.453,12.453,12.453,113,0
2011-11-28,12.742,12.804,12.637,12.714,3981,0
2011-11-29,12.829,12.829,12.785,12.785,1046,0
2011-11-30,13.215,13.296,13.215,13.296,8251,0
2011-12-01,13.391,13.46,13.344,13.344,2846,0
2011-12-02,13.416,13.434,13.391,13.408,2752,0
2011-12-05,13.617,13.617,13.46,13.522,10561,0
2011-12-06,13.557,13.574,13.452,13.53,3748,0
2011-12-07,13.495,13.549,13.479,13.487,2373,0
2011-12-08,13.293,13.293,13.153,13.153,2318,0
2011-12-09,13.303,13.416,13.303,13.416,1895,0
2011-12-12,13.232,13.232,13.232,13.232,581,0
2011-12-13,13.353,13.353,13.17,13.17,3789,0
2011-12-14,12.969,13.002,12.896,12.906,8197,0
2011-12-15,13.005,13.048,12.909,13.021,3766,0
2011-12-16,13.186,13.24,13.055,13.073,11715,0
2011-12-19,13.153,13.17,12.844,12.844,5933,0
2011-12-20,13.17,13.293,13.081,13.293,11171,0
2011-12-21,13.329,13.335,13.222,13.335,5760,0
2011-12-22,13.46,13.557,13.444,13.539,7041,0
2011-12-23,13.557,13.609,13.557,13.609,228,0
2011-12-27,13.619,13.68,13.619,13.652,20318,0
2011-12-28,13.47,13.47,13.444,13.444,1855,0
2011-12-29,13.479,13.601,13.479,13.601,2918,0
2011-12-30,13.595,13.631,13.586,13.586,3856,0
2012-01-03,13.813,13.85,13.716,13.723,2421,0
2012-01-04,13.619,13.69,13.619,13.652,2340,0
2012-01-05,13.53,13.75,13.487,13.716,8921,0
2012-01-06,13.75,13.75,13.69,13.706,10450,0
2012-01-09,13.698,13.741,13.672,13.732,24747,0
2012-01-10,13.917,13.917,13.908,13.908,15572,0
2012-01-11,13.889,13.925,13.85,13.925,910,0
2012-01-12,13.917,14.007,13.917,14.007,8350,0
2012-01-13,13.85,13.908,13.832,13.908,4145,0
2012-01-17,13.953,13.97,13.881,13.898,8239,0
2012-01-18,13.99,14.093,13.99,14.093,1587,0
2012-01-19,14.103,14.171,14.103,14.146,19353,0
2012-01-20,14.137,14.155,14.112,14.122,3249,0
2012-01-23,14.164,14.262,14.112,14.171,46044,0
2012-01-24,14.146,14.171,14.137,14.171,17167,0
2012-01-25,14.181,14.36,14.128,14.351,4451,0
2012-01-26,14.401,14.455,14.279,14.304,3062,0
2012-01-27,14.333,14.333,14.333,14.333,741,0
2012-01-30,14.216,14.271,14.208,14.253,5916,0
2012-01-31,14.157,14.227,14.157,14.227,2606,0
2012-02-01,14.445,14.533,14.445,14.492,3463,0
2012-02-02,14.518,14.518,14.51,14.51,2044,0
2012-02-03,14.709,14.817,14.709,14.808,5104,0
2012-02-06,14.755,14.755,14.718,14.718,1599,0
2012-02-07,14.781,14.843,14.736,14.843,4295,0
2012-02-08,14.861,14.895,14.825,14.895,1382,0
2012-02-09,14.931,14.931,14.835,14.905,6333,0
2012-02-10,14.746,14.764,14.69,14.69,700,0
2012-02-13,14.843,14.895,14.817,14.87,31721,0
2012-02-14,14.772,14.808,14.709,14.808,56106,0
2012-02-15,14.825,14.895,14.709,14.709,731,0
2012-02-16,14.895,14.948,14.895,14.948,7853,0
2012-02-17,15.037,15.037,14.975,14.975,5568,0
2012-02-21,15.002,15.002,14.87,14.87,67103,0
2012-02-22,14.852,14.895,14.772,14.791,33483,0
2012-02-23,14.791,14.948,14.764,14.895,48566,0
2012-02-24,14.915,15.002,14.905,14.905,7988,0
2012-02-27,14.948,14.956,14.939,14.939,807,0
2012-02-28,14.905,14.965,14.905,14.965,1629,0
2012-02-29,14.988,14.996,14.844,14.959,2259,0
2012-03-01,14.939,14.984,14.922,14.984,4190,0
2012-03-02,14.913,14.929,14.877,14.893,15642,0
2012-03-05,14.861,14.861,14.755,14.852,24303,0
2012-03-06,14.716,14.716,14.559,14.579,6304,0
2012-03-07,14.63,14.744,14.63,14.744,10338,0
2012-03-08,14.815,14.929,14.779,14.913,33645,0
2012-03-09,15.045,15.045,15.009,15.009,1352,0
2012-03-12,15.056,15.066,14.984,15.02,22141,0
2012-03-13,15.107,15.176,15.107,15.176,7442,0
2012-03-14,15.282,15.344,15.203,15.231,10309,0
2012-03-15,15.319,15.344,15.319,15.344,7079,0
2012-03-16,15.362,15.362,15.335,15.344,10242,0
2012-03-19,15.344,15.47,15.327,15.39,61287,0
