Date,Open,High,Low,Close,Volume,OpenInt
2007-05-04,88.755,88.755,88.476,88.602,3967,0
2007-05-07,88.71,89.004,88.586,88.586,6344,0
2007-05-08,88.057,88.266,87.59,88.266,4305,0
2007-05-09,88.684,88.897,88.514,88.79,6288,0
2007-05-10,88.853,88.853,87.702,87.773,11613,0
2007-05-11,88.211,88.409,88.211,88.409,7081,0
2007-05-14,88.621,88.853,87.59,87.629,12972,0
2007-05-15,87.207,87.59,86.054,86.114,13143,0
2007-05-16,86.094,86.322,86.094,86.094,2946,0
2007-05-17,85.688,86.033,85.41,85.41,6005,0
2007-05-18,85.621,85.621,85.036,85.392,2946,0
2007-05-21,85.453,86.556,85.442,86.519,20222,0
2007-05-22,87.05,88.057,86.907,87.966,3398,0
2007-05-23,89.066,89.163,88.231,88.246,4928,0
2007-05-24,88.621,88.621,86.285,86.748,26625,0
2007-05-25,87.368,87.59,87.207,87.207,6628,0
2007-05-29,88.142,88.142,88.125,88.125,397,0
2007-05-31,88.959,89.145,88.959,89.145,2096,0
2007-06-01,89.662,89.662,89.359,89.359,453,0
2007-06-04,89.697,90.142,89.697,89.946,1416,0
2007-06-06,87.753,87.753,87.753,87.753,566,0
2007-06-07,86.907,86.907,86.219,86.403,6853,0
2007-06-12,85.036,85.175,84.631,84.682,1530,0
2007-06-13,84.557,85.19,84.557,85.19,792,0
2007-06-14,85.621,85.621,85.621,85.621,170,0
2007-06-15,87.207,87.207,87.207,87.207,112,0
2007-06-18,86.944,86.944,86.944,86.944,397,0
2007-06-20,87.069,87.069,87.069,87.069,112,0
2007-06-21,85.621,85.621,85.052,85.453,2041,0
2007-06-22,84.912,84.912,84.699,84.699,511,0
2007-06-25,84.123,84.136,83.305,83.428,1586,0
2007-06-26,83.589,83.589,82.302,82.387,4646,0
2007-06-27,81.376,81.878,81.188,81.839,1814,0
2007-06-28,82.899,83.184,82.528,83.145,1983,0
2007-06-29,80.569,80.569,79.972,80.092,453,0
2007-07-02,80.43,80.43,80.146,80.146,680,0
2007-07-03,81.01,81.188,80.957,81.063,4588,0
2007-07-06,80.742,80.907,80.021,80.907,566,0
2007-07-10,79.665,79.811,78.648,78.648,20903,0
2007-07-11,78.737,78.737,76.826,76.826,14899,0
2007-07-12,77.09,77.233,76.685,76.849,15466,0
2007-07-13,77.339,77.339,76.934,77.125,680,0
2007-07-16,77.481,77.481,76.389,76.389,3286,0
2007-07-17,77.058,77.058,76.294,76.564,17730,0
2007-07-18,76.002,76.002,73.774,74.128,10197,0
2007-07-19,75.486,75.486,75.033,75.033,622,0
2007-07-20,75.158,75.158,74.144,74.237,19316,0
2007-07-23,74.813,74.813,72.685,72.764,5947,0
2007-07-24,71.043,71.423,70.441,70.441,11273,0
2007-07-25,71.369,71.669,69.673,70.688,4077,0
2007-07-26,70.809,70.809,68.567,69.442,4192,0
2007-07-27,69.943,70.7,69.466,69.466,1302,0
2007-07-30,67.806,67.823,67.806,67.823,338,0
2007-07-31,68.439,68.581,59.107,61.516,20847,0
2007-08-01,61.784,61.784,55.34,57.781,112217,0
2007-08-02,61.164,61.516,60.411,60.411,3398,0
2007-08-03,61.011,61.011,56.578,56.682,9006,0
2007-08-06,56.682,57.148,52.709,57.148,29683,0
2007-08-07,54.554,55.309,53.928,55.309,46619,0
2007-08-08,57.355,59.726,57.355,58.375,5719,0
2007-08-09,58.254,58.329,57.64,57.64,6230,0
2007-08-10,55.433,56.07,54.847,54.992,3340,0
2007-08-13,55.736,56.117,52.709,52.709,34837,0
2007-08-14,52.08,52.08,45.547,46.316,156006,0
2007-08-15,46.782,48.163,44.131,46.586,19543,0
2007-08-16,46.075,50.083,45.825,49.962,58006,0
2007-08-17,53.751,57.376,52.662,55.007,68427,0
2007-08-20,55.078,55.238,54.074,54.494,11781,0
2007-08-21,54,55.007,54,55.007,80495,0
2007-08-22,55.889,55.889,55.238,55.75,36198,0
2007-08-23,57.073,57.073,55.34,55.395,28889,0
2007-08-24,55.966,55.966,54.882,55.643,9121,0
2007-08-27,55.857,55.857,53.4,53.4,2890,0
2007-08-28,53.292,53.292,51.393,51.393,5268,0
2007-08-29,52.043,52.341,51.692,52.128,5268,0
2007-08-30,51.189,53.388,51.189,52.957,28322,0
2007-08-31,56.386,56.468,53.576,54.285,3682,0
2007-09-04,53.648,55.113,53.648,54.938,2321,0
2007-09-05,53.576,54.409,53.211,53.246,16540,0
2007-09-06,52.683,53.018,52.683,52.787,1302,0
2007-09-07,52.08,53.211,52.021,53.211,6911,0
2007-09-10,53.772,53.828,52.683,53.211,2946,0
2007-09-11,53.967,54.323,53.612,54.202,14331,0
2007-09-12,54.285,54.494,53.954,54.017,5323,0
2007-09-13,54.459,55.433,54.459,55.395,11952,0
2007-09-14,54.992,56.437,54.992,56.437,25832,0
2007-09-17,56.177,56.177,55.8,55.909,4759,0
2007-09-18,56.07,62.138,56.031,58.855,18297,0
2007-09-19,59.972,60.779,59.616,59.987,17503,0
2007-09-20,60.353,60.353,58.254,58.464,1927,0
2007-09-21,58.499,59.016,58.272,59.001,8270,0
2007-09-24,59.417,59.417,57.976,57.976,3795,0
2007-09-25,57.867,57.867,57.091,57.091,1132,0
2007-09-26,55.043,55.32,54.814,55.198,2946,0
2007-09-27,55.294,55.294,54.956,54.992,3340,0
2007-09-28,54.992,55.043,54.338,54.554,8611,0
2007-10-01,54.725,55.909,54.725,55.909,2152,0
2007-10-02,56.141,56.845,56.031,56.774,2719,0
2007-10-03,56.468,56.793,56.369,56.437,3398,0
2007-10-04,56.845,56.845,56.344,56.386,8214,0
2007-10-05,56.948,57.172,55.909,57.172,792,0
2007-10-08,57.052,57.052,56.315,56.326,2549,0
2007-10-09,56.932,56.932,55.131,55.713,1018,0
2007-10-10,55.383,55.465,55.383,55.465,283,0
2007-10-11,55.974,55.974,54.847,55.007,8043,0
2007-10-12,54.74,54.922,54.619,54.882,3625,0
2007-10-15,54.142,54.142,53.723,53.723,7478,0
2007-10-16,53.751,53.751,53.171,53.412,9573,0
2007-10-17,53.4,53.4,51.833,52.481,9347,0
2007-10-18,52.128,53.156,52.111,52.787,8156,0
2007-10-19,52.377,52.588,51.692,51.707,6119,0
2007-10-22,51.816,52.939,51.816,52.939,3851,0
2007-10-23,54.177,54.177,52.481,52.869,6798,0
2007-10-24,53.031,53.031,52.061,52.516,2379,0
2007-10-25,52.434,52.726,51.189,51.865,15126,0
2007-10-26,52.1,53.439,52.1,52.747,4247,0
2007-10-29,53.648,53.648,52.769,52.769,1359,0
2007-10-30,52.975,52.996,52.516,52.662,3625,0
2007-10-31,53.121,53.292,51.897,52.6,7591,0
2007-11-01,52.83,52.83,50.756,51.004,9291,0
2007-11-02,50.663,50.663,48.809,49.596,4420,0
2007-11-05,49.675,49.837,48.301,49.652,5042,0
2007-11-06,50.404,50.756,50.069,50.698,6911,0
2007-11-07,51.567,51.567,48.831,48.846,7534,0
2007-11-08,49.574,50.803,49.037,50.542,1586,0
2007-11-09,50.361,51.004,49.603,51.004,1132,0
2007-11-12,50.225,51.375,50.225,50.663,1530,0
2007-11-13,51.421,51.986,51.046,51.865,2152,0
2007-11-14,52.558,52.819,51.692,51.692,964,0
2007-11-15,51.88,51.88,51.393,51.393,4362,0
2007-11-16,52.709,52.709,50.649,50.822,5323,0
2007-11-19,50.634,50.634,49.449,50.208,964,0
2007-11-20,49.922,49.922,47.663,48.421,9461,0
2007-11-21,48.421,48.67,47.062,48.287,6060,0
2007-11-23,49.41,49.41,49.41,49.41,56,0
2007-11-26,49.995,49.995,46.973,46.973,680,0
2007-11-27,47.663,47.683,47.422,47.455,1246,0
2007-11-28,49.727,50.296,49.695,50.24,2663,0
2007-11-29,49.962,50.47,49.821,50.385,3228,0
2007-11-30,52.328,52.6,51.189,51.214,4985,0
2007-12-03,51.359,51.672,51.143,51.527,4476,0
2007-12-04,51.09,51.09,50.418,50.56,18580,0
2007-12-05,50.634,51.143,50.634,50.717,1868,0
2007-12-06,51.897,53.31,51.897,53.31,27473,0
2007-12-07,53.439,54.725,53.185,54.017,7762,0
2007-12-10,54.427,55.536,54.409,55.212,5042,0
2007-12-11,56.07,56.07,53.335,53.335,5210,0
2007-12-12,55.522,55.522,52.769,52.911,25832,0
2007-12-13,53.412,53.412,52.286,53.096,22036,0
2007-12-14,54.231,54.231,52.683,52.683,18127,0
