Date,Open,High,Low,Close,Volume,OpenInt
2007-10-15,41.587,41.587,41.587,41.587,535,0
2007-10-16,41.868,41.868,40.658,40.658,535,0
2007-10-18,41.868,41.868,41.771,41.771,867,0
2007-10-19,41.791,41.886,41.791,41.886,8035,0
2007-10-22,42.054,42.054,41.831,41.831,8948,0
2007-10-23,41.868,41.868,41.811,41.811,3615,0
2007-10-24,41.848,41.868,41.791,41.791,5501,0
2007-10-26,41.886,41.886,41.811,41.811,1346,0
2007-10-29,41.886,41.886,41.848,41.848,1346,0
2007-10-30,41.848,41.848,41.831,41.831,7116,0
2007-10-31,41.904,41.94,41.904,41.94,1242,0
2007-11-01,41.96,41.977,41.886,41.94,4095,0
2007-11-02,41.868,41.868,41.868,41.868,203,0
2007-11-05,41.791,41.848,41.791,41.848,319,0
2007-11-06,41.868,41.868,41.868,41.868,586,0
2007-11-07,41.868,41.868,41.868,41.868,1189,0
2007-11-08,41.868,41.904,41.868,41.904,11480,0
2007-11-09,41.94,41.94,41.904,41.904,1775,0
2007-11-12,41.923,42.092,41.923,42.092,972,0
2007-11-13,42.092,42.092,41.848,41.96,2799,0
2007-11-14,41.96,41.96,41.96,41.96,3457,0
2007-11-15,42.054,42.054,41.977,41.977,1139,0
2007-11-16,42.148,42.168,42.017,42.035,3236,0
2007-11-19,41.977,41.977,41.977,41.977,1242,0
2007-11-20,41.96,42.035,41.96,42.035,431,0
2007-11-21,42.072,42.206,41.698,42.017,4370,0
2007-11-23,42.017,42.072,42.017,42.054,18436,0
2007-11-26,42.13,42.148,42.092,42.092,5612,0
2007-11-27,42.092,42.168,41.997,42.054,9967,0
2007-11-28,42.035,42.168,42.017,42.072,111217,0
2007-11-29,42.168,42.168,42.148,42.148,24528,0
2007-11-30,42.206,42.206,42.186,42.186,3399,0
2007-12-03,42.186,42.206,42.072,42.072,12397,0
2007-12-04,45.19,45.19,41.771,42.112,4017,0
2007-12-05,42.186,42.186,42.186,42.186,5612,0
2007-12-06,42.035,42.148,42.035,42.148,4690,0
2007-12-07,42.186,42.186,42.112,42.112,1558,0
2007-12-10,42.054,42.168,42.054,42.148,3931,0
2007-12-11,42.354,42.354,42.206,42.278,27329,0
2007-12-12,42.168,42.262,42.168,42.262,1613,0
2007-12-13,42.186,42.244,41.347,42.244,2907,0
2007-12-14,41.791,42.148,41.791,42.148,1613,0
2007-12-17,42.112,42.224,42.112,42.224,2213,0
2007-12-18,42.262,42.262,42.224,42.224,18008,0
2007-12-19,42.262,42.262,42.262,42.262,431,0
2007-12-20,42.316,42.334,42.316,42.334,4200,0
2007-12-21,42.224,42.262,41.791,42.262,13744,0
2007-12-24,42.168,42.224,42.092,42.092,918,0
2007-12-26,42.186,42.186,42.148,42.148,3931,0
2007-12-27,42.186,42.186,42.186,42.186,3399,0
2007-12-28,42.186,42.186,42.13,42.13,7602,0
2007-12-31,42.168,42.168,42.148,42.148,7982,0
2008-01-02,42.186,42.206,42.112,42.206,3670,0
2008-01-03,42.148,42.186,41.754,42.186,3399,0
2008-01-04,42.206,42.316,41.977,42.262,63020,0
2008-01-07,42.278,42.316,42.278,42.278,4661,0
2008-01-08,42.316,42.316,42.262,42.262,8443,0
2008-01-09,40.622,42.43,40.604,42.316,18545,0
2008-01-10,42.39,42.483,42.354,42.483,11968,0
2008-01-11,42.465,42.521,42.374,42.465,2171,0
2008-01-14,42.465,42.577,42.465,42.557,4962,0
2008-01-15,42.577,42.649,42.502,42.502,27116,0
2008-01-16,46.222,46.222,42.612,42.703,17845,0
2008-01-17,42.612,42.813,42.612,42.741,138113,0
2008-01-18,42.723,42.793,42.687,42.775,13532,0
2008-01-22,42.958,42.974,42.759,42.974,10245,0
2008-01-23,43.085,43.124,42.974,43.085,8414,0
2008-01-24,43.065,43.065,42.902,42.974,10517,0
2008-01-25,42.993,43.14,42.919,43.14,18653,0
2008-01-28,43.065,43.065,42.847,43.065,12772,0
2008-01-29,43.218,43.255,43.047,43.124,15356,0
2008-01-30,43.065,43.255,43.031,43.235,16120,0
2008-01-31,43.085,43.218,43.085,43.198,14398,0
2008-02-01,42.993,43.14,42.993,43.124,29973,0
2008-02-04,43.085,43.14,43.065,43.085,10408,0
2008-02-05,43.235,43.235,43.124,43.124,6088,0
2008-02-06,43.031,43.14,43.031,43.14,7227,0
2008-02-07,44.521,44.521,42.687,43.065,36445,0
2008-02-08,43.012,43.16,42.958,43.16,20592,0
2008-02-11,43.14,43.331,42.902,43.255,21834,0
2008-02-12,43.085,43.235,42.993,43.218,16840,0
2008-02-13,43.085,43.463,43.085,43.311,180956,0
2008-02-14,43.198,43.273,43.14,43.18,26847,0
2008-02-15,43.065,43.235,42.993,43.105,20487,0
2008-02-19,42.867,43.16,42.867,42.867,21565,0
2008-02-20,42.938,43.18,42.938,43.085,15738,0
2008-02-21,43.065,43.065,42.723,43.012,22102,0
2008-02-22,43.085,43.085,42.703,42.867,17086,0
2008-02-25,42.832,43.105,42.649,43.031,11754,0
2008-02-26,42.775,43.16,42.354,42.354,13851,0
2008-02-27,42.668,42.813,42.521,42.612,13264,0
2008-02-28,42.537,42.687,42.316,42.502,22196,0
2008-02-29,42.072,43.18,38.845,41.977,72644,0
2008-03-03,42.521,42.537,41.625,42.537,34020,0
2008-03-04,42.334,42.521,42.072,42.316,16079,0
2008-03-05,42.649,42.793,42.483,42.703,27547,0
2008-03-06,42.668,42.793,42.186,42.723,38978,0
2008-03-07,41.124,43.085,41.124,42.938,9904,0
2008-03-10,42.902,42.902,42.537,42.887,8358,0
2008-03-11,42.847,46.222,42.668,42.793,21752,0
2008-03-12,42.775,42.902,42.741,42.902,32184,0
2008-03-13,44.654,44.654,42.649,43.18,36695,0
2008-03-14,42.759,43.124,42.759,42.958,19194,0
2008-03-17,42.847,43.047,42.557,42.741,15777,0
2008-03-18,42.993,43.514,42.832,43.331,16712,0
2008-03-19,42.793,42.938,41.716,42.938,17037,0
2008-03-20,42.832,43.047,42.631,42.887,24153,0
2008-03-24,42.993,43.031,42.612,42.919,275162,0
2008-03-25,42.993,43.031,42.13,42.887,45285,0
2008-03-26,42.919,42.938,42.631,42.847,14993,0
2008-03-27,42.813,42.847,42.723,42.832,7871,0
2008-03-28,42.723,42.793,42.687,42.793,6575,0
2008-03-31,42.902,42.902,42.723,42.832,79233,0
2008-04-01,42.759,43.721,42.447,42.919,204992,0
2008-04-02,43.047,43.124,42.354,42.668,11330,0
2008-04-03,42.775,44.369,42.296,42.557,78975,0
2008-04-04,42.775,43.085,42.612,42.813,53984,0
2008-04-07,42.775,43.721,42.577,42.887,18977,0
2008-04-08,42.723,42.902,42.668,42.847,23040,0
2008-04-09,42.902,42.958,42.631,42.887,22799,0
2008-04-10,42.902,42.902,42.631,42.813,14335,0
2008-04-11,46.594,46.594,42.577,42.775,6575,0
2008-04-14,42.847,42.958,42.483,42.867,39144,0
2008-04-15,42.813,42.867,42.723,42.832,22369,0
2008-04-16,42.813,42.887,42.775,42.847,19033,0
2008-04-17,45.04,45.04,41.197,42.813,17791,0
2008-04-18,42.902,44.369,42.703,42.847,18283,0
2008-04-21,42.813,42.813,42.775,42.813,16651,0
2008-04-22,42.919,42.919,42.612,42.813,11062,0
2008-04-23,42.775,42.902,42.537,42.793,84991,0
2008-04-24,42.759,42.793,42.741,42.775,27658,0
2008-04-25,42.813,42.813,42.649,42.723,19008,0
2008-04-28,43.031,43.031,42.537,42.687,27991,0
2008-04-29,42.649,42.741,42.447,42.703,37237,0
