Date,Open,High,Low,Close,Volume,OpenInt
2014-06-03,24.734,24.845,24.691,24.845,36491,0
2014-06-04,24.746,24.961,24.705,24.955,7500,0
2014-06-05,25.011,25.292,24.845,25.256,23812,0
2014-06-06,25.378,25.52,25.373,25.501,22178,0
2014-06-09,25.532,25.673,25.477,25.563,9604,0
2014-06-10,25.496,25.538,25.445,25.538,7500,0
2014-06-11,25.433,25.433,25.28,25.391,18471,0
2014-06-12,25.311,25.452,24.931,25.023,45830,0
2014-06-13,25.049,25.212,24.975,25.171,35889,0
2014-06-16,25.108,25.311,25.072,25.219,6849,0
2014-06-17,25.121,25.373,25.121,25.348,22101,0
2014-06-18,25.367,25.746,25.28,25.734,39142,0
2014-06-19,25.746,25.802,25.624,25.765,4688,0
2014-06-20,25.967,26.353,25.769,25.899,51785,0
2014-06-23,25.899,25.906,25.777,25.874,15005,0
2014-06-24,25.857,26.01,25.514,25.556,25603,0
2014-06-25,25.465,25.826,25.458,25.802,31842,0
2014-06-26,25.728,25.74,25.421,25.74,34210,0
2014-06-27,25.769,25.844,25.599,25.838,30741,0
2014-06-30,25.814,25.911,25.802,25.82,28706,0
2014-07-01,25.991,26.292,25.991,26.177,9457,0
2014-07-02,26.219,26.242,26.163,26.177,10275,0
2014-07-03,26.383,26.481,26.347,26.468,8318,0
2014-07-07,26.347,26.377,26.213,26.268,12652,0
2014-07-08,26.323,26.323,25.826,25.943,27071,0
2014-07-09,26.12,26.201,25.967,26.158,30663,0
2014-07-10,25.667,26.09,25.648,25.98,30252,0
2014-07-11,25.962,26.04,25.833,26.016,25115,0
2014-07-14,26.323,26.353,26.261,26.286,10437,0
2014-07-15,26.31,26.402,25.974,26.17,40770,0
2014-07-16,26.427,26.439,26.273,26.397,7667,0
2014-07-17,26.219,26.402,25.722,25.802,43217,0
2014-07-18,25.943,26.323,25.931,26.298,17286,0
2014-07-21,26.152,26.235,26.01,26.201,17987,0
2014-07-22,26.427,26.506,26.377,26.445,8278,0
2014-07-23,26.525,26.58,26.457,26.551,5000,0
2014-07-24,26.629,26.643,26.525,26.556,4565,0
2014-07-25,26.335,26.402,26.235,26.292,11091,0
2014-07-28,26.292,26.341,26.022,26.323,10113,0
2014-07-29,26.414,26.468,26.103,26.103,39558,0
2014-07-30,26.298,26.316,25.931,26.114,45174,0
2014-07-31,25.71,25.777,25.084,25.103,27948,0
2014-08-01,25.084,25.212,24.691,24.942,36256,0
2014-08-04,24.975,25.36,24.809,25.323,16308,0
2014-08-05,25.079,25.181,24.624,24.797,52191,0
2014-08-06,24.605,24.999,24.551,24.821,22677,0
2014-08-07,25.03,25.035,24.417,24.546,36891,0
2014-08-08,24.616,25.128,24.533,25.097,36562,0
2014-08-11,25.378,25.458,25.237,25.262,11678,0
2014-08-12,25.175,25.303,25.054,25.181,16915,0
2014-08-13,25.373,25.556,25.303,25.525,31339,0
2014-08-14,25.606,25.746,25.582,25.746,8968,0
2014-08-15,25.924,25.98,25.397,25.752,48482,0
2014-08-18,26.035,26.195,26.004,26.182,9037,0
2014-08-19,26.305,26.476,26.268,26.439,15671,0
2014-08-20,26.377,26.648,26.377,26.586,18265,0
2014-08-21,26.629,26.789,26.629,26.74,9516,0
2014-08-22,26.721,26.771,26.575,26.654,13063,0
2014-08-25,26.825,26.979,26.801,26.912,7240,0
2014-08-26,26.954,27.084,26.954,26.971,4647,0
2014-08-27,27.016,27.016,26.88,26.942,2692,0
2014-08-28,26.789,26.912,26.728,26.893,24473,0
2014-08-29,26.991,27.064,26.838,27.064,13617,0
2014-09-02,27.109,27.126,26.868,27.016,16184,0
2014-09-03,27.242,27.242,26.942,26.997,12134,0
2014-09-04,27.101,27.28,26.794,26.912,20487,0
2014-09-05,26.905,27.163,26.721,27.163,15495,0
2014-09-08,27.114,27.175,26.88,27.016,17775,0
2014-09-09,26.96,26.991,26.605,26.661,18597,0
2014-09-10,26.74,26.899,26.531,26.88,31005,0
2014-09-11,26.678,26.942,26.629,26.942,13764,0
2014-09-12,26.868,26.868,26.488,26.593,13715,0
2014-09-15,26.617,26.661,26.427,26.605,19003,0
2014-09-16,26.525,27.064,26.468,26.997,12265,0
2014-09-17,27.059,27.297,26.818,27.041,29302,0
