Date,Open,High,Low,Close,Volume,OpenInt
2011-09-27,23.414,23.414,23.227,23.385,3297,0
2011-09-28,23.385,23.479,23.385,23.479,14952,0
2011-09-29,23.217,23.432,23.198,23.264,4207466,0
2011-09-30,23.275,23.426,23.238,23.37,8999,0
2011-10-03,23.423,23.479,23.423,23.469,2056,0
2011-10-04,23.429,23.429,23.27,23.287,132565,0
2011-10-05,23.27,23.27,23.16,23.261,36535,0
2011-10-06,23.287,23.297,23.241,23.27,14707,0
2011-10-07,23.273,23.273,23.188,23.227,2635,0
2011-10-10,23.255,23.339,23.255,23.339,3187,0
2011-10-11,23.235,23.235,23.125,23.125,2891,0
2011-10-12,23.087,23.144,23.077,23.134,6964,0
2011-10-13,23.134,23.134,23.06,23.06,11499,0
2011-10-14,23.102,23.102,23.055,23.102,10053,0
2011-10-17,23.115,23.536,23.115,23.154,3952,0
2011-10-18,23.188,23.188,23.154,23.182,56158,0
2011-10-19,23.188,23.198,23.188,23.198,106466,0
2011-10-20,23.208,23.235,23.198,23.198,2768,0
2011-10-21,23.204,23.261,23.204,23.204,253324,0
2011-10-24,23.264,23.264,23.217,23.217,47530,0
2011-10-25,23.303,23.37,23.303,23.37,345182,0
2011-10-26,23.339,23.339,23.3,23.31,6528,0
2011-10-27,23.283,23.3,23.198,23.227,15853,0
2011-10-28,23.241,23.306,23.204,23.287,8506,0
2011-10-31,23.426,23.492,23.397,23.492,13454,0
2011-11-01,23.529,23.642,23.482,23.624,27039,0
2011-11-02,23.626,23.747,23.588,23.747,16901,0
2011-11-03,23.615,23.633,23.576,23.633,1662,0
2011-11-04,23.697,23.726,23.671,23.726,85859,0
2011-11-07,23.728,23.803,23.728,23.737,75467,0
2011-11-08,23.7,23.72,23.664,23.72,23142,0
2011-11-09,23.69,23.697,23.633,23.633,10357,0
2011-11-10,23.633,23.697,23.586,23.697,15160,0
2011-11-11,23.664,23.674,23.542,23.674,4596,0
2011-11-14,23.636,23.692,23.598,23.626,7018,0
2011-11-15,23.569,23.626,23.495,23.626,5840,0
2011-11-16,23.552,23.588,23.552,23.588,11160,0
2011-11-17,23.569,23.569,23.438,23.562,53512,0
2011-11-18,23.559,23.867,23.559,23.867,15452,0
2011-11-21,23.522,23.532,23.522,23.532,25337,0
2011-11-22,23.542,23.913,23.194,23.495,17728,0
2011-11-23,23.598,23.664,23.306,23.664,22229,0
2011-11-25,23.595,23.595,23.595,23.595,6810,0
2011-11-28,23.562,23.645,23.512,23.645,12375,0
2011-11-29,23.552,23.645,23.503,23.598,14680,0
2011-11-30,23.649,23.678,23.583,23.649,5688,0
2011-12-01,23.595,23.624,23.576,23.605,12061,0
2011-12-02,23.624,23.697,23.559,23.642,34966,0
2011-12-05,23.707,23.707,23.707,23.707,41489,0
2011-12-06,23.642,23.671,23.576,23.671,21243,0
2011-12-07,23.624,23.717,23.615,23.717,4821,0
2011-12-08,23.681,23.754,23.37,23.37,52148,0
2011-12-09,23.642,23.642,23.615,23.624,97628,0
2011-12-12,23.681,23.69,23.624,23.69,32335,0
2011-12-13,23.707,23.707,23.707,23.707,6744,0
2011-12-14,23.661,23.661,23.595,23.661,24638,0
2011-12-15,23.726,23.726,23.586,23.586,43154,0
2011-12-16,23.671,23.681,23.671,23.681,8914,0
2011-12-19,23.754,23.754,23.697,23.754,11784,0
2011-12-20,23.681,23.754,23.681,23.754,27514,0
2011-12-21,23.726,23.783,23.681,23.697,10738,0
2011-12-22,23.652,23.707,23.652,23.697,63563,0
2011-12-23,23.773,23.773,23.671,23.671,12410,0
2011-12-27,23.595,23.681,23.567,23.624,16601,0
2011-12-28,23.652,23.697,23.652,23.697,13318,0
2011-12-29,23.642,23.717,23.586,23.586,84831,0
2011-12-30,23.714,23.771,23.667,23.667,9461,0
2012-01-03,23.624,23.624,23.624,23.624,29942,0
2012-01-04,23.69,23.69,23.69,23.69,20906,0
2012-01-05,23.69,23.809,23.69,23.809,22675,0
2012-01-06,23.819,23.829,23.744,23.744,15801,0
2012-01-09,23.744,23.838,23.697,23.838,12395,0
2012-01-10,23.717,23.717,23.69,23.69,9685,0
2012-01-11,23.773,23.858,23.773,23.858,16595,0
2012-01-12,23.707,23.717,23.615,23.717,23424,0
2012-01-13,23.576,23.624,23.576,23.605,14531,0
2012-01-17,23.707,23.858,23.697,23.809,22839,0
2012-01-18,23.707,23.8,23.707,23.8,18176,0
2012-01-19,23.652,23.8,23.652,23.8,8088,0
2012-01-20,23.707,23.707,23.707,23.707,5308,0
2012-01-23,23.697,23.697,23.69,23.69,7299,0
2012-01-24,23.735,23.735,23.652,23.735,53814,0
2012-01-25,23.671,23.903,23.661,23.903,21004,0
2012-01-26,23.947,23.967,23.92,23.967,28991,0
2012-01-27,24.016,24.016,24.016,24.016,26837,0
2012-01-30,24.082,24.082,23.967,24.082,739623,0
2012-01-31,24.121,24.121,24.121,24.121,20559,0
2012-02-01,24.063,24.119,24.063,24.119,13482,0
2012-02-02,24.043,24.148,24.043,24.148,17300,0
2012-02-03,24.063,24.063,24.024,24.024,17294,0
2012-02-06,23.94,24.092,23.94,24.092,61323,0
2012-02-07,24.1,24.1,24.006,24.024,15150,0
2012-02-08,23.977,24.006,23.671,24.006,22393,0
2012-02-09,23.957,23.957,23.957,23.957,15418,0
2012-02-10,23.947,24.024,23.947,24.024,12002,0
2012-02-13,24.006,24.072,23.977,24.024,18165,0
2012-02-14,24.072,24.072,24.072,24.072,17938,0
2012-02-15,24.1,24.1,24.016,24.016,83732,0
2012-02-16,23.986,24.033,23.986,24.033,33582,0
2012-02-17,24.016,24.016,23.92,23.92,22872,0
2012-02-21,23.986,24.043,23.92,24.016,51082,0
2012-02-22,23.986,24.092,23.986,24.072,47615,0
2012-02-23,24.006,24.165,24.006,24.129,44480,0
2012-02-24,24.148,24.148,24.024,24.11,35426,0
2012-02-27,24.165,24.165,24.1,24.157,113895,0
2012-02-28,24.175,24.185,24.092,24.157,60038,0
2012-02-29,24.138,24.138,24.033,24.082,63857,0
2012-03-01,24.033,24.072,23.947,24.053,60427,0
2012-03-02,24.063,24.1,24.006,24.053,88327,0
2012-03-05,24.082,24.11,23.947,24.016,19413,0
2012-03-06,24.063,24.092,23.977,24.053,24503,0
2012-03-07,24.082,24.092,23.977,24.063,69417,0
2012-03-08,24.1,24.11,24.006,24.082,43704,0
2012-03-09,24.11,24.119,24.016,24.092,33473,0
2012-03-12,24.138,24.148,24.072,24.11,30654,0
2012-03-13,24.119,24.129,23.996,24.063,26630,0
2012-03-14,23.912,23.986,23.912,23.92,28434,0
2012-03-15,23.957,23.957,23.848,23.94,9499,0
2012-03-16,23.838,23.947,23.829,23.886,30242,0
2012-03-19,23.838,23.903,23.773,23.858,39395,0
2012-03-20,23.877,23.877,23.791,23.858,26567,0
2012-03-21,23.886,23.903,23.791,23.877,32424,0
2012-03-22,23.886,23.903,23.838,23.903,16607,0
2012-03-23,23.903,23.967,23.867,23.94,53445,0
2012-03-26,23.94,23.94,23.858,23.903,22482,0
2012-03-27,23.94,23.967,23.877,23.947,36245,0
2012-03-28,23.947,23.986,23.94,23.94,27717,0
2012-03-29,24.016,24.016,23.94,23.957,9544,0
2012-03-30,23.996,24.006,23.903,23.957,31040,0
2012-04-02,23.957,24.033,23.957,23.957,45135,0
2012-04-03,24.042,24.08,23.846,23.902,21488,0
2012-04-04,23.866,23.946,23.808,23.894,27680,0
2012-04-05,23.902,23.975,23.866,23.929,9986,0
2012-04-09,24.092,24.11,23.967,24.016,9232,0
2012-04-10,24.063,24.138,24.063,24.092,24453,0
2012-04-11,24.185,24.195,24.082,24.165,22775,0
2012-04-12,24.195,24.203,24.129,24.129,8418,0
2012-04-13,24.157,24.185,24.157,24.185,18325,0
2012-04-16,24.221,24.221,24.165,24.195,24796,0
2012-04-17,24.196,24.196,24.157,24.196,42939,0
2012-04-18,24.211,24.211,24.129,24.195,45838,0
2012-04-19,24.195,24.195,24.138,24.138,80340,0
2012-04-20,24.146,24.201,24.109,24.164,175731,0
2012-04-23,24.308,24.308,24.211,24.211,42690,0
2012-04-24,24.195,24.211,24.175,24.211,26789,0
2012-04-25,24.175,24.231,24.175,24.211,9752,0
2012-04-26,24.221,24.26,24.211,24.241,54441,0
2012-04-27,24.24,24.306,24.24,24.268,131154,0
2012-04-30,24.265,24.349,24.265,24.331,47765,0
2012-05-01,24.346,24.355,24.281,24.309,45613,0
2012-05-02,24.334,24.334,24.306,24.325,72132,0
2012-05-03,24.337,24.337,24.291,24.309,38097,0
2012-05-04,24.297,24.316,24.288,24.306,43466,0
2012-05-07,24.37,24.37,24.268,24.297,46699,0
2012-05-08,24.325,24.352,24.316,24.316,52813,0
2012-05-09,24.365,24.383,24.319,24.337,125435,0
2012-05-10,24.309,24.337,24.309,24.319,34464,0
2012-05-11,24.325,24.344,24.316,24.325,42201,0
2012-05-14,24.297,24.37,24.297,24.37,35648,0
2012-05-15,24.38,24.38,24.361,24.361,18174,0
2012-05-16,24.344,24.344,24.325,24.325,39145,0
2012-05-17,24.288,24.37,24.268,24.361,16162,0
2012-05-18,24.306,24.38,24.297,24.37,86668,0
2012-05-21,24.38,24.408,24.334,24.38,9430,0
2012-05-22,24.361,24.361,24.297,24.344,29161,0
2012-05-23,24.306,24.334,24.306,24.334,5471,0
2012-05-24,24.316,24.316,24.316,24.316,21376,0
2012-05-25,24.346,24.374,24.291,24.291,2735,0
2012-05-29,24.352,24.38,24.288,24.288,31850,0
2012-05-30,24.334,24.352,24.334,24.352,5469,0
2012-05-31,24.341,24.426,24.341,24.426,7653,0
2012-06-01,24.449,24.449,24.346,24.421,11764,0
2012-06-04,24.401,24.401,24.328,24.328,37728,0
2012-06-05,24.387,24.387,24.387,24.387,407223,0
2012-06-06,24.349,24.349,24.304,24.323,8697,0
2012-06-07,24.359,24.359,24.359,24.359,10312,0
2012-06-08,24.457,24.457,24.383,24.383,7005,0
2012-06-11,24.411,24.449,24.392,24.411,39507,0
2012-06-12,24.365,24.439,24.328,24.355,51805,0
2012-06-13,24.319,24.439,24.319,24.392,55814,0
2012-06-14,24.449,24.449,24.355,24.355,56909,0
2012-06-15,24.374,24.495,24.374,24.495,6174,0
2012-06-18,24.55,24.55,24.477,24.495,28506,0
2012-06-19,24.522,24.579,24.467,24.477,28168,0
2012-06-20,24.56,24.56,24.439,24.439,8924,0
2012-06-21,24.421,24.449,24.346,24.355,47214,0
2012-06-22,24.378,24.378,24.246,24.285,53865,0
2012-06-25,24.346,24.346,24.281,24.319,80741,0
2012-06-26,24.222,24.328,24.222,24.281,17315,0
2012-06-27,24.299,24.299,24.281,24.291,8767,0
2012-06-28,24.328,24.337,24.271,24.337,25911,0
2012-06-29,24.273,24.367,24.273,24.367,51542,0
2012-07-02,24.341,24.434,24.314,24.368,702574,0
2012-07-03,24.331,24.444,24.331,24.359,30326,0
2012-07-05,24.368,24.444,24.368,24.387,50235,0
2012-07-06,24.406,24.5,24.406,24.452,34610,0
2012-07-09,24.416,24.481,24.416,24.461,16311,0
2012-07-10,24.481,24.508,24.471,24.481,76758,0
2012-07-11,24.526,24.526,24.481,24.5,41664,0
2012-07-12,24.508,24.508,24.471,24.471,35861,0
2012-07-13,24.481,24.536,24.481,24.5,31792,0
2012-07-16,24.63,24.63,24.526,24.536,17165,0
2012-07-17,24.64,24.64,24.452,24.452,184321,0
2012-07-18,24.536,24.64,24.5,24.518,26011,0
2012-07-19,24.583,24.583,24.508,24.526,9596,0
2012-07-20,24.611,24.611,24.536,24.545,53658,0
2012-07-23,24.574,24.574,24.526,24.536,11986,0
2012-07-24,24.611,24.611,24.49,24.526,26643,0
