Date,Open,High,Low,Close,Volume,OpenInt
2009-06-02,47.985,47.985,47.711,47.711,318812,0
2009-06-03,47.731,47.788,47.721,47.778,65175,0
2009-06-04,47.74,47.758,47.701,47.721,98362,0
2009-06-05,47.538,47.548,47.402,47.421,138192,0
2009-06-08,47.411,47.411,47.334,47.334,54742,0
2009-06-09,47.431,47.431,47.373,47.411,57526,0
2009-06-10,47.411,47.431,47.344,47.382,36212,0
2009-06-11,47.373,47.421,47.344,47.402,9138,0
2009-06-12,47.411,47.461,47.392,47.451,17167,0
2009-06-15,47.509,47.509,47.471,47.5,4678,0
2009-06-16,47.49,47.528,47.48,47.518,7283,0
2009-06-17,47.548,47.587,47.548,47.568,31125,0
2009-06-18,47.49,47.509,47.471,47.49,8302,0
2009-06-19,47.461,47.518,47.461,47.518,3859,0
2009-06-22,47.558,47.577,47.538,47.577,78740,0
2009-06-23,47.568,47.606,47.548,47.587,10289,0
2009-06-24,47.597,47.626,47.548,47.568,23041,0
2009-06-25,47.597,47.663,47.597,47.635,54051,0
2009-06-26,47.683,47.692,47.663,47.692,35086,0
2009-06-29,47.692,47.701,47.655,47.683,52401,0
2009-06-30,47.606,47.655,47.587,47.655,50337,0
2009-07-01,47.635,47.701,47.635,47.692,44972,0
2009-07-02,47.74,47.74,47.721,47.731,10606,0
2009-07-06,47.768,47.778,47.74,47.778,12943,0
2009-07-07,47.778,47.778,47.75,47.768,8042,0
2009-07-08,47.778,47.826,47.758,47.826,4891,0
2009-07-09,47.808,47.808,47.788,47.808,7542,0
2009-07-10,47.808,47.836,47.808,47.826,9886,0
2009-07-13,47.846,47.846,47.808,47.808,15919,0
2009-07-14,47.768,47.808,47.768,47.778,3447,0
2009-07-15,47.75,47.75,47.663,47.683,69131,0
2009-07-16,47.701,47.74,47.701,47.731,10531,0
2009-07-17,47.701,47.721,47.692,47.692,4798,0
2009-07-20,47.692,47.75,47.692,47.75,66084,0
2009-07-21,47.731,47.798,47.731,47.798,5546,0
2009-07-22,47.817,47.817,47.778,47.778,2165,0
2009-07-23,47.768,47.768,47.683,47.692,14428,0
2009-07-24,47.701,47.721,47.692,47.721,2089,0
2009-07-27,47.655,47.701,47.655,47.692,6898,0
2009-07-28,47.692,47.711,47.635,47.655,9837,0
2009-07-29,47.655,47.655,47.587,47.626,6857,0
2009-07-30,47.616,47.626,47.587,47.626,13977,0
2009-07-31,47.635,47.692,47.635,47.692,8136,0
2009-08-03,47.645,47.645,47.568,47.606,9271,0
2009-08-04,47.626,47.626,47.548,47.558,6106,0
2009-08-05,47.528,47.635,47.528,47.558,6652,0
2009-08-06,47.558,47.587,47.548,47.577,23471,0
2009-08-07,47.471,47.49,47.451,47.49,4089,0
2009-08-10,47.538,47.568,47.528,47.568,4190,0
2009-08-11,47.577,47.597,47.568,47.597,5122,0
2009-08-12,47.597,47.626,47.577,47.626,10584,0
2009-08-13,47.645,47.683,47.645,47.683,17418,0
2009-08-14,47.701,47.731,47.701,47.721,12911,0
2009-08-17,47.768,47.778,47.75,47.778,4324,0
2009-08-18,47.768,47.768,47.731,47.75,2628,0
2009-08-19,47.758,47.788,47.758,47.778,11314,0
2009-08-20,47.758,47.768,47.75,47.75,3043,0
2009-08-21,47.768,47.768,47.683,47.692,52931,0
2009-08-24,47.692,47.758,47.692,47.75,8692,0
2009-08-25,47.74,47.768,47.701,47.768,10451,0
2009-08-26,47.778,47.778,47.75,47.778,7731,0
2009-08-27,47.731,47.788,47.731,47.758,21554,0
2009-08-28,47.758,47.808,47.74,47.808,3674,0
2009-08-31,47.798,47.817,47.758,47.798,28574,0
2009-09-01,47.798,47.846,47.788,47.817,11120,0
2009-09-02,47.836,47.875,47.836,47.856,17320,0
2009-09-03,47.846,47.875,47.836,47.856,12594,0
2009-09-04,47.846,47.856,47.836,47.846,1310,0
2009-09-08,47.846,47.856,47.817,47.817,6368,0
2009-09-09,47.826,47.856,47.798,47.856,6335,0
2009-09-10,47.875,47.883,47.846,47.883,7506,0
2009-09-11,47.856,47.912,47.856,47.875,8904,0
2009-09-14,47.892,47.892,47.856,47.856,7586,0
2009-09-15,47.836,47.846,47.826,47.826,4716,0
2009-09-16,47.808,47.826,47.788,47.798,20925,0
2009-09-17,47.778,47.846,47.778,47.846,3721,0
2009-09-18,47.846,47.856,47.798,47.798,15192,0
2009-09-21,47.836,47.836,47.808,47.826,1242,0
2009-09-22,47.836,47.856,47.817,47.826,22247,0
2009-09-23,47.826,47.883,47.817,47.875,26550,0
2009-09-24,47.892,47.902,47.883,47.883,7696,0
2009-09-25,47.875,47.892,47.856,47.856,4218,0
2009-09-28,47.883,47.892,47.875,47.892,6953,0
2009-09-29,47.866,47.883,47.826,47.875,5392,0
2009-09-30,47.846,47.892,47.846,47.875,6271,0
2009-10-01,47.93,47.948,47.93,47.948,2455,0
2009-10-02,47.976,47.976,47.921,47.948,4191,0
2009-10-05,47.966,47.966,47.902,47.948,32482,0
2009-10-06,47.93,47.93,47.912,47.921,30659,0
2009-10-07,47.902,47.976,47.902,47.966,14542,0
2009-10-08,47.921,47.976,47.912,47.957,6743,0
2009-10-09,47.866,47.892,47.846,47.875,25432,0
2009-10-12,47.912,47.938,47.866,47.938,7449,0
2009-10-13,47.93,47.948,47.902,47.938,6867,0
2009-10-14,47.912,47.938,47.902,47.902,14796,0
2009-10-15,47.883,47.912,47.875,47.892,81729,0
2009-10-16,47.866,47.902,47.856,47.902,18562,0
2009-10-19,47.883,47.892,47.856,47.892,30684,0
2009-10-20,47.912,47.957,47.902,47.921,727135,0
2009-10-21,47.883,47.892,47.856,47.883,17188,0
2009-10-22,47.866,47.912,47.866,47.912,54388,0
2009-10-23,47.836,47.836,47.808,47.808,31686,0
2009-10-26,47.817,47.826,47.798,47.808,151441,0
2009-10-27,47.836,47.902,47.826,47.892,54070,0
2009-10-28,47.902,47.938,47.902,47.93,66010,0
2009-10-29,47.902,47.902,47.892,47.902,1848,0
2009-10-30,47.875,47.948,47.875,47.948,30813,0
2009-11-02,47.93,47.948,47.892,47.921,14088,0
2009-11-03,47.938,47.948,47.912,47.93,935975,0
2009-11-04,47.912,47.938,47.883,47.938,982851,0
2009-11-05,47.957,47.966,47.921,47.966,4795,0
2009-11-06,47.985,47.985,47.966,47.966,5963,0
2009-11-09,47.985,47.994,47.966,47.985,1065391,0
2009-11-10,48.004,48.004,47.976,47.976,35989,0
2009-11-11,48.071,48.071,47.976,48.014,4338,0
2009-11-12,47.994,48.023,47.985,48.023,301720,0
2009-11-13,48.004,48.023,47.994,48.004,40571,0
2009-11-16,48.014,48.081,48.004,48.071,129188,0
2009-11-17,48.051,48.071,48.051,48.051,2931,0
2009-11-18,48.071,48.071,48.061,48.071,1295,0
2009-11-19,48.091,48.119,48.091,48.109,8789,0
2009-11-20,48.081,48.109,48.081,48.091,8904,0
2009-11-23,48.081,48.091,48.042,48.091,37582,0
2009-11-24,48.101,48.119,48.071,48.101,73297,0
2009-11-25,48.101,48.129,48.091,48.129,59484,0
