Date,Open,High,Low,Close,Volume,OpenInt
2012-02-14,65775,66200,65775,66200,1,0
2012-02-15,58887.5,61237.5,58887.5,61237.5,1,0
2012-02-16,65887.5,70750,65887.5,70750,2,0
2012-02-17,71012.5,76812.5,70662.5,75000,2,0
2012-02-21,69637.5,69637.5,69637.5,69637.5,0,0
2012-02-22,65850,65850,65850,65850,0,0
2012-02-23,70700,70700,68362.5,68362.5,0,0
2012-02-24,64937.5,64962.5,64475,64750,1,0
2012-02-27,66387.5,66400,58737.5,58925,1,0
2012-02-28,53275,54500,53275,53750,1,0
2012-02-29,52562.5,58550,52562.5,58550,2,0
2012-03-01,53100,53112.5,48550,48637.5,5,0
2012-03-02,49662.5,50212.5,49025,49025,2,0
2012-03-05,43750,44012.5,42187.5,42362.5,5,0
2012-03-06,43625,43625,41937.5,41937.5,4,0
2012-03-07,38537.5,40075,38487.5,40075,2,0
2012-03-08,39000,39037.5,36250,39037.5,13,0
2012-03-09,43062.5,43062.5,37987.5,40337.5,3,0
2012-03-12,37437.5,37437.5,35962.5,37250,4,0
2012-03-13,36087.5,41700,35200,40300,15,0
2012-03-14,40300,41050,38750,39387.5,5,0
2012-03-15,38550,41362.5,38550,38650,2,0
2012-03-16,40775,41362.5,40375,41175,5,0
2012-03-19,39862.5,42550,39862.5,41850,3,0
2012-03-20,41125,41875,40912.5,40912.5,2,0
2012-03-21,39612.5,40962.5,39212.5,40812.5,6,0
2012-03-22,40250,40250,36875,36900,5,0
2012-03-23,39375,39387.5,37062.5,37312.5,4,0
2012-03-26,35225,35937.5,34287.5,34287.5,5,0
2012-03-27,33462.5,33575,32812.5,33575,7,0
2012-03-28,33012.5,33962.5,32325,32937.5,8,0
2012-03-29,31537.5,31537.5,26662.5,27562.5,37,0
2012-03-30,27587.5,27587.5,26150,26150,5,0
2012-04-02,25212.5,27750,25212.5,27400,4,0
2012-04-03,27537.5,29187.5,27500,28150,21,0
2012-04-04,28062.5,28862.5,26612.5,26700,11,0
2012-04-05,26450,26450,24975,25037.5,9,0
2012-04-09,25275,25812.5,24825,25812.5,4,0
2012-04-10,24425,24425,22750,22750,11,0
2012-04-11,23000,23162.5,21250,21312.5,16,0
2012-04-12,21225,23050,20875,21212.5,8,0
2012-04-13,21362.5,21375,20725,21175,2,0
2012-04-16,21625,22637.5,20987.5,21637.5,8,0
2012-04-17,20837.5,20900,19837.5,19837.5,18,0
2012-04-18,20162.5,20525,19537.5,19537.5,10,0
2012-04-19,19300,19312.5,18250,18300,18,0
2012-04-20,18500,18875,18287.5,18725,6,0
2012-04-23,19462.5,21600,19225,21525,58,0
2012-04-24,20850,21075,19862.5,20162.5,37,0
2012-04-25,21337.5,23837.5,20762.5,23412.5,17,0
2012-04-26,24837.5,26887.5,21662.5,21825,89,0
2012-04-27,22612.5,23950,22462.5,23950,32,0
2012-04-30,22800,27187.5,22800,27050,74,0
2012-05-01,28125,30037.5,27262.5,29550,68,0
2012-05-02,28925,28937.5,25025,25700,39,0
2012-05-03,27587.5,29612.5,27362.5,28150,61,0
2012-05-04,26587.5,27200,25625,26537.5,48,0
2012-05-07,27912.5,28175,27175,28037.5,30,0
2012-05-08,26150,34000,26100,31962.5,51,0
2012-05-09,31362.5,34375,31187.5,32425,70,0
2012-05-10,32862.5,34887.5,30800,33062.5,49,0
2012-05-11,33125,34525,32437.5,34175,54,0
2012-05-14,32912.5,33137.5,30637.5,30750,94,0
2012-05-15,33125,33725,32062.5,33600,42,0
2012-05-16,34987.5,38737.5,34987.5,38737.5,55,0
2012-05-17,37350,40437.5,33675,39400,111,0
2012-05-18,39975,44362.5,39875,42475,60,0
2012-05-21,39912.5,40587.5,36725,37900,75,0
2012-05-22,39625,42037.5,39525,40537.5,34,0
2012-05-23,39275,42387.5,38825,41637.5,60,0
2012-05-24,41300,42050,37512.5,38000,40,0
2012-05-25,36237.5,36437.5,32950,34162.5,69,0
2012-05-29,33200,33937.5,28687.5,29525,93,0
2012-05-30,27687.5,28300,26050,27100,69,0
2012-05-31,26062.5,29312.5,25887.5,26525,39,0
2012-06-01,25000,25100,23337.5,23700,81,0
2012-06-04,25550,26912.5,25062.5,26912.5,45,0
2012-06-05,28237.5,28262.5,26525,26862.5,55,0
2012-06-06,27112.5,28250,25912.5,26525,34,0
2012-06-07,25925,26062.5,21500,21862.5,142,0
2012-06-08,22000,22825,21800,22362.5,51,0
2012-06-11,21087.5,21862.5,19475,19687.5,62,0
2012-06-12,20737.5,21487.5,20075,20100,70,0
2012-06-13,19912.5,20737.5,19150,19450,61,0
2012-06-14,19862.5,27912.5,19637.5,27825,189,0
2012-06-15,25950,27087.5,25587.5,26125,84,0
2012-06-18,27587.5,31537.5,27000,31375,183,0
2012-06-19,28775,29862.5,26450,28175,147,0
2012-06-20,29400,29400,26500,27200,105,0
2012-06-21,27437.5,30762.5,27375,29150,146,0
2012-06-22,28950,31637.5,28912.5,30687.5,75,0
2012-06-25,32975,33562.5,31987.5,32025,65,0
2012-06-26,32875,35962.5,32025,35875,62,0
2012-06-27,39912.5,40375,34762.5,34887.5,166,0
2012-06-28,35462.5,36062.5,30575,34062.5,122,0
2012-06-29,33075,36300,32287.5,36112.5,66,0
2012-07-02,33850,37025,33662.5,36387.5,55,0
2012-07-03,36700,37875,36650,37800,47,0
2012-07-05,40075,40875,38662.5,40537.5,54,0
2012-07-06,40587.5,43787.5,32975,34037.5,219,0
2012-07-09,36150,37875,36125,37775,60,0
2012-07-10,35037.5,35500,31900,32275,114,0
2012-07-11,33587.5,35962.5,33062.5,35750,66,0
2012-07-12,34912.5,38400,31250,36912.5,149,0
2012-07-13,35550,38187.5,35550,36937.5,62,0
2012-07-16,36512.5,36750,33412.5,34162.5,129,0
2012-07-17,33750,35287.5,33650,33862.5,54,0
2012-07-18,35900,39887.5,35550,39200,141,0
2012-07-19,39212.5,42425,38200,41700,92,0
2012-07-20,43362.5,45137.5,41287.5,44962.5,76,0
2012-07-23,43212.5,46750,43075,45750,48,0
2012-07-24,47337.5,49625,46250,48200,93,0
