Date,Open,High,Low,Close,Volume,OpenInt
2015-06-11,38.257,38.827,37.282,38.22,741075,0
2015-06-12,38.257,38.446,38.066,38.446,491642,0
2015-06-15,38.446,38.745,38.103,38.182,225265,0
2015-06-16,38.37,39.589,38.204,38.477,284371,0
2015-06-17,38.827,38.881,37.937,38.349,169180,0
2015-06-18,38.446,38.477,38.066,38.477,135685,0
2015-06-19,38.904,38.904,38.356,38.408,133057,0
2015-06-22,38.257,38.683,38.232,38.486,115852,0
2015-06-23,38.22,38.797,38.22,38.683,36852,0
2015-06-24,38.881,38.919,38.066,38.827,87872,0
2015-06-25,39.513,39.926,38.827,38.98,478507,0
2015-06-26,38.827,38.995,38.486,38.827,84719,0
2015-06-29,38.446,38.806,38.22,38.394,43478,0
2015-06-30,38.325,38.698,38.325,38.477,515230,0
2015-07-01,38.721,38.867,38.446,38.607,283057,0
2015-07-02,38.37,38.788,38.37,38.668,10903,0
2015-07-06,38.446,38.463,37.991,37.998,24956,0
2015-07-07,37.807,38.425,37.109,38.166,53984,0
2015-07-08,37.579,38.019,37.571,37.685,40588,0
2015-07-09,38.074,38.401,37.921,38.204,18916,0
2015-07-10,38.706,38.82,38.408,38.607,85509,0
2015-07-13,38.827,38.964,38.446,38.964,46235,0
2015-07-14,38.952,39.154,38.592,38.75,129491,0
2015-07-15,39.009,39.009,38.408,38.408,88870,0
2015-07-16,39.132,39.132,37.579,37.747,22985,0
2015-07-17,38.425,38.425,36.469,37.685,26665,0
2015-07-20,37.305,37.564,37.1,37.305,70008,0
2015-07-21,37.387,37.931,36.772,36.978,20490,0
2015-07-22,36.665,36.97,35.921,36.436,17336,0
2015-07-23,36.644,37.038,36.422,36.69,75395,0
2015-07-24,36.916,37.251,36.544,36.779,97593,0
2015-07-27,37.061,37.061,36.339,36.544,272025,0
2015-07-28,36.672,37.639,36.307,37.639,288970,0
2015-07-29,37.26,37.981,37.26,37.785,154073,0
2015-07-30,37.876,38.446,37.627,38.446,59107,0
2015-07-31,38.074,38.75,37.968,38.166,73293,0
2015-08-03,38.204,38.477,37.959,38.128,150399,0
2015-08-04,38.287,38.515,37.952,38.25,81044,0
2015-08-05,38.37,38.431,36.97,37.183,94047,0
2015-08-06,36.74,37.054,36.324,36.779,45451,0
2015-08-07,36.772,36.81,36.163,36.163,40061,0
2015-08-10,35.95,37.001,35.95,36.475,108496,0
2015-08-11,36.262,36.271,35.746,35.796,108603,0
2015-08-12,35.896,35.903,35.661,35.675,17470,0
2015-08-13,35.783,35.903,35.569,35.614,9325,0
2015-08-14,35.69,35.783,35.295,35.295,10117,0
2015-08-17,35.036,35.738,34.816,35.584,21147,0
