Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,16.056,16.252,16.056,16.207,83713,0
2005-02-28,16.158,16.293,16.046,16.199,111187,0
2005-03-01,16.224,16.252,16.089,16.242,163913,0
2005-03-02,16.252,16.285,16.199,16.242,135035,0
2005-03-03,16.207,16.276,16.125,16.125,75180,0
2005-03-04,16.125,16.224,16.063,16.216,128839,0
2005-03-07,16.151,16.433,16.151,16.207,162860,0
2005-03-08,16.166,16.207,16.056,16.181,174204,0
2005-03-09,16.252,16.346,16.133,16.158,137607,0
2005-03-10,16.158,16.216,15.968,16.166,108147,0
2005-03-11,16.293,16.293,16.108,16.166,240141,0
2005-03-14,16.158,16.285,16.038,16.08,124863,0
2005-03-15,16.046,16.125,16.029,16.098,114805,0
2005-03-16,16.08,16.08,15.61,15.782,173381,0
2005-03-17,15.738,15.994,15.72,15.866,94231,0
2005-03-18,15.883,15.925,15.816,15.866,133750,0
2005-03-21,15.825,15.909,15.774,15.901,76929,0
2005-03-22,15.977,15.994,15.874,15.909,319523,0
2005-03-23,15.825,16.02,15.782,15.807,326542,0
2005-03-24,15.874,15.909,15.628,15.628,153857,0
2005-03-28,15.603,15.686,15.568,15.651,108378,0
2005-03-29,15.651,15.686,15.454,15.568,149764,0
2005-03-30,15.551,15.764,15.524,15.651,143573,0
2005-03-31,15.651,15.857,15.354,15.354,326422,0
2005-04-01,15.414,15.711,15.354,15.387,188231,0
2005-04-04,15.337,15.507,15.062,15.421,206586,0
2005-04-05,15.437,15.568,15.38,15.437,91308,0
2005-04-06,15.482,15.628,15.396,15.405,114805,0
2005-04-07,15.437,15.49,15.337,15.38,415629,0
2005-04-08,15.354,15.559,15.354,15.473,93065,0
2005-04-11,15.49,15.524,15.446,15.482,122993,0
2005-04-12,15.482,15.618,15.482,15.524,117265,0
2005-04-13,15.482,15.482,15.346,15.421,129072,0
2005-04-14,15.396,15.396,15.037,15.182,85812,0
2005-04-15,15.14,15.241,14.881,14.941,489053,0
2005-04-18,14.917,15.148,14.807,14.849,307599,0
2005-04-19,14.873,15.568,14.873,15.568,656239,0
2005-04-20,15.437,15.437,15.054,15.276,1123659,0
2005-04-21,15.25,15.792,15.25,15.782,265978,0
2005-04-22,15.782,15.977,15.72,15.977,2125257,0
2005-04-25,15.916,16.508,15.916,16.38,404170,0
2005-04-26,16.363,16.533,16.329,16.424,862240,0
2005-04-27,15.994,15.994,15.49,15.755,1921008,0
2005-04-28,15.711,15.968,15.695,15.925,297781,0
2005-04-29,15.952,16.424,15.883,16.302,154794,0
2005-05-02,16.338,16.472,16.293,16.472,860016,0
2005-05-03,16.498,16.498,16.181,16.356,355419,0
2005-05-04,16.433,16.449,16.252,16.406,165194,0
2005-05-05,16.397,16.549,16.397,16.498,69447,0
2005-05-06,16.524,16.978,16.508,16.894,445088,0
2005-05-09,17.02,17.065,16.549,16.779,242011,0
2005-05-10,16.731,16.894,16.68,16.894,843183,0
2005-05-11,16.834,16.834,16.498,16.647,778529,0
2005-05-12,16.68,16.868,16.593,16.746,100783,0
