Date,Open,High,Low,Close,Volume,OpenInt
2007-03-22,15.174,17.07,15.174,16.945,3450081,0
2007-03-23,16.945,19.306,16.903,17.141,4212245,0
2007-03-26,17.141,17.492,16.985,17.423,1020053,0
2007-03-27,17.492,17.561,17.115,17.154,558011,0
2007-03-28,17.115,17.115,16.607,16.775,384462,0
2007-03-29,16.775,16.969,16.438,16.607,2134413,0
2007-03-30,16.691,16.816,16.557,16.607,14508742,0
2007-04-02,16.607,16.607,15.865,16.447,11234109,0
2007-04-03,16.421,16.438,15.588,16.075,9362923,0
2007-04-04,16.032,16.152,15.846,15.942,5620436,0
2007-04-05,15.807,16.699,15.765,16.337,5460174,0
2007-04-09,16.497,16.497,15.933,16.066,4271556,0
2007-04-10,15.748,16.389,15.678,16.202,3713900,0
2007-04-11,16.227,16.911,15.977,16.111,3981161,0
2007-04-12,16.066,16.244,15.925,16.185,3162888,0
2007-04-13,16.903,16.903,16.102,16.505,3536201,0
2007-04-16,16.541,16.775,16.541,16.744,1726938,0
2007-04-17,16.396,17.35,16.27,17.213,1859087,0
2007-04-18,17.055,17.468,16.825,17.433,2322908,0
2007-04-19,17.028,18.092,17.01,17.82,2242126,0
2007-04-20,18.015,18.351,17.701,17.773,3168819,0
2007-04-23,17.601,17.788,17.308,17.45,1817091,0
2007-04-24,17.45,17.45,17.281,17.374,2079133,0
2007-04-25,17.374,17.423,17.047,17.078,1221254,0
2007-04-26,16.674,16.977,16.607,16.911,1415431,0
2007-04-27,16.86,17.087,16.699,17.047,871299,0
2007-04-30,17.028,17.028,16.825,16.895,1876403,0
2007-05-01,16.825,16.953,16.744,16.895,1742361,0
2007-05-02,16.834,16.953,16.735,16.878,1732040,0
2007-05-03,16.903,17.23,16.869,17.115,1478656,0
2007-05-04,17.028,17.701,16.969,17.517,1473669,0
2007-05-07,17.5,17.737,17.299,17.71,1758373,0
2007-05-08,17.367,17.973,17.315,17.932,1535359,0
2007-05-09,17.805,18.419,17.773,18.039,2911167,0
2007-05-10,17.871,18.164,17.651,17.805,1516973,0
2007-05-11,17.813,18.084,17.788,18.066,555500,0
2007-05-14,17.98,18.006,17.805,17.964,785831,0
2007-05-15,17.964,18.048,17.569,17.569,2149243,0
2007-05-16,17.45,17.45,17.213,17.281,1893101,0
2007-05-17,16.961,17.476,16.945,17.407,1060148,0
2007-05-18,17.367,17.492,17.115,17.247,1425631,0
2007-05-21,17.23,17.315,17.18,17.281,3581515,0
2007-05-22,17.383,17.383,17.154,17.189,1768100,0
2007-05-23,17.18,17.281,16.895,17.154,1203626,0
2007-05-24,16.869,17.141,16.86,16.878,1666201,0
2007-05-25,16.878,16.985,16.816,16.86,740455,0
2007-05-29,16.481,16.903,16.481,16.86,758010,0
2007-05-30,16.707,16.895,16.649,16.834,1381864,0
2007-05-31,16.852,17.07,16.775,17.061,1131084,0
2007-06-01,17.123,17.213,16.649,16.8,1051130,0
2007-06-04,16.592,16.86,16.574,16.735,1147457,0
2007-06-05,16.649,16.928,16.566,16.8,1004867,0
2007-06-06,16.674,16.699,16.253,16.396,1272606,0
2007-06-07,16.253,16.404,15.942,15.991,1337376,0
2007-06-08,16.009,16.167,15.942,16.137,744486,0
2007-06-11,16.066,16.279,16.017,16.244,2580441,0
2007-06-12,16.152,16.43,16.143,16.297,1179603,0
2007-06-13,16.404,16.514,16.253,16.314,986839,0
2007-06-14,16.27,16.371,16.152,16.253,747100,0
2007-06-15,16.337,16.514,16.314,16.43,868688,0
2007-06-18,16.497,16.497,16.253,16.38,962402,0
2007-06-19,16.244,16.472,16.084,16.093,1687468,0
2007-06-20,16.032,16.137,16.009,16.111,2280201,0
2007-06-21,16.032,16.412,16.017,16.389,1889396,0
2007-06-22,16.38,16.86,16.38,16.775,2166086,0
2007-06-25,16.699,16.961,16.624,16.961,2434296,0
2007-06-26,17.07,17.07,16.655,16.775,1702620,0
2007-06-27,16.699,16.86,16.514,16.691,2041410,0
2007-06-28,16.699,16.716,16.202,16.362,1697045,0
2007-06-29,16.337,16.522,16.102,16.12,1569467,0
2007-07-02,16.209,16.337,16.093,16.306,1006643,0
2007-07-03,16.279,16.735,16.227,16.624,382804,0
2007-07-05,16.699,16.725,16.447,16.522,793598,0
2007-07-06,16.464,16.792,16.464,16.655,583631,0
2007-07-09,16.655,17.247,16.404,17.147,1769998,0
2007-07-10,17.019,17.123,16.655,16.691,1098344,0
2007-07-11,16.615,16.649,16.396,16.505,718983,0
2007-07-12,16.607,16.895,16.607,16.878,1803804,0
2007-07-13,16.92,17.106,16.691,16.767,564180,0
2007-07-16,16.716,17.061,16.691,17.019,672486,0
2007-07-17,16.945,17.281,16.878,16.977,1036660,0
2007-07-18,16.878,17.037,16.735,16.895,1189369,0
2007-07-19,16.607,17.239,16.607,17.087,982331,0
2007-07-20,16.352,17.096,16.352,16.903,622781,0
2007-07-23,16.953,17.061,16.86,16.869,377579,0
2007-07-24,16.691,16.699,16.209,16.279,1992893,0
2007-07-25,16.43,16.438,15.874,16.137,1285417,0
2007-07-26,15.174,15.959,15.174,15.687,2684210,0
2007-07-27,15.655,15.739,15.15,15.15,1093369,0
2007-07-30,15.174,15.266,14.994,15.064,1587788,0
2007-07-31,15.073,15.232,14.761,14.829,2200605,0
2007-08-01,14.103,15.276,13.626,14.381,2630499,0
2007-08-02,14.33,14.608,14.33,14.484,2633111,0
2007-08-03,14.543,14.581,14.103,14.372,2215910,0
2007-08-06,14.432,14.913,14.432,14.811,2698236,0
2007-08-07,14.693,14.964,14.669,14.794,1793713,0
2007-08-08,14.062,15.459,14.062,15.326,1301314,0
2007-08-09,13.852,15.983,13.336,15.166,1880672,0
2007-08-10,13.723,15.572,13.665,15.451,1894909,0
2007-08-13,15.428,15.774,14.913,14.994,1121004,0
2007-08-14,14.964,15.493,14.753,15.266,847574,0
2007-08-15,15.266,15.266,14.744,14.845,1161930,0
2007-08-16,14.543,15.012,14.078,14.71,3113304,0
2007-08-17,15.021,15.021,14.314,14.753,598937,0
2007-08-20,14.753,14.811,14.381,14.608,625744,0
2007-08-21,14.617,15.174,14.248,15.04,831087,0
2007-08-22,15.046,15.214,14.214,14.264,2730504,0
2007-08-23,13.658,13.826,12.872,13.732,2648413,0
2007-08-24,13.633,15.158,13.617,15.091,1894435,0
2007-08-27,14.979,15.091,14.861,14.989,721904,0
2007-08-28,14.837,15.012,14.785,14.837,1009616,0
2007-08-29,14.939,15.064,14.845,15.064,967858,0
2007-08-30,15.021,15.377,14.979,15.284,972483,0
2007-08-31,15.386,15.511,15.266,15.317,730372,0
2007-09-04,15.214,15.629,15.141,15.606,1193125,0
2007-09-05,15.469,15.469,14.55,14.678,1191466,0
2007-09-06,14.693,14.693,14.264,14.44,710205,0
2007-09-07,14.24,14.24,13.928,14.086,904987,0
2007-09-10,14.103,14.769,14.103,14.719,968926,0
2007-09-11,14.728,14.837,14.459,14.525,1412818,0
2007-09-12,14.449,15.198,14.364,15.081,580074,0
2007-09-13,15.117,15.88,14.93,15.713,716970,0
2007-09-14,15.517,15.991,15.386,15.722,731439,0
2007-09-17,15.517,15.572,15.03,15.24,774975,0
2007-09-18,15.317,15.907,15.117,15.88,932867,0
2007-09-19,15.933,16.129,15.782,15.977,587902,0
2007-09-20,15.925,16.236,15.799,16.143,515073,0
2007-09-21,16.297,16.389,16.032,16.12,1021595,0
2007-09-24,16.075,16.075,15.24,15.477,779128,0
2007-09-25,15.342,15.704,15.276,15.629,1006175,0
2007-09-26,15.678,16.227,15.597,15.916,475566,0
2007-09-27,15.889,16.12,15.846,16.017,989686,0
2007-09-28,15.916,16.057,15.739,15.977,688617,0
2007-10-01,15.916,16.262,15.765,16.017,644249,0
2007-10-02,16.084,16.102,15.874,15.951,523017,0
2007-10-03,15.807,16.306,15.807,16.289,402495,0
2007-10-04,16.38,16.624,16.306,16.583,348998,0
2007-10-05,16.583,16.735,16.253,16.412,555996,0
2007-10-08,16.447,16.735,16.262,16.38,322305,0
2007-10-09,16.389,16.541,16.185,16.488,405578,0
2007-10-10,16.328,16.522,16.297,16.497,517083,0
2007-10-11,16.472,16.783,16.167,16.43,789449,0
2007-10-12,16.421,16.642,16.412,16.505,382327,0
2007-10-15,16.541,16.808,16.464,16.683,435119,0
2007-10-16,16.541,16.649,16.253,16.253,261572,0
