Date,Open,High,Low,Close,Volume,OpenInt
2018-02-01,17,17.99,16.38,16.4,10391806,0
2018-02-02,16.27,16.92,16.26,16.6,1527057,0
2018-02-05,16.6,16.88,16.425,16.49,1071825,0
2018-02-06,16.5,16.7,16.41,16.5,822726,0
2018-02-07,16.49,16.64,16.32,16.49,473428,0
2018-02-08,16.49,16.52,15,15.82,778100,0
2018-02-09,15.82,16.09,15.16,16,448818,0
2018-02-12,16,16.19,15.98,16.15,93851,0
2018-02-13,16.15,16.23,15.911,16.2,237083,0
2018-02-14,16.19,16.66,16.14,16.45,310781,0
2018-02-15,16.4,16.5018,16.29,16.4,519496,0
2018-02-16,16.4,16.7,16.4,16.55,491521,0
2018-02-20,16.6,16.6,16.27,16.38,225406,0
2018-02-21,16.38,16.5,15.99,16.2,149914,0
2018-02-22,16.19,16.208,15.7,15.81,206363,0
2018-02-23,15.79,15.94,15.35,15.55,123678,0
2018-02-26,15.58,15.89,15.53,15.82,124405,0
2018-02-27,16.01,16.4,15.44,15.56,290846,0
2018-02-28,15.62,16.16,15.62,15.91,285238,0
2018-03-01,15.91,15.91,15.34,15.34,125282,0
2018-03-02,15.63,15.63,15.12,15.3,38625,0
2018-03-05,15.31,15.31,14.96,14.96,83341,0
2018-03-06,15.15,15.2,14.6201,14.67,712478,0
2018-03-07,14.51,14.6562,14.05,14.18,301663,0
2018-03-08,14.14,14.14,13.48,13.81,298965,0
2018-03-09,13.77,14.57,13.7,14.42,1748824,0
2018-03-12,14.37,15.11,14.36,14.71,309287,0
2018-03-13,14.75,15,14.4577,14.85,98167,0
2018-03-14,14.76,14.8,14.1,14.25,306451,0
2018-03-15,14.14,14.36,13.69,14.2,340644,0
2018-03-16,14.09,14.49,14,14.14,151512,0
2018-03-19,14.15,14.38,13.65,13.77,154681,0
2018-03-20,13.77,13.84,13.65,13.78,213936,0
2018-03-21,13.72,13.91,13,13.02,713965,0
2018-03-22,13.03,13.12,12.45,12.84,307967,0
2018-03-23,12.76,13,12.64,12.7,363254,0
2018-03-26,12.73,12.8,12.44,12.51,838111,0
2018-03-27,12.6,12.6,12.32,12.38,74295,0
2018-03-28,12.37,12.37,11.89,11.94,114533,0
2018-03-29,12,12.45,11.87,12.34,374533,0
