Date,Open,High,Low,Close,Volume,OpenInt
2017-06-28,9.616,9.655,9.616,9.616,891453,0
2017-06-29,9.616,9.635,9.616,9.616,160389,0
2017-06-30,9.635,9.645,9.626,9.635,42595,0
2017-07-03,9.635,9.645,9.616,9.626,29261,0
2017-07-05,9.645,9.655,9.616,9.635,99875,0
2017-07-06,9.635,9.655,9.626,9.655,47624,0
2017-07-07,9.645,9.665,9.626,9.65,74886,0
2017-07-10,9.655,9.704,9.635,9.665,57430,0
2017-07-11,9.685,9.704,9.675,9.695,43077,0
2017-07-12,9.713,9.733,9.685,9.733,66384,0
2017-07-13,9.753,9.753,9.733,9.753,28622,0
2017-07-14,9.762,10.098,9.759,9.887,141964,0
2017-07-17,9.812,9.846,9.808,9.839,11409,0
2017-07-18,9.857,9.857,9.808,9.828,9932,0
2017-07-19,9.787,9.808,9.743,9.762,21629,0
2017-07-20,9.781,9.954,9.753,9.857,18283,0
2017-07-21,10,10.079,9.906,9.954,34399,0
2017-07-24,10.049,10.049,9.901,9.906,6940,0
2017-07-25,9.789,9.808,9.645,9.762,105861,0
2017-07-26,9.782,9.782,9.713,9.723,39878,0
2017-07-27,9.762,9.789,9.713,9.713,21215,0
2017-07-28,9.762,9.762,9.665,9.762,23790,0
2017-07-31,9.762,9.762,9.714,9.762,12239,0
2017-08-01,9.736,9.774,9.713,9.753,13600,0
2017-08-02,9.753,9.753,9.704,9.733,52321,0
2017-08-03,9.753,9.753,9.709,9.709,13284,0
2017-08-04,9.743,9.753,9.712,9.753,8439,0
2017-08-07,9.743,9.857,9.743,9.828,28981,0
2017-08-08,9.772,9.808,9.733,9.798,21799,0
2017-08-09,9.798,9.798,9.789,9.789,8318,0
2017-08-10,9.775,9.808,9.772,9.781,19132,0
2017-08-11,9.772,9.828,9.762,9.781,25250,0
2017-08-14,9.781,9.803,9.626,9.665,48448,0
2017-08-15,9.677,9.677,9.521,9.531,89427,0
2017-08-16,9.578,9.578,9.3663,9.541,107276,0
2017-08-17,9.483,9.569,9.3958,9.3958,69273,0
2017-08-18,9.4691,9.557,9.382,9.449,90169,0
2017-08-21,9.4989,9.528,9.4691,9.528,8976,0
2017-08-22,9.528,9.642,9.509,9.518,74227,0
2017-08-23,9.449,9.565,9.3722,9.4691,61520,0
2017-08-24,9.505,9.505,9.4591,9.4691,7628,0
2017-08-25,9.4691,9.4989,9.4691,9.479,17289,0
2017-08-28,9.509,9.557,9.479,9.557,43988,0
2017-08-29,9.528,9.603,9.518,9.585,25914,0
2017-08-30,9.593,9.603,9.518,9.518,22178,0
2017-08-31,9.4989,9.566,9.4989,9.566,24243,0
2017-09-01,9.603,9.613,9.563,9.603,31328,0
2017-09-05,9.566,9.613,9.533,9.613,17191,0
2017-09-06,9.593,9.682,9.566,9.682,48267,0
2017-09-07,9.659,9.682,9.613,9.682,20667,0
2017-09-08,9.619,9.727,9.609,9.717,20858,0
2017-09-11,9.727,9.747,9.666,9.747,47362,0
2017-09-12,9.692,9.756,9.692,9.737,36556,0
2017-09-13,9.747,9.756,9.707,9.727,35879,0
2017-09-14,9.707,9.744,9.698,9.73,20615,0
2017-09-15,9.747,9.747,9.658,9.707,38786,0
2017-09-18,9.707,9.737,9.491,9.658,16058,0
2017-09-19,9.658,9.668,9.562,9.609,17203,0
2017-09-20,9.658,9.658,9.609,9.609,6706,0
2017-09-21,9.62,9.62,9.4252,9.4542,41371,0
2017-09-22,9.523,9.562,9.523,9.543,10044,0
2017-09-25,9.543,9.59,9.4352,9.523,46482,0
2017-09-26,9.562,9.571,9.51,9.571,31309,0
2017-09-27,9.581,9.59,9.513,9.533,46049,0
2017-09-28,9.533,9.629,9.533,9.629,18919,0
2017-09-29,9.587,9.668,9.571,9.658,31240,0
2017-10-02,9.668,9.688,9.649,9.688,21603,0
2017-10-03,9.638,9.645,9.6,9.638,23689,0
2017-10-04,9.629,9.629,9.599,9.609,12399,0
2017-10-05,9.609,9.609,9.581,9.599,21796,0
2017-10-06,9.599,9.599,9.577,9.599,17466,0
2017-10-09,9.609,9.648,9.609,9.638,5255,0
2017-10-10,9.605,9.756,9.605,9.668,49193,0
2017-10-11,9.713,9.713,9.675,9.694,13451,0
2017-10-12,9.695,9.743,9.695,9.723,4485,0
2017-10-13,9.694,9.704,9.654,9.684,4282,0
2017-10-16,9.674,9.674,9.538,9.557,26661,0
2017-10-17,9.625,9.625,9.585,9.605,14101,0
2017-10-18,9.644,9.654,9.605,9.654,11965,0
2017-10-19,9.654,9.694,9.654,9.684,10363,0
2017-10-20,9.704,9.704,9.509,9.557,45611,0
2017-10-23,9.567,9.595,9.538,9.548,32450,0
2017-10-24,9.509,9.557,9.4203,9.449,69625,0
2017-10-25,9.4611,9.488,9.3722,9.4203,23262,0
2017-10-26,9.4391,9.4591,9.4104,9.4104,45493,0
2017-10-27,9.446,9.446,9.0499,9.1474,86063,0
2017-10-30,9.1582,9.2254,8.9328,8.9426,101455,0
2017-10-31,9.0499,9.2351,8.9621,9.1766,121376,0
2017-11-01,9.2351,9.2644,9.2049,9.2644,20167,0
2017-11-02,9.2546,9.3025,9.2235,9.2937,21400,0
2017-11-03,9.3131,9.3523,9.2996,9.3523,13024,0
2017-11-06,9.3523,9.4104,9.3464,9.382,34840,0
2017-11-07,9.383,9.388,9.2644,9.3229,42877,0
2017-11-08,9.3131,9.3131,9.0206,9.2245,109090,0
2017-11-09,9.2351,9.2546,9.0986,9.1376,45156,0
2017-11-10,9.1729,9.1729,9.0748,9.114,76684,0
2017-11-13,9.1139,9.114,9.0652,9.0748,64554,0
2017-11-14,9.114,9.114,9.026,9.0776,65321,0
2017-11-15,9.124,9.2014,8.7809,8.8985,219096,0
2017-11-16,8.9084,9.0456,8.8985,9.016,87308,0
2017-11-17,8.9768,9.0346,8.9768,9.016,52885,0
2017-11-20,9.0066,9.0356,8.8692,8.918,88597,0
2017-11-21,8.8985,8.9964,8.8692,8.9781,94026,0
2017-11-22,8.9084,8.9476,8.8888,8.8985,39888,0
2017-11-24,8.8985,8.9572,8.8692,8.918,27754,0
2017-11-27,8.928,8.9376,8.8201,8.8789,136793,0
2017-11-28,8.918,8.9768,8.8593,8.8692,181840,0
2017-11-29,8.8593,8.874,8.7515,8.7515,189942,0
2017-11-30,8.7964,8.7964,8.6731,8.7188,376018,0
2017-12-01,8.7515,8.7711,8.7025,8.7515,186949,0
2017-12-04,8.7613,8.8397,8.7613,8.7613,195200,0
2017-12-05,8.6829,8.8201,8.6731,8.7613,211860,0
2017-12-06,8.7515,8.8005,8.6241,8.7122,160001,0
2017-12-07,8.7613,8.7809,8.6241,8.7372,215413,0
2017-12-08,8.6787,8.8363,8.6787,8.8068,115405,0
2017-12-11,8.7378,8.9054,8.7378,8.8757,259388,0
2017-12-12,8.8856,9.0205,8.8757,9.0038,223800,0
2017-12-13,9.0199,9.1122,8.9447,9.1122,231390,0
2017-12-14,9.1614,9.1614,8.9348,8.9841,204090,0
2017-12-15,8.925,9.0432,8.8856,9.0136,339518,0
2017-12-18,8.9939,9.0136,8.8659,8.9742,452936,0
