Date,Open,High,Low,Close,Volume,OpenInt
1970-01-02,0.8341,0.8417,0.8266,0.8417,27791,0
1970-01-05,0.8417,0.8567,0.8417,0.8567,15708,0
1970-01-06,0.8493,0.8493,0.8341,0.8417,17320,0
1970-01-07,0.8341,0.8341,0.8045,0.8266,12085,0
1970-01-08,0.8266,0.8266,0.8193,0.8266,20541,0
1970-01-09,0.8266,0.8266,0.8193,0.8193,8054,0
1970-01-12,0.8341,0.8417,0.8341,0.8417,14903,0
1970-01-13,0.8417,0.8417,0.8341,0.8341,20541,0
1970-01-14,0.8341,0.8341,0.8266,0.8266,27791,0
1970-01-15,0.8266,0.8341,0.8119,0.8119,12484,0
1970-01-16,0.8119,0.8266,0.8119,0.8266,28595,0
1970-01-19,0.8266,0.8266,0.8119,0.8119,22554,0
1970-01-20,0.8119,0.8266,0.8119,0.8119,10070,0
1970-01-21,0.8119,0.8119,0.8045,0.8119,20136,0
1970-01-22,0.8119,0.8119,0.8045,0.8045,12887,0
1970-01-23,0.8045,0.8119,0.7896,0.7971,37054,0
1970-01-26,0.7971,0.7971,0.7896,0.7896,11278,0
1970-01-27,0.7896,0.7896,0.7823,0.7896,3621,0
1970-01-28,0.7896,0.7896,0.7823,0.7823,25777,0
1970-01-29,0.7896,0.7971,0.7896,0.7896,16512,0
1970-01-30,0.7896,0.8045,0.7896,0.7896,23356,0
1970-02-02,0.7896,0.7896,0.7746,0.7896,14098,0
1970-02-03,0.7896,0.8045,0.7896,0.7971,15708,0
1970-02-04,0.7971,0.8119,0.7971,0.8045,33024,0
1970-02-05,0.8045,0.8045,0.7746,0.7896,33428,0
1970-02-06,0.7896,0.7896,0.7823,0.7823,38663,0
1970-02-09,0.7823,0.8119,0.7823,0.7896,18930,0
1970-02-10,0.7896,0.7896,0.7823,0.7823,23356,0
1970-02-11,0.7823,0.7896,0.7746,0.7896,24971,0
1970-02-12,0.7896,0.7896,0.7823,0.7823,4430,0
1970-02-13,0.7896,0.7971,0.7896,0.7896,10468,0
1970-02-16,0.7896,0.8119,0.7823,0.8119,100686,0
1970-02-17,0.8119,0.8193,0.8119,0.8193,13292,0
1970-02-18,0.8193,0.8341,0.8119,0.8341,111965,0
1970-02-19,0.8341,0.8341,0.8193,0.8341,49136,0
1970-02-20,0.8341,0.8493,0.8341,0.8493,15306,0
1970-02-24,0.8493,0.8865,0.8417,0.8567,42692,0
1970-02-25,0.8642,0.894,0.8642,0.8789,62425,0
1970-02-26,0.8789,0.894,0.8642,0.8865,71287,0
1970-02-27,0.8865,0.894,0.8865,0.894,74913,0
1970-03-02,0.894,0.9162,0.894,0.9012,41886,0
1970-03-03,0.9012,0.9312,0.8865,0.9312,45106,0
1970-03-04,0.9312,0.9312,0.9012,0.9012,28595,0
1970-03-05,0.9012,0.9012,0.8865,0.894,24971,0
1970-03-06,0.9085,0.9162,0.9085,0.9162,14098,0
1970-03-09,0.9162,0.9236,0.9085,0.9162,11278,0
1970-03-10,0.9162,0.9236,0.9085,0.9162,21749,0
1970-03-11,0.9162,0.9162,0.9085,0.9162,26181,0
1970-03-12,0.9162,0.9236,0.9162,0.9162,21347,0
1970-03-13,0.9162,0.9162,0.9012,0.9162,22957,0
1970-03-16,0.9162,0.9162,0.8865,0.894,17320,0
