Date,Open,High,Low,Close,Volume,OpenInt
2007-06-26,11.463,11.463,11.463,11.463,0,0
2007-06-27,11.468,11.498,11.463,11.468,80080,0
2007-06-28,11.463,11.517,11.463,11.48,42564,0
2007-06-29,11.513,11.517,11.463,11.517,20415,0
2007-07-02,11.48,11.517,11.463,11.463,26349,0
2007-07-03,11.502,11.502,11.463,11.463,5409,0
2007-07-05,11.463,11.498,11.463,11.463,17798,0
2007-07-06,11.463,11.492,11.463,11.463,40645,0
2007-07-09,11.468,11.582,11.463,11.502,20588,0
2007-07-10,11.468,11.502,11.463,11.486,24426,0
2007-07-11,11.486,11.492,11.463,11.463,37515,0
2007-07-12,11.468,11.492,11.463,11.492,22851,0
2007-07-13,11.486,11.492,11.463,11.463,18497,0
2007-07-16,11.463,11.468,11.463,11.463,34191,0
2007-07-17,11.463,11.468,11.463,11.468,21980,0
2007-07-18,11.468,11.468,11.463,11.463,19368,0
2007-07-19,11.468,11.468,11.463,11.463,7326,0
2007-07-20,11.492,11.492,11.463,11.463,16746,0
2007-07-23,11.468,11.468,11.463,11.463,57919,0
2007-07-24,11.463,11.468,11.463,11.463,16746,0
2007-07-25,11.463,11.468,11.463,11.463,52164,0
2007-07-26,11.463,11.463,11.463,11.463,59668,0
2007-07-27,11.463,11.468,11.463,11.463,40816,0
2007-07-30,11.463,11.468,11.463,11.463,87226,0
2007-07-31,11.463,11.468,11.463,11.468,39948,0
2007-08-01,11.463,11.468,11.176,11.176,53379,0
2007-08-02,11.176,11.183,11.098,11.098,141136,0
2007-08-03,11.06,11.093,11.038,11.038,15003,0
2007-08-06,11.038,11.038,10.776,10.776,65597,0
2007-08-07,10.76,11.002,10.76,11.002,46581,0
2007-08-08,10.946,11.176,10.946,11.128,38034,0
2007-08-09,11.148,11.517,11.148,11.224,77982,0
2007-08-10,11.176,11.318,11.121,11.121,62801,0
2007-08-13,11.121,11.139,11.06,11.085,34711,0
2007-08-14,11.085,11.978,11.085,11.458,99447,0
2007-08-15,11.463,11.473,10.75,10.782,52517,0
2007-08-16,10.727,10.727,9.3232,9.4865,114800,0
2007-08-17,9.659,9.743,8.9534,9.4191,126314,0
2007-08-20,9.571,9.879,9.3047,9.879,77288,0
2007-08-21,9.737,9.879,9.551,9.791,57919,0
2007-08-22,9.791,10.148,9.647,10.091,55484,0
2007-08-23,10.091,10.187,9.784,10.148,39948,0
2007-08-24,10.204,10.243,9.973,10.243,15878,0
2007-08-27,10.155,10.259,9.811,10.14,50074,0
2007-08-28,10.081,10.14,9.743,10.062,47626,0
2007-08-29,10.114,10.243,9.774,10.197,62105,0
2007-08-30,9.968,9.991,9.774,9.811,38200,0
2007-08-31,9.923,10.782,9.923,10.193,33852,0
2007-09-04,10.259,10.404,10.034,10.204,46230,0
2007-09-05,10.259,10.279,10.034,10.225,18837,0
2007-09-06,10.176,10.365,10.119,10.243,27740,0
2007-09-07,10.034,10.318,9.886,10.091,27740,0
2007-09-10,10.155,10.453,10.114,10.295,29830,0
2007-09-11,10.355,10.458,10.247,10.295,8374,0
2007-09-12,10.103,10.103,9.665,9.804,46581,0
2007-09-13,9.743,10.027,9.665,9.968,54081,0
2007-09-14,9.76,9.911,9.76,9.778,22333,0
2007-09-17,9.853,9.879,9.676,9.743,48676,0
2007-09-18,9.743,10.065,9.579,10.062,42918,0
2007-09-19,10.197,10.318,9.838,9.886,52517,0
2007-09-20,9.886,9.968,9.609,9.647,51989,0
2007-09-21,9.774,9.853,9.671,9.76,34371,0
2007-09-24,9.527,9.797,9.4637,9.633,79380,0
2007-09-25,9.555,9.784,9.4865,9.628,85486,0
2007-09-26,9.628,9.709,9.4369,9.586,87226,0
2007-09-27,9.503,9.709,9.503,9.633,81123,0
2007-09-28,9.628,9.743,9.591,9.597,52690,0
2007-10-01,9.579,9.774,9.551,9.743,84611,0
2007-10-02,9.804,9.911,9.705,9.82,58102,0
2007-10-03,9.857,9.94,9.716,9.716,91940,0
2007-10-04,9.743,9.743,9.579,9.586,56875,0
2007-10-05,9.628,9.886,9.628,9.857,69437,0
2007-10-08,9.832,9.911,9.693,9.861,105196,0
2007-10-09,9.923,9.997,9.857,9.952,56525,0
2007-10-10,9.784,9.917,9.784,9.911,75370,0
2007-10-11,9.853,9.973,9.774,9.797,58274,0
2007-10-12,9.804,9.844,9.681,9.722,63503,0
