Date,Open,High,Low,Close,Volume,OpenInt
2018-02-12,10.1,12,9.25,10.25,91880,0
2018-02-13,10.4,11,10.0611,10.48,312867,0
2018-02-14,10.45,10.7099,9.56,10,89684,0
2018-02-15,9.75,9.75,8.6501,9.05,30220,0
2018-02-16,9.15,10.7,9.015,10.23,85512,0
2018-02-20,10.57,10.62,10.57,10.57,41815,0
2018-02-21,10.65,10.65,9.8901,10,21026,0
2018-02-22,9.9,10.2,9.9,10,62730,0
2018-02-23,10.35,10.5,10.04,10.27,22219,0
2018-02-26,10.34,10.4,9.96,10.16,22676,0
2018-02-27,9.96,10.29,9.96,10.01,18961,0
2018-02-28,10.01,10.2,9.95,10.19,16177,0
2018-03-01,10.19,10.19,10,10.04,5894,0
2018-03-02,10.06,10.25,9.5,10.25,19002,0
2018-03-05,10.07,10.21,9.6801,10.18,12572,0
2018-03-06,10.1402,10.1402,10.03,10.08,2618,0
2018-03-07,10.07,10.25,10.0305,10.25,7614,0
2018-03-08,10.2,10.45,10.14,10.44,13135,0
2018-03-09,10.4,10.68,10.03,10.68,23386,0
2018-03-12,10.63,11,10.21,11,27240,0
2018-03-13,11,11.25,10.88,10.88,16420,0
2018-03-14,10.96,10.96,10.61,10.8,9272,0
2018-03-15,11,11.25,10.8,10.8367,8498,0
2018-03-16,10.75,10.75,10.17,10.43,9871,0
2018-03-19,10.4295,10.4295,9.8,9.98,5833,0
2018-03-20,10,10,9.8906,9.93,3498,0
2018-03-21,9.89,9.95,9.86,9.95,1397,0
2018-03-22,9.85,9.85,9.68,9.71,6764,0
2018-03-23,9.6,9.71,9.6,9.71,4344,0
2018-03-26,9.72,9.8,9.71,9.8,2270,0
2018-03-27,9.8,9.8,9.52,9.5201,4730,0
2018-03-28,9.5,9.5084,9.25,9.34,12689,0
2018-03-29,9.341,9.4,8.94,8.99,9175,0
