Date,Open,High,Low,Close,Volume,OpenInt
2017-09-29,25.05,25.1,24.86,25.09,71561,0
2017-10-02,25.08,25.13,25,25.01,79607,0
2017-10-03,25,25,24.92,24.96,47449,0
2017-10-04,25,25.03,24.961,24.99,34716,0
2017-10-05,24.96,25,24.95,24.97,28564,0
2017-10-06,24.97,24.99,24.838,24.89,53284,0
2017-10-09,24.91,25,24.91,24.99,6760,0
2017-10-10,24.9899,25.01,24.9464,25,25609,0
2017-10-11,24.97,25.05,24.96,25,19286,0
2017-10-12,25.03,25.05,24.97,25.05,16735,0
2017-10-13,25.08,25.08,25,25.05,10036,0
2017-10-16,25.05,25.09,25.02,25.0211,21667,0
2017-10-17,25.04,25.08,25,25.03,21163,0
2017-10-18,25,25.15,25,25.1,78086,0
2017-10-19,25.23,25.23,25.05,25.08,39822,0
2017-10-20,25.0457,25.12,25.0161,25.07,25617,0
2017-10-23,25.099,25.1,25,25.05,10959,0
2017-10-24,25.12,25.12,24.87,24.99,13794,0
2017-10-25,25,25,24.52,24.82,28086,0
2017-10-26,24.89,24.91,24.8,24.8,56763,0
2017-10-27,24.89,25,24.82,24.86,20706,0
2017-10-30,24.78,24.96,24.78,24.95,38304,0
2017-10-31,24.8999,25,24.85,24.93,15105,0
2017-11-01,25,25.3,24.9562,25.05,44659,0
2017-11-02,25.03,25.16,24.99,25.05,39189,0
2017-11-03,25.1,25.1,24.9,24.94,6918,0
2017-11-06,25.1,25.1,24.949,24.9999,3311,0
2017-11-07,25,25.07,24.9454,24.9454,4900,0
2017-11-08,24.92,25,24.92,25,3955,0
2017-11-09,24.951,25,24.75,24.8,15667,0
2017-11-10,24.9727,24.9727,24.784,24.784,2360,0
2017-11-13,24.851,24.9178,24.85,24.86,13569,0
2017-11-14,24.95,24.95,24.64,24.68,4864,0
2017-11-15,24.6,24.9107,24.4601,24.4601,14235,0
2017-11-16,24.54,24.918,24.54,24.62,18797,0
2017-11-17,24.59,24.8152,24.5,24.6724,21155,0
2017-11-20,24.667,24.9899,24.4653,24.74,37316,0
2017-11-21,24.76,24.94,24.7,24.86,17030,0
2017-11-22,24.95,24.99,24.89,24.95,6912,0
2017-11-24,24.9648,25,24.9648,24.9911,2240,0
2017-11-27,25,25.05,24.9875,25,12520,0
2017-11-28,25.05,25.05,24.99,25,10458,0
2017-11-29,25,25.04,24.95,24.95,2300,0
2017-11-30,24.95,25.03,24.86,24.9999,5037,0
2017-12-01,25.0164,25.0164,24.99,25,990,0
2017-12-04,25.03,25.03,24.9256,25,18679,0
2017-12-05,24.9447,25.25,24.9447,25,23601,0
2017-12-06,25.3,25.3,24.9792,25,14325,0
2017-12-07,25,25.3,25,25.01,15824,0
2017-12-08,25.248,25.248,25.15,25.1886,1909,0
2017-12-11,25.16,25.16,25,25.15,7100,0
2017-12-12,25.15,25.29,25.1,25.1,8079,0
2017-12-13,25.15,25.15,25.0875,25.15,8160,0
2017-12-14,25.0963,25.3,25.0584,25.19,5277,0
2017-12-15,25,25.0901,24.971,25.07,15750,0
2017-12-18,24.985,25.03,24.97,25,5317,0
2017-12-19,24.9501,25.05,24.9501,25,6831,0
2017-12-20,25,25.1754,24.95,25.05,5500,0
2017-12-21,25,25.05,24.8,24.9589,7184,0
2017-12-22,24.8,24.9999,24.62,24.99,14830,0
2017-12-26,25,25.047,24.734,24.7899,24511,0
2017-12-27,24.79,25.1506,24.66,24.89,23330,0
2017-12-28,24.99,25.25,24.958,25.16,9873,0
2017-12-29,24.9,25.1299,24.9,25.1,3950,0
2018-01-02,25.1117,25.25,25.05,25.09,21390,0
2018-01-03,25.1654,25.25,24.9,24.9,12370,0
2018-01-04,25.09,25.09,25.089,25.089,480,0
2018-01-05,24.91,25.1,24.9,25.1,11014,0
2018-01-08,25,25.1,24.89,24.89,7574,0
2018-01-09,24.9,25.0887,24.9,25.0887,2750,0
2018-01-10,25,25.025,24.45,24.56,88053,0
2018-01-11,24.62,24.6794,24.15,24.6,145439,0
2018-01-12,24.521,24.5999,24.43,24.57,39353,0
2018-01-16,24.55,24.8182,24.55,24.68,88213,0
2018-01-17,24.7145,24.7999,24.6,24.6,9993,0
2018-01-18,24.6,24.68,24.401,24.42,14481,0
2018-01-19,24.38,24.55,24.36,24.55,12496,0
2018-01-22,24.545,24.59,24.43,24.5,9695,0
2018-01-23,24.5448,24.59,24.5,24.59,10800,0
2018-01-24,24.575,24.6,24.45,24.5735,40256,0
2018-01-25,24.6,24.6,24.2816,24.35,16747,0
2018-01-26,24.23,24.5199,24.23,24.4,23833,0
2018-01-29,24.43,24.43,24.12,24.35,76695,0
2018-01-30,23.65,24.2813,23.61,24,5200,0
2018-01-31,24.2924,24.432,23.9,24.35,7184,0
2018-02-01,24.34,24.34,23.9592,23.9592,2715,0
2018-02-02,24.19,24.19,23.62,23.7,4903,0
2018-02-05,23.8,23.8,23.28,23.65,6004,0
2018-02-06,23.26,23.7851,23.25,23.41,12385,0
2018-02-07,23.73,23.73,23.6046,23.63,925,0
2018-02-08,23.64,23.64,23.25,23.25,4455,0
2018-02-09,23.367,23.367,22.97,23.2,20637,0
2018-02-12,23.2,23.36,23.1224,23.22,9566,0
2018-02-13,23.36,23.39,23.21,23.3372,3455,0
2018-02-14,23.21,23.4,23.197,23.3975,4841,0
2018-02-15,23.12,23.44,23.05,23.38,8285,0
2018-02-16,23.26,23.5867,23.26,23.575,2760,0
2018-02-20,23.5,23.5,23.49,23.49,800,0
2018-02-21,23.48,23.5999,23.25,23.4,14433,0
2018-02-22,23.55,23.59,23.5,23.5332,1025,0
2018-02-26,23.4,23.6,23.4,23.4,9452,0
2018-02-27,23.42,23.55,23.4,23.55,7277,0
2018-02-28,23.599,23.7299,23.532,23.6472,28343,0
2018-03-01,23.72,23.9234,23.72,23.7775,11224,0
2018-03-02,23.8912,23.99,23.1663,23.88,51802,0
2018-03-05,23.7996,23.9899,23.709,23.8515,4597,0
2018-03-06,23.9514,24.1094,23.896,24,15020,0
2018-03-07,24.26,24.26,24.0633,24.13,3344,0
2018-03-09,24.1053,24.1309,24.1053,24.1309,1100,0
2018-03-12,23.81,24.12,23.71,24.12,6500,0
2018-03-13,24.025,24.05,23.917,24.05,9565,0
2018-03-14,24.35,24.35,23.911,23.975,6049,0
2018-03-16,24.0909,24.25,23.97,24.25,2400,0
2018-03-19,23.8107,24.0629,23.631,24.011,5011,0
2018-03-20,23.9999,24,23.879,24,3854,0
2018-03-21,24.161,24.161,23.883,24,4400,0
2018-03-22,24.1114,24.1599,24.1,24.1,3360,0
2018-03-23,24.1124,24.15,23.981,24.01,1100,0
2018-03-26,24.19,24.19,23.8,23.9943,2900,0
2018-03-27,23.9999,23.9999,23.9999,23.9999,1070,0
2018-03-28,23.82,23.975,23.63,23.7,15697,0
2018-03-29,24.1427,24.1427,23.96,23.98,2341,0
