Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,505.13,506.81,498.52,500.73,43204,0
2005-02-28,498.52,504.04,489.71,494.68,38303,0
2005-03-01,497.97,499.64,488.08,493.28,53191,0
2005-03-02,493.56,498.81,492.2,497.35,25416,0
2005-03-03,497.35,502.39,493,494.12,22328,0
2005-03-04,496.74,499.35,494.39,495.21,26503,0
2005-03-07,495.21,496.34,489.15,492.75,44835,0
2005-03-08,491.37,493,484.78,486.4,60997,0
2005-03-09,484.76,488.61,484.22,484.82,35581,0
2005-03-10,483.65,498.23,483.65,495.78,25596,0
2005-03-11,495.78,502.39,490.81,494.68,40120,0
2005-03-14,494.82,496.87,493.56,495.49,26687,0
2005-03-15,496.05,496.34,487.25,490.26,29773,0
2005-03-16,489.71,491.09,486.96,487.24,17244,0
2005-03-17,487.79,487.79,484.8,485.29,30496,0
2005-03-18,485.3,495.78,481.44,494.39,247613,0
2005-03-21,492.49,500.18,492.06,498.23,42662,0
2005-03-22,496.87,502.12,496.83,499.52,39033,0
2005-03-23,499.52,505.13,496.93,496.93,29412,0
2005-03-24,496.4,501.87,492.49,497.97,35581,0
2005-03-28,499.35,499.35,488.96,488.96,24690,0
2005-03-29,487.51,494.68,484.76,487.24,25779,0
2005-03-30,485.86,487.8,482.55,487.8,19429,0
2005-03-31,490.4,495.72,489.71,492.49,20695,0
2005-04-01,492.49,493.83,482,490.94,51193,0
2005-04-04,489.71,493,488.61,489.22,10531,0
2005-04-05,490.54,499.64,488.08,490.82,38669,0
2005-04-06,490.83,492.99,488.62,491.22,12709,0
2005-04-07,490.66,499.08,488.88,495.76,18701,0
2005-04-08,494.39,496.87,485.28,495.78,23236,0
2005-04-11,496.19,497.97,492.49,495.49,11614,0
2005-04-12,494.82,496.87,492.49,492.49,27233,0
2005-04-13,490.81,490.81,485.58,487.79,11982,0
2005-04-14,489.43,494.12,485.86,486.68,15069,0
2005-04-15,486.68,488.08,482.99,484.76,16520,0
2005-04-18,484.22,484.76,478.68,481.44,29227,0
2005-04-19,483.1,490.66,480.63,483.1,42843,0
2005-04-20,484.76,484.76,471.02,472.81,42483,0
2005-04-21,475.39,476.51,465.48,471.94,58637,0
2005-04-22,471.55,472.64,458.43,464.91,52466,0
2005-04-25,467.38,468.79,462.71,466.04,40120,0
2005-04-26,464.64,474.28,462.71,466.86,28141,0
2005-04-27,467.13,476.5,467.13,473.81,13982,0
2005-04-28,473.26,474.83,468.24,472.74,27412,0
2005-04-29,471.55,476.09,470.99,476.09,14886,0
2005-05-02,478.15,479.8,467.13,471.02,20695,0
2005-05-03,471.02,479.24,468.65,476.46,33948,0
2005-05-04,476.5,482.55,473.76,477.6,40483,0
2005-05-05,477.03,477.03,469.88,473.87,28499,0
2005-05-06,472.07,475.39,462.73,468.23,18877,0
2005-05-09,466.03,468.23,458.84,462.57,39755,0
2005-05-10,463.81,463.81,453.9,455.4,88047,0
2005-05-11,456.11,456.66,446.18,450.03,110011,0
2005-05-12,450.03,453.9,446.74,449.64,70075,0
2005-05-13,448.41,450.6,443.44,448.41,49560,0
2005-05-16,446.74,450.6,446.17,450.43,23598,0
2005-05-17,450.43,452.81,445.64,452.59,36671,0
2005-05-18,455,458.32,452.25,455.27,33584,0
2005-05-19,454.19,459.95,454.19,459.18,22152,0
2005-05-20,460.8,462.46,457.22,459.79,25779,0
2005-05-23,462.46,467.13,458.85,460.37,24328,0
2005-05-24,458.19,463.81,458.19,461.9,35218,0
2005-05-25,460.52,461.61,451.7,457.08,19604,0
2005-05-26,457.17,461.06,452.54,454.3,7443,0
2005-05-27,455,462.16,454.19,460.52,7443,0
2005-05-31,461.61,464.36,457.22,457.22,27233,0
2005-06-01,458.32,465.48,458.05,458.85,18156,0
2005-06-02,457.77,457.93,454.45,456.39,15792,0
2005-06-03,455.55,461.61,455.55,456.11,15248,0
2005-06-06,456.11,459.4,453.4,454.95,16340,0
2005-06-07,456.88,462.71,455.14,460.52,26321,0
2005-06-08,462.46,462.46,457.5,458.14,19429,0
2005-06-09,457.22,459.4,455,457.77,22692,0
