Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,5.6078,5.6399,5.5812,5.6399,33418,0
2005-02-28,5.6078,5.624,5.4471,5.4524,88682,0
2005-03-01,5.426,5.5597,5.4203,5.4899,41634,0
2005-03-02,5.5168,5.6188,5.4846,5.5704,59181,0
2005-03-03,5.5865,5.5865,5.4846,5.5489,38836,0
2005-03-04,5.5384,5.5865,5.4793,5.5273,54330,0
2005-03-07,5.5328,5.5328,5.4416,5.5168,66840,0
2005-03-08,5.5168,5.5384,5.4632,5.4632,57691,0
2005-03-09,5.5063,5.5063,5.3453,5.367,55637,0
2005-03-10,5.3936,5.4043,5.1741,5.2435,80657,0
2005-03-11,5.2598,5.3185,5.2542,5.2706,38269,0
2005-03-14,5.3613,5.3723,5.2755,5.3723,43504,0
2005-03-15,5.3453,5.3936,5.3238,5.3453,28009,0
2005-03-16,5.3613,5.3613,5.1848,5.2383,46678,0
2005-03-17,5.2706,5.3027,5.2435,5.2706,20536,0
2005-03-18,5.2706,5.2706,5.1365,5.1848,70570,0
2005-03-21,5.2007,5.2167,5.0614,5.1473,83269,0
2005-03-22,5.158,5.2007,5.158,5.1955,22781,0
2005-03-23,5.1955,5.1955,5.0134,5.099,98767,0
2005-03-24,5.1309,5.1473,5.0562,5.0723,80657,0
2005-03-28,5.0614,5.1257,5.0456,5.0456,57879,0
2005-03-29,5.0614,5.099,5.0456,5.0614,38646,0
2005-03-30,5.0509,5.099,5.0509,5.0884,32489,0
2005-03-31,5.0614,5.0614,5.0456,5.0562,30799,0
2005-04-01,5.0614,5.1098,5.0456,5.0723,46488,0
2005-04-04,5.0614,5.0614,4.9222,5.0134,97084,0
2005-04-05,4.9758,5.0562,4.9758,5.0079,44058,0
2005-04-06,5.0241,5.1151,5.0241,5.1044,31549,0
2005-04-07,5.1257,5.158,5.1151,5.158,32489,0
2005-04-08,5.1685,5.2221,5.1309,5.1473,47607,0
2005-04-11,5.1365,5.249,5.1365,5.233,33235,0
2005-04-12,5.233,5.2706,5.1098,5.2706,44058,0
