Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,15.121,16.151,14.964,16.091,607532,0
2005-02-28,15.974,16.23,15.695,16.161,377444,0
2005-03-01,16.151,16.23,15.793,16.062,342764,0
2005-03-02,16.082,16.25,15.947,16.141,473963,0
2005-03-03,16.131,16.707,16.131,16.519,1114221,0
2005-03-04,16.548,16.765,16.394,16.667,524077,0
2005-03-07,16.677,16.937,16.667,16.889,308808,0
2005-03-08,16.869,17.2,16.811,17.095,1275571,0
2005-03-09,17.085,17.085,16.86,16.966,611956,0
2005-03-10,16.937,16.947,16.697,16.765,356863,0
2005-03-11,16.765,16.996,16.509,16.529,362624,0
2005-03-14,16.529,16.765,16.414,16.519,276293,0
2005-03-15,16.519,16.697,16.47,16.519,261989,0
2005-03-16,16.519,16.638,16.375,16.578,273719,0
2005-03-17,16.548,16.648,16.327,16.451,126774,0
2005-03-18,16.479,16.529,16.181,16.327,205393,0
2005-03-21,16.47,16.648,16.033,16.337,168863,0
2005-03-22,16.367,16.756,16.309,16.327,253035,0
2005-03-23,16.337,16.337,15.566,15.744,372711,0
2005-03-24,15.724,16.26,15.655,16.111,216608,0
2005-03-28,16.033,16.033,15.308,15.596,363141,0
2005-03-29,15.498,15.548,14.479,14.744,541984,0
2005-03-30,14.644,15.376,14.585,15.317,441449,0
2005-03-31,15.259,15.451,15.042,15.071,380943,0
2005-04-01,15.071,15.404,14.684,14.918,247582,0
2005-04-04,14.861,15.111,14.354,14.585,460999,0
2005-04-05,14.585,14.644,13.849,14.081,708067,0
2005-04-06,14.149,14.694,14.149,14.605,361802,0
2005-04-07,14.605,15.199,14.605,15.081,382794,0
2005-04-08,15.111,15.209,14.782,14.782,277219,0
2005-04-11,14.822,14.861,14.507,14.724,570694,0
2005-04-12,14.674,14.89,14.394,14.754,466143,0
2005-04-13,14.704,14.714,14.346,14.346,291315,0
2005-04-14,14.326,14.384,13.889,14.1,299856,0
2005-04-15,14.1,14.207,13.898,14.139,335049,0
2005-04-18,13.993,14.1,13.799,13.869,349251,0
2005-04-19,13.849,14.451,13.849,14.384,308294,0
2005-04-20,14.384,15.229,14.384,14.954,644062,0
2005-04-21,15.051,15.366,14.983,15.308,533547,0
2005-04-22,15.209,15.451,15.061,15.317,356041,0
2005-04-25,15.161,15.488,15.121,15.249,312614,0
2005-04-26,15.317,16.111,15.268,16.033,1074090,0
2005-04-27,16.033,16.519,15.938,16.337,820334,0
2005-04-28,16.357,16.568,15.983,16.309,559375,0
2005-04-29,16.27,16.347,15.695,15.938,705083,0
2005-05-02,16.042,16.3,16.013,16.131,323729,0
2005-05-03,16.131,16.394,15.983,16.082,344822,0
2005-05-04,16.033,16.327,15.793,16.201,233279,0
2005-05-05,16.191,16.618,16.033,16.489,296254,0
2005-05-06,16.529,16.628,16.375,16.618,312614,0
2005-05-09,16.519,16.831,16.404,16.47,446287,0
2005-05-10,16.082,16.161,15.891,16.033,370448,0
2005-05-11,15.91,16.423,15.871,16.337,246040,0
2005-05-12,16.29,16.367,15.983,16.141,204262,0
2005-05-13,16.082,16.141,16.033,16.082,159599,0
2005-05-16,16.052,16.151,15.919,16.131,327021,0
2005-05-17,16.131,16.657,16.131,16.618,611237,0
2005-05-18,16.519,16.548,16.327,16.375,237188,0
2005-05-19,16.318,16.375,16.131,16.161,148692,0
2005-05-20,16.181,16.414,16.131,16.375,415724,0
2005-05-23,16.327,16.519,16.161,16.29,227415,0
2005-05-24,16.347,16.47,16.111,16.47,165468,0
2005-05-25,16.327,16.404,15.947,16.3,185015,0
2005-05-26,16.28,16.347,16.201,16.28,144679,0
2005-05-27,16.22,16.519,16.181,16.385,151574,0
2005-05-31,16.327,16.327,15.793,15.881,388557,0
2005-06-01,15.843,16.441,15.843,16.337,144165,0
2005-06-02,16.26,16.29,15.852,15.938,169789,0
2005-06-03,15.938,15.966,15.744,15.793,204775,0
2005-06-06,15.843,15.983,15.764,15.823,175037,0
2005-06-07,15.744,16.121,15.744,16.101,298725,0
2005-06-08,16.033,16.033,15.744,15.881,212492,0
2005-06-09,15.744,15.974,15.538,15.774,327432,0
2005-06-10,15.724,16.23,15.704,16.171,248611,0
2005-06-13,16.171,16.423,15.793,16.309,289256,0
2005-06-14,16.309,17.386,16.181,17.297,341221,0
2005-06-15,17.046,17.114,16.667,17.114,338135,0
2005-06-16,17.144,18.025,17.144,17.843,425498,0
2005-06-17,17.764,17.978,17.572,17.843,723298,0
2005-06-20,17.598,17.608,16.775,17.22,447212,0
2005-06-21,17.173,17.173,16.765,16.937,309735,0
2005-06-22,16.996,17.173,16.677,16.909,269811,0
2005-06-23,16.909,16.909,16.013,16.013,251905,0
2005-06-24,15.983,16.717,15.891,16.441,1299545,0
2005-06-27,16.451,16.451,15.833,16.141,268985,0
2005-06-28,16.121,16.578,16.033,16.385,259724,0
2005-06-29,16.394,16.519,16.27,16.375,185637,0
2005-06-30,16.375,16.919,16.23,16.441,254375,0
2005-07-01,16.367,16.367,16.033,16.141,162378,0
2005-07-05,16.24,16.519,16.121,16.509,175757,0
2005-07-06,16.46,16.509,16.101,16.25,150441,0
2005-07-07,16.131,16.423,16.042,16.28,442891,0
2005-07-08,16.24,16.432,16.151,16.423,161039,0
2005-07-11,16.441,17.249,16.432,17.22,289359,0
2005-07-12,16.928,16.928,15.813,16.667,692427,0
2005-07-13,16.578,17.173,16.538,16.851,177812,0
2005-07-14,16.793,16.986,15.843,16.023,299137,0
