Date,Open,High,Low,Close,Volume,OpenInt
2017-11-10,25.01,25.01,25.0009,25.0011,3000,0
2017-11-13,24.92,24.93,24.8995,24.9095,2648,0
2017-11-14,24.89,24.92,24.87,24.89,1016673,0
2017-11-15,24.88,24.88,24.84,24.84,801,0
2017-11-16,25.13,25.13,25.09,25.1099,1832,0
2017-11-17,25.07,25.17,25.0656,25.1438,2836,0
2017-11-20,25.23,25.2829,25.23,25.2829,2766,0
2017-11-21,25.3689,25.42,25.3522,25.42,2123,0
2017-11-22,25.545,25.545,25.46,25.46,1647,0
2017-11-24,25.46,25.47,25.403,25.43,2396,0
2017-11-27,25.42,25.42,25.38,25.38,1826,0
2017-11-28,25.5,25.66,25.48,25.65,1950,0
2017-11-29,25.9212,25.93,25.88,25.88,1821,0
2017-11-30,26.25,26.25,25.9902,25.9902,600,0
2017-12-01,25.96,25.96,25.72,25.819,1128,0
2017-12-04,26.22,26.22,26.13,26.13,2909,0
2017-12-05,25.83,25.89,25.74,25.74,2860,0
2017-12-06,25.67,25.67,25.6,25.6,400,0
2017-12-07,25.7928,25.8,25.72,25.74,2076,0
2017-12-08,25.69,25.75,25.69,25.71,2240,0
2017-12-11,25.8086,25.8086,25.73,25.73,911,0
2017-12-13,25.8647,25.8647,25.8647,25.8647,575,0
2017-12-14,25.67,25.67,25.48,25.48,835,0
2017-12-15,25.93,25.93,25.9,25.9,783,0
2017-12-18,26.13,26.13,26.09,26.09,1350,0
2017-12-19,26.09,26.09,25.945,25.945,2181,0
2017-12-20,26.09,26.09,26.09,26.09,127,0
2017-12-21,26.16,26.16,26.1421,26.1421,500,0
2017-12-22,26.07,26.1,26.0699,26.1,1365,0
2017-12-26,26.09,26.09,26.09,26.09,575,0
2017-12-28,26.14,26.19,26.14,26.19,1386,0
2017-12-29,26.26,26.26,26.1099,26.1099,2650,0
2018-01-03,26.29,26.29,26.29,26.29,180,0
2018-01-04,26.4,26.4,26.35,26.35,402,0
2018-01-05,26.3961,26.42,26.35,26.384,2650,0
2018-01-08,26.78,26.78,26.4399,26.52,9280,0
2018-01-09,26.475,26.59,26.45,26.5132,9715,0
2018-01-10,26.4,26.47,26.345,26.39,10289,0
2018-01-11,26.83,26.83,26.575,26.7364,9127,0
2018-01-12,26.81,26.8926,26.7942,26.86,1497,0
2018-01-16,28.27,28.27,26.65,26.67,6140,0
2018-01-17,26.76,26.88,26.76,26.84,3194,0
2018-01-18,26.82,26.82,26.7,26.75,3226,0
2018-01-19,26.84,26.93,26.7,26.911,20743,0
2018-01-22,28.24,28.24,26.975,27.15,4273,0
2018-01-23,27.45,27.45,27.1285,27.2001,10872,0
2018-01-24,27.32,27.32,26.99,27.13,2308,0
2018-01-25,27.0579,27.0962,27.05,27.05,1390,0
2018-01-29,27.12,27.12,27.09,27.09,1327,0
2018-01-30,26.99,26.99,26.8,26.86,1079,0
2018-01-31,26.819,26.82,26.7608,26.808,3685,0
2018-02-01,26.6106,26.66,26.6106,26.66,1351,0
2018-02-02,26.61,26.7,26.295,26.3145,5040,0
2018-02-05,25.64,26.025,25.47,25.673,2814,0
2018-02-06,24.87,25.6,24.61,25.58,6487,0
2018-02-07,25.57,25.6,25.43,25.6,3468,0
2018-02-08,25.67,25.7,25.045,25.045,2343,0
2018-02-09,25,25.02,24.27,24.2701,53168,0
2018-02-12,25.2,25.21,25.2,25.21,6185,0
2018-02-13,25.1,25.1,25.07,25.07,14887,0
2018-02-14,25.308,25.308,25.308,25.308,1088,0
2018-02-15,25.74,25.8,25.65,25.8,1162,0
2018-02-16,26.02,26.02,25.9758,25.9784,2695,0
2018-02-20,25.83,25.89,25.7792,25.7792,2392,0
2018-02-21,25.68,26.05,25.68,25.86,1801,0
2018-02-22,25.71,25.71,25.71,25.71,128,0
2018-02-23,25.8295,25.8295,25.8295,25.8295,217,0
2018-02-26,25.9999,26.11,25.9999,26.11,3291,0
2018-02-27,25.9255,25.9447,25.82,25.82,1636,0
2018-02-28,25.83,25.839,25.55,25.55,1533,0
2018-03-01,25.55,25.55,25.2297,25.305,3759,0
2018-03-02,25.16,25.5,25.1165,25.5,2696,0
2018-03-05,25.7698,25.84,25.7698,25.786,6658,0
2018-03-06,25.93,26.08,25.91,26.06,1241,0
2018-03-07,26.31,26.31,26.13,26.22,3433,0
2018-03-08,26.09,26.1948,26.09,26.12,6075,0
2018-03-09,26.495,26.5598,26.495,26.5598,2162,0
2018-03-13,26.6498,26.6498,26.5,26.5,738,0
2018-03-14,26.47,26.47,26.28,26.3112,130017,0
2018-03-15,26.285,26.285,26.15,26.15,3643,0
2018-03-16,26.4,26.41,26.36,26.36,3227,0
2018-03-19,25.9502,26.055,25.9502,26.043,846,0
2018-03-20,26.135,26.135,26.135,26.135,359,0
2018-03-21,26.16,26.2592,26.16,26.2592,870,0
2018-03-22,26.0002,26.1,25.6414,25.66,31008,0
2018-03-23,26.04,26.04,25.14,25.14,6737,0
2018-03-27,25.7,25.7,25.14,25.14,3532,0
2018-03-28,25.37,25.39,25.2,25.3,4794,0
2018-03-29,25.56,25.69,25.4667,25.585,7261,0
