Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,26.027,26.083,25.479,25.849,17774,0
2005-02-28,25.863,26.206,25.809,26.062,17687,0
2005-03-01,26.193,26.315,26.11,26.315,16314,0
2005-03-02,26.178,26.178,25.781,25.918,13015,0
2005-03-03,26.007,26.027,25.849,25.931,8039,0
2005-03-04,26.041,26.116,25.979,26.11,12521,0
2005-03-07,26.144,26.255,25.979,26.206,12506,0
2005-03-08,26.116,26.123,25.89,25.979,10505,0
2005-03-09,26.206,26.247,26.123,26.193,8682,0
2005-03-10,26.11,26.116,25.753,25.89,9572,0
2005-03-11,26.116,26.343,26.083,26.097,11804,0
2005-03-14,26.206,26.453,26.151,26.453,20357,0
2005-03-15,25.946,25.946,25.144,25.151,30133,0
2005-03-16,25.205,25.281,24.788,24.843,18255,0
2005-03-17,24.883,24.979,24.74,24.855,33007,0
2005-03-18,24.883,25.014,24.801,24.848,10127,0
2005-03-21,24.815,24.931,24.788,24.897,7909,0
2005-03-22,24.843,24.897,24.595,24.595,10579,0
2005-03-23,24.472,24.472,24.109,24.109,16226,0
2005-03-24,24.156,24.185,24.034,24.054,5063,0
2005-03-28,24.28,24.459,24.245,24.301,7136,0
2005-03-29,23.856,23.856,23.334,23.362,30645,0
2005-03-30,23.505,23.636,23.397,23.561,25639,0
2005-03-31,24.02,24.135,23.924,24.06,13104,0
2005-04-01,24.609,24.843,24.575,24.623,8565,0
2005-04-04,24.472,24.815,24.417,24.788,5588,0
2005-04-05,24.74,25.02,24.74,24.931,9032,0
2005-04-06,25.068,25.432,25.033,25.281,13074,0
2005-04-07,25.377,25.479,25.322,25.479,10579,0
2005-04-08,25.397,25.403,25.144,25.288,39400,0
2005-04-11,25.096,25.13,24.658,24.678,10579,0
2005-04-12,24.472,24.658,24.274,24.616,10011,0
2005-04-13,24.747,24.966,24.684,24.829,11995,0
2005-04-14,24.465,24.465,23.43,23.746,19437,0
2005-04-15,23.334,23.485,23.197,23.39,21290,0
2005-04-18,22.656,23.102,22.649,22.991,30964,0
2005-04-19,23.006,23.362,22.951,23.238,7807,0
2005-04-20,23.334,23.505,23.265,23.265,11601,0
2005-04-21,23.334,23.698,23.334,23.512,13235,0
2005-04-22,23.512,23.608,23.253,23.423,35108,0
2005-04-25,24.02,24.088,23.835,23.971,16226,0
2005-04-26,24.109,24.109,23.65,23.65,7485,0
2005-04-27,23.561,23.568,23.197,23.362,3457,0
2005-04-28,23.197,23.197,22.875,22.875,9806,0
2005-04-29,22.718,22.964,22.718,22.841,22457,0
2005-05-02,22.896,23.06,22.841,22.964,15468,0
2005-05-03,22.875,22.903,22.786,22.828,10229,0
2005-05-04,23.06,23.67,23.04,23.65,16344,0
2005-05-05,23.835,23.835,23.443,23.581,4655,0
2005-05-06,23.705,23.883,23.67,23.828,8319,0
2005-05-09,23.752,23.772,23.512,23.732,4713,0
2005-05-10,23.505,23.588,23.416,23.423,8302,0
2005-05-11,23.286,23.286,23.012,23.279,4071,0
2005-05-12,23.259,23.334,23.012,23.012,5079,0
2005-05-13,23.149,23.348,23.074,23.155,6334,0
2005-05-16,23.286,23.65,23.232,23.643,6552,0
2005-05-17,23.698,23.787,23.443,23.505,4115,0
2005-05-18,23.512,24.034,23.512,23.924,6639,0
2005-05-19,24.109,24.198,24.06,24.198,7209,0
2005-05-20,24.383,24.438,24.027,24.224,2436,0
2005-05-23,24.109,24.294,24.054,24.109,4071,0
2005-05-24,24.109,24.198,23.945,23.999,5954,0
2005-05-25,23.971,23.971,23.746,23.835,2539,0
2005-05-26,23.835,23.937,23.746,23.897,6070,0
2005-05-27,24.198,24.383,24.135,24.274,12315,0
2005-05-31,24.383,24.438,24.156,24.39,7807,0
2005-06-01,24.376,24.459,24.301,24.376,3896,0
2005-06-02,24.376,24.609,24.245,24.547,4495,0
2005-06-03,24.472,24.637,24.403,24.417,5459,0
2005-06-06,24.438,24.609,24.438,24.609,5544,0
2005-06-07,24.521,24.581,24.431,24.541,4668,0
2005-06-08,24.383,24.658,24.328,24.417,6303,0
2005-06-09,24.568,24.63,24.472,24.568,4961,0
2005-06-10,24.665,24.788,24.602,24.788,12578,0
2005-06-13,24.65,24.794,24.595,24.773,5035,0
2005-06-14,24.568,24.609,24.486,24.602,4508,0
2005-06-15,24.815,25.295,24.794,25.295,14812,0
2005-06-16,25.157,25.198,24.931,24.938,10084,0
2005-06-17,24.951,25.177,24.951,25.177,5413,0
2005-06-20,25.089,25.144,24.732,24.91,6143,0
2005-06-21,24.931,24.979,24.747,24.931,6289,0
2005-06-22,25.116,25.281,25.116,25.225,10156,0
2005-06-23,25.342,25.473,25.205,25.205,7720,0
2005-06-24,25.02,25.075,24.883,24.91,4948,0
2005-06-27,24.684,24.759,24.609,24.658,6143,0
2005-06-28,24.658,24.848,24.658,24.848,4524,0
2005-06-29,24.855,25.116,24.855,24.979,7033,0
2005-06-30,25.103,25.116,24.979,24.979,5107,0
2005-07-01,25.02,25.205,24.979,25.089,3559,0
2005-07-05,25.02,25.116,24.979,25.068,6889,0
2005-07-06,25.116,25.157,25.02,25.089,4626,0
2005-07-07,24.91,25.116,24.74,25.116,8157,0
2005-07-08,25.342,25.527,25.254,25.432,24939,0
2005-07-11,25.89,26.198,25.842,26.144,13848,0
2005-07-12,26.206,26.391,26.116,26.301,10565,0
2005-07-13,26.219,26.419,26.178,26.391,9339,0
2005-07-14,26.48,26.809,26.48,26.809,16431,0
2005-07-15,26.501,26.583,26.384,26.528,11017,0
2005-07-18,26.48,26.767,26.48,26.747,11441,0
2005-07-19,26.754,26.849,26.713,26.829,20691,0
2005-07-20,26.583,26.939,26.576,26.931,21669,0
2005-07-21,26.931,27.404,26.849,27.056,19117,0
2005-07-22,27.028,27.042,26.747,26.802,12491,0
2005-07-25,26.939,27.096,26.87,26.959,18372,0
2005-07-26,26.988,27.103,26.754,27.077,12228,0
2005-07-27,27.103,27.234,26.946,27.11,16387,0
2005-07-28,27.131,27.597,27.124,27.412,20093,0
2005-07-29,27.378,27.618,27.344,27.425,12097,0
2005-08-01,27.425,27.59,27.398,27.563,12302,0
2005-08-02,27.782,27.81,27.618,27.625,15759,0
2005-08-03,27.625,27.701,27.536,27.576,14388,0
2005-08-04,27.81,27.85,27.124,27.214,15497,0
2005-08-05,27.124,27.124,26.48,26.754,256633,0
2005-08-08,26.747,27.193,26.713,26.849,14972,0
2005-08-09,27.124,27.487,27.124,27.453,18459,0
2005-08-10,27.487,28.015,27.433,27.597,173530,0
2005-08-11,27.85,28.502,27.782,28.502,19130,0
2005-08-12,28.632,28.797,28.535,28.701,19218,0
2005-08-15,28.083,28.748,27.96,28.693,21421,0
2005-08-16,28.357,28.357,27.844,27.947,20984,0
2005-08-17,27.761,27.926,26.994,27.152,43951,0
2005-08-18,27.028,27.077,26.301,26.315,55377,0
2005-08-19,26.301,26.555,26.255,26.391,60981,0
2005-08-22,27.028,27.618,26.959,27.268,16212,0
2005-08-23,27.453,27.453,27.028,27.028,7107,0
2005-08-24,26.939,26.939,26.412,26.562,12856,0
2005-08-25,26.576,26.885,26.576,26.878,6449,0
2005-08-26,26.857,26.912,26.255,26.336,12608,0
2005-08-29,26.123,26.123,25.479,25.952,25565,0
2005-08-30,25.979,26.007,25.644,25.644,20516,0
