Date,Open,High,Low,Close,Volume,OpenInt
2016-11-11,29.186,29.469,28.255,29.274,6119463,0
2016-11-14,28.736,29.802,28.157,29.568,4576240,0
2016-11-15,29.029,30.067,29.01,29.802,3744448,0
2016-11-16,30.137,31.379,29.978,31.047,4433710,0
2016-11-17,30.752,32.384,30.002,31.839,5362684,0
2016-11-18,31.479,32.419,31.134,32.006,4342806,0
2016-11-21,31.594,31.829,30.645,31.086,5142590,0
2016-11-22,30.871,32.465,29.802,32.026,5719740,0
2016-11-23,32.026,32.78,31.829,32.34,3696614,0
2016-11-25,32.084,32.104,31.604,31.918,845233,0
2016-11-28,31.604,32.81,31.509,32.066,1969126,0
2016-11-29,32.369,32.671,32.046,32.505,2184512,0
2016-11-30,32.575,33.593,32.32,32.79,2823117,0
2016-12-01,32.359,32.575,31.521,31.839,2976295,0
2016-12-02,31.499,32.525,31.349,32.31,1238654,0
2016-12-05,32.193,33.064,32.075,32.956,2046932,0
2016-12-06,32.76,33.161,32.525,33.122,1658949,0
2016-12-07,33.367,34.259,33.3,34.033,3889614,0
2016-12-08,34.191,35.258,33.897,35.189,2657775,0
2016-12-09,35.082,35.758,34.867,35.63,2035025,0
2016-12-12,35.63,36.448,35.561,35.973,1284826,0
2016-12-13,36.208,36.326,34.935,35.826,1852668,0
2016-12-14,35.865,36.237,34.249,34.426,3968078,0
2016-12-15,34.337,34.455,33.445,33.671,1587806,0
2016-12-16,33.632,34.739,33.574,34.533,3863615,0
2016-12-19,34.582,35.102,33.564,33.77,2025011,0
2016-12-20,33.515,34.386,33.495,34.229,964889,0
2016-12-21,33.927,34.493,33.75,34.297,718750,0
2016-12-22,34.277,35.865,34.082,35.58,1468757,0
2016-12-23,35.659,36.306,35.228,36.092,906986,0
2016-12-27,35.894,36.717,35.855,36.57,839543,0
2016-12-28,36.482,36.884,36.247,36.462,545466,0
2016-12-29,36.6,37.177,36.377,36.992,672377,0
2016-12-30,36.962,37.725,36.898,37.069,789506,0
2017-01-03,36.932,37.804,36.59,36.717,2049208,0
2017-01-04,36.894,37.619,35.674,36.218,1748718,0
2017-01-05,36.218,36.932,35.728,35.865,1122735,0
2017-01-06,35.669,36.198,35.317,36.072,1396784,0
2017-01-09,36.052,36.326,35.355,36.128,1361830,0
2017-01-10,37.99,38.158,35.444,36.082,3790732,0
2017-01-11,35.943,36.433,35.278,36.128,2230353,0
2017-01-12,35.933,36.247,35.375,36.198,1261199,0
2017-01-13,36.128,36.531,35.797,36.452,1031427,0
2017-01-17,36.374,36.452,35.993,36.128,1947325,0
2017-01-18,35.993,36.119,35.659,35.884,1239757,0
2017-01-19,36.032,36.237,35.58,36.198,909148,0
2017-01-20,36.188,36.785,36.012,36.345,1365185,0
2017-01-23,36.218,36.649,35.715,36.012,2078124,0
2017-01-24,35.904,36.894,35.835,36.717,1224878,0
2017-01-25,36.678,37.021,35.689,35.914,1208212,0
2017-01-26,35.823,36.296,35.685,35.765,1031339,0
2017-01-27,35.832,35.971,35.252,35.871,1105618,0
2017-01-30,35.636,36.355,35.636,36.207,927345,0
2017-01-31,36.108,36.965,36.108,36.778,1651021,0
2017-02-01,36.995,37.378,36.581,37.181,2247188,0
2017-02-02,37.113,38.206,37.024,37.821,2535842,0
2017-02-03,37.891,38.855,37.861,38.293,1518867,0
2017-02-06,38.52,38.737,38.118,38.628,1115129,0
2017-02-07,38.638,39.18,38.373,38.796,1383807,0
2017-02-08,38.668,39.072,37.978,38.55,1600145,0
2017-02-09,38.452,38.903,38.087,38.471,1156913,0
2017-02-10,38.392,38.953,37.998,38.658,882662,0
2017-02-13,38.628,39.091,38.226,38.816,1146117,0
2017-02-14,38.717,39.121,38.638,39.033,1115664,0
2017-02-15,38.885,39.13,38.589,39.013,1409683,0
2017-02-16,38.953,39.535,38.943,39.279,1051221,0
2017-02-17,39.15,39.327,38.687,39.003,1511509,0
2017-02-21,38.943,39.505,38.687,39.003,1315912,0
2017-02-22,38.796,39.376,38.796,39.229,813437,0
2017-02-23,39.327,39.327,38.658,38.885,573145,0
2017-02-24,38.885,39.043,38.709,38.963,380894,0
2017-02-27,39.081,39.081,38.471,38.865,613043,0
2017-02-28,38.826,39.17,38.58,38.58,664250,0
2017-03-01,38.491,39.416,38.461,39.327,746035,0
2017-03-02,39.081,39.762,38.94,39.592,831853,0
2017-03-03,39.456,39.836,38.913,39.771,1273995,0
2017-03-06,39.742,39.978,39.436,39.791,1812641,0
2017-03-07,39.632,40.411,39.421,40.106,1710671,0
2017-03-08,40.016,40.44,39.791,40.086,1957015,0
2017-03-09,40.154,40.459,39.908,40.342,1558183,0
2017-03-10,40.382,40.951,40.227,40.754,1568580,0
2017-03-13,40.744,40.961,40.667,40.884,1405784,0
2017-03-14,40.854,41.592,40.68,41.553,1008320,0
2017-03-15,41.779,42.793,41.621,41.7,2346416,0
2017-03-16,41.621,41.837,41.1,41.337,1082118,0
2017-03-17,41.287,41.73,41.02,41.592,1634432,0
2017-03-20,41.651,41.966,41.435,41.818,1719954,0
2017-03-21,41.927,42.454,41.877,42.203,1666705,0
2017-03-22,42.349,42.803,41.769,41.779,1413747,0
2017-03-23,41.739,42.605,41.563,42.339,1153549,0
2017-03-24,42.329,42.561,42.005,42.005,1359494,0
2017-03-27,41.867,42.349,41.563,42.289,825602,0
2017-03-28,42.193,42.527,41.996,42.252,916221,0
2017-03-29,42.213,42.28,41.857,41.976,715183,0
2017-03-30,42.034,42.034,41.404,41.434,651150,0
2017-03-31,41.414,41.488,41.158,41.404,1019700,0
