Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.348,10.348,9.821,10.047,342753,0
2005-02-28,9.875,10.411,9.776,9.966,206734,0
2005-03-01,10.081,10.222,9.811,10.001,333316,0
2005-03-02,9.975,10.358,9.975,10.169,139670,0
2005-03-03,10.392,11.114,10.392,11.024,155454,0
2005-03-04,11.132,11.274,10.633,10.651,96727,0
2005-03-07,10.819,11.078,10.74,10.836,73637,0
2005-03-08,10.784,11.132,10.535,10.605,157957,0
2005-03-09,10.508,10.828,10.454,10.526,109077,0
2005-03-10,10.471,10.595,10.222,10.295,140119,0
2005-03-11,10.348,10.819,10.348,10.678,102973,0
2005-03-14,10.48,10.926,10.48,10.703,131311,0
2005-03-15,10.863,10.936,10.517,10.526,82397,0
2005-03-16,10.489,10.819,10.196,10.339,186147,0
2005-03-17,10.348,10.561,10.231,10.489,127717,0
2005-03-18,10.428,10.767,10.24,10.767,371290,0
2005-03-21,10.678,11.015,10.57,10.899,117408,0
2005-03-22,10.712,11.398,10.712,11.132,181648,0
2005-03-23,11.229,11.283,10.953,11.069,140886,0
2005-03-24,11.201,11.229,10.962,10.962,106265,0
2005-03-28,10.936,11.265,10.936,11.105,182614,0
2005-03-29,11.024,11.159,10.595,10.67,133333,0
2005-03-30,10.749,10.971,10.623,10.908,114502,0
2005-03-31,10.996,10.996,10.595,10.784,205298,0
2005-04-01,10.712,10.996,10.605,10.678,167932,0
2005-04-04,10.863,10.882,10.48,10.661,110931,0
2005-04-05,10.67,10.882,10.544,10.722,136089,0
2005-04-06,10.882,10.882,10.508,10.544,192345,0
2005-04-07,10.651,10.793,10.526,10.793,86021,0
2005-04-08,10.809,10.809,10.552,10.67,145057,0
2005-04-11,10.579,10.67,10.33,10.358,129278,0
2005-04-12,10.259,10.731,10.249,10.686,175898,0
2005-04-13,10.749,10.759,10.24,10.276,154044,0
2005-04-14,10.339,10.419,10.081,10.15,167593,0
2005-04-15,10.15,10.213,9.733,9.966,154846,0
2005-04-18,9.785,10.09,9.785,9.984,130831,0
2005-04-19,9.884,10.142,9.767,10.047,99555,0
2005-04-20,9.957,10.09,9.776,9.795,175762,0
2005-04-21,9.795,10.24,9.795,10.081,93597,0
2005-04-22,10.01,10.064,9.742,9.866,187228,0
2005-04-25,9.921,10.16,9.847,10.16,117151,0
2005-04-26,10.186,10.24,9.795,9.948,156814,0
2005-04-27,9.821,10.205,9.802,9.911,348819,0
2005-04-28,9.83,10.019,9.671,9.938,261747,0
2005-04-29,9.911,10.133,9.68,10.01,154726,0
2005-05-02,10.038,10.133,9.966,10.105,233754,0
2005-05-03,10.177,10.177,9.759,9.911,294328,0
2005-05-04,9.975,10.169,9.866,10.169,171928,0
2005-05-05,10.196,10.196,9.802,9.866,158566,0
2005-05-06,10.019,10.019,9.839,9.893,174325,0
2005-05-09,9.966,9.966,9.759,9.948,219386,0
2005-05-10,9.795,9.875,9.708,9.733,233923,0
2005-05-11,9.839,9.839,9.591,9.663,232374,0
2005-05-12,9.617,9.708,9.3666,9.511,163268,0
2005-05-13,9.548,9.663,9.1359,9.3409,106107,0
2005-05-16,9.3148,9.699,9.3148,9.653,238660,0
2005-05-17,9.617,9.795,9.617,9.742,233754,0
2005-05-18,9.839,9.839,9.699,9.767,91137,0
2005-05-19,9.776,9.776,9.663,9.733,74389,0
2005-05-20,9.715,9.83,9.583,9.785,194618,0
2005-05-23,9.776,9.893,9.751,9.839,200999,0
