Date,Open,High,Low,Close,Volume,OpenInt
2016-01-21,18.498,18.498,18.398,18.398,1733,0
2016-01-22,18.638,18.638,18.638,18.638,358,0
2016-01-25,18.48,18.48,18.48,18.48,1196,0
2016-01-26,18.656,18.656,18.656,18.656,1196,0
2016-01-27,18.54,18.578,18.392,18.392,1653,0
2016-02-04,20.011,20.019,20.011,20.019,336,0
2016-02-10,19.299,19.35,19.299,19.316,980,0
2016-02-29,20.235,20.278,20.169,20.177,5738,0
2016-03-03,21.207,21.492,21.207,21.492,600,0
2016-03-04,22.084,22.1,22.084,22.1,242,0
2016-03-07,21.945,21.967,21.945,21.967,784,0
2016-03-09,22.093,22.093,22.093,22.093,2392,0
2016-03-10,22.184,22.493,22.184,22.493,2035,0
2016-03-11,22.729,22.843,22.729,22.843,368,0
2016-03-14,22.669,22.686,22.669,22.686,358,0
2016-03-15,21.983,21.983,21.983,21.983,482,0
2016-03-18,23.412,23.563,23.412,23.563,358,0
2016-03-21,23.445,23.506,23.445,23.506,492,0
2016-03-22,23.539,23.674,23.521,23.674,14830,0
2016-03-24,22.784,22.881,22.784,22.881,233,0
2016-03-29,23.666,23.666,23.666,23.666,116,0
2016-04-01,23.847,23.847,23.847,23.847,116,0
2016-04-04,23.581,23.581,23.329,23.363,1059,0
2016-04-05,23.2,23.2,23.118,23.118,704,0
2016-04-07,22.847,22.847,22.847,22.847,479,0
2016-04-11,23.992,23.992,23.992,23.992,596,0
2016-04-12,24.001,24.033,23.975,24.033,2136,0
2016-04-13,24.568,24.568,24.568,24.568,116,0
2016-04-15,24.389,24.441,24.277,24.309,5671,0
2016-04-19,24.372,24.372,24.372,24.372,162,0
2016-04-20,24.458,24.458,24.372,24.372,1589,0
2016-04-22,24.111,24.111,24.111,24.111,768,0
2016-04-25,24.188,24.188,24.085,24.128,1432,0
2016-04-26,24.39,24.535,24.39,24.535,388,0
2016-04-27,24.374,24.776,24.372,24.776,3083,0
2016-04-28,24.785,24.836,24.785,24.811,847,0
2016-04-29,25.025,25.284,24.955,25.284,2601,0
2016-05-02,25.15,25.159,24.997,25.159,974,0
2016-05-04,24.199,24.199,24.197,24.197,536,0
2016-05-05,24.499,24.499,24.286,24.415,1056,0
2016-05-06,24.402,24.44,24.398,24.44,1632,0
2016-05-09,24.033,24.079,23.832,23.919,1404,0
2016-05-10,24.584,24.642,24.577,24.642,949,0
2016-05-11,24.759,24.759,24.608,24.608,2489,0
2016-05-12,24.885,25.134,24.717,25.134,3435,0
2016-05-13,24.794,24.794,24.626,24.7,1541,0
2016-05-16,24.726,24.726,24.642,24.717,1541,0
2016-05-17,24.407,24.491,24.33,24.33,2671,0
2016-05-18,23.883,24.171,23.883,24.136,7053,0
2016-05-19,23.601,23.606,23.474,23.479,3000,0
2016-05-20,23.759,23.85,23.75,23.832,9251,0
2016-05-23,23.469,23.547,23.426,23.426,19132,0
2016-05-24,23.679,23.78,23.626,23.703,32433,0
2016-05-25,23.719,23.857,23.394,23.394,28208,0
2016-05-31,23.639,23.639,23.639,23.639,585,0
2016-06-01,23.334,23.479,23.317,23.479,2674,0
2016-06-02,23.23,23.54,23.23,23.452,4600,0
2016-06-06,23.866,24.123,23.866,24.084,3082,0
2016-06-07,24.139,24.285,24.139,24.258,1485,0
2016-06-08,24.834,24.988,24.697,24.972,3159,0
2016-06-09,24.866,24.866,24.713,24.73,615,0
2016-06-13,23.968,23.985,23.908,23.959,3857,0
2016-06-14,23.95,23.95,23.95,23.95,212,0
2016-06-16,23.6,23.866,23.411,23.866,647,0
2016-06-17,24.13,24.13,24.13,24.13,171,0
2016-06-21,24.459,24.519,24.459,24.476,4058,0
2016-06-24,24.328,24.328,24.043,24.043,1339,0
2016-06-28,24.337,24.484,24.285,24.484,2075,0
2016-06-30,25.103,25.103,25.103,25.103,229,0
2016-07-01,25.587,25.587,25.417,25.417,294,0
2016-07-07,24.356,24.356,24.356,24.356,473,0
2016-07-11,25.359,25.359,25.149,25.149,1397,0
2016-07-18,26.099,26.235,26.099,26.235,5150,0
2016-07-19,26.374,26.374,26.374,26.374,1361,0
2016-07-21,26.71,26.71,26.71,26.71,1826,0
2016-07-22,26.761,26.761,26.761,26.761,229,0
2016-07-26,26.692,26.692,26.574,26.631,2796,0
2016-07-27,26.452,26.452,26.399,26.399,1626,0
2016-07-28,26.399,26.399,26.362,26.362,685,0
2016-07-29,26.884,26.884,26.884,26.884,1053,0
2016-08-02,26.574,26.574,26.49,26.565,1607,0
2016-08-03,26.813,26.813,26.813,26.813,604,0
2016-08-04,27.015,27.015,27.015,27.015,229,0
2016-08-05,27.427,27.427,27.427,27.427,6268,0
2016-08-08,27.477,27.477,27.391,27.391,2128,0
2016-08-09,27.606,27.777,27.597,27.659,2794,0
2016-08-15,27.659,27.659,27.642,27.642,869,0
2016-08-16,27.492,27.492,27.391,27.391,1528,0
2016-08-18,27.006,27.006,27.006,27.006,142,0
2016-08-19,26.892,26.892,26.892,26.892,114,0
2016-08-23,27.011,27.011,26.977,26.977,789,0
2016-08-25,26.845,26.845,26.845,26.845,115,0
2016-09-01,26.33,26.33,26.33,26.33,114,0
2016-09-02,26.934,26.934,26.921,26.934,929,0
2016-09-08,27.088,27.088,27.088,27.088,347,0
2016-09-12,26.269,26.269,26.269,26.269,471,0
2016-09-15,25.336,25.336,25.336,25.336,410,0
2016-09-16,25.506,25.506,25.405,25.454,1259,0
2016-09-22,26.321,26.321,26.321,26.321,358,0
2016-09-23,26.226,26.226,26.07,26.07,964,0
2016-09-28,26.226,26.46,26.226,26.46,373,0
2016-09-30,26.238,26.238,26.238,26.238,114,0
2016-10-03,26.658,26.684,26.658,26.684,229,0
2016-10-06,26.632,26.632,26.632,26.632,437,0
2016-10-07,26.546,26.546,26.546,26.546,246,0
