Date,Open,High,Low,Close,Volume,OpenInt
2012-06-27,13.755,13.829,13.755,13.755,352706,0
2012-06-28,13.755,13.829,13.755,13.829,49518,0
2012-06-29,13.761,13.829,13.761,13.829,57524,0
2012-07-02,13.848,13.969,13.793,13.893,61906,0
2012-07-03,13.884,13.907,13.829,13.878,19344,0
2012-07-05,13.961,14.375,13.855,14.168,41816,0
2012-07-06,14.105,14.446,13.862,14.016,212260,0
2012-07-09,14.185,14.411,13.991,13.998,45854,0
2012-07-10,14.168,14.239,13.829,14.2,95788,0
2012-07-11,14.446,14.446,13.969,14.168,73045,0
2012-07-12,14.002,14.151,13.98,14.151,27548,0
2012-07-13,14.105,14.404,14.068,14.256,34516,0
2012-07-16,14.239,14.368,14.036,14.127,20498,0
2012-07-17,14.239,14.446,14.073,14.368,47457,0
2012-07-18,14.307,14.403,14.167,14.314,58286,0
2012-07-19,14.404,14.404,14.231,14.329,40436,0
2012-07-20,14.271,14.396,14.223,14.223,24280,0
2012-07-23,14.2,14.239,14.009,14.239,21480,0
2012-07-24,14.321,14.338,14.133,14.278,60309,0
2012-07-25,14.396,14.396,14.139,14.144,38878,0
2012-07-26,14.181,14.333,14.105,14.105,72376,0
2012-07-27,14.208,14.215,14.068,14.068,11065,0
2012-07-30,14.029,14.029,13.786,13.793,319965,0
2012-07-31,13.793,13.862,13.755,13.761,184954,0
2012-08-01,13.786,13.786,13.685,13.761,219754,0
2012-08-02,13.804,13.832,13.751,13.751,182319,0
2012-08-03,13.786,13.829,13.658,13.755,129986,0
2012-08-06,13.761,13.77,13.755,13.755,43539,0
2012-08-07,13.761,13.779,13.755,13.755,35400,0
2012-08-08,13.755,13.862,13.755,13.77,63381,0
2012-08-09,13.77,13.829,13.761,13.779,37003,0
2012-08-10,13.821,13.872,13.761,13.808,39977,0
2012-08-13,13.821,13.821,13.272,13.709,137217,0
2012-08-14,13.747,13.755,13.412,13.482,204134,0
2012-08-15,13.427,13.747,13.427,13.747,75167,0
2012-08-16,13.733,13.755,13.65,13.704,44977,0
2012-08-17,13.658,13.985,13.658,13.786,66437,0
2012-08-20,13.718,13.786,13.49,13.741,103596,0
2012-08-21,13.629,13.741,13.583,13.704,61404,0
2012-08-22,13.65,13.704,13.51,13.704,38480,0
2012-08-23,13.704,13.733,13.692,13.725,46941,0
2012-08-24,13.714,13.918,13.66,13.804,94029,0
2012-08-27,13.855,13.855,13.692,13.755,20175,0
2012-08-28,13.779,13.921,13.725,13.921,56459,0
2012-08-29,13.733,13.921,13.672,13.855,36692,0
2012-08-30,13.929,13.929,13.733,13.733,30476,0
2012-08-31,13.755,13.893,13.629,13.755,50433,0
2012-09-04,13.86,13.904,13.783,13.86,30247,0
2012-09-05,13.9,13.921,13.779,13.793,27985,0
2012-09-06,13.755,13.872,13.704,13.821,43661,0
2012-09-07,13.804,13.89,13.751,13.832,29233,0
2012-09-10,13.86,13.882,13.832,13.832,43538,0
2012-09-11,13.826,13.865,13.775,13.826,46451,0
2012-09-12,13.819,13.933,13.783,13.826,56458,0
2012-09-13,13.926,13.926,13.688,13.826,61240,0
2012-09-14,13.759,13.942,13.751,13.791,61672,0
2012-09-17,13.871,13.942,13.751,13.841,42971,0
2012-09-18,13.897,13.897,13.783,13.852,42839,0
2012-09-19,13.826,13.933,13.578,13.826,82421,0
2012-09-20,13.797,13.882,13.791,13.797,57256,0
2012-09-21,13.804,13.966,13.791,13.904,77388,0
2012-09-24,13.897,13.972,13.714,13.714,100470,0
2012-09-25,13.852,13.86,13.608,13.693,207741,0
2012-09-26,13.707,13.89,13.693,13.832,65298,0
2012-09-27,13.882,13.949,13.832,13.933,88305,0
2012-09-28,13.958,13.98,13.871,13.871,104523,0
2012-10-01,13.966,13.966,13.791,13.826,86447,0
2012-10-02,13.912,13.933,13.797,13.797,95043,0
2012-10-03,13.871,13.871,13.797,13.826,91575,0
2012-10-04,13.841,13.89,13.826,13.89,87749,0
2012-10-05,13.874,13.949,13.86,13.949,94247,0
2012-10-08,13.949,14.167,13.904,14.058,113964,0
2012-10-09,14.058,14.066,13.966,14.066,88614,0
2012-10-10,14.086,14.207,14.066,14.207,141836,0
2012-10-11,14.195,14.195,14.01,14.163,126523,0
2012-10-12,14.188,14.319,14.139,14.281,170349,0
2012-10-15,14.281,14.41,14.188,14.372,159144,0
2012-10-16,14.401,14.472,14.234,14.326,211085,0
2012-10-17,14.372,14.48,14.243,14.294,167085,0
2012-10-18,14.337,14.51,14.275,14.41,157704,0
2012-10-19,14.41,14.417,14.227,14.234,126821,0
