Date,Open,High,Low,Close,Volume,OpenInt
2015-08-20,38.192,38.271,37.312,37.312,1518,0
2015-08-21,36.561,36.67,34.821,35.256,607,0
2015-08-24,34.584,34.584,32.123,32.123,430,0
2015-08-25,32.766,32.766,32.766,32.766,708,0
2015-08-26,28.654,28.654,27.646,27.646,506,0
2015-08-27,30.779,33.131,30.739,33.131,10623,0
2015-08-28,31.362,32.617,31.362,32.617,809,0
2015-08-31,31.342,32.143,31.342,32.143,809,0
2015-09-01,29.968,29.968,28.832,28.832,1416,0
2015-09-02,30.314,31.065,29.188,31.065,4350,0
2015-09-03,32.054,33.032,32.054,32.874,7386,0
2015-09-04,31.263,33.477,30.571,30.71,4148,0
2015-09-08,29.978,31.747,29.978,31.747,809,0
2015-09-09,34.594,34.594,32.232,32.232,2226,0
2015-09-10,31.402,32.42,31.313,32.42,1083,0
2015-09-11,32.42,32.42,32.42,32.42,101,0
2015-09-14,33.27,33.27,33.27,33.27,202,0
2015-09-15,32.943,33.606,32.637,33.299,4755,0
2015-09-16,32.963,32.963,32.706,32.963,3541,0
2015-09-17,33.497,35.83,33.497,34.149,13760,0
2015-09-18,34.258,34.258,32.242,32.242,911,0
2015-09-21,32.568,34.08,31.135,31.52,1619,0
2015-09-22,31.105,31.105,28.713,29.158,1619,0
2015-09-23,29.79,29.79,29.751,29.751,607,0
2015-09-24,28.169,28.703,27.468,28.703,1268,0
2015-09-25,30.749,30.749,30.749,30.749,101,0
2015-09-28,28.15,28.15,27.675,27.675,617,0
2015-09-29,24.858,25.669,24.611,24.75,3339,0
2015-09-30,25.55,25.56,24.325,24.69,2529,0
2015-10-01,25.965,26.954,25.857,26.954,2327,0
2015-10-02,25.689,27.161,25.689,27.161,911,0
2015-10-05,28.921,30.117,28.921,29.87,1883,0
2015-10-06,29.781,30.166,28.338,28.496,5565,0
2015-10-07,29.237,29.85,28.99,29.84,1416,0
2015-10-08,30.146,30.146,30.146,30.146,202,0
2015-10-09,30.749,31.224,30.749,31.224,2428,0
2015-10-13,31.698,32.024,31.698,31.896,1518,0
2015-10-14,28.486,28.486,28.367,28.367,304,0
2015-10-15,28.367,28.367,28.367,28.367,101,0
2015-10-16,29.563,29.563,29.395,29.464,405,0
2015-10-19,29.622,30.038,29.593,29.593,809,0
2015-10-21,31.797,31.797,31.797,31.797,202,0
2015-10-22,29.81,30.66,29.8,30.66,607,0
2015-10-23,29.968,30.374,29.84,29.998,2428,0
2015-10-26,31.085,31.085,29.652,30.067,3440,0
2015-10-27,29.118,29.118,28.12,28.12,607,0
2015-10-28,29.464,29.464,29.464,29.464,202,0
2015-10-29,28.436,28.436,27.764,27.764,405,0
2015-10-30,28.763,28.763,28.763,28.763,202,0
2015-11-02,29.711,29.711,29.247,29.474,340,0
2015-11-03,29.81,30.136,29.81,30.136,607,0
2015-11-04,29.652,29.939,29.356,29.356,888,0
2015-11-09,27.379,27.379,26.934,26.934,759,0
2015-11-11,26.934,26.934,26.934,26.934,101,0
2015-11-12,28.733,28.733,28.733,28.733,405,0
2015-11-13,28.021,28.021,28.021,28.021,405,0
2015-11-17,29.899,29.899,29.079,29.079,304,0
2015-11-18,29.079,29.079,29.079,29.079,101,0
2015-11-19,31.174,31.174,31.026,31.026,304,0
2015-11-20,31.026,31.026,31.026,31.026,101,0
2015-11-27,33.873,34.1,33.873,33.873,405,0
2015-11-30,33.596,33.596,33.26,33.26,607,0
2015-12-01,33.26,33.26,33.26,33.26,101,0
2015-12-02,33.26,33.26,33.26,33.26,24,0
2015-12-03,31.925,31.925,30.799,30.809,1179,0
2015-12-04,31.945,32.153,31.945,32.153,304,0
2015-12-09,28.535,28.535,28.535,28.535,202,0
2015-12-11,28.535,28.535,28.535,28.535,304,0
2015-12-14,27.3,27.3,27.28,27.28,2023,0
2015-12-15,27.28,27.28,27.28,27.28,101,0
2015-12-16,28.96,29.652,28.96,29.652,304,0
2015-12-17,29.652,29.652,29.652,29.652,101,0
2015-12-18,26.232,26.341,26.232,26.341,202,0
2015-12-21,26.341,26.341,26.341,26.341,101,0
2015-12-22,26.341,26.341,26.341,26.341,83,0
2015-12-23,26.341,26.341,26.341,26.341,101,0
2015-12-24,30.68,30.68,28.845,28.845,765,0
2015-12-28,28.137,28.137,28.137,28.137,324,0
2015-12-30,28.577,28.577,28.577,28.577,103,0
2016-01-04,27.675,27.675,24.771,24.771,5064,0
2016-01-05,25.303,25.303,25.254,25.254,2340,0
2016-01-06,24.72,24.72,23.712,23.712,3136,0
2016-01-07,21.893,21.893,20.618,20.618,612,0
2016-01-08,20.806,20.806,19.58,19.625,3673,0
2016-01-11,20.055,20.055,19.307,19.472,994,0
2016-01-12,20.016,20.016,17.653,17.653,777,0
2016-01-13,20.658,20.883,18.809,19.037,3801,0
2016-01-15,18.058,18.355,16.595,17.781,1467,0
2016-01-19,17.89,17.89,17.356,17.356,1012,0
2016-01-20,15.805,15.894,15.01,15.894,1349,0
2016-01-21,16.409,17.673,16.409,17.21,522,0
2016-01-22,18.76,18.76,18.582,18.621,756,0
2016-01-25,17.099,17.346,17.099,17.346,202,0
2016-01-27,18.786,18.786,18.473,18.503,2718,0
2016-01-28,18.295,18.295,18.095,18.157,708,0
2016-01-29,18.414,19.102,18.414,19.102,405,0
2016-02-04,16.961,18.157,16.961,18.157,71502,0
2016-02-05,16.961,16.961,16.498,16.498,607,0
2016-02-08,14.836,14.836,14.836,14.836,614,0
2016-02-11,14.025,14.025,14.025,14.025,101,0
2016-02-12,15.034,15.034,15.034,15.034,600,0
2016-02-16,15.567,15.567,15.567,15.567,101,0
2016-02-17,17.115,17.115,16.704,16.704,410,0
2016-02-18,16.704,16.704,16.704,16.704,101,0
2016-02-24,16.537,17.366,16.537,17.366,674,0
2016-03-02,20.954,21.241,20.954,21.241,340,0
2016-03-03,21.725,22.431,21.725,22.431,769,0
2016-03-04,21.715,21.715,21.458,21.458,279,0
2016-03-09,21.383,21.383,21.383,21.383,168,0
2016-03-11,22.982,22.982,22.545,22.545,2023,0
2016-03-15,22.234,22.234,22.234,22.234,304,0
2016-03-16,22.792,22.792,22.182,22.182,615,0
2016-03-17,23.247,24.542,23.247,24.542,1251,0
2016-03-18,25.689,25.728,25.402,25.402,1370,0
2016-03-21,25.303,25.303,24.611,24.611,361,0
2016-03-22,24.206,24.206,24.206,24.206,202,0
2016-03-23,23.722,23.83,23.722,23.83,925,0
2016-03-24,23.455,23.455,23.455,23.455,353,0
2016-03-28,23.198,24.087,23.198,24.087,1049,0
2016-03-31,25.629,25.629,25.629,25.629,202,0
2016-04-01,25.264,26.127,25.264,26.127,643,0
2016-04-04,26.242,26.242,25.58,25.58,5076,0
2016-04-05,25.11,25.11,25.11,25.11,405,0
2016-04-06,26.212,26.341,26.203,26.341,405,0
2016-04-07,26.321,26.321,26.035,26.193,2463,0
2016-04-08,26.46,26.46,26.123,26.123,866,0
2016-04-11,26.776,26.776,26.222,26.222,1029,0
2016-04-12,26.222,26.46,26.222,26.434,1567,0
2016-04-13,27.369,27.369,27.249,27.249,1214,0
2016-04-14,28.111,28.111,27.695,27.804,4047,0
2016-04-18,27.647,27.647,27.647,27.647,142,0
2016-04-19,27.646,27.646,27.646,27.646,202,0
2016-04-20,28.436,28.851,28.387,28.802,1012,0
2016-04-21,28.664,28.664,27.626,27.626,3455,0
2016-04-22,27.207,27.321,27.013,27.321,998,0
2016-04-25,27.082,27.082,27.082,27.082,154,0
2016-04-26,27.55,27.55,27.55,27.55,132,0
2016-04-28,25.204,25.204,24.681,24.996,2355,0
2016-04-29,24.02,24.068,23.662,24.068,1482,0
2016-05-02,24.018,24.018,24.018,24.018,228,0
2016-05-03,23.672,24.216,23.577,23.577,1904,0
2016-05-04,23.336,23.821,23.168,23.821,658,0
2016-05-05,23.158,23.158,23.158,23.158,395,0
2016-05-06,23.722,23.722,23.672,23.672,277,0
2016-05-11,24.631,24.651,23.811,23.821,1335,0
2016-05-13,22.565,23.662,22.565,23.129,1825,0
2016-05-16,22.98,23.969,22.98,23.969,1858,0
2016-05-17,24.018,24.788,24.018,24.463,1922,0
2016-05-18,24.068,24.463,23.554,23.574,1391,0
2016-05-19,22.931,22.931,22.931,22.931,110,0
2016-05-23,23.88,23.9,23.86,23.9,607,0
2016-05-24,26.003,26.954,25.59,26.897,1812,0
2016-05-25,27.754,27.764,26.549,26.677,7644,0
2016-05-26,27.161,27.161,26.252,26.252,759,0
2016-05-31,26.983,26.983,26.891,26.983,607,0
2016-06-01,26.687,27.171,26.667,27.171,2101,0
2016-06-02,26.272,26.59,26.272,26.59,618,0
2016-06-03,25.936,26.547,25.936,26.547,1704,0
2016-06-06,26.197,26.825,26.123,26.786,1974,0
2016-06-07,27.567,28.733,27.567,28.417,1297,0
2016-06-08,28.466,28.753,28.229,28.585,2035,0
