Date,Open,High,Low,Close,Volume,OpenInt
1983-04-06,10.859,10.886,10.733,10.813,28265,0
1983-04-07,10.813,10.886,10.687,10.886,12847,0
1983-04-08,10.687,10.859,10.607,10.84,48595,0
1983-04-11,10.886,11.088,10.859,11.063,82446,0
1983-04-12,11.134,11.188,11.088,11.088,35305,0
1983-04-13,11.16,11.214,10.991,11.036,60776,0
1983-04-14,11.088,11.242,10.886,11.242,74182,0
1983-04-15,11.26,11.26,10.938,10.991,124004,0
1983-04-18,11.134,11.188,11.088,11.088,38880,0
1983-04-19,11.088,11.134,10.813,10.813,79434,0
1983-04-20,10.886,11.036,10.84,10.991,18993,0
1983-04-21,11.063,11.063,10.687,10.886,93843,0
1983-04-22,10.886,10.886,10.634,10.76,40107,0
1983-04-25,10.965,11.088,10.84,10.886,35640,0
1983-04-26,10.965,11.088,10.84,11.088,18768,0
1983-04-27,11.009,11.134,10.886,10.991,269690,0
1983-04-28,10.965,11.036,10.886,10.991,49826,0
1983-04-29,10.859,10.886,10.84,10.886,40778,0
1983-05-02,10.786,10.965,10.58,10.786,139423,0
1983-05-03,10.886,10.938,10.84,10.938,32622,0
1983-05-04,11.063,11.188,10.938,11.063,145235,0
1983-05-05,11.036,11.088,10.991,10.991,224669,0
1983-05-06,10.938,11.188,10.913,11.16,84796,0
1983-05-09,11.088,11.44,11.063,11.242,149367,0
1983-05-10,11.342,11.647,11.315,11.647,158643,0
1983-05-11,11.593,11.647,11.396,11.396,76863,0
1983-05-12,11.493,11.493,11.088,11.242,275835,0
1983-05-13,11.188,11.342,11.188,11.26,50497,0
1983-05-16,11.315,11.315,11.134,11.188,33181,0
1983-05-17,11.315,11.44,11.188,11.44,67590,0
1983-05-18,11.493,11.771,11.44,11.593,118425,0
1983-05-19,11.744,11.771,11.396,11.647,66472,0
1983-05-20,11.539,11.62,11.396,11.44,64688,0
1983-05-23,11.493,11.691,11.37,11.62,38321,0
1983-05-24,11.647,11.994,11.593,11.967,83343,0
1983-05-25,12.09,12.09,11.896,11.967,83119,0
1983-05-26,12.045,12.073,11.843,11.843,65132,0
1983-05-27,11.896,11.896,11.539,11.539,50497,0
1983-05-31,11.593,11.941,11.493,11.493,37203,0
1983-06-01,11.134,11.396,11.134,11.396,105909,0
1983-06-02,11.493,11.493,11.315,11.396,20893,0
1983-06-03,11.466,11.691,11.414,11.593,58318,0
1983-06-06,11.52,11.52,11.315,11.396,16983,0
1983-06-07,11.342,11.342,11.214,11.242,26253,0
1983-06-08,11.287,11.287,11.188,11.287,44577,0
1983-06-09,11.342,11.647,11.315,11.647,50497,0
1983-06-10,11.593,11.647,11.566,11.593,23460,0
1983-06-13,11.62,11.744,11.593,11.718,20778,0
1983-06-14,11.674,11.771,11.539,11.539,50384,0
1983-06-15,11.493,11.539,11.414,11.539,19662,0
1983-06-16,11.493,11.674,11.242,11.26,100102,0
1983-06-17,11.287,11.287,11.088,11.115,32400,0
1983-06-20,11.16,11.16,10.886,11.088,50607,0
1983-06-21,11.134,11.242,11.088,11.242,45804,0
1983-06-22,11.242,11.342,11.115,11.287,19996,0
1983-06-23,11.242,11.26,11.134,11.214,39550,0
1983-06-24,11.214,11.214,11.115,11.188,22008,0
1983-06-27,11.088,11.16,10.84,10.991,33627,0
1983-06-28,11.036,11.036,10.687,10.714,19996,0
1983-06-29,10.634,10.687,10.534,10.66,20333,0
1983-06-30,10.607,10.786,10.48,10.58,27705,0
1983-07-01,10.687,10.913,10.634,10.913,35193,0
1983-07-05,10.859,10.913,10.786,10.786,33515,0
1983-07-06,10.786,10.938,10.786,10.938,13185,0
1983-07-07,11.063,11.44,11.036,11.287,39325,0
1983-07-08,11.342,11.37,11.134,11.134,89823,0
1983-07-11,11.287,11.466,11.242,11.396,19885,0
1983-07-12,11.396,11.396,11.242,11.242,17541,0
1983-07-13,11.287,11.287,11.134,11.287,32622,0
1983-07-14,11.287,11.342,11.134,11.134,14189,0
1983-07-15,11.088,11.242,10.886,10.886,47145,0
1983-07-18,10.938,10.965,10.634,10.733,79098,0
1983-07-19,10.786,10.938,10.786,10.886,26480,0
1983-07-20,11.036,11.287,11.036,11.287,79206,0
1983-07-21,11.287,11.566,11.287,11.396,41224,0
1983-07-22,11.396,11.493,11.287,11.414,27932,0
1983-07-25,11.37,11.593,11.342,11.593,13185,0
1983-07-26,11.691,11.843,11.691,11.771,48038,0
1983-07-27,11.843,11.967,11.798,11.798,110268,0
1983-07-28,11.843,11.843,11.718,11.744,13185,0
1983-07-29,11.744,11.744,11.593,11.674,33292,0
1983-08-01,11.539,11.674,11.539,11.593,12628,0
1983-08-02,11.593,11.744,11.566,11.718,32400,0
1983-08-03,11.647,11.843,11.62,11.691,34522,0
1983-08-04,11.647,11.691,11.52,11.539,22008,0
1983-08-05,11.593,11.647,11.593,11.647,27817,0
1983-08-08,11.593,11.647,11.466,11.52,23686,0
1983-08-09,11.493,11.493,11.396,11.493,62225,0
1983-08-10,11.493,11.539,11.396,11.539,21225,0
1983-08-11,11.52,11.566,11.342,11.466,17649,0
1983-08-12,11.414,11.52,11.37,11.493,15305,0
1983-08-15,11.493,11.744,11.493,11.691,23016,0
1983-08-16,11.744,11.843,11.647,11.771,21111,0
1983-08-17,11.843,11.896,11.744,11.843,36308,0
1983-08-18,11.843,11.896,11.52,11.647,30051,0
1983-08-19,11.539,11.593,11.396,11.566,16983,0
1983-08-22,11.691,11.843,11.62,11.62,31729,0
1983-08-23,11.539,11.798,11.539,11.647,36308,0
1983-08-24,11.566,11.744,11.52,11.539,19662,0
1983-08-25,11.539,11.593,11.493,11.593,13965,0
1983-08-26,11.647,11.843,11.647,11.843,12403,0
1983-08-29,11.87,12.271,11.87,12.271,87030,0
1983-08-30,12.173,12.244,12.09,12.118,25697,0
1983-08-31,12.073,12.073,11.967,11.967,42902,0
1983-09-01,12.021,12.045,11.816,11.816,48595,0
1983-09-02,11.816,11.994,11.798,11.941,25022,0
1983-09-06,11.994,12.2,11.994,12.173,35752,0
1983-09-07,12.073,12.118,11.744,11.798,68150,0
1983-09-08,11.798,11.843,11.647,11.744,39550,0
1983-09-09,11.798,11.896,11.691,11.843,15974,0
1983-09-12,11.896,12.09,11.647,11.647,94959,0
1983-09-13,11.674,11.674,11.16,11.26,136855,0
1983-09-14,11.188,11.26,10.991,11.134,96301,0
1983-09-15,11.088,11.088,10.84,10.886,49046,0
1983-09-16,10.534,10.786,10.534,10.786,45247,0
1983-09-19,10.687,10.965,10.687,10.913,26030,0
1983-09-20,10.965,11.063,10.938,10.965,45911,0
1983-09-21,10.786,10.938,10.786,10.786,42902,0
1983-09-22,10.733,10.786,10.58,10.607,31617,0
1983-09-23,10.733,10.813,10.562,10.66,36760,0
1983-09-26,10.714,10.84,10.634,10.786,50833,0
1983-09-27,10.813,10.859,10.634,10.687,19440,0
1983-09-28,10.733,10.76,10.634,10.634,25139,0
1983-09-29,10.634,10.687,10.037,10.081,140544,0
1983-09-30,10.037,10.081,9.675,9.728,55637,0
