Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,33.269,33.43,33.161,33.399,60430,0
2005-02-28,33.189,33.418,33.189,33.334,30403,0
2005-03-01,33.386,33.393,32.926,32.985,52220,0
2005-03-02,33.039,33.039,32.92,33.027,54648,0
2005-03-03,33.082,33.194,33.054,33.194,31521,0
2005-03-04,33.059,33.37,33.054,33.129,60987,0
2005-03-07,33.189,33.252,32.706,33.135,48681,0
2005-03-08,33.269,33.446,33.173,33.297,29842,0
2005-03-09,33.43,33.59,33.135,33.135,56143,0
2005-03-10,33.14,33.374,32.92,33.189,82436,0
2005-03-11,33.135,33.259,33.027,33.027,33570,0
2005-03-14,32.92,33.236,32.84,33.107,23688,0
2005-03-15,33.161,33.297,33.059,33.241,31148,0
2005-03-16,33.374,33.455,32.973,32.973,39165,0
2005-03-17,33.082,33.215,32.562,32.58,67328,0
2005-03-18,32.625,32.625,32.064,32.305,77776,0
2005-03-21,32.169,32.519,32.169,32.331,52967,0
2005-03-22,32.224,32.625,32.224,32.625,139138,0
2005-03-23,32.625,32.625,32.196,32.601,107432,0
2005-03-24,32.732,32.732,32.036,32.175,98850,0
2005-03-28,32.406,32.679,32.278,32.464,35812,0
2005-03-29,32.544,32.65,32.374,32.384,53709,0
2005-03-30,32.438,32.625,32.278,32.572,45323,0
2005-03-31,32.519,32.679,32.229,32.305,56702,0
2005-04-01,32.438,32.75,32.384,32.491,67144,0
2005-04-04,32.813,32.813,32.331,32.394,56702,0
2005-04-05,32.679,32.824,32.67,32.759,41033,0
2005-04-06,32.625,32.837,32.595,32.813,60054,0
2005-04-07,32.894,33.324,32.776,33.189,77400,0
2005-04-08,33.054,33.054,32.495,32.674,48120,0
2005-04-11,32.539,32.91,32.384,32.91,37863,0
2005-04-12,32.973,33.082,32.411,32.759,36933,0
2005-04-13,32.544,32.969,32.443,32.941,38421,0
2005-04-14,33.075,33.129,32.65,32.881,30031,0
2005-04-15,33.015,33.015,32.358,32.358,32637,0
2005-04-18,32.438,32.531,31.767,31.821,52967,0
2005-04-19,31.877,32.868,31.821,32.868,60987,0
2005-04-20,32.92,33.107,32.625,33.044,52220,0
2005-04-21,33.099,33.297,32.979,33.241,54459,0
2005-04-22,33.107,33.349,33.072,33.297,36933,0
2005-04-25,33.404,34.424,33.404,34.394,140444,0
2005-04-26,34.315,34.315,33.602,33.782,86356,0
2005-04-27,33.731,34.052,33.511,33.515,60616,0
2005-04-28,33.725,33.995,33.511,33.864,37492,0
2005-04-29,33.837,33.858,33.515,33.777,52220,0
2005-05-02,33.995,33.995,33.75,33.887,49052,0
2005-05-03,33.995,34.18,33.934,34.004,45883,0
