Date,Open,High,Low,Close,Volume,OpenInt
2007-11-13,20.151,20.151,20.151,20.151,0,0
2007-11-14,20.624,20.652,18.89,19.299,40740233,0
2007-11-15,18.986,18.986,17.663,17.663,7997699,0
2007-11-16,17.663,18.097,17.537,17.63,2197307,0
2007-11-19,17.114,17.114,14.843,16.201,7932350,0
2007-11-20,16.214,16.441,14.736,15.334,4450156,0
2007-11-21,14.609,15.051,14.356,14.389,1442016,0
2007-11-23,14.514,15.113,14.313,14.843,373684,0
2007-11-26,14.822,16.183,13.394,15.458,3256125,0
2007-11-27,15.602,16.561,15.602,15.804,1949899,0
2007-11-28,15.836,16.63,15.836,15.996,589353,0
2007-11-29,15.988,16.371,15.334,15.735,1233653,0
2007-11-30,16.054,16.371,15.489,15.521,1020845,0
2007-12-03,15.428,15.735,15.113,15.428,1146941,0
2007-12-04,15.428,15.428,14.999,15.136,998929,0
2007-12-05,15.237,15.586,15.051,15.175,1485369,0
2007-12-06,15.113,16.672,15.044,15.901,2150951,0
2007-12-07,15.996,16.75,15.741,16.441,2095846,0
2007-12-10,16.371,18.443,16.371,17.694,3186567,0
2007-12-11,17.537,17.63,16.95,17.208,1324696,0
2007-12-12,17.524,17.537,16.401,16.819,687337,0
2007-12-13,16.561,16.693,16.246,16.499,880453,0
2007-12-14,16.467,16.679,16.17,16.371,1296702,0
2007-12-17,16.246,16.805,15.489,16.308,516617,0
2007-12-18,16.371,16.983,15.861,16.813,796761,0
2007-12-19,16.813,16.945,15.748,16.63,1659587,0
2007-12-20,16.66,17.359,16.66,17.114,908246,0
2007-12-21,16.938,17.878,16.914,17.511,2170329,0
2007-12-24,17.643,17.775,17.316,17.504,981937,0
2007-12-26,17.316,17.756,16.705,17.234,595385,0
2007-12-27,16.969,17.178,16.66,16.921,1058959,0
2007-12-28,16.844,16.964,16.654,16.825,650657,0
2007-12-31,16.401,16.994,16.201,16.548,744986,0
2008-01-02,16.561,16.844,16.158,16.436,1927980,0
2008-01-03,16.686,16.686,15.548,16.214,602851,0
2008-01-04,15.811,15.811,15.113,15.586,1304329,0
2008-01-07,15.616,15.628,15.113,15.364,741971,0
2008-01-08,15.205,15.357,14.483,14.638,1482355,0
2008-01-09,14.276,14.609,14.106,14.389,2885621,0
2008-01-10,14.488,15.534,14.065,14.822,2513203,0
2008-01-11,14.829,15.861,14.755,15.25,2158573,0
2008-01-14,15.244,15.741,14.835,15.68,641602,0
2008-01-15,15.428,15.428,14.798,15.113,921432,0
2008-01-16,15.113,15.212,14.483,14.922,1129549,0
2008-01-17,14.771,15.237,14.168,14.389,1027515,0
2008-01-18,14.389,14.829,14.131,14.766,790092,0
2008-01-22,14.418,15.031,13.934,15.031,1250170,0
