Date,Open,High,Low,Close,Volume,OpenInt
1982-01-04,0.5971,0.6036,0.5971,0.6036,973159,0
1982-01-05,0.5971,0.6036,0.5971,0.5971,844359,0
1982-01-06,0.5902,0.5971,0.5836,0.5902,806193,0
1982-01-07,0.5836,0.5836,0.5768,0.5768,176503,0
1982-01-08,0.5836,0.5836,0.5768,0.5836,147883,0
1982-01-11,0.5768,0.5836,0.5703,0.5768,1710182,0
1982-01-12,0.5703,0.5768,0.5566,0.5566,758487,0
1982-01-13,0.5566,0.5634,0.55,0.55,341085,0
1982-01-14,0.55,0.55,0.5433,0.5433,245675,0
1982-01-15,0.55,0.55,0.5433,0.5433,541437,0
1982-01-18,0.5433,0.55,0.5366,0.55,994622,0
1982-01-19,0.5433,0.55,0.5433,0.5433,446028,0
1982-01-20,0.55,0.55,0.5433,0.55,908760,0
1982-01-21,0.55,0.55,0.5433,0.55,422180,0
1982-01-22,0.55,0.55,0.5433,0.55,116874,0
1982-01-25,0.5433,0.5433,0.5366,0.5433,47706,0
1982-01-26,0.5433,0.55,0.5433,0.55,644002,0
1982-01-27,0.55,0.5566,0.5433,0.55,779956,0
1982-01-28,0.5566,0.5566,0.55,0.5566,202744,0
1982-01-29,0.5566,0.5634,0.55,0.55,1259382,0
1982-02-01,0.5566,0.5634,0.55,0.55,639228,0
1982-02-02,0.5433,0.55,0.5366,0.5433,1190213,0
1982-02-03,0.5366,0.5433,0.5301,0.5301,732251,0
1982-02-04,0.5232,0.5301,0.5164,0.5301,1412029,0
1982-02-05,0.55,0.5634,0.5366,0.5634,1101957,0
1982-02-08,0.5566,0.5634,0.55,0.5566,1564686,0
1982-02-09,0.5566,0.5634,0.55,0.5634,5516945,0
1982-02-10,0.5768,0.5768,0.5703,0.5768,517583,0
1982-02-11,0.5902,0.6036,0.5768,0.6036,1278464,0
1982-02-12,0.6236,0.6304,0.6172,0.6172,1867601,0
1982-02-16,0.6036,0.6036,0.6036,0.6036,627305,0
1982-02-17,0.6036,0.6103,0.5971,0.5971,581988,0
1982-02-18,0.5902,0.6036,0.5768,0.5768,341085,0
1982-02-19,0.5971,0.6036,0.5836,0.6036,1345250,0
1982-02-22,0.6036,0.6103,0.5971,0.5971,1423956,0
1982-02-23,0.5971,0.6036,0.5902,0.5971,887293,0
1982-02-24,0.5971,0.5971,0.5902,0.5971,641616,0
1982-02-25,0.6036,0.6103,0.6036,0.6036,5054220,0
1982-02-26,0.6036,0.6036,0.5971,0.5971,627305,0
1982-03-01,0.6036,0.6172,0.5902,0.6172,1872376,0
1982-03-02,0.6236,0.6304,0.6172,0.6304,715557,0
1982-03-03,0.6236,0.6304,0.6172,0.6172,1028020,0
1982-03-04,0.6172,0.6172,0.6036,0.6036,374475,0
1982-03-05,0.5971,0.6036,0.5902,0.5971,181275,0
1982-03-08,0.5971,0.6172,0.5836,0.5836,295763,0
1982-03-09,0.6036,0.6172,0.5836,0.6103,653542,0
1982-03-10,0.6103,0.6172,0.5971,0.5971,434106,0
1982-03-11,0.5971,0.6036,0.5902,0.6036,546208,0
1982-03-12,0.5902,0.6036,0.5768,0.5768,841971,0
1982-03-15,0.5902,0.5902,0.5836,0.5836,252830,0
1982-03-16,0.5971,0.5971,0.5902,0.5902,314845,0
1982-03-17,0.5902,0.5971,0.5836,0.5836,484193,0
1982-03-18,0.5971,0.6036,0.5836,0.5836,205129,0
1982-03-19,0.5902,0.5971,0.5836,0.5971,512815,0
1982-03-22,0.6172,0.6304,0.5971,0.6236,3017270,0
1982-03-23,0.6304,0.6439,0.6236,0.6236,508044,0
1982-03-24,0.6172,0.6236,0.6103,0.6172,536669,0
1982-03-25,0.6172,0.6236,0.6103,0.6236,508044,0
1982-03-26,0.6236,0.6236,0.6172,0.6172,238521,0
1982-03-29,0.6172,0.6236,0.6103,0.6172,1397720,0
1982-03-30,0.6236,0.6236,0.6172,0.6236,107331,0
1982-03-31,0.6371,0.6439,0.6304,0.6304,3057812,0
1982-04-01,0.6576,0.6774,0.6439,0.6774,1149658,0
1982-04-02,0.6841,0.6909,0.6774,0.6774,1507439,0
1982-04-05,0.6841,0.6841,0.6774,0.6841,1848525,0
1982-04-06,0.6909,0.6976,0.6841,0.6841,372089,0
1982-04-07,0.6909,0.6976,0.6841,0.6909,372089,0
1982-04-08,0.7044,0.7112,0.6909,0.7112,849125,0
1982-04-12,0.7044,0.7177,0.6976,0.7044,601067,0
1982-04-13,0.6976,0.7044,0.6909,0.6976,446028,0
1982-04-14,0.6976,0.6976,0.6976,0.6976,429334,0
1982-04-15,0.7044,0.7044,0.6976,0.7044,715557,0
1982-04-16,0.7044,0.7112,0.7044,0.7112,531899,0
1982-04-19,0.6976,0.7044,0.6909,0.6909,238521,0
1982-04-20,0.6909,0.6909,0.6841,0.6909,138342,0
1982-04-21,0.6841,0.6909,0.6774,0.6841,1118653,0
1982-04-22,0.6841,0.6841,0.6774,0.6841,605838,0
1982-04-23,0.6841,0.6841,0.6774,0.6774,131182,0
1982-04-26,0.6841,0.6841,0.6774,0.6841,822890,0
1982-04-27,0.6774,0.6841,0.6708,0.6774,1371487,0
1982-04-28,0.6774,0.6841,0.6708,0.6841,379247,0
1982-04-29,0.6774,0.6774,0.6708,0.6708,534279,0
1982-04-30,0.6774,0.6841,0.6642,0.6774,391174,0
1982-05-03,0.6708,0.6774,0.6642,0.6774,197971,0
1982-05-04,0.6841,0.6909,0.6774,0.6909,741793,0
1982-05-05,0.6909,0.6976,0.6909,0.6909,729868,0
1982-05-06,0.7044,0.7044,0.6976,0.6976,789497,0
1982-05-07,0.7044,0.7044,0.6976,0.6976,1063797,0
1982-05-10,0.6909,0.7044,0.6841,0.6909,121642,0
1982-05-11,0.6976,0.7112,0.6841,0.7112,338698,0
1982-05-12,0.7177,0.7313,0.7112,0.7313,3618333,0
1982-05-13,0.7243,0.7313,0.7177,0.7243,980314,0
1982-05-14,0.7243,0.7313,0.7243,0.7243,1335706,0
1982-05-17,0.7177,0.7243,0.7177,0.7177,403097,0
1982-05-18,0.7243,0.7313,0.7177,0.7177,2034568,0
1982-05-19,0.7243,0.7243,0.7177,0.7177,1271306,0
1982-05-20,0.7112,0.7177,0.7044,0.7112,450798,0
1982-05-21,0.7177,0.7177,0.7112,0.7112,636845,0
1982-05-24,0.7243,0.7243,0.7177,0.7177,450798,0
1982-05-25,0.7243,0.7243,0.7177,0.7177,176503,0
1982-05-26,0.7177,0.7177,0.7112,0.7112,422180,0
1982-05-27,0.7112,0.7112,0.7044,0.7112,686932,0
1982-05-28,0.7112,0.7112,0.7044,0.7044,565288,0
1982-06-01,0.7112,0.7177,0.7044,0.7177,231364,0
1982-06-02,0.7177,0.7177,0.7112,0.7112,1428730,0
1982-06-03,0.7112,0.7177,0.7044,0.7177,615379,0
1982-06-04,0.7112,0.7177,0.7044,0.7112,529512,0
1982-06-07,0.7044,0.7112,0.6909,0.6976,2015483,0
1982-06-08,0.6976,0.7044,0.6976,0.6976,114487,0
1982-06-09,0.6976,0.7044,0.6841,0.7044,1559914,0
1982-06-10,0.6976,0.7044,0.6909,0.7044,424565,0
1982-06-11,0.7313,0.7445,0.7243,0.7378,789497,0
1982-06-14,0.7313,0.7378,0.7243,0.7243,245675,0
1982-06-15,0.7243,0.7243,0.7112,0.7243,1037557,0
1982-06-16,0.7313,0.7445,0.7243,0.7378,1190213,0
1982-06-17,0.7378,0.7378,0.7313,0.7313,1283231,0
1982-06-18,0.7243,0.7313,0.7243,0.7243,570062,0
1982-06-21,0.7243,0.7243,0.7177,0.7177,236138,0
1982-06-22,0.7313,0.7515,0.7112,0.7515,892061,0
1982-06-23,0.7647,0.7781,0.758,0.7716,2015483,0
1982-06-24,0.7781,0.7848,0.7647,0.7781,1302315,0
1982-06-25,0.7781,0.7848,0.7647,0.7716,791883,0
1982-06-28,0.7781,0.7915,0.7647,0.7781,1066184,0
1982-06-29,0.7848,0.7915,0.7716,0.7781,1087648,0
1982-06-30,0.7848,0.7915,0.7848,0.7848,861053,0
1982-07-01,0.7848,0.7848,0.7848,0.7848,861053,0
1982-07-02,0.7781,0.7781,0.7716,0.7716,889677,0
1982-07-06,0.7716,0.7716,0.7647,0.7716,784727,0
1982-07-07,0.7781,0.7848,0.7647,0.7716,1481204,0
1982-07-08,0.7781,0.7848,0.7647,0.7848,1078108,0
1982-07-09,0.7848,0.7915,0.7781,0.7781,2218227,0
1982-07-12,0.7848,0.7981,0.7781,0.7915,4658278,0
1982-07-13,0.7915,0.7981,0.7781,0.7848,1495512,0
1982-07-14,0.7848,0.7915,0.7781,0.7915,1333323,0
1982-07-15,0.7848,0.7915,0.7716,0.7781,648769,0
1982-07-16,0.7716,0.7781,0.7647,0.7716,353009,0
1982-07-19,0.7848,0.7981,0.7716,0.7848,1235527,0
1982-07-20,0.7848,0.7915,0.7781,0.7915,601067,0
1982-07-21,0.8118,0.8252,0.7981,0.8118,3117441,0
1982-07-22,0.805,0.8252,0.7915,0.7981,644002,0
1982-07-23,0.7848,0.7981,0.7647,0.7647,560520,0
1982-07-26,0.7716,0.7781,0.758,0.7781,830046,0
1982-07-27,0.7716,0.7781,0.7647,0.7647,393556,0
1982-07-28,0.758,0.7647,0.7515,0.758,465115,0
1982-07-29,0.7647,0.7716,0.758,0.7647,539054,0
1982-07-30,0.7915,0.805,0.7716,0.7915,2358951,0
1982-08-02,0.805,0.8185,0.7915,0.8118,1335706,0
1982-08-03,0.805,0.8185,0.7981,0.7981,1068568,0
1982-08-04,0.7915,0.805,0.7848,0.7981,510430,0
1982-08-05,0.7848,0.7915,0.7781,0.7848,1423956,0
1982-08-06,0.7848,0.7915,0.7848,0.7915,467493,0
1982-08-09,0.7716,0.7781,0.758,0.7647,608224,0
1982-08-10,0.758,0.7647,0.7445,0.7515,2184836,0
1982-08-11,0.758,0.7716,0.7445,0.7716,1402491,0
1982-08-12,0.7716,0.7781,0.7647,0.7781,808577,0
1982-08-13,0.7716,0.7781,0.7647,0.7781,1249840,0
1982-08-16,0.7915,0.805,0.7848,0.7848,1240302,0
1982-08-17,0.805,0.8118,0.7915,0.805,1261766,0
1982-08-18,0.8653,0.8922,0.8319,0.8319,4150230,0
1982-08-19,0.8519,0.8718,0.8252,0.8519,1982093,0
1982-08-20,0.8586,0.8653,0.8452,0.8653,2172907,0
1982-08-23,0.8854,0.9123,0.8586,0.9054,3012496,0
1982-08-24,0.9392,0.959,0.9123,0.9392,5595658,0
1982-08-25,0.9324,0.9392,0.9257,0.9324,3122210,0
1982-08-26,0.9459,0.959,0.9257,0.9324,3193771,0
1982-08-27,0.9123,0.9257,0.8989,0.9054,1342862,0
1982-08-30,0.9054,0.9191,0.8922,0.9191,1507439,0
1982-08-31,0.9324,0.9459,0.9123,0.9459,2039337,0
1982-09-01,0.9459,0.959,0.9324,0.9324,2294553,0
1982-09-02,0.9392,0.9459,0.9257,0.9459,892061,0
