Date,Open,High,Low,Close,Volume,OpenInt
2010-02-09,10.017,10.017,10.017,10.017,0,0
2010-02-10,10.19,10.874,9.927,10.777,6286214,0
2010-02-11,10.756,10.992,10.557,10.882,1288067,0
2010-02-12,10.938,14.515,10.762,11.053,1166080,0
2010-02-16,11.571,11.731,10.895,11.333,568097,0
2010-02-17,11.409,11.426,11.039,11.426,932167,0
2010-02-18,11.262,11.917,11.262,11.917,1185760,0
2010-02-19,11.917,12.437,11.606,12.345,2936127,0
2010-02-22,12.32,12.429,11.622,11.746,1471356,0
2010-02-23,11.593,11.973,11.571,11.723,373529,0
2010-02-24,11.676,11.723,11.034,11.661,889168,0
2010-02-25,11.538,11.939,11.333,11.704,409405,0
2010-02-26,11.746,11.746,11.468,11.571,376432,0
2010-03-01,11.606,11.876,11.553,11.746,326353,0
2010-03-02,11.718,12.574,11.468,12.313,674123,0
2010-03-03,12.099,12.193,11.758,11.779,442531,0
2010-03-04,11.765,11.917,11.676,11.882,314793,0
2010-03-05,11.876,12.091,11.821,12.022,402628,0
2010-03-08,11.917,12.091,11.882,11.98,310733,0
2010-03-09,11.815,12.193,11.815,12.16,659758,0
2010-03-10,11.966,12.463,11.966,12.214,321389,0
2010-03-11,12.022,12.269,11.939,12.124,546578,0
2010-03-12,11.987,12.381,11.987,12.193,455855,0
2010-03-15,12.23,12.401,12.124,12.333,505195,0
2010-03-16,12.326,13.002,12.313,12.844,1097144,0
2010-03-17,12.789,13.16,12.782,13.16,492689,0
2010-03-18,13.106,13.3,13.069,13.249,443596,0
2010-03-19,13.287,13.438,12.828,13.397,2460627,0
2010-03-22,13.452,13.59,13.128,13.515,364082,0
2010-03-23,13.403,13.507,13.128,13.368,296653,0
2010-03-24,13.3,13.597,13.3,13.361,587236,0
2010-03-25,13.334,13.527,13.3,13.361,651495,0
2010-03-26,13.368,13.734,13.32,13.72,621685,0
2010-03-29,13.637,14.149,13.597,13.956,1060879,0
2010-03-30,13.874,13.988,13.34,13.485,451351,0
2010-03-31,13.417,13.817,13.287,13.712,2958966,0
2010-04-01,13.645,13.797,13.457,13.566,420259,0
2010-04-05,13.656,13.748,13.542,13.645,991843,0
2010-04-06,13.573,13.817,13.573,13.68,968146,0
2010-04-07,13.728,13.886,13.39,13.536,315533,0
2010-04-08,13.473,13.886,13.452,13.664,228899,0
2010-04-09,13.741,13.956,13.542,13.914,223852,0
2010-04-12,13.817,13.976,13.632,13.914,182369,0
2010-04-13,13.824,14.012,13.645,13.831,398291,0
2010-04-14,13.824,13.9,13.656,13.886,409458,0
2010-04-15,13.778,13.886,13.249,13.688,412583,0
2010-04-16,13.59,13.797,13.425,13.465,211774,0
2010-04-19,13.376,13.804,13.376,13.452,237008,0
2010-04-20,13.625,13.696,13.279,13.452,242187,0
2010-04-21,13.41,13.55,13.34,13.438,155390,0
2010-04-22,13.314,13.55,13.308,13.507,181095,0
2010-04-23,13.476,13.847,13.476,13.81,271165,0
2010-04-26,13.853,13.886,13.59,13.845,393023,0
2010-04-27,13.712,13.866,13.536,13.536,249230,0
2010-04-28,13.542,13.886,13.397,13.649,218195,0
2010-04-29,13.696,13.956,13.597,13.9,390531,0
2010-04-30,13.861,13.949,13.748,13.845,401591,0
2010-05-03,13.853,13.996,13.712,13.996,260661,0
2010-05-04,13.804,14.356,13.755,14.065,765080,0
2010-05-05,13.921,13.921,13.712,13.817,223930,0
2010-05-06,13.809,13.949,13.438,13.499,389940,0
2010-05-07,13.542,13.785,13.361,13.425,741793,0
2010-05-10,13.702,13.763,13.361,13.688,716694,0
2010-05-11,13.527,13.817,13.507,13.68,301209,0
