Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,8.0862,8.0862,8.0665,8.0793,18842,0
2005-02-28,8.0594,8.0793,8.0338,8.0338,39945,0
2005-03-01,8.0594,8.0594,8.0141,8.0399,47482,0
2005-03-02,8.0459,8.0665,8.0141,8.0665,31954,0
2005-03-03,8.0278,8.0722,8.0278,8.0594,27887,0
2005-03-04,8.0525,8.0862,8.0525,8.0862,28790,0
2005-03-07,8.0793,8.0862,8.0525,8.0525,50950,0
2005-03-08,8.0525,8.0594,8.0338,8.0338,24116,0
2005-03-09,7.9807,8.0141,7.9622,7.9687,89846,0
2005-03-10,7.9547,7.9687,7.9338,7.9622,70549,0
2005-03-11,7.9414,7.9622,7.9338,7.9338,12058,0
2005-03-14,7.9414,7.9414,7.8612,7.8868,77934,0
2005-03-15,7.894,7.894,7.8405,7.8612,116673,0
2005-03-16,7.8341,7.8544,7.8341,7.8468,58636,0
2005-03-17,7.8341,7.8612,7.8341,7.8468,53060,0
2005-03-18,7.8282,7.8612,7.8084,7.8218,22154,0
2005-03-21,7.788,7.8154,7.7684,7.7809,50802,0
2005-03-22,7.7347,7.7809,7.6223,7.6289,88483,0
2005-03-23,7.6289,7.6489,7.5756,7.5957,74467,0
2005-03-24,7.5957,7.635,7.5957,7.635,44916,0
2005-03-28,7.5957,7.6289,7.5756,7.5822,24274,0
2005-03-29,7.5892,7.6223,7.5622,7.6023,30754,0
2005-03-30,7.6289,7.6489,7.5957,7.5957,52158,0
2005-03-31,7.6023,7.6489,7.6023,7.635,57737,0
2005-04-01,7.6818,7.6818,7.635,7.669,68282,0
2005-04-04,7.6754,7.6818,7.6489,7.6754,34972,0
2005-04-05,7.6754,7.6818,7.6633,7.6818,22608,0
2005-04-06,7.6954,7.7016,7.669,7.6818,23968,0
2005-04-07,7.688,7.7091,7.669,7.6818,18842,0
2005-04-08,7.635,7.6754,7.635,7.6633,19895,0
2005-04-11,7.6551,7.6954,7.6551,7.688,58939,0
2005-04-12,7.6754,7.7016,7.6423,7.7016,66631,0
2005-04-13,7.6754,7.7347,7.6754,7.7212,43568,0
2005-04-14,7.7274,7.7274,7.6818,7.7016,34668,0
2005-04-15,7.7091,7.7274,7.7016,7.7091,48241,0
2005-04-18,7.7155,7.7538,7.7155,7.7347,37386,0
2005-04-19,7.7408,7.7684,7.7408,7.7684,14929,0
2005-04-20,7.7408,7.7408,7.6754,7.6754,67230,0
2005-04-21,7.6754,7.7091,7.6551,7.6633,41901,0
2005-04-22,7.6489,7.6954,7.6489,7.688,22460,0
2005-04-25,7.6818,7.7091,7.6818,7.7016,33917,0
2005-04-26,7.7016,7.7212,7.6754,7.6818,28189,0
2005-04-27,7.7091,7.7347,7.688,7.7347,38590,0
2005-04-28,7.7474,7.7619,7.7274,7.7408,60452,0
2005-04-29,7.7619,7.7809,7.7619,7.7738,39496,0
2005-05-02,7.7738,7.7738,7.7474,7.7474,29549,0
2005-05-03,7.7474,7.7947,7.7474,7.7947,50496,0
2005-05-04,7.8022,7.8218,7.788,7.8218,52913,0
2005-05-05,7.8218,7.8544,7.8084,7.8544,38889,0
2005-05-06,7.8282,7.8282,7.788,7.8154,37386,0
2005-05-09,7.8282,7.8282,7.8022,7.8218,16585,0
2005-05-10,7.8154,7.8468,7.8154,7.8468,34213,0
2005-05-11,7.8468,7.8468,7.8084,7.8282,80191,0
2005-05-12,7.8405,7.8612,7.8218,7.8612,31660,0
2005-05-13,7.8678,7.9009,7.8544,7.894,56984,0
2005-05-16,7.9009,7.9074,7.874,7.9009,20196,0
2005-05-17,7.8809,7.9146,7.874,7.9146,30002,0
2005-05-18,7.9146,7.9479,7.9009,7.9479,63923,0
2005-05-19,7.9414,7.9622,7.9074,7.9622,82601,0
2005-05-20,7.9414,7.9479,7.8612,7.9074,71298,0
2005-05-23,7.9146,7.9338,7.894,7.9338,41004,0
2005-05-24,7.9622,7.9622,7.894,7.894,82004,0
2005-05-25,7.9338,7.9338,7.8809,7.9338,53667,0
2005-05-26,7.9338,7.9414,7.894,7.9214,36335,0
2005-05-27,7.9547,7.9547,7.9009,7.9338,20352,0
2005-05-31,7.9547,7.9738,7.9214,7.9687,30905,0
2005-06-01,7.9738,7.9865,7.9547,7.9738,35277,0
2005-06-02,7.9865,7.9928,7.9807,7.9928,27285,0
2005-06-03,7.9928,8.0141,7.9738,7.9928,73112,0
2005-06-06,8.0077,8.0208,7.9807,8.0077,39046,0
2005-06-07,8.0208,8.0594,7.9928,8.0525,54720,0
2005-06-08,8.0399,8.0862,8.0399,8.0862,50351,0
2005-06-09,8.0862,8.0862,8.0278,8.0399,36481,0
2005-06-10,8.0278,8.0594,8.0208,8.0399,45974,0
2005-06-13,7.9622,7.9622,7.8868,7.9281,159333,0
2005-06-14,7.9414,7.9414,7.894,7.9214,37533,0
2005-06-15,7.8868,7.9281,7.8405,7.894,87731,0
2005-06-16,7.8868,7.9214,7.8868,7.9214,47181,0
2005-06-17,7.9281,7.9338,7.9009,7.9338,34972,0
2005-06-20,7.9479,7.9622,7.9146,7.9622,24871,0
2005-06-21,7.9547,7.9738,7.9281,7.9738,51254,0
2005-06-22,7.9074,7.9687,7.894,7.9687,72203,0
2005-06-23,7.9281,7.9687,7.9281,7.9687,43122,0
2005-06-24,7.9687,7.9807,7.9547,7.9807,36931,0
2005-06-27,7.9807,8.0208,7.9687,7.9928,83970,0
2005-06-28,7.9928,7.9928,7.9338,7.9738,36335,0
2005-06-29,7.9865,7.9865,7.9479,7.9807,61809,0
2005-06-30,7.9865,7.9865,7.9414,7.9807,62253,0
2005-07-01,7.9865,7.9865,7.9146,7.9622,16135,0
2005-07-05,7.9146,7.9622,7.9074,7.9479,33771,0
2005-07-06,7.9214,7.9807,7.9214,7.9807,40247,0
2005-07-07,7.9807,7.9865,7.9414,7.9865,45369,0
2005-07-08,7.9479,7.9928,7.9414,7.9928,59842,0
2005-07-11,7.9928,7.9928,7.9338,7.9738,64220,0
2005-07-12,7.9414,7.9687,7.9281,7.9622,46277,0
2005-07-13,7.9547,7.9687,7.9414,7.9622,27583,0
2005-07-14,7.9547,7.9687,7.9338,7.9687,41449,0
2005-07-15,7.9547,7.9547,7.9214,7.9479,59242,0
2005-07-18,7.9338,7.9547,7.8868,7.8868,98439,0
2005-07-19,7.894,7.9479,7.8468,7.9479,69642,0
2005-07-20,7.9074,7.9547,7.894,7.9547,86829,0
2005-07-21,7.9009,7.9338,7.894,7.9146,36632,0
2005-07-22,7.894,7.9414,7.8868,7.9414,44166,0
2005-07-25,7.9074,7.9414,7.9074,7.9414,36780,0
2005-07-26,7.9074,7.9414,7.8868,7.9338,63008,0
2005-07-27,7.9338,7.9338,7.9009,7.9214,59092,0
2005-07-28,7.9074,7.9414,7.9074,7.9414,23817,0
2005-07-29,7.9414,7.9414,7.8678,7.9214,110344,0
2005-08-01,7.9214,7.9281,7.8678,7.9214,77486,0
2005-08-02,7.8868,7.9281,7.8868,7.9214,30754,0
2005-08-03,7.9214,7.9214,7.9009,7.9214,32564,0
2005-08-04,7.9281,7.9687,7.9281,7.9479,67688,0
2005-08-05,7.9414,7.9414,7.894,7.9281,35872,0
2005-08-08,7.9414,7.9414,7.8678,7.8809,37988,0
2005-08-09,7.8868,7.8868,7.8154,7.8678,42510,0
2005-08-10,7.8341,7.874,7.8341,7.874,41901,0
2005-08-11,7.8468,7.8612,7.8341,7.8544,31508,0
2005-08-12,7.7809,7.8809,7.7809,7.874,87889,0
2005-08-15,7.8809,7.8809,7.8282,7.8468,124818,0
2005-08-16,7.8405,7.8544,7.8282,7.8405,30451,0
2005-08-17,7.8405,7.8612,7.8282,7.8544,41309,0
2005-08-18,7.8282,7.8678,7.8282,7.8544,36931,0
2005-08-19,7.874,7.874,7.8341,7.8612,64520,0
2005-08-22,7.8341,7.8341,7.8154,7.8282,51854,0
2005-08-23,7.8084,7.8405,7.8022,7.8341,94066,0
2005-08-24,7.8282,7.8544,7.7947,7.8544,69795,0
2005-08-25,7.8405,7.8468,7.8218,7.8468,47482,0
2005-08-26,7.8544,7.8544,7.8282,7.8468,53513,0
2005-08-29,7.8341,7.8544,7.8218,7.8468,56375,0
2005-08-30,7.8341,7.8405,7.8218,7.8341,80044,0
2005-08-31,7.8154,7.8282,7.8084,7.8282,60749,0
2005-09-01,7.8341,7.8544,7.8084,7.8544,51400,0
2005-09-02,7.8341,7.8678,7.8341,7.8678,99195,0
2005-09-06,7.8678,7.874,7.8341,7.874,49898,0
2005-09-07,7.8544,7.8809,7.8468,7.874,53813,0
2005-09-08,7.8868,7.894,7.8544,7.8809,71602,0
2005-09-09,7.8612,7.9009,7.8612,7.9009,25777,0
2005-09-12,7.9074,7.9074,7.8678,7.8868,21253,0
2005-09-13,7.8809,7.9146,7.8809,7.9146,53357,0
2005-09-14,7.9214,7.9214,7.8809,7.8868,62713,0
2005-09-15,7.894,7.9074,7.874,7.8868,62410,0
2005-09-16,7.9009,7.9009,7.8809,7.8868,26832,0
2005-09-19,7.8809,7.9214,7.8809,7.9146,73262,0
2005-09-20,7.9146,7.9622,7.9074,7.9547,101751,0
2005-09-21,7.9009,7.9622,7.9009,7.9547,75522,0
2005-09-22,7.9547,7.9622,7.8868,7.9146,32105,0
2005-09-23,7.894,7.9281,7.8022,7.8468,34824,0
2005-09-26,7.8405,7.8468,7.7684,7.8154,72203,0
2005-09-27,7.8218,7.8218,7.7738,7.8022,71901,0
2005-09-28,7.788,7.8678,7.7738,7.8468,74164,0
2005-09-29,7.8405,7.8868,7.8282,7.8544,49743,0
2005-09-30,7.8809,7.8809,7.8154,7.8612,40556,0
2005-10-03,7.8678,7.8678,7.7738,7.7947,59546,0
2005-10-04,7.8154,7.8544,7.8154,7.8405,22009,0
2005-10-05,7.8282,7.8544,7.8282,7.8468,19295,0
2005-10-06,7.8084,7.8405,7.7947,7.8218,42061,0
2005-10-07,7.7947,7.8282,7.7947,7.8022,13719,0
2005-10-10,7.7684,7.8341,7.7619,7.8154,41901,0
2005-10-11,7.7809,7.8341,7.7684,7.7809,52761,0
2005-10-12,7.7684,7.8022,7.7091,7.7347,68738,0
2005-10-13,7.7091,7.7347,7.635,7.6633,44916,0
2005-10-14,7.6633,7.669,7.5822,7.6489,76881,0
2005-10-17,7.6289,7.6551,7.5892,7.6289,43872,0
2005-10-18,7.635,7.635,7.5756,7.6154,30148,0
2005-10-19,7.6023,7.6289,7.5622,7.6154,53967,0
2005-10-20,7.5957,7.5957,7.5622,7.5957,57430,0
2005-10-21,7.5756,7.6289,7.5756,7.6223,82303,0
2005-10-24,7.6023,7.635,7.5693,7.5957,78536,0
2005-10-25,7.5562,7.6023,7.5562,7.5957,40556,0
2005-10-26,7.5622,7.5957,7.5426,7.5622,42061,0
2005-10-27,7.5491,7.609,7.5491,7.609,62109,0
2005-10-28,7.5622,7.6154,7.5622,7.5957,38139,0
2005-10-31,7.609,7.6154,7.5892,7.609,35578,0
2005-11-01,7.6023,7.6289,7.5957,7.6289,19748,0
2005-11-02,7.6423,7.6423,7.5756,7.6423,75370,0
2005-11-03,7.6289,7.6423,7.5822,7.5957,44467,0
2005-11-04,7.5892,7.6154,7.5822,7.6023,28189,0
2005-11-07,7.6023,7.6223,7.5822,7.6223,18543,0
2005-11-08,7.5892,7.6289,7.5892,7.6289,17183,0
2005-11-09,7.6954,7.6954,7.5291,7.5362,98586,0
2005-11-10,7.5362,7.5562,7.4698,7.4966,84571,0
2005-11-11,7.5291,7.5426,7.4299,7.4763,78238,0
2005-11-14,7.41,7.463,7.3969,7.4031,147429,0
2005-11-15,7.3969,7.4366,7.3765,7.4231,94369,0
