Date,Open,High,Low,Close,Volume,OpenInt
2016-02-25,24.223,24.315,24.174,24.315,4781,0
2016-02-26,24.377,24.387,24.322,24.338,12370,0
2016-02-29,24.358,24.358,24.233,24.281,8784,0
2016-03-01,24.348,24.474,24.348,24.474,14595,0
2016-03-02,24.474,24.493,24.445,24.493,19628,0
2016-03-03,24.512,24.512,24.483,24.502,8618,0
2016-03-04,24.55,24.55,24.522,24.541,24025,0
2016-03-07,24.559,24.559,24.526,24.532,23944,0
2016-03-08,24.522,24.528,24.522,24.528,5023,0
2016-03-09,24.569,24.569,24.512,24.541,15303,0
2016-03-10,24.589,24.589,24.516,24.559,11327,0
2016-03-11,24.589,24.589,24.541,24.559,18345,0
2016-03-14,24.618,24.733,24.541,24.559,6344,0
2016-03-15,24.618,24.618,24.541,24.548,8330,0
2016-03-16,24.608,24.608,24.522,24.573,16256,0
2016-03-17,24.705,24.705,24.541,24.569,13012,0
2016-03-18,24.503,24.686,24.503,24.589,15662,0
2016-03-21,25.658,25.658,24.586,24.618,21281,0
2016-03-22,24.608,24.676,24.598,24.646,20353,0
2016-03-23,24.646,24.646,24.539,24.539,11579,0
2016-03-24,24.541,24.541,24.416,24.541,5137,0
2016-03-28,24.552,24.563,24.538,24.563,1163,0
2016-03-29,24.559,24.705,24.559,24.688,3076,0
2016-03-30,24.705,24.791,24.589,24.782,17376,0
2016-03-31,24.791,24.801,24.753,24.763,4721,0
2016-04-01,24.82,24.83,24.695,24.83,5410,0
2016-04-04,24.859,24.888,24.763,24.801,5323,0
2016-04-05,24.685,24.723,24.636,24.666,17391,0
2016-04-06,24.743,24.83,24.723,24.83,3096,0
2016-04-07,24.83,24.83,24.628,24.705,16579,0
2016-04-08,24.83,24.83,24.746,24.751,6324,0
2016-04-11,24.859,24.859,24.762,24.782,4628,0
2016-04-12,24.82,24.888,24.76,24.868,13767,0
2016-04-13,24.907,24.917,24.885,24.917,12412,0
2016-04-14,24.878,24.927,24.878,24.927,12985,0
2016-04-15,24.898,24.935,24.888,24.91,9364,0
2016-04-18,24.936,24.936,24.763,24.763,5397,0
2016-04-19,25.048,25.957,24.955,24.955,11298,0
2016-04-20,25.08,25.086,25.054,25.054,3914,0
2016-04-21,25.08,25.08,24.955,25.021,23591,0
2016-04-22,24.994,25.023,24.955,25.013,4085,0
2016-04-25,24.965,24.985,24.955,24.958,12558,0
2016-04-26,25.061,25.069,24.965,25.032,4744,0
2016-04-27,25.042,25.052,24.945,25.052,4219,0
2016-04-28,25.052,25.089,24.888,24.917,20286,0
2016-04-29,24.917,25.013,24.763,24.791,8342,0
2016-05-02,24.907,24.984,24.83,24.927,4304,0
2016-05-03,24.955,24.955,24.772,24.85,9007,0
2016-05-04,24.772,24.772,24.692,24.762,6115,0
2016-05-05,24.801,24.801,24.753,24.753,2031,0
2016-05-06,24.723,24.85,24.714,24.85,3219,0
2016-05-09,24.909,24.909,24.81,24.897,1793,0
2016-05-10,24.936,25.128,24.936,25.128,2443,0
2016-05-11,24.966,25.07,24.966,25.003,3811,0
2016-05-12,24.994,25.013,24.932,25.013,2363,0
2016-05-13,24.973,25.013,24.795,24.83,5481,0
2016-05-16,24.965,25.07,24.965,25.07,5172,0
2016-05-17,24.979,24.979,24.907,24.907,480,0
2016-05-18,24.911,25.042,24.753,24.791,8010,0
2016-05-19,24.82,24.82,24.733,24.753,1675,0
2016-05-20,24.801,24.85,24.801,24.85,10083,0
2016-05-23,24.767,24.81,24.753,24.782,4562,0
2016-05-24,24.851,24.927,24.84,24.927,5396,0
2016-05-25,25.099,25.108,25.042,25.042,2534,0
2016-05-26,25.032,25.099,25.032,25.099,1502,0
2016-05-27,25.157,25.157,25.113,25.138,1073,0
2016-05-31,25.154,25.156,25.099,25.135,2986,0
2016-06-01,25.128,25.157,25.118,25.148,5483,0
2016-06-02,25.15,25.15,25.15,25.15,103,0
2016-06-03,25.149,25.166,25.124,25.138,6081,0
2016-06-06,25.138,25.205,25.138,25.174,2649,0
2016-06-07,25.201,25.225,25.197,25.197,5109,0
2016-06-08,25.225,25.225,25.205,25.217,2202,0
2016-06-09,25.216,25.233,25.215,25.233,4655,0
2016-06-10,25.147,25.215,25.147,25.192,8068,0
2016-06-13,25.186,25.205,25.118,25.18,9299,0
2016-06-14,25.186,25.186,25.118,25.186,19961,0
2016-06-15,25.148,25.225,25.148,25.215,20596,0
2016-06-16,25.176,25.243,25.139,25.228,12984,0
2016-06-17,25.243,25.302,25.243,25.273,5947,0
2016-06-20,25.376,25.408,25.353,25.353,5463,0
2016-06-21,25.437,25.437,25.356,25.356,2241,0
2016-06-22,25.414,25.414,25.369,25.374,3441,0
2016-06-23,25.475,25.475,25.466,25.466,1087,0
2016-06-24,25.288,25.292,24.936,25.089,44444,0
2016-06-27,24.82,24.82,24.656,24.714,25358,0
2016-06-28,25.013,25.072,24.945,25.053,5022,0
2016-06-29,25.389,25.389,25.33,25.34,4958,0
2016-06-30,25.504,25.504,25.402,25.456,1661,0
2016-07-01,25.589,25.6,25.524,25.6,3151,0
2016-07-05,25.562,25.571,25.524,25.56,5703,0
2016-07-06,25.543,25.543,25.524,25.524,2772,0
2016-07-07,25.571,25.636,25.571,25.636,254,0
2016-07-08,25.687,25.715,25.648,25.696,2724,0
2016-07-11,25.638,25.664,25.62,25.664,12507,0
2016-07-12,25.6,25.696,25.6,25.678,18923,0
2016-07-13,25.699,25.706,25.677,25.677,1846,0
2016-07-14,25.745,25.745,25.696,25.696,2174,0
2016-07-15,25.681,25.681,25.681,25.681,145,0
2016-07-18,25.755,25.755,25.687,25.725,1922,0
2016-07-19,25.725,25.725,25.714,25.714,570,0
2016-07-20,25.764,25.87,25.764,25.87,634,0
2016-07-21,25.773,25.783,25.756,25.756,5191,0
2016-07-22,25.771,25.842,25.764,25.82,1947,0
2016-07-25,25.812,25.812,25.725,25.725,73462,0
2016-07-26,25.812,25.812,25.764,25.764,4016,0
2016-07-27,25.755,25.822,25.755,25.822,1347,0
2016-07-28,25.793,25.86,25.793,25.86,2115,0
2016-07-29,25.88,25.899,25.822,25.899,2233,0
2016-08-01,25.919,25.928,25.85,25.88,5254,0
2016-08-02,25.85,25.85,25.735,25.755,4690,0
2016-08-03,25.812,25.842,25.812,25.832,1651,0
2016-08-04,25.85,25.86,25.842,25.846,898,0
2016-08-05,26.005,26.005,26.005,26.005,856,0
2016-08-08,26.034,26.034,25.967,25.996,9719,0
2016-08-09,26.034,26.034,25.994,26.001,3425,0
2016-08-10,26.008,26.024,25.937,25.947,17289,0
2016-08-11,26.054,26.054,26.024,26.024,736,0
2016-08-12,26.047,26.054,26.034,26.034,542,0
2016-08-15,26.034,26.082,26.034,26.044,4627,0
2016-08-16,26.072,26.073,26.072,26.073,293,0
2016-08-17,26.091,26.091,26.034,26.05,1881,0
2016-08-18,26.11,26.13,26.024,26.091,6945,0
2016-08-19,26.068,26.1,26.067,26.1,2834,0
2016-08-22,26.039,26.11,26.034,26.091,10655,0
2016-08-23,26.155,26.192,26.135,26.151,149682,0
2016-08-24,26.13,26.13,26.034,26.034,22823,0
2016-08-25,26.044,26.073,26.019,26.044,7582,0
2016-08-26,26.051,26.149,26.005,26.024,9249,0
2016-08-29,26.082,26.083,26.068,26.068,312,0
2016-08-30,26.11,26.112,26.088,26.1,60287,0
2016-08-31,26.129,26.129,26.005,26.082,14240,0
2016-09-01,26.091,26.091,25.937,26.039,16005,0
2016-09-02,26.168,26.168,26.12,26.13,3799,0
2016-09-06,26.217,26.227,26.158,26.226,9419,0
2016-09-07,26.245,26.255,26.207,26.235,5694,0
2016-09-08,26.235,26.235,26.212,26.212,1704,0
2016-09-09,26.14,26.14,25.715,25.715,8024,0
2016-09-12,25.62,26.073,25.61,26.073,39893,0
2016-09-13,25.822,25.909,25.628,25.715,34848,0
2016-09-14,25.638,25.87,25.62,25.687,10653,0
2016-09-15,25.653,25.977,25.638,25.889,16779,0
2016-09-16,25.87,25.928,25.832,25.901,10054,0
2016-09-19,25.889,25.957,25.86,25.909,6456,0
2016-09-20,25.909,25.947,25.901,25.928,2985,0
2016-09-21,25.957,26.063,25.934,26.024,11731,0
2016-09-22,26.1,26.119,26.073,26.101,4946,0
2016-09-23,26.131,26.15,26.1,26.109,3725,0
2016-09-26,26.073,26.073,26.024,26.024,10107,0
2016-09-27,26.034,26.12,26.005,26.065,16629,0
2016-09-28,26.11,26.143,26.063,26.143,5482,0
2016-09-29,26.178,26.178,26.073,26.073,4273,0
2016-09-30,26.121,26.178,26.121,26.142,1722,0
2016-10-03,26.14,26.14,26.063,26.14,7297,0
2016-10-04,26.126,26.129,26.076,26.1,8300,0
2016-10-05,26.158,26.187,26.1,26.158,25348,0
2016-10-06,26.13,26.187,26.13,26.184,3649,0
2016-10-07,26.217,26.217,26.101,26.168,3672,0
2016-10-10,26.371,26.371,26.178,26.235,62545,0
2016-10-11,26.255,26.255,26.101,26.112,7711,0
2016-10-12,26.082,26.14,26.082,26.14,5078,0
2016-10-13,26.054,26.083,25.967,26.083,6427,0
2016-10-14,26.158,26.197,26.098,26.168,74885,0
2016-10-17,26.13,26.13,26.084,26.1,19682,0
2016-10-18,26.235,26.255,26.18,26.227,5861,0
2016-10-19,26.245,26.289,26.23,26.289,6015,0
2016-10-20,26.274,26.304,26.245,26.284,5350,0
2016-10-21,26.285,26.487,26.265,26.275,8530,0
2016-10-24,26.371,26.384,26.315,26.361,11715,0
2016-10-25,26.369,26.39,26.342,26.352,11161,0
2016-10-26,26.294,26.352,26.274,26.322,32829,0
2016-10-27,26.294,26.332,26.265,26.265,12262,0
2016-10-28,26.284,26.284,26.14,26.197,16136,0
2016-10-31,26.223,26.245,26.207,26.207,17025,0
2016-11-01,26.187,26.197,26.016,26.073,9794,0
2016-11-02,26.033,26.063,25.986,25.986,29268,0
2016-11-03,26.005,26.014,25.86,25.87,19962,0
2016-11-04,25.86,25.971,25.86,25.88,11811,0
2016-11-07,26.073,26.245,26.073,26.217,75245,0
2016-11-08,26.235,26.322,26.217,26.284,3811,0
2016-11-09,26.005,26.491,26.005,26.491,23844,0
2016-11-10,26.539,26.588,26.458,26.544,7298,0
2016-11-11,26.541,26.564,26.458,26.483,10704,0
2016-11-14,26.593,26.593,26.487,26.583,47336,0
2016-11-15,26.63,26.65,26.601,26.64,4418,0
2016-11-16,26.63,26.65,26.63,26.65,11274,0
2016-11-17,26.656,26.66,26.63,26.65,13354,0
2016-11-18,26.669,26.669,26.632,26.64,7260,0
2016-11-21,26.65,26.707,26.638,26.669,23431,0
2016-11-22,26.679,26.794,26.679,26.794,10430,0
2016-11-23,26.775,26.794,26.688,26.727,9232,0
2016-11-25,26.814,26.833,26.796,26.833,6821,0
2016-11-28,26.842,26.842,26.794,26.804,21753,0
2016-11-29,26.804,26.842,26.794,26.824,39931,0
2016-11-30,26.872,26.872,26.814,26.833,9380,0
2016-12-01,26.852,26.852,26.752,26.756,18421,0
