Date,Open,High,Low,Close,Volume,OpenInt
2007-10-24,13.032,13.032,13.032,13.032,0,0
2007-10-25,14.839,16.107,14.297,14.541,7544362,0
2007-10-26,14.334,14.624,13.935,14.188,823200,0
2007-10-29,14.116,14.549,13.828,14.204,311794,0
2007-10-30,14.26,14.26,13.864,14.073,180693,0
2007-10-31,14.188,14.297,13.915,14.028,203212,0
2007-11-01,13.969,13.969,13.211,13.211,742659,0
2007-11-02,13.211,13.313,12.429,12.661,665303,0
2007-11-05,12.574,12.625,11.872,12.161,455464,0
2007-11-06,12.146,12.199,11.952,12.126,245483,0
2007-11-07,12.037,12.06,11.127,11.212,243411,0
2007-11-08,11.264,11.388,10.937,11.148,290792,0
2007-11-09,11.077,11.219,9.988,11.127,355998,0
2007-11-12,11.04,11.293,10.866,11.257,225723,0
2007-11-13,11.235,12.616,10.896,12.089,194922,0
2007-11-14,12.089,12.668,11.656,11.837,196303,0
2007-11-15,11.54,11.627,10.779,11.082,439990,0
2007-11-16,10.994,11.48,9.843,9.953,364562,0
2007-11-19,10.279,10.633,9.773,9.859,263304,0
2007-11-20,9.773,9.843,8.4974,9.2655,899733,0
2007-11-21,9.1224,9.932,8.868,9.932,359311,0
2007-11-23,9.932,10.135,9.701,10.033,38961,0
2007-11-26,9.988,9.988,8.267,8.5351,280847,0
2007-11-27,8.5707,8.5778,7.7526,7.8469,424241,0
2007-11-28,7.8469,8.8171,7.6369,8.6862,978890,0
2007-11-29,8.9414,9.953,8.3246,8.5778,748465,0
2007-11-30,8.9414,9.4096,8.6432,9.1924,595816,0
2007-12-03,9.2943,9.924,8.7799,9.597,217990,0
2007-12-04,9.4327,9.4327,8.6862,9.3375,271041,0
2007-12-05,9.2011,9.2011,8.2516,8.8755,218377,0
2007-12-06,8.9765,9.048,8.868,9.0257,115626,0
2007-12-07,9.0406,9.2289,9.0109,9.2289,121980,0
2007-12-10,9.2232,9.4904,9.0693,9.4096,178067,0
2007-12-11,9.1876,9.2366,8.9701,9.0331,107476,0
2007-12-12,9.048,9.048,8.4704,8.7937,155275,0
2007-12-13,8.9033,8.9626,8.267,8.6215,126956,0
2007-12-14,8.6136,8.8605,8.6136,8.7582,53460,0
