Date,Open,High,Low,Close,Volume,OpenInt
2013-10-09,19.188,19.541,17.991,17.991,6303032,0
2013-10-10,18.092,18.531,17.984,18.152,592085,0
2013-10-11,18.305,18.837,18.076,18.673,286291,0
2013-10-14,18.589,18.718,18.288,18.503,162650,0
2013-10-15,18.846,18.846,18.248,18.643,88922,0
2013-10-16,18.673,18.811,18.288,18.417,83616,0
2013-10-17,18.417,18.486,18.401,18.435,106870,0
2013-10-18,18.581,18.581,18.375,18.417,34785,0
2013-10-21,18.383,18.435,18.257,18.314,54221,0
2013-10-22,18.409,18.546,18.17,18.503,78488,0
2013-10-23,18.333,18.523,18.333,18.461,41875,0
2013-10-24,18.266,18.486,18.266,18.417,30716,0
2013-10-25,18.445,18.454,18.288,18.368,29118,0
2013-10-28,18.417,18.846,18.342,18.794,251615,0
2013-10-29,18.941,18.941,18.643,18.718,33045,0
2013-10-30,18.665,18.837,18.409,18.409,43060,0
2013-10-31,18.368,18.538,18.368,18.401,36098,0
2013-11-01,18.368,18.665,18.178,18.36,47561,0
2013-11-04,18.589,18.673,18.203,18.673,450328,0
2013-11-05,18.828,19.103,18.461,18.461,125044,0
2013-11-06,18.461,18.803,17.991,18.076,80987,0
2013-11-07,17.991,18.067,16.663,17.149,90048,0
2013-11-08,17.176,17.176,16.705,16.892,74551,0
2013-11-11,16.809,17.535,16.327,17.313,139996,0
2013-11-12,17.459,17.459,16.809,16.921,14314,0
2013-11-13,17.023,17.339,17.023,17.149,140401,0
2013-11-14,17.133,17.339,17.133,17.133,50933,0
2013-11-15,17.124,17.149,16.938,17.073,189149,0
2013-11-18,17.073,17.562,17.005,17.476,29229,0
2013-11-19,17.571,17.589,17.091,17.432,33811,0
2013-11-20,17.459,17.492,17.159,17.296,8833,0
2013-11-21,17.424,17.692,17.407,17.597,27636,0
2013-11-22,17.708,17.81,17.484,17.579,33052,0
2013-11-25,17.579,17.784,17.227,17.62,22386,0
2013-11-26,17.424,17.692,17.424,17.51,11012,0
2013-11-27,17.492,17.692,17.492,17.535,12645,0
2013-11-29,17.636,17.93,17.636,17.836,9147,0
2013-12-02,17.81,17.912,17.492,17.502,37657,0
2013-12-03,17.552,17.656,17.492,17.562,48618,0
2013-12-04,17.589,17.939,17.535,17.535,16708,0
2013-12-05,17.382,17.775,17.288,17.562,49517,0
2013-12-06,17.597,17.991,17.597,17.922,140710,0
2013-12-09,17.984,18.076,17.828,17.974,133193,0
2013-12-10,18.014,18.333,17.852,18.084,106021,0
2013-12-11,18.076,18.333,18.076,18.266,220740,0
2013-12-12,18.279,18.279,17.819,17.991,290400,0
2013-12-13,18.084,18.288,17.579,17.844,230747,0
2013-12-16,17.912,18.128,17.692,17.775,177426,0
2013-12-17,17.81,18.417,17.313,17.819,515905,0
2013-12-18,17.748,18.253,17.446,17.853,326298,0
2013-12-19,17.985,18.635,17.985,18.155,222609,0
2013-12-20,18.72,18.96,18.423,18.895,2344503,0
2013-12-23,18.849,19.896,18.849,19.881,157459,0
2013-12-24,19.847,20.392,19.665,20.316,59047,0
2013-12-26,20.34,21.233,20.176,21.024,158872,0
2013-12-27,21.197,21.979,20.252,20.835,185704,0
2013-12-30,20.714,20.904,20.436,20.511,95046,0
2013-12-31,20.54,21.528,20.511,21.476,129282,0
2014-01-02,21.528,21.545,21.121,21.398,204629,0
2014-01-03,21.364,21.519,21.242,21.295,111921,0
2014-01-06,21.415,21.545,21.016,21.233,253893,0
2014-01-07,21.269,22.618,21.233,22.481,120127,0
2014-01-08,22.534,22.673,22.379,22.448,61451,0
2014-01-09,22.587,22.794,22.258,22.534,57816,0
2014-01-10,22.534,22.559,22.168,22.258,40679,0
2014-01-13,22.221,22.308,21.822,22.281,52765,0
2014-01-14,22.429,22.481,21.788,22.031,86745,0
2014-01-15,21.996,22.265,21.129,21.615,219935,0
2014-01-16,21.764,21.884,21.148,21.7,71964,0
2014-01-17,21.779,21.909,21.302,21.502,82809,0
2014-01-21,21.511,21.795,20.895,21.562,125289,0
2014-01-22,21.7,21.744,21.197,21.519,67820,0
2014-01-23,21.364,21.398,20.774,21.318,142975,0
2014-01-24,21.165,21.408,20.567,20.609,159147,0
2014-01-27,20.714,20.714,19.83,19.96,96414,0
2014-01-28,19.896,20.409,19.368,20.184,136325,0
2014-01-29,19.968,20.082,19.119,19.311,62149,0
2014-01-30,19.368,19.716,19.249,19.274,91823,0
2014-01-31,19.073,20.123,19.064,19.665,111689,0
2014-02-03,19.672,19.778,17.765,18.659,316950,0
2014-02-04,18.814,19.041,18.554,18.858,285392,0
2014-02-05,18.832,19.335,18.182,18.269,199554,0
2014-02-06,18.357,19.032,18.165,18.581,151734,0
2014-02-07,18.728,18.755,18.236,18.554,220126,0
2014-02-10,18.452,18.979,18.452,18.885,51301,0
2014-02-11,18.998,19.751,18.895,19.682,70175,0
2014-02-12,19.76,19.76,19.318,19.431,106095,0
2014-02-13,19.249,19.596,18.885,19.406,186122,0
2014-02-14,19.44,19.526,18.928,19.406,84040,0
2014-02-18,19.368,20.418,19.368,20.374,93925,0
2014-02-19,20.367,20.799,20.226,20.609,77863,0
2014-02-20,20.669,21.97,20.669,21.189,132950,0
2014-02-21,21.373,21.884,21.345,21.831,150817,0
2014-02-24,21.884,22.879,21.494,22.176,236979,0
2014-02-25,22.534,22.717,21.554,21.659,114437,0
2014-02-26,21.857,22.23,21.354,22.127,121998,0
2014-02-27,22.127,22.291,21.693,21.866,76829,0
2014-02-28,21.953,22.326,21.659,22.153,186496,0
2014-03-03,22.065,22.065,21.205,21.788,118854,0
2014-03-04,21.822,23.011,21.709,22.854,196693,0
2014-03-05,22.794,23.011,21.605,22.108,135607,0
2014-03-06,22.221,22.421,21.841,22.108,50150,0
2014-03-07,22.308,22.698,22.065,22.352,83342,0
2014-03-10,22.429,22.887,22.291,22.359,142317,0
2014-03-11,22.448,22.559,21.693,21.812,71115,0
2014-03-12,21.744,22.265,21.485,22.265,87727,0
2014-03-13,22.258,22.717,22.047,22.612,121193,0
2014-03-14,22.491,22.813,21.709,21.85,58492,0
2014-03-17,22.031,22.195,21.812,22.118,88083,0
2014-03-18,22.056,22.65,21.913,22.354,96989,0
2014-03-19,22.564,22.564,21.759,22.021,70515,0
2014-03-20,22.004,22.186,21.828,21.994,51913,0
2014-03-21,22.136,22.476,21.784,22.186,88695,0
2014-03-24,22.161,22.415,21.933,22.328,84683,0
2014-03-25,22.407,23.187,22.354,22.519,103109,0
2014-03-26,22.583,22.617,21.759,21.906,64336,0
2014-03-27,21.863,21.913,21.478,21.768,30159,0
2014-03-28,21.749,22.696,21.662,21.759,79315,0
2014-03-31,21.968,22.387,21.759,21.994,120701,0
2014-04-01,21.96,23.073,21.808,22.861,69203,0
2014-04-02,22.879,22.993,22.715,22.916,49783,0
2014-04-03,22.949,22.949,22.259,22.539,25218,0
2014-04-04,22.764,22.783,21.759,22.03,65872,0
2014-04-07,22.03,22.177,21.784,21.977,61848,0
2014-04-08,21.968,22.196,21.828,21.913,41929,0
2014-04-09,22.056,22.177,21.89,22.013,38584,0
2014-04-10,22.038,22.099,21.468,21.626,56427,0
2014-04-11,21.399,21.933,21.399,21.6,55766,0
2014-04-14,21.818,21.818,20.734,20.941,95641,0
2014-04-15,20.951,20.951,20.617,20.838,60770,0
2014-04-16,21.013,22.241,20.776,22.064,51560,0
2014-04-17,21.977,22.177,21.768,21.933,52740,0
2014-04-21,21.899,22.51,21.678,22.283,29061,0
2014-04-22,22.433,23.036,22.212,22.854,103105,0
2014-04-23,22.746,23.466,22.608,23.197,153104,0
2014-04-24,23.255,23.615,22.916,23.457,164344,0
2014-04-25,23.371,23.835,23.293,23.494,82189,0
2014-04-28,23.625,23.853,22.941,23.207,215278,0
2014-04-29,23.389,23.888,23.021,23.38,75582,0
2014-04-30,23.625,24.415,23.371,23.888,222901,0
2014-05-01,23.957,23.957,23.229,23.801,128866,0
2014-05-02,23.817,24.291,23.722,24.045,98377,0
2014-05-05,23.809,24.054,23.547,23.939,101914,0
2014-05-06,23.905,24.222,23.738,24.018,96653,0
2014-05-07,24.203,24.642,24.081,24.545,86902,0
2014-05-08,24.625,25.125,24.625,24.773,86588,0
2014-05-09,24.642,25.055,24.642,24.895,157346,0
2014-05-12,25.017,25.633,24.415,24.854,207823,0
2014-05-13,24.79,25.405,24.79,25.116,201254,0
2014-05-14,25.133,25.378,24.781,25.07,158306,0
2014-05-15,25.166,25.42,24.808,25.369,216993,0
2014-05-16,25.492,25.746,24.958,25.58,139039,0
2014-05-19,25.397,25.86,25.397,25.844,114138,0
2014-05-20,25.852,25.957,25.615,25.904,158940,0
2014-05-21,25.948,26.037,25.036,25.141,85739,0
2014-05-22,25.125,25.948,24.968,25.764,110643,0
2014-05-23,25.826,26.069,25.475,25.868,55369,0
2014-05-27,26.018,26.281,25.721,25.86,116452,0
2014-05-28,25.94,26.053,25.483,25.642,175949,0
2014-05-29,25.771,25.799,24.992,25.509,116439,0
2014-05-30,25.388,25.799,25.125,25.509,1571210,0
2014-06-02,25.483,25.702,25.089,25.475,88198,0
2014-06-03,25.466,25.684,24.992,25.175,87885,0
2014-06-04,24.984,25.316,24.984,25.195,92659,0
2014-06-05,25.326,25.844,25.229,25.667,140232,0
2014-06-06,25.86,25.86,25.712,25.771,70170,0
2014-06-09,25.623,25.799,25.492,25.667,157785,0
2014-06-10,25.712,25.826,25.352,25.623,234195,0
2014-06-11,25.615,25.746,25.125,25.257,114497,0
2014-06-12,25.388,25.388,24.826,25.141,60910,0
2014-06-13,25.133,25.605,24.886,25.405,58235,0
2014-06-16,25.492,25.492,24.878,25.027,100369,0
2014-06-17,24.895,25.308,24.87,25.01,110823,0
2014-06-18,25.143,25.152,24.673,25.064,143924,0
2014-06-19,25.027,25.949,25.017,25.71,242194,0
2014-06-20,25.816,26.055,25.382,25.55,180101,0
2014-06-23,25.532,25.754,25.055,25.168,65832,0
2014-06-24,25.152,25.505,25.046,25.143,111733,0
2014-06-25,25.017,25.159,24.584,24.984,107223,0
2014-06-26,24.876,25.126,24.753,24.912,82409,0
2014-06-27,24.77,25.382,24.77,25.32,634411,0
2014-06-30,25.187,25.7,25.126,25.356,193071,0
2014-07-01,25.435,25.895,25.213,25.719,154038,0
2014-07-02,25.754,26.179,25.594,25.682,117431,0
2014-07-03,25.895,26.08,25.471,25.666,97528,0
2014-07-07,25.7,25.941,25.505,25.639,133768,0
2014-07-08,25.488,26.002,25.265,25.816,147306,0
2014-07-09,25.868,26.046,25.577,25.639,87499,0
2014-07-10,25.24,26.277,25,25.904,144176,0
2014-07-11,25.834,25.852,25.453,25.779,52472,0
2014-07-14,25.941,25.993,25.392,25.577,150250,0
2014-07-15,25.657,25.657,24.885,25.046,180222,0
