Date,Open,High,Low,Close,Volume,OpenInt
2016-06-17,24.098,24.098,23.989,23.989,200,0
2016-06-28,24.247,24.247,24.247,24.247,498,0
2016-07-06,24.433,24.433,24.433,24.433,536,0
2016-07-19,24.334,24.383,24.305,24.305,1440,0
2016-07-22,24.405,24.405,24.405,24.405,103,0
2016-07-26,24.365,24.365,24.365,24.365,701,0
2016-07-27,24.395,24.395,24.382,24.393,5057,0
2016-08-01,24.346,24.415,24.346,24.415,1338,0
2016-08-02,24.326,24.346,24.324,24.346,35722,0
2016-08-03,24.326,24.346,24.306,24.346,1199,0
2016-08-04,24.453,24.453,24.453,24.453,1802,0
2016-08-08,24.336,24.346,24.334,24.344,4442,0
2016-08-10,24.453,24.453,24.453,24.453,1446,0
2016-08-11,24.385,24.395,24.385,24.394,3302,0
2016-08-12,24.37,24.452,24.37,24.452,525,0
2016-08-15,24.405,24.415,24.395,24.405,1848,0
2016-08-17,24.444,24.453,24.444,24.453,11119,0
2016-08-18,24.453,24.483,24.444,24.483,1540,0
2016-08-22,24.444,26.937,24.435,24.483,20218,0
2016-08-23,24.483,24.503,24.435,24.483,14227,0
2016-08-24,24.446,24.496,24.378,24.496,9228,0
2016-08-25,24.456,24.506,24.401,24.401,2318,0
2016-08-26,24.438,24.583,24.427,24.476,10905,0
2016-08-29,24.368,24.428,24.349,24.371,4345,0
2016-08-30,24.466,24.466,24.466,24.466,1444,0
2016-08-31,24.466,24.476,24.445,24.445,2713,0
2016-09-01,24.428,24.486,24.428,24.486,1977,0
2016-09-02,24.428,24.453,24.388,24.446,16810,0
2016-09-06,24.476,24.488,24.466,24.468,1935,0
2016-09-07,24.555,24.555,24.534,24.535,1269,0
2016-09-08,24.472,24.476,24.466,24.476,2933,0
2016-09-09,24.299,24.299,24.28,24.28,1587,0
2016-09-12,24.329,24.329,24.306,24.309,3191,0
2016-09-13,24.225,24.225,24.225,24.225,119,0
2016-09-15,24.28,24.28,24.28,24.28,656,0
2016-09-16,24.28,24.289,24.271,24.289,3525,0
2016-09-19,24.277,24.277,24.277,24.277,365,0
2016-09-20,24.329,24.339,24.234,24.234,12489,0
2016-09-21,24.291,24.291,24.291,24.291,119,0
2016-09-22,24.39,24.39,24.39,24.39,2263,0
2016-09-23,24.39,24.4,24.351,24.4,2093,0
2016-09-26,24.44,24.44,24.39,24.44,3284,0
2016-09-27,24.458,24.468,24.458,24.468,3323,0
2016-09-28,24.478,24.488,24.474,24.488,5434,0
2016-09-29,24.416,24.416,24.416,24.416,322,0
2016-10-04,24.36,24.36,24.327,24.331,7698,0
2016-10-05,24.341,24.341,24.254,24.255,8230,0
2016-10-06,24.301,24.331,24.294,24.294,10345,0
2016-10-10,24.242,24.331,24.242,24.331,6447,0
2016-10-11,24.301,24.331,24.301,24.331,5242,0
2016-10-12,24.311,24.38,24.311,24.37,7599,0
2016-10-13,24.341,24.36,24.341,24.351,2922,0
2016-10-14,24.36,24.36,24.36,24.36,6905,0
2016-10-17,24.351,24.37,24.35,24.37,4848,0
2016-10-18,24.36,24.38,24.36,24.38,2437,0
2016-10-19,24.419,24.419,24.409,24.409,2053,0
2016-10-20,24.389,24.389,24.379,24.379,5931,0
2016-10-21,24.429,24.429,24.4,24.409,1993,0
2016-10-24,24.35,24.35,24.34,24.34,3954,0
2016-10-25,24.35,24.36,24.33,24.33,4365,0
2016-10-26,24.36,24.36,24.34,24.35,3493,0
2016-10-27,24.243,24.251,24.243,24.251,1570,0
2016-10-28,24.243,24.271,24.243,24.271,5153,0
2016-10-31,24.29,24.29,24.241,24.241,2386,0
2016-11-01,24.252,24.252,24.252,24.252,1463,0
2016-11-02,24.3,24.34,24.289,24.3,11000,0
2016-11-03,24.29,24.31,24.261,24.261,16309,0
2016-11-04,24.31,24.32,24.3,24.32,9832,0
2016-11-07,24.271,24.29,24.271,24.29,2722,0
2016-11-08,24.261,24.29,24.203,24.203,17507,0
2016-11-09,24.128,24.128,24.1,24.1,435,0
2016-11-10,24.081,24.1,24.011,24.08,27526,0
2016-11-11,24.061,24.061,23.904,23.904,16341,0
