Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,6.1684,6.1684,6.0843,6.1454,67855,0
2005-02-28,6.1302,6.1762,5.9694,6.061,89656,0
2005-03-01,6.0309,6.0309,5.8848,5.9771,118756,0
2005-03-02,5.9771,5.9848,5.8466,5.9387,102576,0
2005-03-03,5.9694,5.9771,5.7853,5.8238,84301,0
2005-03-04,5.8848,5.9694,5.7853,5.9233,77778,0
2005-03-07,5.9004,5.9771,5.8238,5.8543,63813,0
2005-03-08,5.8316,5.839,5.747,5.7702,76603,0
2005-03-09,5.7702,5.7853,5.7164,5.7164,87175,0
2005-03-10,5.747,5.8621,5.6857,5.709,120714,0
2005-03-11,5.7396,5.7702,5.4787,5.5327,98920,0
2005-03-14,5.5327,5.6707,5.5327,5.6707,89394,0
2005-03-15,5.747,5.8466,5.747,5.8008,86261,0
2005-03-16,5.8084,5.8773,5.747,5.7546,69166,0
2005-03-17,5.747,5.7853,5.747,5.7546,61599,0
2005-03-18,5.7777,5.7853,5.5556,5.5556,171217,0
2005-03-21,5.5556,5.6707,5.4787,5.5786,83652,0
2005-03-22,5.6245,5.6857,5.5327,5.5477,68776,0
2005-03-23,5.5863,5.5937,5.4942,5.5937,80388,0
2005-03-24,5.6092,5.7014,5.6092,5.6707,47110,0
2005-03-28,5.6707,5.7242,5.6474,5.709,89133,0
2005-03-29,5.6782,5.747,5.2106,5.2796,171086,0
2005-03-30,5.3258,5.5168,5.3177,5.5168,124369,0
2005-03-31,5.5168,5.5168,5.2106,5.3105,90307,0
2005-04-01,5.3639,5.5017,5.1726,5.1799,145376,0
2005-04-04,5.1876,5.2876,5.1726,5.2182,80781,0
2005-04-05,5.2491,5.2876,5.2414,5.2414,99443,0
2005-04-06,5.2719,5.2876,5.0954,5.0954,135983,0
2005-04-07,5.1034,5.2719,5.0954,5.2336,78433,0
2005-04-08,5.1799,5.2644,5.0651,5.0803,86001,0
2005-04-11,5.088,5.1186,4.9886,4.9886,85214,0
2005-04-12,5.0192,5.2106,4.9807,5.1569,110927,0
2005-04-13,5.1341,5.2491,5.1113,5.1876,89006,0
2005-04-14,5.2106,5.2261,5.0112,5.0192,74646,0
2005-04-15,5.0269,5.1876,4.9886,5.0039,139244,0
2005-04-18,5.1726,5.1726,5.0572,5.1341,118624,0
2005-04-19,5.1648,5.2491,5.1417,5.2336,66555,0
2005-04-20,5.2414,5.2644,5.0039,5.0039,106749,0
2005-04-21,5.0572,5.2644,5.0572,5.2491,70340,0
2005-04-22,5.2106,5.2106,4.9118,4.9886,141724,0
2005-04-25,4.9886,5.2106,4.9886,5.2031,110145,0
2005-04-26,5.2106,5.2796,5.1569,5.2336,95004,0
2005-04-27,5.2261,5.2336,5.088,5.1417,76995,0
2005-04-28,5.1113,5.1495,4.9886,4.9886,98397,0
2005-04-29,4.9886,5.1341,4.9807,5.0572,146160,0
2005-05-02,5.0192,5.1034,4.9962,5.0803,79214,0
2005-05-03,5.0572,5.088,4.9807,5.0192,102965,0
2005-05-04,5.0421,5.1799,5.0192,5.1726,87826,0
2005-05-05,5.1726,5.1876,5.1113,5.1876,78821,0
2005-05-06,5.1876,5.1876,5.0421,5.1113,78691,0
2005-05-09,5.1726,5.3639,5.1726,5.3334,95397,0
2005-05-10,5.3793,5.4252,5.2796,5.4175,112881,0
2005-05-11,5.4481,5.7014,5.3945,5.6707,189356,0
2005-05-12,5.7317,5.747,5.5097,5.5248,100224,0
2005-05-13,5.5633,5.5711,5.3024,5.3334,84173,0
2005-05-16,5.3334,5.6322,5.3334,5.6168,46718,0
2005-05-17,5.6014,5.6014,5.4559,5.5711,47369,0
2005-05-18,5.747,5.9771,5.7242,5.9233,136634,0
2005-05-19,5.9694,6.0692,5.931,6.0534,126845,0
2005-05-20,6.0919,6.1915,6.0534,6.138,123844,0
