Date,Open,High,Low,Close,Volume,OpenInt
2011-04-14,6.6896,6.7382,6.5141,6.5943,2198855,0
2011-04-15,6.708,6.7434,6.5818,6.7329,1244349,0
2011-04-18,6.662,6.7275,6.6082,6.6358,916106,0
2011-04-19,6.662,6.811,6.6305,6.7159,1096313,0
2011-04-20,6.9004,6.9004,6.6522,6.7597,1272652,0
2011-04-21,6.7486,7.0108,6.7275,6.9865,779816,0
2011-04-25,7.0807,7.1207,6.9187,7.0108,1268010,0
2011-04-26,7.0889,7.0889,6.8518,6.8518,1152118,0
2011-04-27,6.8735,7.0029,6.7892,6.9404,657194,0
2011-04-28,6.8945,7.0807,6.8781,6.9865,552824,0
2011-04-29,7.0009,7.1081,6.9798,7.0095,777399,0
2011-05-02,7.0134,7.0488,6.9274,6.9432,584270,0
2011-05-03,6.905,6.9676,6.811,6.8136,774470,0
2011-05-04,6.811,6.8753,6.6082,6.7514,1641055,0
2011-05-05,6.7434,6.7434,6.5412,6.5412,1412502,0
2011-05-06,6.9274,6.9274,6.6896,6.7703,1948066,0
2011-05-09,6.8242,6.9961,6.798,6.9319,1422573,0
2011-05-10,6.9838,6.9838,6.7356,6.7356,1338007,0
2011-05-11,6.7842,6.8781,6.6672,6.679,1350637,0
2011-05-12,6.7486,6.7703,6.6358,6.7224,572220,0
2011-05-13,6.7573,6.9961,6.7159,6.9135,2078907,0
2011-05-16,7.1022,7.1994,6.9838,7.1051,2378554,0
2011-05-17,7.1074,7.1207,6.8275,6.8275,2430628,0
2011-05-18,6.9563,7.041,6.8781,7.0074,1571024,0
2011-05-19,7.1155,7.1474,6.9676,7.0293,979795,0
2011-05-20,7.1341,7.1474,7.041,7.1207,902118,0
2011-05-23,7.0637,7.0667,6.9351,6.9701,830375,0
2011-05-24,7.0356,7.0912,6.9925,7.0667,806987,0
2011-05-25,7.0532,7.0941,7.0074,7.0703,772404,0
2011-05-26,7.0859,7.1474,7.0747,7.1341,683868,0
2011-05-27,7.1474,7.2831,7.1207,7.2565,759333,0
2011-05-31,7.3166,7.3514,7.186,7.2713,886038,0
2011-06-01,7.2698,7.2914,7.1245,7.1341,651618,0
2011-06-02,7.1749,7.1942,7.0985,7.1341,332853,0
2011-06-03,7.0807,7.2513,7.0271,7.1786,529477,0
2011-06-06,7.1245,7.2024,6.9509,6.9727,762582,0
2011-06-07,6.9135,6.9319,6.7842,6.897,1069963,0
2011-06-08,6.8538,7.0003,6.7703,6.8735,1126193,0
2011-06-09,6.8832,6.9676,6.8408,6.8891,428079,0
2011-06-10,6.8649,6.9459,6.8408,6.903,375497,0
2011-06-13,6.903,6.9319,6.7993,6.8242,886369,0
2011-06-14,6.8538,6.905,6.811,6.8649,901452,0
2011-06-15,6.7993,6.9187,6.7993,6.8452,473462,0
2011-06-16,6.8261,6.8768,6.7861,6.84,366683,0
2011-06-17,6.8832,6.8945,6.7467,6.7764,522793,0
2011-06-20,6.7731,6.8918,6.7573,6.8408,302303,0
2011-06-21,6.8694,6.9459,6.8209,6.9351,704163,0
2011-06-22,6.9319,7.0134,6.8821,6.8918,715397,0
2011-06-23,6.8598,6.9459,6.7782,6.8598,474626,0
2011-06-24,6.8891,6.9432,6.7597,6.7597,353290,0
2011-06-27,6.7782,7.0569,6.7782,7.0569,1053569,0
2011-06-28,7.1616,7.2238,7.0074,7.0074,767066,0
2011-06-29,7.1474,7.1965,7.0003,7.1474,437204,0
2011-06-30,7.1483,7.1608,7.0338,7.1334,388748,0
2011-07-01,7.1474,7.2298,7.0912,7.1207,436675,0
2011-07-05,7.2707,7.2707,7.1207,7.1245,601424,0
2011-07-06,7.1608,7.1608,7.0873,7.1467,480528,0
2011-07-07,7.2076,7.3374,7.1401,7.1489,671577,0
2011-07-08,7.1245,7.1608,7.0985,7.1349,359778,0
2011-07-11,7.1341,7.261,7.0941,7.1504,755122,0
2011-07-12,7.1489,7.2283,7.1014,7.1697,600731,0
2011-07-13,7.1697,7.261,7.1051,7.2053,461596,0
2011-07-14,7.261,7.3626,7.1942,7.2662,603114,0
