Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,23.308,23.369,23.018,23.363,596488,0
2005-02-28,23.457,23.692,23.195,23.502,357067,0
2005-03-01,23.469,23.502,22.53,22.81,510242,0
2005-03-02,22.85,23.174,22.603,23.103,318463,0
2005-03-03,23.308,23.502,23.214,23.502,315089,0
2005-03-04,23.597,23.796,23.481,23.79,318618,0
2005-03-07,23.79,23.826,23.412,23.566,335308,0
2005-03-08,23.502,23.796,23.435,23.751,300994,0
2005-03-09,23.751,23.751,21.683,21.69,906671,0
2005-03-10,22.197,22.482,20.405,21.869,1499180,0
2005-03-11,21.935,22.817,21.935,22.515,380192,0
2005-03-14,22.817,22.817,22.197,22.624,433041,0
2005-03-15,22.817,22.85,22.684,22.795,273739,0
2005-03-16,22.837,23.32,22.817,22.965,358288,0
2005-03-17,23.336,23.469,23.119,23.427,363187,0
2005-03-18,23.534,23.584,22.854,23.369,390459,0
2005-03-21,23.591,24.228,23.509,24.121,743844,0
2005-03-22,24.219,24.417,23.449,23.463,619158,0
2005-03-23,23.502,23.914,22.817,22.993,778465,0
2005-03-24,23.055,23.73,23.055,23.369,543636,0
2005-03-28,23.272,23.494,22.85,23.398,549763,0
2005-03-29,23.363,23.39,22.85,22.914,344201,0
2005-03-30,22.85,23.043,22.328,22.684,572128,0
2005-03-31,22.85,23.54,22.85,23.528,401026,0
2005-04-01,23.826,24.147,23.783,24.126,357214,0
2005-04-04,24.154,24.747,24.154,24.469,495846,0
2005-04-05,24.363,24.383,23.71,23.853,447748,0
2005-04-06,23.754,24.275,23.469,24.236,318301,0
2005-04-07,24.336,24.558,23.826,23.928,338680,0
2005-04-08,23.894,24.023,23.73,23.826,338988,0
2005-04-11,24.011,24.023,23.516,23.868,294115,0
2005-04-12,23.894,24.018,23.624,23.815,334859,0
2005-04-13,23.796,23.99,23.509,23.528,307584,0
2005-04-14,23.692,24.023,23.658,23.698,377750,0
2005-04-15,23.566,23.754,23.314,23.326,479451,0
2005-04-18,23.111,23.174,22.197,23.013,862103,0
2005-04-19,23.074,24.344,23.043,24.281,665111,0
2005-04-20,24.677,24.677,24.241,24.369,366259,0
2005-04-21,24.455,24.457,23.928,24.349,349405,0
2005-04-22,24.316,24.74,24.263,24.375,319842,0
2005-04-25,24.644,25.098,24.644,24.915,520048,0
2005-04-26,25.042,25.364,24.893,25.161,353081,0
2005-04-27,25.022,25.265,24.154,24.586,492171,0
2005-04-28,24.219,24.292,23.882,24.084,330408,0
2005-04-29,24.476,24.515,23.763,23.974,450350,0
2005-05-02,23.839,24.443,23.667,24.383,323055,0
2005-05-03,24.349,24.349,23.521,23.744,325202,0
2005-05-04,24.154,24.182,23.546,24.091,301162,0
2005-05-05,24.256,24.644,24.219,24.515,245091,0
2005-05-06,24.527,24.74,24.476,24.476,288588,0
2005-05-09,24.484,24.74,24.476,24.708,236509,0
2005-05-10,24.74,24.806,24.484,24.547,226250,0
2005-05-11,24.547,24.614,24.443,24.469,170490,0
2005-05-12,24.469,24.5,23.181,23.24,546394,0
2005-05-13,23.369,23.591,23.181,23.308,327195,0
2005-05-16,23.308,23.308,22.302,22.587,988629,0
2005-05-17,22.403,22.85,22.389,22.85,492322,0
2005-05-18,22.883,22.993,22.263,22.575,661284,0
2005-05-19,22.575,22.85,22.498,22.85,342356,0
2005-05-20,22.949,22.981,22.732,22.85,723323,0
2005-05-23,22.883,22.918,22.732,22.831,477464,0
2005-05-24,22.85,23.111,22.837,23.069,297474,0
2005-05-25,23.103,23.469,22.952,23.405,473478,0
2005-05-26,23.489,23.489,23.111,23.207,217370,0
2005-05-27,23.336,23.698,23.251,23.692,208630,0
2005-05-31,23.692,23.692,23.502,23.502,235440,0
2005-06-01,23.632,23.946,23.502,23.751,265917,0
2005-06-02,23.826,24.052,23.68,23.997,271895,0
2005-06-03,24.084,24.147,23.839,23.962,219202,0
2005-06-06,24.059,24.41,24.059,24.344,256269,0
2005-06-07,24.286,24.391,24.169,24.236,165584,0
2005-06-08,24.241,24.677,23.94,24.31,244782,0
2005-06-09,24.316,24.871,24.316,24.866,226250,0
2005-06-10,24.971,25.053,24.553,24.971,251676,0
2005-06-13,25.123,25.448,24.976,25.384,367636,0
2005-06-14,25.481,25.761,25.238,25.565,246315,0
2005-06-15,25.66,26.959,25.591,26.396,567228,0
2005-06-16,26.506,27.311,26.5,26.931,398575,0
2005-06-17,26.899,27.258,26.486,27.037,345728,0
2005-06-20,27.289,27.523,26.919,27.223,293643,0
2005-06-21,27.124,27.412,25.788,26.108,445911,0
2005-06-22,26.146,27.405,26.146,27.351,526024,0
2005-06-23,27.581,28.268,27.365,27.569,427074,0
2005-06-24,27.569,28.073,27.569,27.878,342512,0
2005-06-27,28.005,28.909,27.986,28.281,477312,0
2005-06-28,28.19,28.19,27.424,27.55,453260,0
2005-06-29,27.419,27.581,26.38,27.581,536897,0
2005-06-30,27.258,27.962,27.001,27.384,288588,0
2005-07-01,27.397,27.941,27.397,27.941,304832,0
2005-07-05,28.231,28.686,28.196,28.525,310343,0
2005-07-06,28.724,28.82,27.98,28.724,315708,0
2005-07-07,28.717,28.724,28.413,28.724,240345,0
2005-07-08,28.777,28.986,28.079,28.398,271433,0
2005-07-11,28.301,28.33,27.704,28.19,288130,0
2005-07-12,28.33,28.887,28.259,28.852,240492,0
2005-07-13,28.887,29.051,28.695,28.84,211852,0
2005-07-14,28.922,29.045,27.886,28.026,372691,0
2005-07-15,28.171,28.51,27.955,28.268,202503,0
2005-07-18,28.365,28.365,27.911,27.986,232844,0
2005-07-19,27.986,28.585,27.816,28.525,184280,0
