Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,36.433,36.87,36.433,36.821,411604,0
2005-02-28,36.86,37.074,36.538,36.617,823006,0
2005-03-01,36.86,37.277,36.85,37.104,500286,0
2005-03-02,36.86,37.123,36.676,36.947,790290,0
2005-03-03,37.045,37.551,36.87,37.045,1163421,0
2005-03-04,37.162,37.453,37.143,37.346,684739,0
2005-03-07,37.842,38.163,37.715,38.095,3499211,0
2005-03-08,38.999,39.98,38.999,39.747,8024298,0
2005-03-09,39.484,39.719,39.36,39.388,2270258,0
2005-03-10,39.34,39.474,39.232,39.388,1865854,0
2005-03-11,39.379,39.63,39.32,39.408,855616,0
2005-03-14,39.31,39.408,39.076,39.379,1460832,0
2005-03-15,39.163,39.222,38.902,39.066,1134717,0
2005-03-16,39.64,39.699,39.212,39.35,996351,0
2005-03-17,39.522,39.96,39.271,39.836,1705883,0
2005-03-18,39.806,39.95,39.34,39.911,1666072,0
2005-03-21,39.826,39.836,39.532,39.562,1304873,0
2005-03-22,39.921,40.515,39.921,40.185,2009675,0
2005-03-23,40.166,40.215,39.844,39.864,1070833,0
2005-03-24,40.31,40.31,39.435,40,2834119,0
2005-03-28,39.98,40.097,39.729,39.882,1752897,0
2005-03-29,39.144,39.144,38.105,38.105,2200612,0
2005-03-30,38.231,38.707,38.231,38.639,1048613,0
2005-03-31,38.765,38.951,38.707,38.784,1589120,0
2005-04-01,38.716,38.814,38.085,38.114,1064248,0
2005-04-04,37.891,38.095,37.647,38.046,676407,0
2005-04-05,38.143,38.659,38.143,38.513,597604,0
2005-04-06,38.765,39.046,38.735,38.765,611596,0
2005-04-07,39.134,39.522,39.027,39.281,705522,0
2005-04-08,39.163,39.34,39.009,39.086,483001,0
2005-04-11,39.086,39.095,38.745,38.814,291138,0
2005-04-12,38.26,38.814,38.026,38.755,1097785,0
2005-04-13,37.842,38.163,37.696,37.901,1647861,0
2005-04-14,37.336,37.589,36.928,37.054,1200249,0
2005-04-15,36.179,36.257,35.528,35.646,2016362,0
2005-04-18,34.722,35.208,34.663,35.11,1623068,0
2005-04-19,36.17,36.17,35.11,35.917,1226278,0
2005-04-20,35.508,35.518,35.042,35.237,903247,0
2005-04-21,36.092,36.53,35.849,36.442,826298,0
2005-04-22,35.811,35.926,35.557,35.704,731857,0
2005-04-25,36.336,36.511,36.208,36.413,1053755,0
2005-04-26,35.656,35.656,35.267,35.363,822079,0
2005-04-27,35.742,35.995,35.247,35.704,1323187,0
2005-04-28,35.489,35.616,34.799,34.984,809734,0
2005-04-29,35.469,35.694,34.974,35.577,1054988,0
2005-05-02,36.092,36.208,35.907,36.005,437427,0
2005-05-03,35.849,36.083,35.762,35.829,579601,0
2005-05-04,35.898,36.548,35.849,36.511,817140,0
2005-05-05,36.636,36.918,36.491,36.636,467673,0
2005-05-06,37.162,37.258,37.064,37.064,460265,0
2005-05-09,36.918,37.113,36.84,37.113,363048,0
2005-05-10,36.577,36.577,36.17,36.218,896149,0
2005-05-11,36.228,36.481,36.131,36.326,861995,0
2005-05-12,36.073,36.14,35.636,35.811,537320,0
2005-05-13,35.936,36.326,35.936,35.946,795126,0
2005-05-16,35.811,36.092,35.771,36.053,445246,0
2005-05-17,35.665,35.869,35.616,35.732,716837,0
2005-05-18,35.373,35.829,35.178,35.781,1174120,0
2005-05-19,36.452,36.676,36.452,36.607,974233,0
2005-05-20,36.238,36.267,36.083,36.189,492362,0
2005-05-23,36.87,37.192,36.84,37.015,775476,0
2005-05-24,36.821,36.938,36.774,36.87,508925,0
2005-05-25,36.53,36.53,36.179,36.287,782265,0
2005-05-26,36.384,36.52,36.198,36.452,313771,0
2005-05-27,36.462,36.558,36.326,36.53,455122,0
2005-05-31,36.336,36.384,36.015,36.112,356565,0
2005-06-01,36.005,36.462,36.005,36.336,922691,0
2005-06-02,36.025,36.316,35.898,36.208,805414,0
2005-06-03,35.801,35.811,35.469,35.567,1442625,0
2005-06-06,35.616,35.636,35.432,35.548,736898,0
2005-06-07,35.324,35.528,35.277,35.277,1019395,0
2005-06-08,35.314,35.479,35.228,35.267,655728,0
2005-06-09,34.887,35.11,34.584,35.101,732577,0
2005-06-10,34.906,34.984,34.566,34.742,915284,0
2005-06-13,34.498,34.663,34.411,34.576,542154,0
2005-06-14,34.614,34.849,34.576,34.819,1154676,0
2005-06-15,34.819,34.915,34.576,34.849,728771,0
2005-06-16,34.868,35.198,34.858,35.119,631656,0
2005-06-17,35.023,35.237,34.964,35.169,350291,0
2005-06-20,34.401,34.46,34.013,34.294,1012193,0
2005-06-21,34.401,34.45,34.304,34.401,1241915,0
2005-06-22,34.498,34.594,34.294,34.518,1058693,0
2005-06-23,34.498,34.584,34.156,34.215,1018571,0
2005-06-24,34.314,34.363,34.156,34.186,481048,0
2005-06-27,33.964,34.013,33.749,33.817,628775,0
2005-06-28,33.428,33.768,33.312,33.681,933493,0
2005-06-29,33.526,33.777,33.428,33.565,579397,0
2005-06-30,33.37,33.681,33.37,33.37,413251,0
2005-07-01,33.565,33.749,33.399,33.457,429093,0
2005-07-05,33.039,33.448,32.972,33.226,492774,0
2005-07-06,33.487,33.71,33.487,33.565,489174,0
2005-07-07,33.187,33.585,33.138,33.507,737927,0
2005-07-08,33.35,33.817,33.35,33.797,446995,0
2005-07-11,33.605,33.974,33.605,33.866,509030,0
2005-07-12,34.013,34.546,34.013,34.411,977420,0
2005-07-13,34.206,34.343,34.109,34.284,613344,0
2005-07-14,34.43,34.722,34.43,34.546,986782,0
2005-07-15,34.156,34.508,34.156,34.392,508102,0
2005-07-18,34.206,34.284,34.08,34.274,891830,0
2005-07-19,34.274,34.518,34.274,34.508,830824,0
2005-07-20,34.206,34.421,33.915,34.421,479709,0
2005-07-21,34.061,34.215,33.846,33.994,536086,0
2005-07-22,33.575,33.672,33.526,33.556,453682,0
2005-07-25,33.187,33.457,33.157,33.331,826503,0
2005-07-26,33.059,33.079,32.825,32.981,630010,0
2005-07-27,32.943,33.196,32.855,33.088,447715,0
2005-07-28,31.836,31.932,31.378,31.447,3381315,0
2005-07-29,31.542,31.718,31.457,31.504,1281007,0
2005-08-01,31.639,31.738,31.562,31.62,559541,0
2005-08-02,32.077,32.301,32.058,32.301,1358575,0
2005-08-03,32.466,32.603,32.36,32.574,769818,0
2005-08-04,32.495,32.564,32.291,32.321,452652,0
2005-08-05,32.077,32.243,32.067,32.156,720232,0
2005-08-08,32.028,32.38,32.028,32.126,393191,0
2005-08-09,32.466,32.554,32.35,32.505,559438,0
2005-08-10,32.981,33.428,32.981,33.167,1028036,0
2005-08-11,33.263,33.516,33.263,33.497,710664,0
2005-08-12,32.709,33.02,32.621,32.894,472611,0
2005-08-15,32.904,33.138,32.719,33.088,370351,0
2005-08-16,32.768,32.798,32.554,32.594,501827,0
2005-08-17,32.749,32.991,32.574,32.943,517978,0
2005-08-18,32.612,32.67,32.291,32.554,746260,0
2005-08-19,32.311,32.515,32.272,32.427,337020,0
2005-08-22,32.749,33.069,32.749,33.03,468290,0
2005-08-23,32.788,33.039,32.749,33.039,455532,0
2005-08-24,32.515,32.69,32.234,32.301,490202,0
2005-08-25,32.301,32.594,32.301,32.564,476212,0
2005-08-26,32.825,32.865,32.574,32.621,512526,0
2005-08-29,32.253,32.466,32.156,32.398,405845,0
2005-08-30,32.028,32.087,31.855,31.98,395351,0
2005-08-31,32.156,32.584,31.98,32.584,477652,0
2005-09-01,32.486,32.835,32.486,32.808,608612,0
2005-09-02,32.798,33.03,32.798,33.03,377039,0
2005-09-06,33.691,34.498,33.672,34.363,1189346,0
2005-09-07,34.421,34.508,34.314,34.478,516847,0
2005-09-08,34.323,34.478,34.264,34.401,312227,0
2005-09-09,34.712,35.267,34.643,35.188,736074,0
2005-09-12,35.139,35.277,35.023,35.071,490306,0
2005-09-13,35.324,35.402,35.149,35.277,604292,0
2005-09-14,34.897,35.032,34.643,34.79,395762,0
2005-09-15,35.324,35.557,35.178,35.178,795846,0
2005-09-16,35.178,35.606,35.178,35.567,577544,0
2005-09-19,35.363,35.567,35.277,35.422,504399,0
2005-09-20,35.277,35.286,34.829,34.858,766011,0
2005-09-21,34.868,35.004,34.624,34.858,713237,0
2005-09-22,33.672,33.72,32.894,32.894,2460270,0
2005-09-23,32.808,32.835,32.436,32.67,1000363,0
2005-09-26,32.739,32.874,32.709,32.778,656655,0
2005-09-27,32.778,32.972,32.574,32.972,810248,0
2005-09-28,32.262,32.719,32.225,32.495,1057356,0
2005-09-29,32.195,32.417,32.018,32.35,796154,0
2005-09-30,32.107,32.195,31.98,32.166,832263,0
2005-10-03,32.058,32.126,31.941,32.048,617974,0
2005-10-04,33.059,33.556,33.049,33.167,1250143,0
2005-10-05,33.108,33.138,32.554,32.554,926189,0
2005-10-06,32.456,32.515,32.009,32.136,808087,0
2005-10-07,32.225,32.408,31.951,32.028,439794,0
2005-10-10,32.077,32.205,31.98,32.077,358008,0
2005-10-11,31.99,32.107,31.718,31.826,587008,0
2005-10-12,31.922,31.98,31.542,31.903,1207451,0
2005-10-13,31.689,31.846,31.408,31.816,498843,0
2005-10-14,32.225,32.495,31.98,32.436,460883,0
2005-10-17,32.195,32.466,32.126,32.427,330335,0
2005-10-18,32.321,32.331,32.038,32.156,350806,0
2005-10-19,31.836,32.272,31.797,32.225,528987,0
2005-10-20,31.836,32.253,31.728,31.846,412016,0
2005-10-21,31.787,31.97,31.542,31.679,308009,0
2005-10-24,31.447,31.826,31.27,31.777,346383,0
2005-10-25,31.639,31.826,31.29,31.339,718587,0
2005-10-26,31.408,31.63,31.3,31.368,275501,0
2005-10-27,31.192,31.241,30.814,30.832,472507,0
2005-10-28,30.96,31.467,30.95,31.427,596266,0
2005-10-31,31.418,31.816,31.418,31.787,564891,0
2005-11-01,31.894,32.166,31.884,31.932,518698,0
2005-11-02,31.447,31.806,31.447,31.738,517363,0
2005-11-03,31.679,31.98,31.679,31.922,432283,0
2005-11-04,32.077,32.388,32.048,32.272,455944,0
2005-11-07,32.195,32.515,32.126,32.446,346279,0
2005-11-08,32.38,32.515,32.321,32.436,320251,0
2005-11-09,32.991,33.37,32.914,33.226,782987,0
2005-11-10,33.088,33.088,32.709,33.02,396688,0
2005-11-11,32.874,32.924,32.729,32.845,745129,0
2005-11-14,32.709,32.933,32.68,32.835,400289,0
2005-11-15,32.631,32.874,32.525,32.67,389074,0
2005-11-16,32.466,32.621,32.225,32.594,331568,0
2005-11-17,32.943,33.605,32.943,33.605,1032768,0
2005-11-18,34.08,34.294,33.244,34.119,923514,0
2005-11-21,34.206,35.451,34.206,35.334,990074,0
2005-11-22,35.013,35.228,34.839,35.129,518494,0
2005-11-23,35.228,35.674,35.228,35.557,658918,0
2005-11-25,35.432,35.538,35.267,35.334,188777,0
2005-11-28,36.092,36.287,35.898,36.198,1377505,0
2005-11-29,36.189,36.297,35.936,35.946,599354,0
2005-11-30,35.859,36.15,35.859,35.859,540921,0
2005-12-01,36.025,36.336,35.995,36.336,413251,0
2005-12-02,36.287,36.462,36.238,36.442,643899,0
2005-12-05,36.538,36.577,36.326,36.577,975673,0
2005-12-06,35.616,36.112,35.528,35.936,968781,0
2005-12-07,36.063,36.102,35.674,35.829,552546,0
2005-12-08,35.081,35.451,35.081,35.314,683095,0
2005-12-09,35.704,36.025,35.665,35.995,377143,0
2005-12-12,36.044,36.247,35.995,36.14,334448,0
2005-12-13,36.044,36.277,35.811,36.208,876706,0
2005-12-14,35.917,36.083,35.752,35.859,532690,0
2005-12-15,35.829,35.936,35.656,35.811,339489,0
