Date,Open,High,Low,Close,Volume,OpenInt
1990-01-12,6.73,6.73,6.5425,6.73,14863,0
1990-01-15,6.6055,6.6055,6.5425,6.5425,1858,0
1990-01-16,6.4817,6.4817,6.3547,6.4817,13935,0
1990-01-17,6.4817,6.6669,6.4817,6.6669,4829,0
1990-01-18,6.5425,6.6055,6.4817,6.6055,5201,0
1990-01-19,6.6669,6.73,6.5425,6.73,4829,0
1990-01-22,6.73,6.73,6.6669,6.73,10591,0
1990-01-23,6.73,6.73,6.5425,6.5425,11334,0
1990-01-24,6.4817,6.4817,6.4193,6.4193,2971,0
1990-01-25,6.4817,6.4817,6.4193,6.4193,3531,0
1990-01-26,6.4193,6.4193,6.3547,6.3547,8360,0
1990-01-29,6.2943,6.4193,6.2943,6.4193,7060,0
1990-01-30,6.4817,6.5425,6.4193,6.4193,11706,0
1990-01-31,6.4193,6.4193,6.3547,6.3547,2786,0
1990-02-01,6.2943,6.4193,6.2308,6.2943,13935,0
1990-02-02,6.2943,6.2943,6.1695,6.2943,13562,0
1990-02-05,6.4193,6.4193,6.1695,6.2308,17094,0
1990-02-06,6.3547,6.4193,6.3547,6.3547,2601,0
1990-02-07,6.2943,6.4193,6.2943,6.4193,5388,0
1990-02-08,6.5425,6.6669,6.3547,6.4193,19322,0
1990-02-09,6.4193,6.5425,6.3547,6.5425,14863,0
1990-02-12,6.5425,6.5425,6.4193,6.4193,27498,0
1990-02-13,6.3547,6.4193,6.3547,6.3547,6132,0
1990-02-14,6.2308,6.3547,6.2308,6.2943,5201,0
1990-02-15,6.2943,6.2943,6.2308,6.2308,2601,0
1990-02-16,6.3547,6.3547,6.2308,6.2308,10963,0
1990-02-20,6.1695,6.3547,6.1695,6.1695,9847,0
1990-02-21,6.1695,6.2943,6.1695,6.2943,16536,0
1990-02-22,6.2943,6.2943,6.1695,6.2308,16536,0
1990-02-23,6.2308,6.3547,6.2308,6.3547,18579,0
1990-02-26,6.3547,6.3547,6.1072,6.1072,15234,0
1990-02-27,6.2943,6.2943,6.1072,6.1695,8916,0
1990-02-28,6.1695,6.3547,6.1695,6.3547,38270,0
1990-03-01,6.3547,6.3547,6.3547,6.3547,2786,0
1990-03-02,6.3547,6.5425,6.3547,6.4817,33441,0
1990-03-05,6.5425,6.917,6.4817,6.8549,24525,0
1990-03-06,6.9784,7.4779,6.917,7.4779,101068,0
1990-03-07,7.6022,7.6022,7.2284,7.2284,54435,0
1990-03-08,7.2284,7.2284,6.9784,6.9784,28610,0
1990-03-09,7.2284,7.2284,6.9784,6.9784,20621,0
1990-03-12,7.1035,7.1663,7.0413,7.1035,27498,0
1990-03-13,6.9784,6.9784,6.8549,6.9784,15420,0
1990-03-14,6.9784,7.1663,6.8549,7.1663,34000,0
1990-03-15,7.2284,7.3543,7.1663,7.29,26754,0
1990-03-16,7.3543,7.3543,7.1663,7.1663,11891,0
1990-03-19,7.1035,7.1663,7.0413,7.1663,7245,0
1990-03-20,7.0413,7.1035,6.9784,7.1035,11334,0
1990-03-21,7.1035,7.1035,7.0413,7.1035,1487,0
1990-03-22,7.1035,7.29,7.1035,7.2284,25083,0
1990-03-23,7.2284,7.4779,7.2284,7.4779,36600,0
1990-03-26,7.6022,7.789,7.4779,7.789,54250,0
1990-03-27,7.789,7.789,7.6022,7.6022,73572,0
1990-03-28,7.6022,7.7281,7.6022,7.6022,41618,0
1990-03-29,7.6022,7.789,7.6022,7.7281,73201,0
1990-03-30,7.7281,7.789,7.4779,7.789,56850,0
1990-04-02,7.789,7.789,7.4157,7.6022,68369,0
1990-04-03,7.4779,7.5394,7.3543,7.5394,20437,0
1990-04-04,7.4157,7.4779,7.3543,7.3543,20437,0
1990-04-05,7.3543,7.3543,6.9784,6.9784,38641,0
1990-04-06,7.0413,7.0413,6.5425,6.5425,21736,0
1990-04-09,6.6669,6.917,6.6669,6.917,19880,0
1990-04-10,6.8549,6.917,6.7926,6.7926,3717,0
1990-04-11,6.7926,6.9784,6.6669,6.73,20437,0
1990-04-12,6.8549,7.0413,6.6669,6.73,15979,0
1990-04-16,6.6669,6.9784,6.6669,6.9784,10034,0
1990-04-17,6.7926,6.7926,6.5425,6.6055,28057,0
1990-04-18,6.5425,6.7926,6.5425,6.6669,12448,0
1990-04-19,6.7926,6.8549,6.6669,6.6669,2044,0
1990-04-20,6.6669,6.6669,6.4817,6.5425,20250,0
1990-04-23,6.6669,6.6669,6.4817,6.4817,11146,0
1990-04-24,6.4817,6.5425,6.4817,6.5425,1673,0
1990-04-25,6.4193,6.4193,6.2943,6.3547,13191,0
1990-04-26,6.2943,6.2943,6.2308,6.2943,15605,0
1990-04-27,6.2308,6.2308,6.1695,6.1695,5574,0
1990-04-30,6.2943,6.2943,6.1072,6.1072,1301,0
1990-05-01,6.1695,6.5425,6.1695,6.3547,38085,0
1990-05-02,6.4817,6.4817,6.3547,6.4193,6314,0
1990-05-03,6.3547,6.3547,6.1695,6.2943,6314,0
1990-05-04,6.1695,6.2308,6.1695,6.1695,3717,0
