Date,Open,High,Low,Close,Volume,OpenInt
2009-03-11,14.631,14.631,14.631,14.631,156,0
2009-03-12,14.366,14.376,14.332,14.332,9223,0
2009-03-13,14.452,14.476,14.376,14.376,7590,0
2009-03-16,14.35,14.402,14.35,14.402,1917,0
2009-03-17,14.332,14.402,14.332,14.402,4103,0
2009-03-18,14.259,14.309,14.259,14.309,2924,0
2009-03-19,14.417,14.417,14.417,14.417,4343,0
2009-03-20,14.398,14.417,14.398,14.417,3246,0
2009-03-23,14.432,14.432,14.432,14.432,8607,0
2009-03-25,14.417,14.423,14.398,14.398,4324,0
2009-03-26,14.332,14.381,13.778,14.381,7281,0
2009-03-27,14.376,14.407,14.376,14.407,5130,0
2009-03-30,14.516,14.516,14.412,14.412,16406,0
2009-03-31,14.412,14.412,14.412,14.412,19374,0
2009-04-01,14.428,14.428,14.428,14.428,471,0
2009-04-02,14.484,14.484,14.428,14.428,3298,0
2009-04-06,14.484,14.484,14.412,14.412,1843,0
2009-04-07,14.428,14.428,14.428,14.428,495,0
2009-04-08,14.402,14.402,14.398,14.398,2514,0
2009-04-09,14.428,14.428,14.402,14.402,8862,0
2009-04-13,14.484,14.484,14.432,14.484,4568,0
2009-04-14,14.499,14.516,14.499,14.499,7590,0
2009-04-15,14.665,14.669,14.665,14.665,20508,0
2009-04-16,14.655,14.711,14.655,14.669,6968,0
2009-04-17,14.665,14.665,14.665,14.665,1365,0
2009-04-20,14.688,14.688,14.619,14.619,25246,0
2009-04-21,14.731,14.753,14.731,14.731,31429,0
2009-04-22,14.731,14.731,14.731,14.731,10364,0
2009-04-24,14.731,14.731,14.731,14.731,2689,0
2009-04-27,14.731,14.731,14.731,14.731,577,0
2009-04-29,14.784,14.829,14.769,14.784,7159,0
2009-05-05,14.784,14.784,14.784,14.784,331,0
2009-05-06,14.805,14.805,14.805,14.805,126944,0
2009-05-07,14.805,14.805,14.805,14.805,31023,0
2009-05-08,14.829,14.829,14.822,14.822,16079,0
2009-05-11,14.878,14.878,14.829,14.829,1681,0
2009-05-12,14.829,14.829,14.822,14.822,1926,0
2009-05-13,14.829,14.878,14.797,14.854,8157,0
2009-05-14,14.854,14.859,14.822,14.854,14952,0
2009-05-15,14.863,14.863,14.854,14.854,7467,0
2009-05-18,14.863,15.053,14.844,15.02,14700,0
2009-05-19,15.02,15.094,15.02,15.077,14063,0
2009-05-20,15.068,15.114,15.068,15.114,9027,0
2009-05-21,15.088,15.114,14.923,14.962,11378,0
2009-05-22,14.95,14.955,14.878,14.899,11507,0
2009-05-26,15.012,15.012,14.878,14.918,8632,0
2009-05-27,15.04,15.04,14.829,14.829,27375,0
2009-05-28,14.825,15.02,14.805,15.02,10600,0
2009-05-29,15.124,15.245,15.124,15.231,5848,0
2009-06-01,15.114,15.284,15.068,15.284,5996,0
2009-06-02,15.138,15.28,15.138,15.28,1251,0
2009-06-03,15.255,15.327,15.255,15.327,1251,0
2009-06-04,15.352,15.483,15.352,15.473,2219,0
2009-06-05,15.449,15.473,15.445,15.458,7640,0
2009-06-08,15.489,15.489,15.463,15.463,4195,0
2009-06-09,15.391,15.499,15.381,15.458,3107,0
2009-06-10,15.591,15.591,15.572,15.572,1001,0
2009-06-11,15.568,15.642,15.568,15.585,1541,0
2009-06-12,15.658,15.709,15.638,15.658,7376,0
2009-06-15,15.658,15.662,15.613,15.613,7281,0
2009-06-16,15.811,15.832,15.684,15.684,7170,0
2009-06-17,15.729,15.832,15.729,15.754,4620,0
2009-06-18,15.668,15.684,15.531,15.531,10923,0
2009-06-19,15.493,15.521,15.489,15.493,3696,0
2009-06-22,15.473,15.479,15.449,15.449,2090,0
2009-06-23,15.406,15.525,15.381,15.525,8081,0
2009-06-24,15.525,15.591,15.525,15.591,1001,0
2009-06-25,15.648,15.832,15.648,15.807,1410,0
2009-06-26,15.653,16.161,15.653,15.868,9395,0
2009-06-29,15.684,15.807,15.678,15.807,10304,0
2009-06-30,15.807,15.935,15.807,15.893,2673,0
2009-07-01,15.772,15.821,15.521,15.684,6175,0
2009-07-02,15.807,15.86,15.807,15.817,7766,0
2009-07-06,15.758,15.837,15.714,15.787,15157,0
2009-07-07,15.852,15.898,15.768,15.879,5055,0
2009-07-08,15.873,16.084,15.873,16.084,7606,0
2009-07-09,15.935,15.972,15.817,15.817,7242,0
2009-07-10,15.935,16.041,15.879,15.966,6470,0
2009-07-13,16.084,16.824,16.022,16.051,17674,0
2009-07-14,15.947,15.986,15.613,15.754,31545,0
2009-07-15,15.811,15.893,15.709,15.787,15072,0
2009-07-16,15.758,15.996,15.758,15.996,3867,0
2009-07-17,15.919,15.941,15.832,15.832,6863,0
2009-07-20,15.856,16.099,15.856,16.045,4786,0
2009-07-21,16.056,16.384,15.898,16.182,13100,0
2009-07-22,16.195,16.195,16.115,16.134,3665,0
2009-07-23,16.153,16.205,16.064,16.143,6480,0
2009-07-24,16.089,17.062,16.041,16.153,42677,0
2009-07-27,16.056,16.099,15.996,16.093,7044,0
2009-07-28,16.233,16.571,16.182,16.304,28588,0
2009-07-29,16.488,16.927,16.399,16.645,35642,0
2009-07-30,16.66,16.923,16.542,16.923,33610,0
2009-07-31,16.933,17.173,16.933,17.033,24475,0
2009-08-03,17.001,17.068,16.897,17.025,12996,0
2009-08-04,17.138,17.138,16.727,16.927,10122,0
2009-08-05,16.839,16.874,16.645,16.66,10083,0
2009-08-06,16.791,16.963,16.791,16.888,2686,0
2009-08-07,16.796,16.874,16.767,16.777,10622,0
2009-08-10,16.878,17.007,16.8,17.007,6023,0
2009-08-11,17.104,17.385,16.772,16.777,25088,0
2009-08-12,16.888,17.021,16.66,16.767,12259,0
2009-08-13,16.923,17.908,16.796,17.001,87838,0
2009-08-14,16.858,17.134,16.858,17.057,23583,0
2009-08-17,17.128,17.217,17.088,17.217,9259,0
2009-08-18,17.108,17.173,16.983,17.088,27769,0
2009-08-19,17.12,17.228,17.108,17.186,11735,0
2009-08-20,17.148,17.196,17.124,17.186,6489,0
2009-08-21,17.046,17.124,16.751,16.787,60827,0
2009-08-24,16.949,17.088,16.908,17.088,9165,0
2009-08-25,17.068,17.19,17.062,17.062,5965,0
2009-08-26,17.078,17.143,17.078,17.143,1651,0
2009-08-27,17.072,17.153,17.072,17.153,6986,0
2009-08-28,17.153,17.338,17.153,17.338,4546,0
2009-08-31,17.293,17.567,16.635,17.371,32679,0
2009-09-02,17.183,17.404,17.183,17.289,3178,0
2009-09-03,17.293,17.375,17.293,17.328,7319,0
2009-09-04,17.228,17.254,17.12,17.177,7171,0
2009-09-08,17.028,17.128,16.772,16.834,46266,0
2009-09-09,17.017,17.098,16.897,17.093,14271,0
2009-09-10,17.173,17.425,17.173,17.419,10921,0
2009-09-11,17.518,17.537,17.333,17.528,1251,0
2009-09-14,17.28,17.404,17.28,17.357,4667,0
2009-09-15,17.357,17.503,17.357,17.469,7920,0
2009-09-16,17.431,17.518,17.304,17.469,4616,0
2009-09-17,17.485,17.533,17.347,17.508,5645,0
2009-09-18,17.567,17.567,17.441,17.494,1060,0
2009-09-21,17.543,17.543,17.371,17.371,5742,0
2009-09-22,17.479,17.523,17.419,17.431,10493,0
2009-09-23,17.528,17.592,17.158,17.572,33708,0
2009-09-24,17.572,17.64,17.454,17.64,3707,0
2009-09-25,17.597,17.71,17.587,17.71,2762,0
2009-09-28,17.781,17.87,17.694,17.87,7874,0
2009-09-29,17.694,18.096,17.582,17.678,28591,0
2009-09-30,17.663,18.277,17.366,17.682,17842,0
2009-10-01,17.563,17.663,17.518,17.663,3767,0
2009-10-02,17.587,17.634,17.548,17.587,14049,0
2009-10-05,17.634,17.694,17.587,17.587,2350,0
2009-10-06,17.563,17.608,17.469,17.563,1624,0
2009-10-07,17.597,17.732,17.597,17.718,4384,0
2009-10-08,17.84,17.84,17.587,17.587,37247,0
2009-10-09,17.682,17.682,17.114,17.254,24675,0
2009-10-12,17.351,17.385,17.114,17.138,17973,0
2009-10-13,17.098,17.203,17.046,17.203,16307,0
2009-10-14,17.173,17.203,17.158,17.183,20519,0
2009-10-15,17.114,17.254,17.114,17.228,19302,0
2009-10-16,17.183,17.212,17.114,17.124,2960,0
2009-10-19,17.114,17.183,16.531,17.177,27378,0
2009-10-20,17.347,17.469,17.304,17.389,13109,0
2009-10-21,17.469,17.518,17.469,17.503,5302,0
2009-10-22,17.449,17.494,17.449,17.494,3159,0
2009-10-23,17.497,17.518,17.158,17.497,5058,0
2009-10-26,17.404,17.404,17.323,17.323,9772,0
2009-10-27,17.379,17.425,17.379,17.425,2442,0
2009-10-28,17.441,17.441,17.347,17.351,19279,0
2009-10-29,17.361,17.819,17.158,17.264,31885,0
2009-10-30,17.264,18.537,17.162,17.162,3643,0
2009-11-02,17.196,17.425,17.196,17.357,9048,0
2009-11-03,17.366,17.371,17.254,17.254,31272,0
2009-11-04,17.375,17.379,17.347,17.347,924,0
2009-11-05,17.275,17.275,16.993,17.128,21007,0
