Date,Open,High,Low,Close,Volume,OpenInt
2015-05-07,27.554,28.755,26.822,28.311,30140860,0
2015-05-08,28.213,28.355,27.748,28.213,2110746,0
2015-05-11,28.096,28.167,27.9,28.087,621525,0
2015-05-12,28.025,28.534,27.775,28.087,1049360,0
2015-05-13,28.416,28.534,28.096,28.231,414053,0
2015-05-14,28.24,29.103,28.115,28.953,498500,0
2015-05-15,28.873,29.094,28.365,28.517,244293,0
2015-05-18,28.615,29.159,28.39,28.685,351659,0
2015-05-19,28.784,29.862,28.347,29.346,540333,0
2015-05-20,29.282,29.471,28.577,28.764,275100,0
2015-05-21,28.569,29.576,28.087,28.729,236859,0
2015-05-22,28.704,28.704,28.365,28.444,121010,0
2015-05-26,28.399,28.577,27.829,28.087,183646,0
2015-05-27,28.293,28.311,27.892,28.025,187512,0
2015-05-28,28.096,28.159,27.873,28.042,186527,0
2015-05-29,28.106,28.694,28.008,28.577,362801,0
2015-06-01,28.517,29.273,28.517,29.086,445227,0
2015-06-02,29.061,30.04,28.882,29.781,369847,0
2015-06-03,29.844,31.192,29.291,29.328,573751,0
2015-06-04,29.202,29.426,27.856,27.999,442987,0
2015-06-05,27.918,28.205,27.017,27.732,355621,0
2015-06-08,27.573,27.811,27.036,27.087,760255,0
2015-06-09,27.117,27.354,26.964,27.169,239239,0
2015-06-10,27.242,28.096,27.107,27.605,631388,0
2015-06-11,27.597,27.954,27.426,27.643,187007,0
2015-06-12,27.775,28.507,27.418,28.328,151289,0
2015-06-15,28.488,28.488,27.964,28.231,151625,0
2015-06-16,28.106,28.311,27.829,28.159,148372,0
2015-06-17,27.873,28.677,27.838,28.507,209492,0
2015-06-18,28.488,28.488,27.652,27.918,326576,0
2015-06-19,27.918,28.338,27.197,27.394,199736,0
2015-06-22,27.652,28.677,27.126,28.559,582387,0
2015-06-23,28.624,29.748,28.167,29.015,417478,0
2015-06-24,28.863,29.319,28.624,29.103,393417,0
2015-06-25,28.944,29.149,28.488,28.65,171924,0
2015-06-26,28.399,29.247,28.175,28.971,547844,0
2015-06-29,28.577,28.944,28.409,28.714,439174,0
2015-06-30,28.615,28.971,28.399,28.667,230188,0
2015-07-01,28.685,28.694,28.365,28.444,272070,0
2015-07-02,28.266,28.534,27.347,27.418,414500,0
2015-07-06,27.205,27.498,25.715,26.082,809601,0
2015-07-07,25.949,27.498,25.057,26.615,1594303,0
2015-07-08,26.492,27.007,25.991,26.857,486050,0
2015-07-09,26.991,27.58,26.59,26.929,222503,0
2015-07-10,27.063,27.918,26.706,27.82,170352,0
2015-07-13,27.794,28.586,27.643,28.257,370988,0
2015-07-14,28.133,28.624,28.077,28.319,180192,0
2015-07-15,28.167,28.436,27.232,27.364,199799,0
2015-07-16,27.394,28.276,27.394,28.133,670533,0
2015-07-17,27.928,28.319,26.573,26.653,732217,0
2015-07-20,26.634,27.267,25.566,25.788,435248,0
2015-07-21,25.566,26.607,25.486,26,367959,0
2015-07-22,25.868,26.064,24.566,24.744,489417,0
2015-07-23,24.87,25.752,24.593,24.842,449378,0
2015-07-24,24.548,26.206,24.548,25.331,407209,0
2015-07-27,25.218,25.581,24.664,24.698,147362,0
2015-07-28,24.921,26.154,24.823,26.054,207363,0
2015-07-29,25.986,26.299,25.628,26.031,130327,0
2015-07-30,26.094,26.262,25.611,25.942,121041,0
2015-07-31,26.37,28.149,26.147,26.89,635077,0
2015-08-03,26.861,27.041,26.28,26.791,298730,0
2015-08-04,26.844,26.908,26.031,26.199,87480,0
2015-08-05,26.343,26.719,25.387,25.567,123839,0
2015-08-06,25.467,25.539,25.03,25.387,215088,0
2015-08-07,25.477,25.763,24.984,25.251,677251,0
2015-08-10,25.431,27.228,25.139,25.923,562026,0
2015-08-11,25.825,27.291,25.726,26.318,434541,0
2015-08-12,26.353,26.594,25.942,26.343,369278,0
2015-08-13,26.324,26.53,25.906,25.923,278553,0
2015-08-14,26.147,26.209,25.155,25.487,403286,0
