Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,14.099,14.623,14.099,14.615,105900,0
2005-02-28,14.615,14.623,14.275,14.623,122346,0
2005-03-01,14.705,15.069,14.686,15.011,90041,0
2005-03-02,14.883,15.069,14.686,14.731,76200,0
2005-03-03,14.731,14.825,14.502,14.776,131332,0
2005-03-04,14.832,15.191,14.623,15.002,42597,0
2005-03-07,14.579,15.206,14.579,14.995,71465,0
2005-03-08,14.96,15.043,14.792,14.874,103179,0
2005-03-09,14.705,15.077,14.623,15.002,118793,0
2005-03-10,14.917,15.035,14.792,14.899,101400,0
2005-03-11,14.792,14.96,14.792,14.926,94301,0
2005-03-14,14.926,15.069,14.89,15.011,85901,0
2005-03-15,15.127,15.382,15.077,15.086,74427,0
2005-03-16,15.077,15.077,14.748,14.89,80815,0
2005-03-17,14.96,15.145,14.758,15.102,68273,0
2005-03-18,15.245,15.245,14.792,14.816,338281,0
2005-03-21,14.705,14.942,14.705,14.89,105541,0
2005-03-22,14.832,14.976,14.63,14.639,77976,0
2005-03-23,14.554,14.571,14.351,14.461,81996,0
2005-03-24,14.528,14.571,14.351,14.436,85073,0
2005-03-28,14.419,14.537,14.114,14.132,72769,0
2005-03-29,14.14,14.444,13.911,13.947,103651,0
2005-03-30,13.971,14.412,13.971,14.412,69453,0
2005-03-31,14.309,14.436,14.106,14.249,99270,0
2005-04-01,14.155,14.452,13.986,14.155,108498,0
2005-04-04,14.155,14.476,13.911,14.436,96666,0
2005-04-05,14.537,14.686,14.426,14.554,86375,0
2005-04-06,14.686,14.874,14.579,14.579,101518,0
2005-04-07,14.648,14.967,14.492,14.776,51469,0
2005-04-08,14.883,14.883,14.519,14.537,72293,0
2005-04-11,14.579,14.705,14.351,14.367,119977,0
2005-04-12,14.284,14.841,14.199,14.841,119977,0
2005-04-13,14.714,14.748,14.589,14.596,183637,0
2005-04-14,14.623,14.686,14.554,14.563,189312,0
2005-04-15,14.571,14.571,14.073,14.081,118793,0
2005-04-18,14.199,14.579,14.037,14.47,88268,0
2005-04-19,14.47,14.748,14.342,14.492,190499,0
2005-04-20,14.484,14.623,14.249,14.249,134884,0
2005-04-21,14.367,14.677,14.334,14.476,155829,0
2005-04-22,14.419,14.492,13.878,14.037,173577,0
2005-04-25,14.046,14.403,13.777,14.385,139856,0
2005-04-26,14.241,14.241,13.692,13.818,161269,0
2005-04-27,13.732,14.14,13.616,13.86,139025,0
2005-04-28,13.76,13.911,13.538,13.751,168843,0
2005-04-29,13.792,13.937,13.599,13.742,125303,0
2005-05-02,13.699,13.818,13.362,13.667,69572,0
2005-05-03,13.609,13.732,13.303,13.482,186476,0
2005-05-04,13.538,13.732,13.193,13.732,180676,0
2005-05-05,13.683,13.725,13.394,13.457,140804,0
2005-05-06,13.521,13.616,13.278,13.465,104477,0
2005-05-09,13.465,13.599,13.385,13.538,48983,0
2005-05-10,13.521,13.521,13.066,13.1,104361,0
2005-05-11,13.15,13.345,12.786,12.965,130746,0
2005-05-12,12.974,13.142,12.695,12.737,87796,0
2005-05-13,12.804,12.821,12.254,12.473,80338,0
2005-05-16,12.509,13,12.509,13,76317,0
2005-05-17,12.956,13.193,12.705,13.142,51235,0
2005-05-18,13.269,13.513,13.261,13.421,86846,0
2005-05-19,13.447,13.667,13.278,13.564,55491,0
2005-05-20,13.573,13.573,12.856,12.956,100333,0
2005-05-23,13.008,13.202,12.871,12.956,50760,0
2005-05-24,12.93,13.091,12.695,13.015,46740,0
2005-05-25,12.93,12.93,12.145,12.272,110510,0
2005-05-26,12.356,12.695,12.237,12.617,92293,0
2005-05-27,12.591,12.786,12.509,12.745,66020,0
2005-05-31,12.865,12.93,12.777,12.888,197241,0
2005-06-01,12.856,13.032,12.695,13,130511,0
2005-06-02,12.897,13.066,12.737,12.737,85190,0
2005-06-03,12.76,12.811,12.21,12.316,103056,0
2005-06-06,12.316,12.536,12.195,12.501,152398,0
2005-06-07,12.585,12.769,12.449,12.705,112878,0
2005-06-08,12.786,12.804,12.577,12.669,61884,0
2005-06-09,12.509,12.848,12.465,12.838,90281,0
2005-06-10,12.838,12.93,12.678,12.786,104239,0
2005-06-13,12.786,12.897,12.591,12.888,128615,0
2005-06-14,12.897,13.159,12.848,13.134,94541,0
2005-06-15,13.218,13.242,12.76,13.236,83653,0
2005-06-16,13.236,13.482,13,13.482,153462,0
