Date,Open,High,Low,Close,Volume,OpenInt
2011-11-03,24.555,24.676,24.045,24.054,1771813,0
2011-11-04,23.853,24.237,22.677,22.962,2110010,0
2011-11-07,22.705,23.226,22.214,22.422,2965940,0
2011-11-08,22.877,23.104,22.569,22.733,2220991,0
2011-11-09,22.197,22.789,21.729,21.775,1723324,0
2011-11-10,22.312,22.524,21.438,21.557,1279112,0
2011-11-11,21.767,21.956,21.539,21.684,1389065,0
2011-11-14,21.493,21.966,21.411,21.811,1468959,0
2011-11-15,21.821,22.214,21.711,21.868,1818617,0
2011-11-16,21.83,22.422,21.675,21.984,1979717,0
2011-11-17,21.877,22.048,21.567,21.739,1403306,0
2011-11-18,21.639,22.004,21.622,21.811,1564679,0
2011-11-21,21.602,21.701,21.274,21.529,1406487,0
2011-11-22,22.807,23.826,20.663,21.539,2332829,0
2011-11-23,21.211,21.648,20.856,21.585,1107670,0
2011-11-25,21.376,21.376,20.856,20.963,1087324,0
2011-11-28,21.567,22.04,21.093,21.411,1719425,0
2011-11-29,21.428,21.511,21.121,21.211,1341040,0
2011-11-30,21.932,22.048,21.268,21.783,2546127,0
2011-12-01,21.701,22.206,21.557,22.122,1148273,0
2011-12-02,23.226,23.226,22.075,22.104,1326197,0
2011-12-05,22.395,22.923,22.249,22.869,1021200,0
2011-12-06,22.807,22.851,22.34,22.631,727048,0
2011-12-07,22.533,22.631,21.749,22.395,1043544,0
2011-12-08,22.286,22.377,21.693,21.767,1029755,0
2011-12-09,21.94,22.295,21.84,22.197,603136,0
2011-12-12,21.83,22.048,21.182,21.801,1331130,0
2011-12-13,21.895,22.286,21.612,21.739,1813199,0
2011-12-14,21.32,21.511,20.9,21.34,1904509,0
2011-12-15,21.467,21.932,21.368,21.801,1179263,0
2011-12-16,22.004,22.733,21.885,22.487,3211126,0
2011-12-19,22.487,22.649,22.013,22.104,1214605,0
2011-12-20,22.413,22.533,21.84,22.159,1305438,0
2011-12-21,22.094,22.815,21.895,22.715,2388716,0
2011-12-22,22.895,23.378,22.605,22.631,1065302,0
2011-12-23,22.631,22.933,22.516,22.705,630769,0
2011-12-27,22.64,22.833,22.304,22.833,728840,0
2011-12-28,23.097,23.481,22.886,23.301,1006757,0
2011-12-29,23.396,24.118,23.245,23.653,4361125,0
2011-12-30,23.701,23.701,22.914,23.421,1283272,0
2012-01-03,23.791,24.09,22.851,22.915,1161855,0
2012-01-04,22.851,23.764,22.64,23.671,1526990,0
2012-01-05,23.5,23.527,22.668,23.334,2491177,0
2012-01-06,23.282,23.353,22.895,22.943,575285,0
2012-01-09,22.933,23.169,22.623,23.034,612903,0
2012-01-10,23.343,23.423,23.016,23.317,1150026,0
2012-01-11,23.206,23.936,23.14,23.754,1169745,0
2012-01-12,23.773,23.826,23.406,23.423,778089,0
2012-01-13,23.198,23.406,23.097,23.362,972161,0
2012-01-17,23.609,23.956,23.325,23.362,510519,0
2012-01-18,23.255,24.648,23.179,24.601,1594816,0
2012-01-19,24.61,24.874,24.099,24.263,919338,0
2012-01-20,24.263,24.318,23.972,24.028,1113352,0
2012-01-23,24.136,24.246,23.301,23.471,924600,0
2012-01-24,23.413,23.89,23.334,23.826,835272,0
2012-01-25,23.698,24.273,23.537,24.246,967391,0
2012-01-26,24.337,24.475,23.481,23.644,932466,0
2012-01-27,23.343,23.68,23.343,23.527,752446,0
2012-01-30,23.334,23.662,23.245,23.627,521378,0
2012-01-31,23.803,23.933,23.376,23.618,869632,0
2012-02-01,23.716,24.475,23.627,24.447,895891,0
2012-02-02,24.482,24.601,24.263,24.291,784613,0
2012-02-03,24.601,24.685,24.219,24.638,789689,0
2012-02-06,24.49,24.72,24.281,24.411,718710,0
2012-02-07,24.341,24.928,24.184,24.807,1057312,0
2012-02-08,24.798,24.962,24.433,24.962,809456,0
2012-02-09,24.918,24.972,24.531,24.725,791530,0
2012-02-10,24.521,24.725,24.461,24.672,578439,0
2012-02-13,24.93,24.93,24.456,24.638,700881,0
2012-02-14,24.518,24.801,24.447,24.535,1016269,0
2012-02-15,24.577,24.707,24.495,24.606,1175301,0
2012-02-16,24.629,24.902,24.572,24.749,701753,0
2012-02-17,24.841,25.181,24.763,25.145,640114,0
2012-02-21,25.211,25.631,25.075,25.36,826636,0
2012-02-22,25.209,25.577,25.048,25.092,512787,0
2012-02-23,25.082,25.367,24.879,25.323,368449,0
2012-02-24,25.419,25.466,24.823,24.841,908233,0
2012-02-27,24.7,24.972,24.495,24.935,1567733,0
2012-02-28,24.823,24.823,23.81,24.47,3778195,0
2012-02-29,23.868,24.565,23.621,23.683,4767554,0
2012-03-01,23.9,25.001,23.58,24.424,1968528,0
2012-03-02,24.129,24.663,24.129,24.341,1742909,0
2012-03-05,24.341,24.433,23.828,23.994,1464159,0
2012-03-06,23.747,23.81,23.235,23.654,1457946,0
2012-03-07,23.929,24.066,23.563,23.984,1228625,0
2012-03-08,24.066,24.433,23.765,24.359,977825,0
