Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.134,10.155,10.059,10.155,5971,0
2005-02-28,10.139,10.195,10.139,10.146,3285,0
2005-03-01,10.195,10.291,10.139,10.16,14478,0
2005-03-02,10.229,10.235,10.195,10.216,8057,0
2005-03-03,10.195,10.195,10.195,10.195,2382,0
2005-03-04,10.195,10.247,10.16,10.216,6711,0
2005-03-07,10.175,10.202,10.175,10.202,1339,0
2005-03-09,10.146,10.146,9.904,9.932,13280,0
2005-03-10,9.904,9.904,9.697,9.697,10895,0
2005-03-11,9.672,9.744,9.639,9.724,10147,0
2005-03-14,9.724,9.766,9.724,9.759,6565,0
2005-03-15,9.766,9.773,9.731,9.759,8651,0
2005-03-16,9.697,9.766,9.697,9.766,5223,0
2005-03-17,9.839,9.839,9.779,9.779,5075,0
2005-03-18,9.766,9.826,9.697,9.697,10300,0
2005-03-21,9.677,9.697,9.677,9.697,1634,0
2005-03-22,9.632,9.632,9.632,9.632,179,0
2005-03-23,9.3626,9.4038,9.3626,9.3626,22833,0
2005-03-24,9.3774,9.3774,9.3626,9.3626,3727,0
2005-03-28,9.3626,9.3626,9.3281,9.3281,5223,0
2005-03-29,9.2898,9.4367,9.2898,9.4367,11034,0
2005-03-30,9.3911,9.3911,9.3911,9.3911,740,0
2005-03-31,9.4287,9.4287,9.3626,9.396,5372,0
2005-04-01,9.3626,9.4505,9.3626,9.4505,9995,0
2005-04-04,9.4828,9.551,9.4828,9.551,3132,0
2005-04-05,9.578,9.606,9.578,9.606,1494,0
2005-04-07,9.632,9.643,9.632,9.632,3428,0
2005-04-08,9.643,9.643,9.643,9.643,740,0
2005-04-11,9.643,9.659,9.613,9.659,5673,0
2005-04-12,9.659,9.659,9.6,9.625,1634,0
2005-04-13,9.571,9.632,9.571,9.632,902,0
2005-04-14,9.643,9.643,9.514,9.578,3882,0
2005-04-15,9.542,9.606,9.542,9.606,1197,0
2005-04-18,9.639,9.639,9.632,9.632,8508,0
2005-04-19,9.689,9.731,9.639,9.731,16711,0
2005-04-20,9.643,9.689,9.585,9.585,11637,0
2005-04-22,9.593,9.632,9.585,9.632,1197,0
2005-04-25,9.563,9.6,9.563,9.6,594,0
2005-04-26,9.618,9.697,9.618,9.697,6711,0
2005-04-27,9.697,9.731,9.697,9.705,2087,0
2005-04-28,9.711,9.766,9.711,9.766,1197,0
2005-04-29,9.797,9.797,9.797,9.797,179,0
2005-05-02,9.826,9.892,9.826,9.826,3727,0
2005-05-03,9.867,9.96,9.867,9.96,6269,0
2005-05-04,10.028,10.028,9.899,9.899,4777,0
2005-05-05,9.924,10.071,9.924,10.04,1038,0
2005-05-06,10.04,10.046,9.904,10.046,5673,0
2005-05-09,10.04,10.261,10.04,10.261,12380,0
2005-05-10,10.261,10.261,10.195,10.195,1339,0
2005-05-11,10.247,10.282,10.247,10.275,3882,0
2005-05-12,10.139,10.139,10.014,10.071,8352,0
