Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.293,9.3073,9.2617,9.2617,7825,0
2005-02-28,9.293,9.3005,9.2667,9.2824,7084,0
2005-03-01,9.2474,9.3073,9.2474,9.293,13286,0
2005-03-02,9.3073,9.321,9.3073,9.321,6194,0
2005-03-03,9.3484,9.3533,9.3005,9.3005,5904,0
2005-03-04,9.3611,9.3803,9.3143,9.3694,6350,0
2005-03-07,9.3694,9.4187,9.3484,9.3694,25537,0
2005-03-08,9.3694,9.393,9.3533,9.387,3543,0
2005-03-09,9.3611,9.3753,9.3143,9.3143,23177,0
2005-03-10,9.3143,9.3299,9.3143,9.3299,1484,0
2005-03-11,9.321,9.321,9.3005,9.3143,8118,0
2005-03-14,9.2255,9.2824,9.1706,9.2474,15350,0
2005-03-15,9.2756,9.2756,9.1919,9.2474,16534,0
2005-03-16,9.2318,9.2318,9.183,9.1986,16834,0
2005-03-17,9.2097,9.2097,9.1639,9.1771,14915,0
2005-03-18,9.1706,9.1706,9.1439,9.1439,13735,0
2005-03-21,9.1304,9.1771,9.0843,9.104,36608,0
2005-03-22,9.1439,9.1514,9.0961,9.1514,15647,0
2005-03-23,9.1439,9.1592,9.0915,9.1371,12693,0
2005-03-24,9.1592,9.2474,9.1592,9.1771,17861,0
2005-03-28,9.1639,9.1771,9.1304,9.1592,24657,0
2005-03-29,9.1439,9.2617,9.1439,9.2617,15945,0
2005-03-30,9.2097,9.3143,9.2097,9.3143,3250,0
2005-03-31,9.2824,9.3346,9.2824,9.3143,11668,0
2005-04-01,9.321,9.321,9.3005,9.3073,4132,0
2005-04-04,9.321,9.3533,9.321,9.3484,8412,0
2005-04-05,9.3533,9.407,9.3533,9.3533,887,0
2005-04-06,9.4509,9.517,9.3803,9.517,12693,0
2005-04-07,9.517,9.526,9.393,9.4843,6053,0
2005-04-08,9.4509,9.4773,9.4509,9.4644,2807,0
2005-04-11,9.2756,9.4,9.2756,9.4,67017,0
2005-04-12,9.407,9.4713,9.407,9.4429,2953,0
2005-04-13,9.4509,9.51,9.4429,9.4843,19924,0
2005-04-14,9.4257,9.4982,9.4257,9.4843,8118,0
2005-04-15,9.553,9.553,9.4509,9.4773,8859,0
2005-04-18,9.4843,9.4843,9.4843,9.4843,887,0
2005-04-19,9.4843,9.4843,9.4644,9.4843,6502,0
2005-04-20,9.4843,9.4843,9.4843,9.4843,1617,0
2005-04-21,9.4579,9.4579,9.4147,9.4187,11514,0
2005-04-22,9.4187,9.4187,9.393,9.4,887,0
2005-04-25,9.4,9.4773,9.4,9.4341,1026,0
2005-04-26,9.4644,9.4644,9.407,9.407,2216,0
2005-04-27,9.407,9.4773,9.407,9.4773,1484,0
2005-04-28,9.4341,9.4773,9.4341,9.4713,2807,0
2005-04-29,9.4147,9.4713,9.4147,9.4713,3687,0
2005-05-02,9.4713,9.4713,9.4713,9.4713,2064,0
2005-05-03,9.4713,9.4713,9.4713,9.4713,178,0
2005-05-04,9.4713,9.4843,9.4644,9.4843,5760,0
2005-05-05,9.4579,9.526,9.4579,9.4713,5168,0
2005-05-06,9.4713,9.4713,9.3803,9.3803,16534,0
2005-05-09,9.387,9.4509,9.3694,9.3753,4429,0
2005-05-10,9.4147,9.4147,9.3143,9.3694,23915,0
2005-05-11,9.3753,9.3753,9.3406,9.3753,2652,0
2005-05-12,9.3694,9.3694,9.3005,9.3533,13141,0
2005-05-13,9.321,9.387,9.321,9.3346,10190,0
2005-05-16,9.3803,9.393,9.3484,9.3484,3986,0
2005-05-17,9.3406,9.393,9.3406,9.393,4132,0
2005-05-18,9.4341,9.4843,9.4341,9.4773,11223,0
2005-05-19,9.4843,9.569,9.4843,9.569,5459,0
2005-05-20,9.583,9.583,9.583,9.583,887,0
2005-05-23,9.583,9.761,9.583,9.74,2652,0
2005-05-24,9.74,9.808,9.708,9.808,8859,0
2005-05-25,9.72,9.789,9.694,9.72,3687,0
2005-05-26,9.789,9.889,9.789,9.889,13141,0
2005-05-27,9.889,9.889,9.702,9.842,4132,0
2005-05-31,9.82,9.855,9.82,9.847,4429,0
2005-06-01,9.871,9.876,9.82,9.836,14760,0
2005-06-02,9.855,9.871,9.682,9.689,26425,0
2005-06-03,9.72,9.754,9.583,9.583,10190,0
2005-06-06,9.603,9.689,9.603,9.655,6794,0
2005-06-07,9.682,9.733,9.682,9.733,17861,0
