Date,Open,High,Low,Close,Volume,OpenInt
2005-11-28,3.451,3.471,3.428,3.432,0,0
2005-11-29,3.435,3.491,3.405,3.487,0,0
2005-11-30,3.479,3.49,3.462,3.474,0,0
2005-12-01,3.469,3.482,3.405,3.429,0,0
2005-12-02,3.429,3.452,3.413,3.416,0,0
2005-12-05,3.434,3.463,3.424,3.436,0,0
2005-12-06,3.432,3.435,3.385,3.392,0,0
2005-12-07,3.388,3.431,3.388,3.427,0,0
2005-12-08,3.416,3.421,3.39,3.4,0,0
2005-12-09,3.406,3.47,3.394,3.464,0,0
2005-12-12,3.458,3.463,3.433,3.44,0,0
2005-12-13,3.439,3.461,3.415,3.421,0,0
2005-12-14,3.395,3.408,3.375,3.385,0,0
2005-12-15,3.381,3.403,3.37,3.397,0,0
2005-12-16,3.384,3.396,3.362,3.364,0,0
2005-12-19,3.366,3.38,3.349,3.356,0,0
2005-12-20,3.36,3.39,3.356,3.366,0,0
2005-12-21,3.375,3.419,3.372,3.415,0,0
2005-12-22,3.403,3.43,3.371,3.375,0,0
2005-12-23,3.375,3.381,3.338,3.375,0,0
2005-12-26,3.377,3.377,3.377,3.377,0,0
2005-12-27,3.352,3.38,3.34,3.357,0,0
2005-12-28,3.346,3.36,3.31,3.311,0,0
2005-12-29,3.333,3.344,3.33,3.335,0,0
2005-12-30,3.327,3.328,3.294,3.312,0,0
2006-01-02,3.341,3.371,3.308,3.344,0,0
2006-01-03,3.35,3.383,3.334,3.334,0,0
2006-01-04,3.343,3.343,3.283,3.293,0,0
2006-01-05,3.284,3.316,3.281,3.283,0,0
2006-01-06,3.288,3.294,3.258,3.27,0,0
2006-01-09,3.277,3.278,3.259,3.269,0,0
2006-01-10,3.269,3.299,3.266,3.296,0,0
2006-01-11,3.303,3.317,3.295,3.308,0,0
2006-01-12,3.314,3.319,3.273,3.288,0,0
2006-01-13,3.284,3.304,3.267,3.274,0,0
2006-01-16,3.277,3.29,3.276,3.286,0,0
2006-01-17,3.281,3.281,3.256,3.279,0,0
2006-01-18,3.254,3.304,3.242,3.293,0,0
2006-01-19,3.315,3.366,3.31,3.353,0,0
2006-01-20,3.368,3.387,3.34,3.386,0,0
2006-01-23,3.36,3.409,3.357,3.398,0,0
2006-01-24,3.399,3.405,3.376,3.382,0,0
2006-01-25,3.408,3.45,3.399,3.447,0,0
2006-01-26,3.449,3.505,3.444,3.503,0,0
2006-01-27,3.504,3.516,3.466,3.493,0,0
2006-01-30,3.502,3.516,3.482,3.482,0,0
2006-01-31,3.482,3.508,3.475,3.477,0,0
2006-02-01,3.479,3.54,3.457,3.534,0,0
2006-02-02,3.535,3.55,3.512,3.515,0,0
2006-02-03,3.529,3.545,3.489,3.497,0,0
2006-02-06,3.497,3.502,3.473,3.492,0,0
2006-02-07,3.501,3.527,3.468,3.519,0,0
2006-02-08,3.507,3.521,3.496,3.508,0,0
2006-02-09,3.507,3.544,3.482,3.484,0,0
2006-02-10,3.493,3.493,3.435,3.484,0,0
2006-02-13,3.489,3.522,3.489,3.499,0,0
2006-02-14,3.498,3.525,3.488,3.501,0,0
2006-02-15,3.507,3.513,3.471,3.51,0,0
2006-02-16,3.508,3.54,3.508,3.523,0,0
2006-02-17,3.503,3.503,3.46,3.46,0,0
2006-02-20,3.461,3.465,3.447,3.45,0,0
2006-02-21,3.456,3.477,3.437,3.463,0,0
2006-02-22,3.47,3.482,3.432,3.435,0,0
2006-02-23,3.437,3.5,3.431,3.495,0,0
2006-02-24,3.502,3.517,3.484,3.507,0,0
2006-02-27,3.522,3.553,3.518,3.548,0,0
2006-02-28,3.541,3.549,3.504,3.505,0,0
2006-03-01,3.512,3.541,3.507,3.531,0,0
2006-03-02,3.537,3.601,3.529,3.597,0,0
2006-03-03,3.602,3.621,3.591,3.611,0,0
2006-03-06,3.616,3.623,3.597,3.602,0,0
2006-03-07,3.616,3.643,3.61,3.618,0,0
2006-03-08,3.609,3.66,3.596,3.657,0,0
2006-03-09,3.651,3.673,3.634,3.663,0,0
2006-03-10,3.656,3.703,3.651,3.7,0,0
2006-03-13,3.702,3.726,3.697,3.724,0,0
2006-03-14,3.702,3.711,3.663,3.665,0,0
2006-03-15,3.674,3.706,3.667,3.703,0,0
2006-03-16,3.707,3.726,3.667,3.672,0,0
2006-03-17,3.668,3.71,3.638,3.706,0,0
2006-03-20,3.706,3.718,3.671,3.677,0,0
2006-03-21,3.693,3.701,3.661,3.681,0,0
2006-03-22,3.68,3.692,3.65,3.66,0,0
2006-03-23,3.654,3.696,3.635,3.693,0,0
2006-03-24,3.683,3.695,3.652,3.652,0,0
2006-03-27,3.654,3.663,3.639,3.658,0,0
2006-03-28,3.666,3.754,3.661,3.749,0,0
2006-03-29,3.764,3.783,3.758,3.781,0,0
2006-03-30,3.774,3.81,3.769,3.807,0,0
2006-03-31,3.794,3.81,3.779,3.791,0,0
2006-04-03,3.81,3.863,3.802,3.842,0,0
2006-04-04,3.838,3.867,3.827,3.861,0,0
2006-04-05,3.87,3.889,3.857,3.875,0,0
2006-04-06,3.884,3.922,3.843,3.92,0,0
2006-04-07,3.911,3.932,3.88,3.92,0,0
2006-04-10,3.922,3.93,3.902,3.917,0,0
2006-04-11,3.92,3.921,3.885,3.903,0,0
2006-04-12,3.888,3.918,3.876,3.915,0,0
2006-04-13,3.919,3.993,3.917,3.983,0,0
2006-04-14,3.983,3.983,3.983,3.983,0,0
2006-04-17,3.983,3.983,3.983,3.983,0,0
2006-04-18,3.971,3.988,3.949,3.975,0,0
2006-04-19,3.958,3.985,3.916,3.977,0,0
2006-04-20,3.981,3.981,3.943,3.951,0,0
2006-04-21,3.95,3.98,3.924,3.974,0,0
2006-04-24,3.943,3.973,3.931,3.961,0,0
2006-04-25,3.941,4.023,3.94,4.007,0,0
2006-04-26,4.009,4.03,3.994,4.013,0,0
2006-04-27,4.004,4.053,3.976,3.98,0,0
2006-04-28,3.978,4.013,3.963,3.965,0,0
2006-05-01,3.975,3.975,3.975,3.975,0,0
2006-05-02,4.019,4.02,3.978,3.996,0,0
2006-05-03,4,4.027,3.994,4.021,0,0
2006-05-04,4.017,4.066,4.016,4.047,0,0
2006-05-05,4.042,4.059,4.005,4.014,0,0
2006-05-08,4.019,4.036,3.994,4.034,0,0
2006-05-09,4.036,4.054,4.036,4.044,0,0
2006-05-10,4.058,4.072,4.004,4.004,0,0
2006-05-11,4.034,4.09,4.034,4.086,0,0
2006-05-12,4.085,4.115,4.051,4.097,0,0
2006-05-15,4.097,4.101,4.028,4.032,0,0
2006-05-16,4.021,4.039,3.99,3.992,0,0
2006-05-17,4.002,4.094,3.998,4.071,0,0
2006-05-18,4.07,4.075,4.006,4.024,0,0
2006-05-19,3.993,4.032,3.979,3.988,0,0
2006-05-22,3.973,3.983,3.911,3.916,0,0
2006-05-23,3.931,3.953,3.918,3.929,0,0
2006-05-24,3.914,3.935,3.862,3.889,0,0
2006-05-25,3.886,3.899,3.867,3.878,0,0
2006-05-26,3.903,3.916,3.874,3.882,0,0
2006-05-29,3.893,3.906,3.882,3.891,0,0
2006-05-30,3.885,3.943,3.867,3.936,0,0
2006-05-31,3.927,3.987,3.917,3.981,0,0
2006-06-01,4.001,4.021,3.989,3.995,0,0
2006-06-02,4.003,4.013,3.925,3.926,0,0
2006-06-05,3.934,3.97,3.921,3.969,0,0
2006-06-06,3.979,4.015,3.97,3.989,0,0
2006-06-07,3.997,4.024,3.991,4.006,0,0
2006-06-08,3.98,3.999,3.918,3.92,0,0
2006-06-09,3.941,3.947,3.915,3.929,0,0
2006-06-12,3.928,3.94,3.902,3.908,0,0
2006-06-13,3.886,3.89,3.847,3.86,0,0
2006-06-14,3.873,3.894,3.857,3.892,0,0
2006-06-15,3.906,3.947,3.902,3.943,0,0
2006-06-16,3.953,3.957,3.912,3.932,0,0
2006-06-19,3.949,3.973,3.945,3.971,0,0
2006-06-20,3.956,3.995,3.936,3.993,0,0
2006-06-21,3.995,4.019,3.993,4.013,0,0
2006-06-22,4.032,4.062,4.022,4.059,0,0
2006-06-23,4.051,4.086,4.032,4.078,0,0
2006-06-26,4.077,4.101,4.06,4.091,0,0
2006-06-27,4.085,4.113,4.073,4.09,0,0
2006-06-28,4.091,4.107,4.082,4.091,0,0
2006-06-29,4.101,4.106,4.051,4.059,0,0
2006-06-30,4.041,4.104,4.041,4.065,0,0
2006-07-03,4.06,4.093,4.046,4.085,0,0
2006-07-04,4.089,4.089,4.064,4.074,0,0
2006-07-05,4.081,4.144,4.081,4.134,0,0
2006-07-06,4.127,4.139,4.097,4.111,0,0
2006-07-07,4.108,4.108,4.058,4.063,0,0
2006-07-10,4.065,4.091,4.06,4.085,0,0
2006-07-11,4.078,4.083,4.04,4.047,0,0
2006-07-12,4.054,4.104,4.053,4.083,0,0
2006-07-13,4.072,4.072,4.033,4.045,0,0
2006-07-14,4.013,4.014,3.971,3.979,0,0
2006-07-17,3.981,4.002,3.968,3.992,0,0
2006-07-18,3.985,4.02,3.981,4.013,0,0
2006-07-19,4.014,4.05,3.978,3.985,0,0
2006-07-20,3.991,4.003,3.978,3.986,0,0
2006-07-21,3.961,3.978,3.946,3.954,0,0
2006-07-24,3.969,3.972,3.952,3.957,0,0
2006-07-25,3.96,3.969,3.931,3.963,0,0
2006-07-26,3.97,4.005,3.951,3.988,0,0
2006-07-27,3.958,3.967,3.934,3.951,0,0
2006-07-28,3.96,3.966,3.912,3.924,0,0
2006-07-31,3.937,3.948,3.917,3.922,0,0
2006-08-01,3.924,3.957,3.916,3.929,0,0
2006-08-02,3.913,3.946,3.906,3.932,0,0
2006-08-03,3.925,3.984,3.922,3.972,0,0
2006-08-04,3.965,3.989,3.897,3.904,0,0
2006-08-07,3.907,3.913,3.893,3.903,0,0
2006-08-08,3.909,3.913,3.895,3.897,0,0
2006-08-09,3.911,3.939,3.91,3.93,0,0
2006-08-10,3.918,3.933,3.888,3.927,0,0
2006-08-11,3.93,3.98,3.929,3.975,0,0
2006-08-14,4.003,4.007,3.993,4,0,0
2006-08-15,4.013,4.018,3.959,3.965,0,0
2006-08-16,3.977,3.98,3.926,3.928,0,0
2006-08-17,3.921,3.922,3.894,3.916,0,0
2006-08-18,3.926,3.936,3.896,3.9,0,0
2006-08-21,3.879,3.883,3.85,3.858,0,0
2006-08-22,3.857,3.861,3.799,3.804,0,0
2006-08-23,3.816,3.837,3.808,3.822,0,0
2006-08-24,3.812,3.844,3.793,3.806,0,0
2006-08-25,3.78,3.805,3.779,3.789,0,0
2006-08-28,3.799,3.805,3.784,3.791,0,0
2006-08-29,3.8,3.829,3.796,3.826,0,0
2006-08-30,3.809,3.821,3.793,3.797,0,0
2006-08-31,3.797,3.814,3.753,3.757,0,0
2006-09-01,3.76,3.768,3.736,3.741,0,0
2006-09-04,3.748,3.756,3.745,3.749,0,0
2006-09-05,3.753,3.795,3.753,3.787,0,0
2006-09-06,3.786,3.838,3.785,3.832,0,0
2006-09-07,3.826,3.861,3.806,3.812,0,0
2006-09-08,3.813,3.813,3.776,3.787,0,0
2006-09-11,3.804,3.816,3.783,3.804,0,0
2006-09-12,3.823,3.845,3.823,3.839,0,0
2006-09-13,3.812,3.819,3.787,3.794,0,0
2006-09-14,3.799,3.809,3.789,3.794,0,0
2006-09-15,3.813,3.821,3.765,3.778,0,0
2006-09-18,3.816,3.845,3.816,3.834,0,0
2006-09-19,3.829,3.833,3.777,3.781,0,0
2006-09-20,3.775,3.783,3.758,3.772,0,0
2006-09-21,3.789,3.795,3.75,3.75,0,0
2006-09-22,3.729,3.732,3.686,3.692,0,0
2006-09-25,3.688,3.694,3.655,3.662,0,0
2006-09-26,3.663,3.681,3.649,3.658,0,0
2006-09-27,3.674,3.69,3.642,3.673,0,0
2006-09-28,3.676,3.7,3.667,3.693,0,0
2006-09-29,3.679,3.722,3.665,3.715,0,0
2006-10-02,3.732,3.744,3.687,3.692,0,0
2006-10-03,3.693,3.744,3.688,3.738,0,0
2006-10-04,3.739,3.755,3.691,3.701,0,0
2006-10-05,3.709,3.724,3.69,3.715,0,0
2006-10-06,3.709,3.764,3.678,3.757,0,0
2006-10-09,3.766,3.774,3.759,3.765,0,0
2006-10-10,3.767,3.822,3.767,3.817,0,0
2006-10-11,3.807,3.82,3.796,3.813,0,0
2006-10-12,3.832,3.84,3.795,3.808,0,0
2006-10-13,3.812,3.843,3.792,3.837,0,0
2006-10-16,3.842,3.85,3.823,3.835,0,0
2006-10-17,3.832,3.832,3.798,3.804,0,0
2006-10-18,3.82,3.836,3.8,3.82,0,0
2006-10-19,3.82,3.855,3.813,3.846,0,0
2006-10-20,3.843,3.85,3.815,3.842,0,0
2006-10-23,3.869,3.888,3.864,3.881,0,0
2006-10-24,3.88,3.894,3.866,3.881,0,0
2006-10-25,3.881,3.904,3.879,3.892,0,0
2006-10-26,3.862,3.888,3.861,3.868,0,0
