Date,Open,High,Low,Close,Volume,OpenInt
2011-08-09,8850,8851,8709.75,8709.75,0,0
2011-08-10,8854,8854,8573,8573,0,0
2011-08-12,8855,8860,8845.25,8845.25,0,0
2011-08-15,8821,8888.25,8820,8888.25,0,0
2011-08-16,8760,8808.75,8759,8808.75,0,0
2011-08-17,8870,8943.5,8870,8943.5,0,0
2011-08-18,8803,8803,8750.5,8750.5,0,0
2011-08-19,8781,8804.5,8781,8804.5,0,0
2011-08-22,8811,8811.5,8699.75,8699.75,0,0
2011-08-23,8858,8858.5,8830.75,8830.75,0,0
2011-08-24,8830,8859.5,8830,8859.5,0,0
2011-08-25,8908,9016.5,8907.5,9016.5,0,0
2011-08-26,9090.5,9095,9061.75,9061.75,0,0
2011-08-30,9130,9145.5,9128,9145.5,0,0
2011-08-31,9200,9257.5,9197,9257.5,0,0
2011-09-01,9100,9126.75,9100,9126.75,0,0
2011-09-02,9054,9056.75,9050.5,9056.75,0,0
2011-09-05,8940,8940,8935,8940,0,0
2011-09-06,8918,8920,8913,8913,0,0
2011-09-07,8971,9073.5,8970,9073.5,0,0
2011-09-08,9040.5,9096.25,9040.5,9096.25,0,0
2011-09-09,8904,8904.5,8799.75,8799.75,0,0
2011-09-12,8645,8732.25,8645,8732.25,0,0
2011-09-13,8755,8757.5,8745,8745,0,0
2011-09-14,8719.5,8719.5,8603.25,8603.25,0,0
2011-09-15,8710,8710,8686.25,8686.25,0,0
2011-09-16,8785,8785,8671.25,8671.25,0,0
2011-09-19,8415,8415,8339,8339,0,0
2011-09-20,8397,8397.5,8279.75,8279.75,0,0
2011-09-21,8225,8275.75,8221,8275.75,0,0
2011-09-22,7790,7790.5,7653.25,7653.25,0,0
2011-09-23,7280,7343,7280,7343,0,0
2011-09-26,7221,7250.75,7221,7250.75,0,0
2011-09-27,7525,7578.5,7525,7578.5,0,0
2011-09-28,7416,7416,7230.75,7230.75,0,0
2011-09-29,6975.5,7210.25,6975,7210.25,0,0
2011-09-30,7130,7131.5,6998,6998,0,0
2011-10-03,6795,6968.5,6794.5,6968.5,0,0
2011-10-04,6785,6785,6779.25,6779.25,0,0
2011-10-05,6860,6860.5,6800.75,6800.75,0,0
2011-10-06,7100,7208.25,7095,7208.25,0,0
2011-10-07,7250,7349.5,7250,7349.5,0,0
2011-10-10,7320,7475.75,7310,7475.75,0,0
2011-10-11,7220,7271.25,7215,7271.25,0,0
2011-10-12,7419,7507.75,7415,7507.75,0,0
2011-10-13,7330,7330,7293.25,7293.25,0,0
2011-10-14,7501,7532.5,7500,7532.5,0,0
2011-10-17,7566,7570,7481,7481,0,0
2011-10-18,7275,7436,7270,7436,0,0
2011-10-19,7310,7310,7196.75,7196.75,0,0
2011-10-20,6916,6916.5,6721.5,6721.5,0,0
2011-10-21,7061,7136.5,7061,7136.5,0,0
2011-10-24,7380,7629.5,7380,7629.5,0,0
2011-10-25,7590,7590.5,7521.5,7521.5,0,0
2011-10-26,7725,7725,7675,7675,0,0
2011-10-27,8039,8142.5,8039,8142.5,0,0
2011-10-28,7980,8169.5,7980,8169.5,0,0
2011-10-31,7905,7981.5,7900,7981.5,0,0
2011-11-01,7665,7714.5,7655,7714.5,0,0
2011-11-02,7910,7915,7870,7870,0,0
2011-11-03,7835,7901.75,7835,7901.75,0,0
2011-11-04,7930,7931,7852.25,7852.25,0,0
2011-11-07,7785,7806.5,7775,7806.5,0,0
2011-11-08,7820,7820.5,7782.5,7782.5,0,0
2011-11-09,7672,7675,7608,7608,0,0
2011-11-10,7456,7457.25,7456,7457.25,0,0
2011-11-11,7445,7620.5,7445,7620.5,0,0
2011-11-14,7730,7739,7730,7739,0,0
2011-11-15,7650,7662.75,7630,7662.75,0,0
2011-11-16,7590,7709.25,7590,7709.25,0,0
2011-11-17,7500,7517.75,7500,7517.75,0,0
2011-11-18,7580.5,7582.5,7500.75,7500.75,0,0
2011-11-21,7305,7305,7283,7283,0,0
2011-11-22,7398,7398,7303,7303,0,0
2011-11-23,7165,7213,7165,7213,0,0
2011-11-24,7213,7213,7213,7213,0,0
2011-11-25,7200,7206,7196,7206,0,0
2011-11-28,7380.5,7471,7380.5,7471,0,0
2011-11-29,7447.5,7464.5,7447.5,7464.5,0,0
2011-11-30,7405,7859.5,7405,7859.5,0,0
2011-12-01,7800,7801,7763,7763,0,0
2011-12-02,7887,7890,7862.75,7862.75,0,0
2011-12-05,7850,7914.5,7845,7914.5,0,0
2011-12-06,7770,7809.25,7765,7809.25,0,0
2011-12-07,7810,7810,7793,7793,0,0
2011-12-08,7800,7800.5,7685.5,7685.5,0,0
2011-12-09,7800.5,7800.5,7792.5,7792.5,0,0
2011-12-12,7615,7615,7581.75,7581.75,0,0
2011-12-13,7586,7586,7576.75,7576.75,0,0
2011-12-14,7355,7355,7186.5,7186.5,0,0
2011-12-15,7265,7265,7192,7192,0,0
2011-12-16,7340,7340,7328.75,7328.75,0,0
2011-12-19,7286,7286.5,7243.25,7243.25,0,0
2011-12-20,7280,7394,7275,7394,0,0
2011-12-21,7420,7440.5,7415,7440.5,0,0
2011-12-22,7492,7531.5,7492,7531.5,0,0
2011-12-23,7590,7631.5,7590,7631.5,0,0
2011-12-28,7525,7525,7446.75,7446.75,0,0
2011-12-29,7371,7413.75,7371,7413.75,0,0
2011-12-30,7554,7590,7554,7590,0,0
2012-01-03,7660.5,7777.75,7660,7777.75,0,0
2012-01-04,7652,7652,7527.75,7527.75,0,0
2012-01-05,7471,7528,7471,7528,0,0
2012-01-06,7515,7569.25,7515,7569.25,0,0
2012-01-09,7505,7505,7488,7488,0,0
2012-01-10,7640,7733,7640,7733,0,0
2012-01-11,7701,7767,7688,7767,0,0
2012-01-12,7945,7995.5,7945,7995.5,0,0
2012-01-13,7965,7991,7965,7991,0,0
2012-01-16,8020,8077,8010,8077,0,0
2012-01-17,8185,8188,8185,8188,0,0
2012-01-18,8155,8226.75,8155,8226.75,0,0
