Date,Open,High,Low,Close,Volume,OpenInt
2013-03-07,181.42,183.12,181.38,182.95,237,677
2013-03-08,182.71,183.49,182.64,183.28,399,483
2013-03-11,183.09,183.96,182.8,183.5,137,499
2013-03-12,183.57,184.42,183.23,183.99,570,673
2013-03-13,183.93,184.29,183,183.26,667,764
2013-03-14,182.97,184.19,182.93,184.1,372,858
2013-03-15,184.15,184.81,184.01,184.39,359,775
2013-03-18,183.79,184.66,183.65,184.62,65,777
2013-03-19,184.68,185.25,182.93,183.06,354,831
2013-03-20,183.13,183.96,183,183.79,654,862
2013-03-21,184.07,184.38,183.45,183.69,1110,933
2013-03-22,183.99,184.12,183.54,183.97,625,1035
2013-03-25,184.31,184.92,184.31,184.85,428,158
2013-03-26,182.92,183.26,182.45,182.47,128,142
2013-03-27,182.49,182.64,182.03,182.64,41,144
2013-03-28,182.9,183.03,182.21,182.21,127,155
2013-04-01,182,182.75,181.91,182.74,466,159
2013-04-02,182.88,183.19,182.49,182.71,347,155
2013-04-03,182.48,182.96,182.32,182.32,148,173
2013-04-04,182.54,182.54,180.91,181.48,120,148
2013-04-05,181.58,181.99,181.24,181.91,138,161
2013-04-08,181.86,182.63,181.56,182.27,197,255
2013-04-09,182.78,183.42,182.43,183.42,340,324
2013-04-10,183.35,183.35,182.72,183.15,355,424
2013-04-11,183.21,183.77,183.06,183.69,703,470
2013-04-12,183.44,183.44,182.34,182.74,338,571
2013-04-15,182.48,183.44,182.03,183.01,623,608
2013-04-16,182.7,184.95,182.64,184.95,797,590
2013-04-17,184.89,185.96,184.15,184.27,383,491
2013-04-18,184.72,185.35,184.43,185,427,674
2013-04-19,185.3,185.61,185.02,185.27,174,693
2013-04-22,185.09,185.38,184.24,184.43,329,581
2013-04-23,184.32,184.38,183.69,183.91,424,610
2013-04-24,184.47,184.56,184.17,184.23,105,613
2013-04-25,184.53,184.87,184.42,184.65,616,858
2013-04-26,184.18,184.18,184.18,184.18,877,76
2013-04-29,183.34,183.92,183.14,183.77,252,65
2013-04-30,184.01,186.07,183.79,186.05,503,148
2013-05-01,186.19,186.24,185.69,185.88,55,183
2013-05-02,185.87,186.21,185.11,185.4,565,358
2013-05-03,185.17,185.63,184.61,185.59,524,433
2013-05-06,185.69,185.71,184.12,184.29,252,382
2013-05-07,184.23,184.67,183.74,184.56,245,380
2013-05-08,184.8,184.95,184.27,184.64,179,381
2013-05-09,184.52,184.72,182.62,182.84,219,420
2013-05-10,183.13,183.24,181.44,181.94,193,408
2013-05-13,181.82,182.3,181.26,181.91,412,339
2013-05-14,182.2,182.86,182,182.12,228,326
2013-05-15,181.88,182.55,181.64,182.04,461,321
2013-05-16,182.35,182.68,181.77,182.31,295,384
2013-05-17,182.04,182.17,180.93,180.93,291,506
