Date,Open,High,Low,Close,Volume,OpenInt
2015-06-29,2.676,2.676,2.676,2.676,0,3823
2015-06-30,2.6753,2.6753,2.6753,2.6753,0,3348
2015-07-01,2.6354,2.6354,2.6354,2.6354,0,3348
2015-07-02,2.6344,2.6344,2.6344,2.6344,0,3348
2015-07-06,2.5512,2.5512,2.5512,2.5512,0,3348
2015-07-07,2.4721,2.4721,2.4721,2.4721,0,3348
2015-07-08,2.515,2.515,2.515,2.515,0,3348
2015-07-09,2.5569,2.5569,2.5569,2.5569,0,3348
2015-07-10,2.5477,2.5477,2.5477,2.5477,0,3348
2015-07-13,2.5544,2.5544,2.5544,2.5544,0,3348
2015-07-14,2.5475,2.5475,2.5475,2.5475,0,3348
2015-07-15,2.5392,2.5392,2.5392,2.5392,0,3348
2015-07-16,2.5397,2.5397,2.5397,2.5397,0,3348
2015-07-17,2.5262,2.5262,2.5262,2.5262,0,3348
2015-07-20,2.5172,2.5172,2.5172,2.5172,0,3348
2015-07-21,2.5145,2.5145,2.5145,2.5145,0,3348
2015-07-22,2.4978,2.4978,2.4978,2.4978,0,3348
2015-07-23,2.4833,2.4833,2.4833,2.4833,0,3348
2015-07-24,2.4822,2.4822,2.4822,2.4822,0,3348
2015-07-27,2.4751,2.4751,2.4751,2.4751,123,3471
2015-07-28,2.4847,2.4847,2.4847,2.4847,314,3785
2015-07-29,2.4853,2.4853,2.4853,2.4853,0,3785
2015-07-30,2.4828,2.4828,2.4828,2.4828,0,3785
2015-07-31,2.4822,2.4822,2.4822,2.4822,0,3326
2015-08-03,2.3474,2.3474,2.3474,2.3474,0,3326
2015-08-04,2.3639,2.3639,2.3639,2.3639,0,3326
2015-08-05,2.3529,2.3529,2.3529,2.3529,0,3326
2015-08-06,2.3484,2.3484,2.3484,2.3484,0,3326
2015-08-07,2.3429,2.3429,2.3429,2.3429,0,3326
2015-08-10,2.3933,2.3933,2.3933,2.3933,0,3326
2015-08-11,2.3456,2.3456,2.3456,2.3456,0,3326
2015-08-12,2.3585,2.3585,2.3585,2.3585,0,3326
2015-08-13,2.3615,2.3615,2.3615,2.3615,0,3326
2015-08-14,2.3606,2.3606,2.3606,2.3606,0,3326
2015-08-17,2.3442,2.3442,2.3442,2.3442,0,3326
2015-08-18,2.3274,2.3274,2.3274,2.3274,0,3326
2015-08-19,2.3217,2.3217,2.3217,2.3217,0,3326
2015-08-20,2.3373,2.3373,2.3373,2.3373,0,3326
2015-08-21,2.332,2.332,2.332,2.332,0,3326
2015-08-24,2.3205,2.3205,2.3205,2.3205,144,3467
2015-08-25,2.313,2.313,2.313,2.313,58,3525
2015-08-26,2.2476,2.2476,2.2476,2.2476,0,3525
2015-08-27,2.334,2.334,2.334,2.334,528,4053
2015-08-28,2.3467,2.3467,2.3467,2.3467,264,4317
2015-08-31,2.341,2.341,2.3382,2.3382,1,3896
2015-09-01,2.3026,2.3026,2.3026,2.3026,264,4160
2015-09-02,2.3315,2.3315,2.3315,2.3315,363,4523
2015-09-03,2.383,2.383,2.383,2.383,0,4523
2015-09-04,2.3225,2.3225,2.3225,2.3225,0,4523
2015-09-08,2.4189,2.4189,2.4189,2.4189,0,4523
2015-09-09,2.4221,2.4221,2.4221,2.4221,0,4523
2015-09-10,2.4305,2.4305,2.4305,2.4305,0,4523
2015-09-11,2.4355,2.4355,2.4355,2.4355,0,4523
2015-09-14,2.4058,2.4058,2.4058,2.4058,0,4523
2015-09-15,2.4185,2.4185,2.4185,2.4185,264,4787
2015-09-16,2.4318,2.4318,2.4318,2.4318,0,4787
2015-09-17,2.4318,2.4318,2.4318,2.4318,0,4787
2015-09-18,2.404,2.404,2.404,2.404,0,4787
2015-09-21,2.4045,2.4045,2.4045,2.4045,0,4787
2015-09-22,2.374,2.374,2.374,2.374,0,4787
2015-09-23,2.3735,2.3735,2.3735,2.3735,0,4787
2015-09-24,2.3751,2.3751,2.3751,2.3751,654,5405
2015-09-25,2.3713,2.3713,2.3713,2.3713,50,5455
2015-09-28,2.3662,2.3662,2.3662,2.3662,40,5495
2015-09-29,2.3662,2.3662,2.3662,2.3662,0,5495
2015-09-30,2.3706,2.3706,2.3706,2.3706,0,5064
2015-10-01,2.3074,2.3074,2.3074,2.3074,0,5064
2015-10-02,2.3283,2.3283,2.3283,2.3283,0,5064
2015-10-05,2.356,2.356,2.356,2.356,0,5064
2015-10-06,2.3552,2.3552,2.3552,2.3552,0,5064
2015-10-07,2.3654,2.3654,2.3654,2.3654,264,5328
2015-10-08,2.3464,2.3464,2.3464,2.3464,0,5328
2015-10-09,2.3974,2.3974,2.3974,2.3974,0,5328
2015-10-12,2.399,2.399,2.399,2.399,0,5328
2015-10-13,2.3812,2.3812,2.3812,2.3812,264,5592
2015-10-14,2.398,2.398,2.398,2.398,396,5988
2015-10-15,2.4013,2.4013,2.4013,2.4013,0,5988
2015-10-16,2.3918,2.3918,2.3918,2.3918,0,5988
2015-10-19,2.3756,2.3756,2.3756,2.3756,0,5988
2015-10-20,2.3748,2.3748,2.3748,2.3748,0,5988
2015-10-21,2.3728,2.3728,2.3728,2.3728,0,5988
2015-10-22,2.3795,2.3795,2.3795,2.3795,0,5988
2015-10-23,2.3703,2.3703,2.3703,2.3703,0,5988
2015-10-26,2.3717,2.3717,2.3717,2.3717,0,5988
2015-10-27,2.372,2.372,2.372,2.372,55,6043
2015-10-28,2.3571,2.3571,2.3571,2.3571,0,6043
2015-10-29,2.3161,2.3161,2.3161,2.3161,0,6043
2015-10-30,2.3139,2.3139,2.3139,2.3139,0,5647
2015-11-02,2.3159,2.3159,2.3159,2.3159,0,5647
2015-11-03,2.3268,2.3268,2.3268,2.3268,0,5647
2015-11-04,2.32,2.32,2.32,2.32,0,5647
2015-11-05,2.2637,2.2637,2.2637,2.2637,0,5647
2015-11-06,2.254,2.254,2.254,2.254,0,5647
2015-11-09,2.2454,2.2454,2.2454,2.2454,0,5647
2015-11-10,2.236,2.236,2.236,2.236,0,5647
2015-11-11,2.2361,2.2361,2.2361,2.2361,0,5647
2015-11-12,2.2098,2.2098,2.2098,2.2098,0,5647
2015-11-13,2.208,2.208,2.208,2.208,0,5647
2015-11-16,2.1819,2.1819,2.1819,2.1819,0,5647
2015-11-17,2.1764,2.1764,2.1764,2.1764,0,5647
2015-11-18,2.1655,2.1655,2.1655,2.1655,150,5797
2015-11-19,2.077,2.077,2.077,2.077,96,5893
2015-11-20,2.0553,2.0553,2.0553,2.0553,0,5893
2015-11-23,2.021,2.021,2.021,2.021,0,5893
2015-11-24,2.0552,2.0552,2.0552,2.0552,0,5893
2015-11-25,2.0464,2.0464,2.0464,2.0464,0,5893
2015-11-27,2.0509,2.0509,2.0509,2.0509,0,5893
2015-11-30,2.0446,2.0446,2.0446,2.0446,0,5484
2015-12-01,2.0715,2.0715,2.0715,2.0715,0,5484
