Date,Open,High,Low,Close,Volume,OpenInt
2013-03-07,1465.5,1474,1461.75,1473.5,213,1819
2013-03-08,1474,1483.25,1452.25,1471,655,1802
2013-03-11,1479,1480.25,1478,1479.5,610,1808
2013-03-12,1448.75,1448.75,1445.75,1445.75,493,1805
2013-03-13,1435.75,1435.75,1425,1425,768,1759
2013-03-14,1418.25,1418.25,1416,1416,571,1797
2013-03-15,1410.75,1410.75,1410.75,1410.75,881,2350
2013-03-18,1394.5,1394.5,1394.5,1394.5,730,2943
2013-03-19,1388,1388,1388,1388,140,2901
2013-03-20,1399.25,1399.25,1399.25,1399.25,152,2845
2013-03-21,1413,1425.5,1413,1425.5,131,2800
2013-03-22,1415.5,1418,1415.5,1418,449,2392
2013-03-25,1417.5,1417.5,1417.5,1417.5,286,2250
2013-03-26,1426.5,1426.5,1426.5,1426.5,434,2250
2013-03-27,1431,1431,1431,1431,320,1638
2013-03-28,1385.5,1385.5,1385.5,1385.5,512,1630
2013-04-01,1372.25,1372.25,1372.25,1372.25,65,1639
2013-04-02,1374.5,1374.5,1374.5,1374.5,113,1623
2013-04-03,1357.75,1357.75,1357.75,1357.75,32,1627
2013-04-04,1351.75,1351.75,1351.75,1351.75,132,1686
2013-04-05,1343.75,1343.75,1343.75,1343.75,159,1712
2013-04-08,1356.75,1358,1356.75,1358,342,1474
2013-04-09,1361,1371.25,1361,1371.25,543,1437
2013-04-10,1367.5,1367.5,1367.5,1367.5,337,1432
2013-04-11,1368.25,1368.25,1368.25,1368.25,569,1575
2013-04-12,1379.25,1379.25,1379.25,1379.25,782,1639
2013-04-15,1356,1356,1356,1356,240,1639
2013-04-16,1375.25,1375.25,1375.25,1375.25,427,1698
2013-04-17,1380,1380,1380,1380,288,1652
2013-04-18,1390,1390,1390,1390,528,1418
2013-04-19,1382.5,1382.5,1382.5,1382.5,122,1385
2013-04-22,1364.25,1364.25,1364.25,1364.25,398,1375
2013-04-23,1357.5,1362.25,1357.5,1358.5,1266,1285
2013-04-24,1345.25,1345.25,1345.25,1345.25,162,1243
2013-04-25,1372.25,1372.25,1372.25,1372.25,8,1241
2013-04-26,1381,1381,1381,1381,8,1238
2013-04-29,1408.75,1408.75,1408.75,1408.75,36,1158
2013-04-30,1412.5,1412.5,1399,1399,18,1158
2013-05-01,1378.25,1378.25,1373,1373,13,1161
2013-05-02,1375.5,1381.75,1372.25,1372.25,11,1162
2013-05-03,1377.75,1398.75,1377.75,1387.25,8,1167
2013-05-06,1383.75,1383.75,1369.25,1369.25,16,1167
2013-05-07,1214.5,1214.5,1214.5,1214.5,16,1176
2013-05-08,1213,1214.25,1213,1214.25,44,1191
2013-05-09,1219,1219,1219,1219,6,1192
2013-05-10,1216.75,1216.75,1205.5,1205.5,20,1202
2013-05-13,1209.75,1209.75,1209.75,1209.75,2,1202
2013-05-14,1215.5,1215.5,1211.75,1214,16,1197
2013-05-15,1209.75,1209.75,1209.75,1209.75,60,1179
2013-05-16,1212.25,1217.5,1212.25,1217.5,93,1218
2013-05-17,1225.75,1228.25,1225.75,1228.25,20,1202
2013-05-20,1225,1225,1225,1225,94,1200
2013-05-21,1216,1220.75,1216,1220.75,243,1227
2013-05-22,1227.25,1238.75,1227.25,1238.75,94,1208
2013-05-23,1243,1243,1243,1243,127,1218
2013-05-24,1247.75,1247.75,1247.75,1247.75,40,1206
2013-05-28,1288,1288,1288,1288,30,1199
2013-05-29,1288.5,1288.5,1288.5,1288.5,39,1165
2013-05-30,1289.25,1289.25,1289.25,1289.25,16,1163
2013-05-31,1304.25,1304.25,1304.25,1304.25,7,1164
2013-06-03,1316.25,1325.5,1315.5,1325.5,38,1157
2013-06-04,1316,1316,1316,1316,6,1156
2013-06-05,1305.25,1305.5,1300,1300,36,1172
2013-06-06,1305.75,1305.75,1305.75,1305.75,0,1172
2013-06-07,1330.25,1330.25,1330.25,1330.25,30,1163
2013-06-10,1322.25,1323.25,1319,1319,88,1167
2013-06-11,1316.25,1327,1316.25,1327,41,1182
2013-06-12,1314.25,1314.25,1314.25,1314.25,124,1214
2013-06-13,1300.5,1300.5,1300.5,1300.5,28,1219
2013-06-14,1298.25,1298.25,1298.25,1298.25,2,1220
2013-06-17,1286.25,1286.25,1285.5,1285.5,36,1212
2013-06-18,1289.75,1289.75,1289.75,1289.75,24,1229
2013-06-19,1310.75,1310.75,1310.75,1310.75,82,1292
2013-06-20,1285,1285,1285,1285,6,1294
2013-06-21,1273.5,1273.5,1273.5,1273.5,17,1292
2013-06-24,1258,1273.5,1258,1273.5,40,1282
2013-06-25,1278.5,1278.5,1278.5,1278.5,14,1280
2013-06-26,1270.75,1276,1270.75,1276,0,1280
2013-06-28,1252,1252,1252,1252,0,1223
2013-07-01,1243.25,1243.25,1243.25,1243.25,74,1208
2013-07-02,1242.5,1242.5,1242.5,1242.5,33,1187
2013-07-03,1250.5,1250.75,1250.5,1250.75,46,1185
2013-07-05,1250.75,1250.75,1228.25,1228.25,3,1186
2013-07-08,1233,1252.25,1233,1252.25,5,1183
2013-07-09,1276.25,1276.25,1276.25,1276.25,4,1185
2013-07-10,1284.75,1284.75,1284.75,1284.75,36,1195
2013-07-11,1290.75,1290.75,1290.75,1290.75,54,1201
2013-07-12,1257.25,1257.25,1257.25,1257.25,59,1161
2013-07-15,1263.75,1263.75,1263.75,1263.75,48,1129
2013-07-16,1286.25,1286.25,1286.25,1286.25,8,1127
2013-07-17,1283.5,1283.5,1283.5,1283.5,4,1127
2013-07-18,1265.75,1265.75,1265.75,1265.75,19,1121
2013-07-19,1274,1274,1274,1274,21,1125
2013-07-22,1288.5,1288.5,1288.5,1288.5,54,1112
2013-07-23,1296.75,1296.75,1260.25,1260.25,48,1103
