Date,Open,High,Low,Close,Volume,OpenInt
2013-03-07,684.75,695.5,682.75,695.5,732,1347
2013-03-08,697,699,690.75,697,1061,1806
2013-03-11,702.25,706.75,696.25,700,1062,2378
2013-03-12,700,704.75,698.75,703.5,512,2384
2013-03-13,704.25,710,697.5,710,1223,2403
2013-03-14,722.75,724.75,722.75,724.75,1489,2466
2013-03-15,716.25,721.25,716.25,721.25,975,2186
2013-03-18,710.25,713,710.25,713,575,2254
2013-03-19,720.75,720.75,720.75,720.75,1098,2111
2013-03-20,734,734,734,734,768,2180
2013-03-21,727.5,727.5,727.5,727.5,623,2031
2013-03-22,729.25,729.25,729.25,729.25,568,1730
2013-03-25,729,729,729,729,551,1525
2013-03-26,732.25,732.25,732.25,732.25,934,1525
2013-03-27,736,736,736,736,1388,670
2013-03-28,691,691,691,691,536,593
2013-04-01,669,669,669,669,74,615
2013-04-02,677.25,677.25,677.25,677.25,665,648
2013-04-03,684.25,701.25,684.25,701.25,551,638
2013-04-04,705,705,699.5,699.5,382,702
2013-04-05,704.25,704.25,704.25,704.25,368,676
2013-04-08,709.25,717.5,709.25,717.5,428,720
2013-04-09,714,714,714,714,322,787
2013-04-10,710,710,703,703,279,799
2013-04-11,703.25,703.25,703.25,703.25,366,668
2013-04-12,719.5,719.5,719.5,719.5,255,622
2013-04-15,699.25,699.25,699.25,699.25,402,468
2013-04-16,707.75,707.75,707.75,707.75,1070,501
2013-04-17,707.25,707.25,707.25,707.25,1638,485
2013-04-18,706.75,706.75,706.75,706.75,260,358
2013-04-19,711.5,711.5,711.5,711.5,329,378
2013-04-22,702.5,702.5,702.5,702.5,1052,461
2013-04-23,695.5,695.5,695.5,695.5,459,427
2013-04-24,694,694,692,692,614,321
2013-04-25,703.75,703.75,703.75,703.75,665,370
2013-04-26,692.5,692.5,692.5,692.5,440,362
2013-04-29,716.5,716.5,716.5,716.5,702,429
2013-04-30,753.75,753.75,753.75,753.75,822,572
2013-05-01,745,745,745,745,295,499
2013-05-02,752.25,752.25,752.25,752.25,214,523
2013-05-03,745.25,745.25,745.25,745.25,148,585
