Date,Open,High,Low,Close,Volume,OpenInt
2012-09-26,18195,18295,18195,18295,0,0
2012-09-27,18385,18485,18385,18485,0,0
2012-09-28,18700,18800,18700,18800,0,0
2012-10-01,18710,18810,18710,18810,0,0
2012-10-02,19000,19100,19000,19100,0,0
2012-10-03,18820,18920,18820,18920,0,0
2012-10-04,18755,18855,18755,18855,0,0
2012-10-05,18745,18845,18745,18845,0,0
2012-10-08,18135,18235,18135,18235,0,0
2012-10-09,18150,18250,18150,18250,0,0
2012-10-10,17975,18075,17975,18075,0,0
2012-10-11,17850,17950,17850,17950,0,0
2012-10-12,17450,17550,17450,17550,0,0
2012-10-15,17435,17535,17435,17535,0,0
2012-10-16,17280,17380,17280,17380,0,0
2012-10-17,17015,17115,17015,17115,0,0
2012-10-18,17355,17455,17355,17455,0,0
2012-10-19,17215,17315,17215,17315,0,0
2012-10-22,16955,17055,16955,17055,0,0
2012-10-23,16435,16535,16435,16535,0,0
2012-10-24,16445,16545,16445,16545,0,0
2012-10-25,16575,16675,16575,16675,0,0
2012-10-26,16235,16335,16235,16335,0,0
2012-10-29,16060,16160,16060,16160,0,0
2012-10-30,16205,16305,16205,16305,0,0
2012-10-31,16410,16510,16410,16510,0,0
2012-11-01,16530,16630,16530,16630,0,0
2012-11-02,16330,16430,16330,16430,0,0
2012-11-05,15985,16085,15985,16085,0,0
2012-11-06,16135,16235,16135,16235,0,0
2012-11-07,16145,16245,16145,16245,0,0
2012-11-08,16110,16210,16110,16210,0,0
2012-11-09,16065,16165,16065,16165,0,0
2012-11-12,16120,16220,16120,16220,0,0
2012-11-13,16120,16220,16120,16220,0,0
2012-11-14,16230,16330,16230,16330,0,0
2012-11-15,16195,16295,16195,16295,0,0
2012-11-16,16070,16170,16070,16170,0,0
2012-11-19,16260,16360,16260,16360,0,0
2012-11-20,16485,16585,16485,16585,0,0
2012-11-21,16690,16790,16690,16790,0,0
2012-11-22,16860,16960,16860,16960,0,0
2012-11-23,16720,16820,16720,16820,0,0
2012-11-26,16880,16930,16880,16930,0,0
2012-11-27,16845,16945,16845,16945,0,0
2012-11-28,17070,17170,17070,17170,0,0
2012-11-29,17460,17560,17460,17560,0,0
2012-11-30,17365,17465,17365,17465,0,0
2012-12-03,17770,17870,17770,17870,0,0
2012-12-04,17525,17625,17525,17625,0,0
2012-12-05,17605,17705,17605,17705,0,0
2012-12-06,17590,17690,17590,17690,0,0
2012-12-07,17195,17295,17195,17295,0,0
2012-12-10,17525,17625,17525,17625,0,0
