Date,Open,High,Low,Close,Volume,OpenInt
2016-03-30,709,709,707.5,707.5,0,150
2016-03-31,707.5,707.5,707.5,707.5,75,150
2016-04-01,713,713,711.5,711.5,0,225
2016-04-04,715,715,715,715,0,225
2016-04-05,711.5,711.5,711.5,711.5,0,225
2016-04-06,708.5,708.5,708.5,708.5,0,225
2016-04-07,711.75,711.75,711.75,711.75,10,225
2016-04-08,708,708,708,708,0,235
2016-04-11,710,710,710,710,0,235
2016-04-12,705.5,705.5,705.5,705.5,150,235
2016-04-13,712,712.75,712,712.75,0,385
2016-04-14,710.75,710.75,710.75,710.75,0,385
2016-04-15,710,710,710,710,0,385
2016-04-18,705,705,705,705,0,385
2016-04-19,712,712,712,712,0,385
2016-04-20,712,712,712,712,0,385
2016-04-21,712,712,712,712,0,385
2016-04-22,709.5,709.5,709.5,709.5,0,385
2016-04-25,705,705,705,705,0,385
2016-04-26,705,705,705,705,0,385
2016-04-27,705,705,705,705,20,385
2016-04-28,705,705,705,705,0,385
2016-04-29,697,697,697,697,0,385
2016-05-02,705,705,705,705,0,385
2016-05-03,687.5,687.5,687.5,687.5,0,385
2016-05-04,694,694,694,694,0,385
2016-05-05,694,694,694,694,0,385
2016-05-06,695,695,695,695,0,385
2016-05-09,701,701,701,701,0,385
2016-05-10,701,701,701,701,0,385
2016-05-11,707,707,707,707,40,385
2016-05-12,695,695,695,695,0,415
2016-05-13,701,701,701,701,0,415
2016-05-16,701,701,701,701,5,415
2016-05-17,703,703,703,703,0,420
2016-05-18,705,705,705,705,0,420
2016-05-19,695,695,695,695,0,420
2016-05-20,695,695,695,695,0,420
2016-05-23,695,695,695,695,0,420
2016-05-24,690,690,690,690,0,420
2016-05-25,690,690,690,690,0,420
2016-05-26,690,690,690,690,0,420
2016-05-27,694,694,694,694,0,420
2016-05-30,690,690,690,690,0,420
2016-05-31,694,694,694,694,0,420
2016-06-01,692,692,692,692,0,420
2016-06-02,692,692,692,692,0,420
2016-06-03,692,692,692,692,0,420
2016-06-06,692,692,692,692,0,420
2016-06-07,700,700,700,700,0,420
2016-06-08,700,700,700,700,0,420
2016-06-09,700,700,700,700,0,420
2016-06-10,700,700,700,700,0,420
2016-06-13,700,700,700,700,0,420
2016-06-14,700,700,700,700,0,420
2016-06-15,695,695,695,695,0,420
2016-06-16,681,681,681,681,0,420
