Date,Open,High,Low,Close,Volume,OpenInt
2013-03-07,785.4,787.1,785,786.3,167,565
2013-03-08,789,790.8,787.5,789.7,1000,652
2013-03-11,788.2,790.9,788,790.8,186,666
2013-03-12,790.6,791.8,786.5,788.6,575,653
2013-03-13,788.7,791,786.7,791,254,663
2013-03-14,791.8,795.4,791.8,794.9,148,666
2013-03-15,792.8,795,791.4,794.8,222,504
2013-03-18,786.5,793.2,786.3,791.1,258,502
2013-03-19,792,792.6,782.7,787.7,773,521
2013-03-20,792.7,794.6,791.2,792.8,189,519
2013-03-21,789.5,792.1,785.7,786,249,506
2013-03-22,789.2,791.7,788,791.7,160,506
2013-03-25,793.4,795.1,785.1,789.3,335,495
2013-03-26,791.7,794.3,790.2,793.8,218,495
2013-03-27,789.6,794.3,788.3,793.7,212,504
2013-03-28,794.6,798.1,793.3,796.7,3068,3333
2013-04-01,796.4,798.2,792.2,794.6,254,3339
2013-04-02,797.9,799.3,794.7,796.7,316,3314
2013-04-03,797.1,797.1,784.7,786.4,1344,2492
2013-04-04,787.6,792.2,787.3,791.2,1062,1702
2013-04-05,780.5,789.4,780.5,788.6,212,1722
2013-04-08,789.3,795.3,786.6,795.3,86,1727
2013-04-09,796.2,800,793.8,797,211,1722
2013-04-10,800.1,806.5,800.1,805.9,232,1720
2013-04-11,806.4,811.6,805.2,809.2,193,1746
2013-04-12,806.8,807.9,802.3,805.8,1031,2854
2013-04-15,802.8,803.1,783.1,785.3,373,2346
2013-04-16,792.6,797.6,790.3,796.5,166,2320
2013-04-17,791.2,791.2,780.8,785.1,344,2310
2013-04-18,786,786,778.8,781,374,2269
2013-04-19,782.6,788.5,781,786.9,157,2256
2013-04-22,790,793.1,783.7,790.7,297,2352
2013-04-23,795.7,800.2,791.7,800.1,465,2353
2013-04-24,801.5,803.3,799.6,802.3,106,2371
2013-04-25,803.6,808.5,802.7,805.2,137,2400
2013-04-26,803.7,804.6,800.6,803.5,131,2453
2013-04-29,806.4,809.1,806.4,807.1,23,2453
2013-04-30,806.4,808.1,803.9,807.9,51,2450
2013-05-01,806.3,806.3,798.7,798.7,180,1990
2013-05-02,801.6,807.2,801.6,806.6,622,2437
2013-05-03,814.7,817.3,813.8,814,79,2432
2013-05-06,815,817.8,815,816.7,58,2432
2013-05-07,818.9,821.9,817,821.3,64,2425
2013-05-08,821.2,826.7,821.1,826.5,137,2445
2013-05-09,826.7,826.8,821.1,823.3,120,2451
2013-05-10,823.5,827,820.9,826.1,494,2523
2013-05-13,824.3,826.1,821.4,826,367,2533
2013-05-14,826.9,835.5,826.9,835.3,324,2545
2013-05-15,834.2,842.1,833.5,838.9,523,2515
2013-05-16,839.6,841.9,835.5,836.3,398,2528
2013-05-17,839.2,845.4,839.1,844.7,187,2524
2013-05-20,844.2,849,843.7,846.3,901,2728
2013-05-21,848.4,850.7,844.6,847.6,600,2727
2013-05-22,848.9,857.4,836.5,840.8,1511,1531
2013-05-23,830.9,839.8,830.1,838.4,887,1568
2013-05-24,833.7,837,830.7,836.9,0,1606
2013-05-28,845.3,849.7,839.8,842.6,217,1607
2013-05-29,837,840.3,833,838.3,165,1630
2013-05-30,839.7,845.2,838.4,842.4,169,1626
2013-05-31,839.5,843.9,830.5,830.5,161,1635
2013-06-03,831.3,833.6,825,832,701,1591
2013-06-04,833.5,836.4,824.8,829.5,662,1497
2013-06-05,825.6,827.5,817.4,818.3,1040,1705
2013-06-06,816.5,825.2,812.9,825.2,625,1209
2013-06-07,830.1,836.9,827.5,835.1,502,1252
2013-06-10,839.7,839.8,834.3,836.2,305,1250
2013-06-11,829,834.3,826.6,827.5,461,1253
2013-06-12,833.3,833.3,819.4,819.4,333,1237
2013-06-13,818.7,834.6,817.7,833.5,1804,2023
2013-06-14,834.8,835.2,827,827.5,449,1378
2013-06-17,832.7,835.7,827.2,831.6,498,1466
2013-06-18,830,838.9,830,838,669,1603
2013-06-19,835.5,838.4,826.7,827.3,275,1770
2013-06-20,817,818.4,803.6,806.7,229,1668
2013-06-21,809.8,811.9,800.6,807.3,444,1208
2013-06-24,799.4,803.7,790.8,798,461,1198
2013-06-25,804.5,808.9,799.9,807.1,401,1194
2013-06-26,813.4,815.5,809.4,812.7,0,1194
2013-06-28,817.5,822.4,815.6,819.1,162,1108
2013-07-01,826.6,827.2,813.3,820.8,218,1055
2013-07-02,821.8,826.5,817,819.8,367,1003
2013-07-03,815.5,821,814.5,818.9,0,1003
2013-07-05,825.4,828.7,819.9,828.7,145,990
2013-07-08,833,835.2,831.9,832.8,176,974
2013-07-09,838.3,842.1,835.7,841.8,250,996
2013-07-10,841.2,843.3,837.9,840.3,458,1062
2013-07-11,850.5,852.2,846.4,852.2,156,1084
2013-07-12,851.7,854.1,850.2,853.8,332,1232
2013-07-15,855.2,857.2,853.6,856.6,166,1237
