Date,Open,High,Low,Close,Volume,OpenInt
1984-01-02,6.9542,6.9542,6.9542,6.9542,0,0
1984-01-09,7.0175,7.0175,7.0175,7.0175,0,0
1984-01-16,7.216,7.216,7.216,7.216,0,0
1984-01-23,7.0531,7.0531,7.0531,7.0531,0,0
1984-01-30,7.1448,7.1448,7.1448,7.1448,0,0
1984-02-06,7.2184,7.2184,7.2184,7.2184,0,0
1984-02-13,7.2056,7.2056,7.2056,7.2056,0,0
1984-02-20,7.2609,7.2609,7.2609,7.2609,0,0
1984-03-01,7.2109,7.2109,7.2109,7.2109,0,0
1984-03-05,7.0826,7.0826,7.0826,7.0826,0,0
1984-03-12,7.0835,7.0835,7.0835,7.0835,0,0
1984-03-19,7.1566,7.1566,7.1566,7.1566,0,0
1984-03-26,7.2362,7.2362,7.2362,7.2362,0,0
1984-04-02,7.0859,7.0859,7.0859,7.0859,0,0
1984-04-09,7.1022,7.1022,7.1022,7.1022,0,0
1984-04-16,6.9433,6.9433,6.9433,6.9433,0,0
1984-04-24,6.9882,6.9882,6.9882,6.9882,0,0
1984-05-02,7.041,7.041,7.041,7.041,0,0
1984-05-07,7.194,7.194,7.194,7.194,0,0
1984-05-14,7.1709,7.1709,7.1709,7.1709,0,0
1984-05-21,7.0636,7.0636,7.0636,7.0636,0,0
1984-05-28,7.0443,7.0443,7.0443,7.0443,0,0
1984-06-04,7.007,7.007,7.007,7.007,0,0
1984-06-11,6.9066,6.9066,6.9066,6.9066,0,0
1984-06-18,6.9516,6.9516,6.9516,6.9516,0,0
1984-06-25,6.917,6.917,6.917,6.917,0,0
1984-07-02,6.8979,6.8979,6.8979,6.8979,0,0
1984-07-09,6.9158,6.9158,6.9158,6.9158,0,0
1984-07-16,6.775,6.775,6.775,6.775,0,0
1984-07-23,6.8555,6.8555,6.8555,6.8555,0,0
1984-07-30,6.8267,6.8267,6.8267,6.8267,0,0
1984-08-06,6.911,6.911,6.911,6.911,0,0
1984-08-13,7.0081,7.0081,7.0081,7.0081,0,0
1984-08-20,6.978,6.978,6.978,6.978,0,0
1984-08-27,7.0814,7.0814,7.0814,7.0814,0,0
1984-09-01,7.0719,7.0719,7.0719,7.0719,0,0
1984-09-10,7.0291,7.0291,7.0291,7.0291,0,0
1984-09-17,7.0922,7.0922,7.0922,7.0922,0,0
1984-09-24,7.2012,7.2012,7.2012,7.2012,0,0
1984-10-01,7.3137,7.3137,7.3137,7.3137,0,0
1984-10-08,7.3221,7.3221,7.3221,7.3221,0,0
1984-10-15,7.3772,7.3772,7.3772,7.3772,0,0
1984-10-22,7.4702,7.4702,7.4702,7.4702,0,0
1984-10-29,7.4315,7.4315,7.4315,7.4315,0,0
1984-11-05,7.4782,7.4782,7.4782,7.4782,0,0
1984-11-12,7.3866,7.3866,7.3866,7.3866,0,0
1984-11-19,7.3949,7.3949,7.3949,7.3949,0,0
1984-11-26,7.4571,7.4571,7.4571,7.4571,0,0
1984-12-01,7.5528,7.5528,7.5528,7.5528,0,0
1984-12-10,7.6334,7.6334,7.6334,7.6334,0,0
1984-12-17,7.5148,7.5148,7.5148,7.5148,0,0
1984-12-24,7.4653,7.4653,7.4653,7.4653,0,0
1985-01-01,7.5166,7.5166,7.5166,7.5166,0,0
1985-01-07,7.4727,7.4727,7.4727,7.4727,0,0
1985-01-14,7.4007,7.4007,7.4007,7.4007,0,0
1985-01-21,7.5238,7.5238,7.5238,7.5238,0,0
1985-01-28,7.4855,7.4855,7.4855,7.4855,0,0
1985-02-04,7.4839,7.4839,7.4839,7.4839,0,0
1985-02-11,7.2394,7.2394,7.2394,7.2394,0,0
1985-02-18,7.0694,7.0694,7.0694,7.0694,0,0
1985-02-25,6.6606,6.6606,6.6606,6.6606,0,0
1985-03-04,6.8651,6.8651,6.8651,6.8651,0,0
1985-03-11,6.6646,6.6646,6.6646,6.6646,0,0
1985-03-18,6.6628,6.6628,6.6628,6.6628,0,0
1985-03-25,6.5636,6.5636,6.5636,6.5636,0,0
1985-03-29,6.3011,6.3011,6.3011,6.3011,0,0
1985-04-01,6.3881,6.3881,6.3881,6.3881,0,0
1985-04-09,5.8988,5.8988,5.8988,5.8988,0,0
1985-04-15,6.0177,6.0177,6.0177,6.0177,0,0
1985-04-22,5.8379,5.8379,5.8379,5.8379,0,0
1985-04-29,5.7171,5.7171,5.7171,5.7171,0,0
1985-05-06,5.8202,5.8202,5.8202,5.8202,0,0
1985-05-13,6.1278,6.1278,6.1278,6.1278,0,0
1985-05-20,6.1561,6.1561,6.1561,6.1561,0,0
1985-05-27,6.1123,6.1123,6.1123,6.1123,0,0
1985-06-01,6.0581,6.0581,6.0581,6.0581,0,0
1985-06-10,5.8121,5.8121,5.8121,5.8121,0,0
1985-06-17,5.9016,5.9016,5.9016,5.9016,0,0
1985-06-24,5.8345,5.8345,5.8345,5.8345,0,0
1985-07-01,5.8642,5.8642,5.8642,5.8642,0,0
1985-07-08,5.8516,5.8516,5.8516,5.8516,0,0
1985-07-15,5.8409,5.8409,5.8409,5.8409,0,0
1985-07-23,5.9427,5.9427,5.9427,5.9427,0,0
1985-07-29,5.9404,5.9404,5.9404,5.9404,0,0
1985-08-05,5.9292,5.9292,5.9292,5.9292,0,0
1985-08-12,5.9837,5.9837,5.9837,5.9837,0,0
1985-08-19,5.8483,5.8483,5.8483,5.8483,0,0
1985-08-26,5.7869,5.7869,5.7869,5.7869,0,0
1985-09-02,5.7714,5.7714,5.7714,5.7714,0,0
1985-09-09,5.7415,5.7415,5.7415,5.7415,0,0
1985-09-16,5.7592,5.7592,5.7592,5.7592,0,0
1985-09-23,5.7545,5.7545,5.7545,5.7545,0,0
1985-09-30,5.6937,5.6937,5.6937,5.6937,0,0
1985-10-07,5.6112,5.6112,5.6112,5.6112,0,0
1985-10-14,5.5485,5.5485,5.5485,5.5485,0,0
1985-10-21,5.5459,5.5459,5.5459,5.5459,0,0
1985-10-28,5.5476,5.5476,5.5476,5.5476,0,0
1985-11-04,5.5432,5.5432,5.5432,5.5432,0,0
1985-11-11,5.245,5.245,5.245,5.245,0,0
1985-11-18,5.1684,5.1684,5.1684,5.1684,0,0
1985-11-25,5.2902,5.2902,5.2902,5.2902,0,0
1985-12-02,5.3204,5.3204,5.3204,5.3204,0,0
1985-12-09,5.1451,5.1451,5.1451,5.1451,0,0
1985-12-16,5.2487,5.2487,5.2487,5.2487,0,0
1985-12-23,5.1812,5.1812,5.1812,5.1812,0,0
1986-01-01,5.2409,5.2409,5.2409,5.2409,0,0
1986-01-06,5.1711,5.1711,5.1711,5.1711,0,0
1986-01-13,5.1371,5.1371,5.1371,5.1371,0,0
1986-01-20,5.2241,5.2241,5.2241,5.2241,0,0
1986-01-27,5.2987,5.2987,5.2987,5.2987,0,0
1986-02-01,5.3385,5.3385,5.3385,5.3385,0,0
1986-02-10,5.1873,5.1873,5.1873,5.1873,0,0
1986-02-17,5.0903,5.0903,5.0903,5.0903,0,0
1986-02-24,5.1535,5.1535,5.1535,5.1535,0,0
1986-03-01,5.0047,5.0047,5.0047,5.0047,0,0
1986-03-03,5.0047,5.0047,5.0047,5.0047,0,0
1986-03-10,4.8951,4.8951,4.8951,4.8951,0,0
1986-03-17,5.0695,5.0695,5.0695,5.0695,0,0
1986-03-18,5.0695,5.0695,5.0695,5.0695,0,0
1986-03-24,5.056,5.056,5.056,5.056,0,0
1986-04-01,5.2223,5.2223,5.2223,5.2223,0,0
1986-04-07,5.2244,5.2244,5.2244,5.2244,0,0
1986-04-09,5.2244,5.2244,5.2244,5.2244,0,0
1986-04-14,5.294,5.294,5.294,5.294,0,0
1986-04-21,5.1841,5.1841,5.1841,5.1841,0,0
1986-04-28,5.0903,5.0903,5.0903,5.0903,0,0
1986-05-05,5.1065,5.1065,5.1065,5.1065,0,0
1986-05-12,5.1428,5.1428,5.1428,5.1428,0,0
1986-05-19,5.4178,5.4178,5.4178,5.4178,0,0
1986-05-26,5.4725,5.4725,5.4725,5.4725,0,0
1986-06-02,5.5657,5.5657,5.5657,5.5657,0,0
1986-06-09,5.4007,5.4007,5.4007,5.4007,0,0
1986-06-16,5.2841,5.2841,5.2841,5.2841,0,0
1986-06-23,5.269,5.269,5.269,5.269,0,0
1986-06-30,5.1724,5.1724,5.1724,5.1724,0,0
1986-07-07,4.9462,4.9462,4.9462,4.9462,0,0
1986-07-14,4.6718,4.6718,4.6718,4.6718,0,0
1986-07-21,4.8482,4.8482,4.8482,4.8482,0,0
1986-07-28,4.6648,4.6648,4.6648,4.6648,0,0
1986-08-04,4.5453,4.5453,4.5453,4.5453,0,0
1986-08-11,4.5582,4.5582,4.5582,4.5582,0,0
1986-08-18,4.4696,4.4696,4.4696,4.4696,0,0
1986-08-25,4.6505,4.6505,4.6505,4.6505,0,0
1986-09-01,4.4479,4.4479,4.4479,4.4479,0,0
1986-09-08,4.4272,4.4272,4.4272,4.4272,0,0
1986-09-15,4.5107,4.5107,4.5107,4.5107,0,0
1986-09-22,4.5825,4.5825,4.5825,4.5825,0,0
1986-09-29,4.6459,4.6459,4.6459,4.6459,0,0
1986-10-06,4.6211,4.6211,4.6211,4.6211,0,0
1986-10-13,4.6622,4.6622,4.6622,4.6622,0,0
1986-10-20,4.6676,4.6676,4.6676,4.6676,0,0
1986-10-27,4.6563,4.6563,4.6563,4.6563,0,0
1986-11-01,4.7606,4.7606,4.7606,4.7606,0,0
1986-11-10,4.8243,4.8243,4.8243,4.8243,0,0
1986-11-17,4.8263,4.8263,4.8263,4.8263,0,0
1986-11-24,4.8559,4.8559,4.8559,4.8559,0,0
1986-12-01,4.9244,4.9244,4.9244,4.9244,0,0
1986-12-08,4.8824,4.8824,4.8824,4.8824,0,0
1986-12-15,4.9185,4.9185,4.9185,4.9185,0,0
1986-12-22,5.048,5.048,5.048,5.048,0,0
1986-12-31,4.9366,4.9366,4.9366,4.9366,0,0
1987-01-12,4.8955,4.8955,4.8955,4.8955,0,0
1987-01-19,4.7385,4.7385,4.7385,4.7385,0,0
1987-01-26,4.7408,4.7408,4.7408,4.7408,0,0
1987-02-01,4.6728,4.6728,4.6728,4.6728,0,0
1987-02-09,4.6098,4.6098,4.6098,4.6098,0,0
1987-02-16,4.6643,4.6643,4.6643,4.6643,0,0
1987-02-23,4.6224,4.6224,4.6224,4.6224,0,0
1987-03-02,4.7161,4.7161,4.7161,4.7161,0,0
1987-03-09,4.7245,4.7245,4.7245,4.7245,0,0
1987-03-16,4.7814,4.7814,4.7814,4.7814,0,0
1987-03-23,4.7746,4.7746,4.7746,4.7746,0,0
1987-03-30,4.7607,4.7607,4.7607,4.7607,0,0
1987-04-06,4.803,4.803,4.803,4.803,0,0
1987-04-13,4.8258,4.8258,4.8258,4.8258,0,0
1987-04-21,4.8886,4.8886,4.8886,4.8886,0,0
1987-04-27,4.7735,4.7735,4.7735,4.7735,0,0
1987-05-04,4.7221,4.7221,4.7221,4.7221,0,0
1987-05-11,4.6838,4.6838,4.6838,4.6838,0,0
1987-05-18,4.7649,4.7649,4.7649,4.7649,0,0
1987-05-25,4.76,4.76,4.76,4.76,0,0
1987-06-01,4.7799,4.7799,4.7799,4.7799,0,0
1987-06-08,4.836,4.836,4.836,4.836,0,0
1987-06-15,4.7929,4.7929,4.7929,4.7929,0,0
1987-06-22,4.835,4.835,4.835,4.835,0,0
1987-06-29,4.839,4.839,4.839,4.839,0,0
1987-07-06,4.8373,4.8373,4.8373,4.8373,0,0
1987-07-13,4.7496,4.7496,4.7496,4.7496,0,0
1987-07-20,4.7414,4.7414,4.7414,4.7414,0,0
1987-07-27,4.8074,4.8074,4.8074,4.8074,0,0
1987-08-03,4.7966,4.7966,4.7966,4.7966,0,0
1987-08-10,4.783,4.783,4.783,4.783,0,0
1987-08-17,4.8323,4.8323,4.8323,4.8323,0,0
1987-08-24,4.811,4.811,4.811,4.811,0,0
1987-08-31,4.8005,4.8005,4.8005,4.8005,0,0
1987-09-07,4.7674,4.7674,4.7674,4.7674,0,0
1987-09-14,4.7864,4.7864,4.7864,4.7864,0,0
1987-09-21,4.8641,4.8641,4.8641,4.8641,0,0
1987-09-28,4.868,4.868,4.868,4.868,0,0
