Date,Open,High,Low,Close,Volume,OpenInt
1995-10-23,520.81,520.81,520.81,520.81,0,0
1995-10-24,519.78,519.78,519.78,519.78,0,0
1995-10-25,519.66,519.66,519.66,519.66,0,0
1995-10-26,519.05,519.05,519.05,519.05,0,0
1995-10-27,517.27,517.27,517.27,517.27,0,0
1995-10-30,508.6,508.6,508.6,508.6,0,0
1995-10-31,499.69,499.69,499.69,499.69,0,0
1995-11-02,501.89,501.89,501.89,501.89,0,0
1995-11-03,504.66,504.66,504.66,504.66,0,0
1995-11-06,505.78,505.78,505.78,505.78,0,0
1995-11-07,503.42,503.42,503.42,503.42,0,0
1995-11-08,499.68,499.68,499.68,499.68,0,0
1995-11-09,501.53,501.53,501.53,501.53,0,0
1995-11-10,501.58,501.58,501.58,501.58,0,0
1995-11-13,500.93,500.93,500.93,500.93,0,0
1995-11-14,501.04,501.04,501.04,501.04,0,0
1995-11-15,500.83,500.83,500.83,500.83,0,0
1995-11-16,503.65,503.65,503.65,503.65,0,0
1995-11-17,501.36,501.36,501.36,501.36,0,0
1995-11-20,502.67,502.67,502.67,502.67,0,0
1995-11-21,501.76,501.76,501.76,501.76,0,0
1995-11-22,501.99,501.99,501.99,501.99,0,0
1995-11-23,500.88,500.88,500.88,500.88,0,0
1995-11-24,501.04,501.04,501.04,501.04,0,0
1995-11-27,500.92,500.92,500.92,500.92,0,0
1995-11-28,500.32,500.32,500.32,500.32,0,0
1995-11-29,500.13,500.13,500.13,500.13,0,0
1995-11-30,499.61,499.61,499.61,499.61,0,0
1995-12-01,499.29,499.29,499.29,499.29,0,0
1995-12-04,498.83,498.83,498.83,498.83,0,0
1995-12-05,497.79,497.79,497.79,497.79,0,0
1995-12-06,497,497,497,497,0,0
1995-12-07,496.41,496.41,496.41,496.41,0,0
1995-12-08,496.21,496.21,496.21,496.21,0,0
1995-12-11,496.27,496.27,496.27,496.27,0,0
1995-12-12,497.22,497.22,497.22,497.22,0,0
1995-12-13,498.08,498.08,498.08,498.08,0,0
1995-12-14,497.27,497.27,497.27,497.27,0,0
1995-12-15,497.02,497.02,497.02,497.02,0,0
1995-12-18,497.44,497.44,497.44,497.44,0,0
1995-12-19,497.48,497.48,497.48,497.48,0,0
1995-12-20,497.02,497.02,497.02,497.02,0,0
1995-12-21,496.22,496.22,496.22,496.22,0,0
1995-12-22,495.12,495.12,495.12,495.12,0,0
1995-12-27,496.18,496.18,496.18,496.18,0,0
1995-12-28,496.12,496.12,496.12,496.12,0,0
