Date,Open,High,Low,Close,Volume,OpenInt
1990-01-08,1.7156,1.7156,1.7156,1.7156,0,0
1990-01-15,1.7675,1.7675,1.7675,1.7675,0,0
1990-01-22,1.7913,1.7913,1.7913,1.7913,0,0
1990-01-29,1.7625,1.7625,1.7625,1.7625,0,0
1990-02-05,1.8137,1.8137,1.8137,1.8137,0,0
1990-02-12,1.8289,1.8289,1.8289,1.8289,0,0
1990-02-19,1.8058,1.8058,1.8058,1.8058,0,0
1990-02-26,1.8217,1.8217,1.8217,1.8217,0,0
1990-03-05,1.825,1.825,1.825,1.825,0,0
1990-03-12,1.8042,1.8042,1.8042,1.8042,0,0
1990-03-19,1.7896,1.7896,1.7896,1.7896,0,0
1990-03-26,1.8091,1.8091,1.8091,1.8091,0,0
1990-04-02,1.7864,1.7864,1.7864,1.7864,0,0
1990-04-09,1.8159,1.8159,1.8159,1.8159,0,0
1990-04-17,1.8274,1.8274,1.8274,1.8274,0,0
1990-04-23,1.8219,1.8219,1.8219,1.8219,0,0
1990-04-30,1.8211,1.8211,1.8211,1.8211,0,0
1990-05-07,1.8575,1.8575,1.8575,1.8575,0,0
1990-05-14,1.8817,1.8817,1.8817,1.8817,0,0
1990-05-21,1.9372,1.9372,1.9372,1.9372,0,0
1990-05-28,1.8991,1.8991,1.8991,1.8991,0,0
1990-06-04,1.9243,1.9243,1.9243,1.9243,0,0
1990-06-11,1.8848,1.8848,1.8848,1.8848,0,0
1990-06-18,1.8819,1.8819,1.8819,1.8819,0,0
1990-06-25,1.8986,1.8986,1.8986,1.8986,0,0
1990-07-02,1.9206,1.9206,1.9206,1.9206,0,0
1990-07-09,1.9294,1.9294,1.9294,1.9294,0,0
1990-07-16,1.9393,1.9393,1.9393,1.9393,0,0
1990-07-23,1.9136,1.9136,1.9136,1.9136,0,0
1990-07-30,1.9622,1.9622,1.9622,1.9622,0,0
1990-08-06,2.0005,2.0005,2.0005,2.0005,0,0
1990-08-13,2.0334,2.0334,2.0334,2.0334,0,0
1990-08-20,2.0475,2.0475,2.0475,2.0475,0,0
1990-08-27,2.0851,2.0851,2.0851,2.0851,0,0
1990-09-03,2.1029,2.1029,2.1029,2.1029,0,0
1990-09-10,2.0427,2.0427,2.0427,2.0427,0,0
1990-09-17,2.0304,2.0304,2.0304,2.0304,0,0
1990-09-24,2.1025,2.1025,2.1025,2.1025,0,0
1990-10-01,2.0783,2.0783,2.0783,2.0783,0,0
1990-10-08,2.0806,2.0806,2.0806,2.0806,0,0
1990-10-10,2.0946,2.0946,2.0946,2.0946,0,0
1990-10-15,2.1167,2.1167,2.1167,2.1167,0,0
1990-10-22,2.1075,2.1075,2.1075,2.1075,0,0
1990-10-29,2.105,2.105,2.105,2.105,0,0
1990-11-05,2.1037,2.1037,2.1037,2.1037,0,0
1990-11-12,2.163,2.163,2.163,2.163,0,0
1990-11-19,2.16,2.16,2.16,2.16,0,0
1990-11-26,2.1518,2.1518,2.1518,2.1518,0,0
1990-12-03,2.1424,2.1424,2.1424,2.1424,0,0
1990-12-10,2.0993,2.0993,2.0993,2.0993,0,0
1990-12-17,2.138,2.138,2.138,2.138,0,0
1990-12-24,2.1317,2.1317,2.1317,2.1317,0,0
1991-01-02,2.1255,2.1255,2.1255,2.1255,0,0
1991-01-03,2.1385,2.1385,2.1385,2.1385,0,0
1991-01-04,2.1414,2.1414,2.1414,2.1414,0,0
1991-01-07,2.1499,2.1499,2.1499,2.1499,0,0
1991-01-08,2.0981,2.0981,2.0981,2.0981,0,0
1991-01-09,2.1068,2.1068,2.1068,2.1068,0,0
1991-01-10,2.1185,2.1185,2.1185,2.1185,0,0
1991-01-11,2.1229,2.1229,2.1229,2.1229,0,0
1991-01-14,2.1176,2.1176,2.1176,2.1176,0,0
1991-01-15,2.1174,2.1174,2.1174,2.1174,0,0
1991-01-16,2.1197,2.1197,2.1197,2.1197,0,0
1991-01-17,2.1172,2.1172,2.1172,2.1172,0,0
1991-01-18,2.128,2.128,2.128,2.128,0,0
1991-01-21,2.134,2.134,2.134,2.134,0,0
