Date,Open,High,Low,Close,Volume,OpenInt
1991-01-02,0.5501,0.5501,0.5501,0.5501,0,0
1991-01-03,0.5527,0.5527,0.5527,0.5527,0,0
1991-01-04,0.5565,0.5565,0.5565,0.5565,0,0
1991-01-07,0.5613,0.5613,0.5613,0.5613,0,0
1991-01-08,0.5463,0.5463,0.5463,0.5463,0,0
1991-01-09,0.5442,0.5442,0.5442,0.5442,0,0
1991-01-10,0.5505,0.5505,0.5505,0.5505,0,0
1991-01-11,0.5514,0.5514,0.5514,0.5514,0,0
1991-01-14,0.5513,0.5513,0.5513,0.5513,0,0
1991-01-15,0.5525,0.5525,0.5525,0.5525,0,0
1991-01-16,0.5529,0.5529,0.5529,0.5529,0,0
1991-01-17,0.5464,0.5464,0.5464,0.5464,0,0
1991-01-18,0.5472,0.5472,0.5472,0.5472,0,0
1991-01-21,0.5479,0.5479,0.5479,0.5479,0,0
1991-01-22,0.5544,0.5544,0.5544,0.5544,0,0
1991-01-23,0.5576,0.5576,0.5576,0.5576,0,0
1991-01-24,0.5523,0.5523,0.5523,0.5523,0,0
1991-01-25,0.5572,0.5572,0.5572,0.5572,0,0
1991-01-28,0.5555,0.5555,0.5555,0.5555,0,0
1991-01-29,0.5519,0.5519,0.5519,0.5519,0,0
1991-01-30,0.5549,0.5549,0.5549,0.5549,0,0
1991-01-31,0.5493,0.5493,0.5493,0.5493,0,0
1991-02-01,0.5475,0.5475,0.5475,0.5475,0,0
1991-02-04,0.5498,0.5498,0.5498,0.5498,0,0
1991-02-05,0.5515,0.5515,0.5515,0.5515,0,0
1991-02-06,0.55,0.55,0.55,0.55,0,0
1991-02-07,0.5534,0.5534,0.5534,0.5534,0,0
1991-02-08,0.5561,0.5561,0.5561,0.5561,0,0
1991-02-11,0.5501,0.5501,0.5501,0.5501,0,0
1991-02-12,0.5531,0.5531,0.5531,0.5531,0,0
1991-02-13,0.5533,0.5533,0.5533,0.5533,0,0
1991-02-14,0.5538,0.5538,0.5538,0.5538,0,0
1991-02-15,0.5534,0.5534,0.5534,0.5534,0,0
1991-02-18,0.55,0.55,0.55,0.55,0,0
1991-02-19,0.5495,0.5495,0.5495,0.5495,0,0
1991-02-20,0.5462,0.5462,0.5462,0.5462,0,0
1991-02-21,0.5471,0.5471,0.5471,0.5471,0,0
1991-02-22,0.5504,0.5504,0.5504,0.5504,0,0
1991-02-25,0.5537,0.5537,0.5537,0.5537,0,0
1991-02-26,0.5437,0.5437,0.5437,0.5437,0,0
